PNBHOUSI IN Equity,price,volume,mc,pe,bm,div
2020-01-31,361.15,44462176.0,73337.9012,6.1252,0.968,7.4542
2020-02-29,298.08,18852287.0,60530.4682,5.0555,0.799,7.4542
2020-03-31,134.3,15216719.0,27271.5071,4.2172,0.341,7.4542
2020-04-30,163.87,19777613.0,33275.7797,5.1456,0.4161,7.4542
2020-05-31,145.77,10578192.0,29600.8958,4.5774,0.3701,7.4542
2020-06-30,171.9,23862042.0,34907.1928,5.3979,0.4365,7.4542
2020-07-31,173.27,15904176.0,35184.7012,5.4408,0.4399,7.4542
2020-08-31,236.34,39294830.0,47992.1342,7.4213,0.6001,0.0
2020-09-30,280.07,23566353.0,56872.4029,8.7945,0.7111,0.0
2020-10-31,292.2,10612901.0,59336.3429,9.1756,0.7419,0.0
2020-11-30,313.45,6684398.0,63650.3372,9.8427,0.7959,0.0
2020-12-31,301.81,6487967.0,61289.3131,9.4772,0.7663,0.0
2021-01-31,277.75,7565294.0,56403.3237,8.7217,0.7052,0.0
2021-02-28,364.63,27479706.0,74046.7072,11.4499,0.9258,0.0
2021-03-31,310.51,8331196.0,63083.7204,6.7806,0.707,0.0
2021-04-30,308.4,4610310.0,62654.6367,6.7345,0.7022,0.0
2021-05-31,435.36,14525941.0,88450.1404,9.5071,0.9913,0.0
2021-06-30,566.02,23124780.0,115158.7813,12.3603,1.2887,0.0
2021-07-31,555.5,2317547.0,113018.7214,12.1306,1.2648,0.0
2021-08-31,544.61,1761107.0,110802.8332,11.8927,1.24,0.0
2021-09-30,515.08,2342168.0,104838.6924,11.248,1.1728,0.0
2021-10-31,399.92,6099099.0,81397.9139,8.733,0.9105,0.0
2021-11-30,456.15,6474795.0,92844.3638,9.9611,1.0386,0.0
2021-12-31,410.27,12106552.0,83509.1023,8.9591,0.9341,0.0
2022-01-31,360.82,11637735.0,73444.5149,7.8794,0.8215,0.0
2022-02-28,336.43,11282108.0,68479.6555,7.3467,0.766,0.0
2022-03-31,312.12,10566015.0,63536.3655,7.5917,0.6436,0.0
2022-04-30,312.99,9001976.0,63713.3939,7.6128,0.6454,0.0
2022-05-31,269.39,3897834.0,54836.68,6.5522,0.5555,0.0
2022-06-30,273.57,16221435.0,55690.0052,6.6539,0.5641,0.0
2022-07-31,291.37,5032213.0,59318.2286,7.087,0.6008,0.0
2022-08-31,289.84,8505483.0,59006.2936,7.0498,0.5977,0.0
2022-09-30,324.96,27844183.0,66155.5059,7.9039,0.6701,0.0
2022-10-31,364.43,18011122.0,74190.8807,8.8638,0.7515,0.0
2022-11-30,371.01,8067104.0,75605.4646,9.024,0.7651,0.0
2022-12-31,441.91,54717033.0,90053.1212,10.7484,0.9113,0.0
2023-01-31,459.05,50693996.0,93553.6666,11.1654,0.9466,0.0
2023-02-28,494.62,17708060.0,100821.7931,12.0306,1.02,0.0
2023-03-31,425.01,33818171.0,86648.363,8.2753,0.7867,0.0
2023-04-30,445.9,24591697.0,75292.8092,8.682,0.8254,0.0
2023-05-31,505.25,15423771.0,131134.4524,9.8376,0.9352,0.0
2023-06-30,567.4,20267822.0,147265.0931,11.0477,1.0503,0.0
2023-07-31,634.8,16439345.0,164758.3382,12.36,1.1751,0.0
2023-08-31,650.45,10990419.0,168824.6637,12.6647,1.204,0.0
2023-09-30,694.1,10207380.0,180174.174,13.5146,1.2848,0.0
2023-10-31,736.4,19687095.0,191179.3681,14.3382,1.3631,0.0
2023-11-30,773.6,7681483.0,200854.6401,15.0626,1.432,0.0
2023-12-31,780.75,6984838.0,202746.0797,15.2018,1.4452,0.0
2024-01-31,784.6,50972501.0,203745.8523,15.2767,1.4523,0.0
2024-02-29,694.25,12941938.0,180292.8143,13.5175,1.2851,0.0
2024-03-31,629.85,8867427.0,163587.0896,10.8477,1.0924,0.0
2024-04-30,795.8,28790895.0,206688.2685,13.7058,1.3803,0.0
2024-05-31,722.9,40060281.0,187754.3972,12.4503,1.2538,0.0
2024-06-30,784.8,64152774.0,203834.7549,13.5164,1.3612,0.0
2024-07-31,805.5,69175405.0,209211.1303,13.8729,1.3971,0.0
2024-08-31,977.45,94302035.0,253871.4083,16.8343,1.6953,0.0
2024-09-30,982.95,79155717.0,255412.5304,16.9291,1.7049,0.0
2024-10-31,967.05,39128159.0,251281.0291,16.6552,1.6773,0.0
2024-11-30,891.7,62378318.0,231701.8702,15.3575,1.5466,0.0
2024-12-31,877.7,23513678.0,228074.8731,15.1164,1.5223,0.0
2025-01-31,878.2,28420498.0,228204.8006,15.125,1.5232,0.0
2025-02-28,763.35,14397254.0,198394.2787,13.1469,1.324,0.0
2025-03-31,881.5,16092817.0,229123.9254,11.829,1.3587,0.0
2025-04-30,1010.2,45009000.0,262576.2784,13.5561,1.5571,0.0
2025-05-31,1044.9,41852309.0,271726.7675,14.0217,1.6106,0.0
2025-06-30,1109.4,28618069.0,288500.0247,14.8873,1.71,0.0
2025-07-31,986.2,24754518.0,256858.0385,13.234,1.5201,0.0
2025-08-31,753.6,98369999.0,196276.8397,10.1127,1.1616,5.0
2025-09-30,863.6,44452130.0,224975.195,11.5888,1.3311,5.0
2025-10-31,928.7,28812491.0,241934.3025,12.4624,1.4315,5.0
2025-11-30,905.3,17142959.0,235838.4021,12.1484,1.3954,5.0
2025-12-31,951.5,25528112.0,247873.8977,12.7684,1.4666,5.0
2026-01-31,822.4,32489417.0,214242.2422,11.036,1.2676,5.0
2026-02-28,824.75,21140803.0,214854.4373,11.0675,1.2713,5.0
2026-03-31,788.35,2497798.0,205371.9193,10.579,1.2151,5.0
