CLPL IN Equity,price,volume,mc,pe,bm,div
1999-01-31,0.62,39000.0,,,,0.0
1999-02-28,0.6,41500.0,,,,0.0
1999-03-31,0.83,198000.0,,,,0.0
1999-04-30,0.8,22000.0,,,,0.0
1999-05-31,0.42,11500.0,,,,0.0
1999-06-30,0.22,1000.0,,,,0.0
1999-07-31,0.3,19500.0,,,,0.0
1999-08-31,0.88,159000.0,,,,0.0
1999-09-30,1.56,260000.0,,,,0.0
1999-10-31,1.19,324000.0,,,,0.0
1999-11-30,1.05,79500.0,,,,0.0
1999-12-31,3.78,1402500.0,,,,0.0
2000-01-31,2.22,668500.0,,,,0.0
2000-02-29,1.79,449500.0,,,,0.0
2000-03-31,1.58,247000.0,,,,0.0
2000-04-30,1.06,61500.0,,,,0.0
2000-05-31,0.84,75000.0,21.378,,,0.0
2000-06-30,0.8,45000.0,20.36,,,0.0
2000-07-31,0.85,43500.0,21.6325,,,0.0
2000-08-31,0.8,62500.0,20.36,,,0.0
2000-09-30,0.98,4000.0,24.941,,,0.0
2000-10-31,0.95,16000.0,24.1775,,,0.0
2000-11-30,0.95,35500.0,24.1775,,,0.0
2000-12-31,0.92,27500.0,23.414,,,0.0
2001-01-31,0.81,21000.0,20.6145,,,0.0
2001-02-28,0.88,17000.0,22.396,,,0.0
2001-03-31,0.61,2000.0,15.5245,,,0.0
2001-04-30,0.4,2500.0,10.18,,,0.0
2001-05-31,0.43,4000.0,10.9435,,,0.0
2001-06-30,0.78,6000.0,19.851,,,0.0
2001-07-31,0.8,1000.0,20.36,,,0.0
2001-08-31,0.7,19500.0,17.815,,,0.0
2001-09-30,0.54,7500.0,13.743,,,0.0
2001-11-30,0.31,2500.0,7.8895,,,0.0
2001-12-31,0.27,1000.0,6.8715,,,0.0
2002-02-28,0.21,10000.0,5.3445,,,0.0
2002-07-31,0.21,,5.3445,,,0.0
2002-08-31,0.21,,5.3445,,,0.0
2002-09-30,0.21,,5.3445,,,0.0
2002-10-31,0.21,,5.3445,,,0.0
2002-11-30,0.21,,5.3445,,,0.0
2002-12-31,0.21,,5.3445,,,0.0
2003-01-31,0.21,,5.3445,,,0.0
2003-02-28,0.25,500.0,6.3625,,,0.0
2003-03-31,0.25,,6.3625,,,0.0
2003-04-30,0.25,,6.3625,,,0.0
2003-05-31,0.25,,6.3625,,,0.0
2003-06-30,0.25,,6.3625,,,0.0
2003-07-31,0.25,,6.3625,,,0.0
2003-08-31,0.43,9500.0,10.9944,,,0.0
2003-09-30,0.5,1000.0,12.8268,,,0.0
2003-10-31,0.5,,12.8268,,,0.0
2003-11-30,0.42,1000.0,10.689,,,0.0
2003-12-31,1.79,24000.0,45.6573,,,0.0
2004-01-31,1.79,42500.0,45.5046,,,0.0
2004-02-29,1.6,4000.0,40.72,,,0.0
2004-03-31,1.6,,40.72,,,0.0
2004-04-30,1.6,,40.72,,,0.0
2004-05-31,1.6,,40.72,,,0.0
2004-06-30,1.6,,40.72,,,0.0
2004-07-31,1.6,,40.72,,,0.0
2004-08-31,1.8,7000.0,45.81,,,0.0
2004-09-30,2.34,67500.0,59.553,,,0.0
2004-10-31,1.7,108500.0,43.265,,,0.0
2004-11-30,2.3,128500.0,58.535,,,0.0
2004-12-31,2.52,130500.0,64.134,,,0.0
2005-01-31,1.8,84500.0,45.9118,,,0.0
2005-02-28,2.95,198000.0,75.0775,,,0.0
2005-03-31,2.43,223000.0,61.8435,,,0.0
2005-04-30,2.6,97000.0,66.17,,,0.0
2005-05-31,2.68,394000.0,68.3078,,,0.0
2005-06-30,2.76,476500.0,70.1911,,,0.0
2005-07-31,3.1,322500.0,78.8441,,,0.0
2005-08-31,4.55,707000.0,115.7975,,,0.0
2005-09-30,3.32,1234500.0,84.494,,,0.0
2005-10-31,2.73,227500.0,69.4785,,,0.0
2005-11-30,2.75,136500.0,69.9875,,,0.0
2005-12-31,2.67,116500.0,67.9515,,,0.0
2006-01-31,2.17,110000.0,55.2265,,,0.0
2006-02-28,1.64,98000.0,41.8398,,,0.0
2006-03-31,1.56,196500.0,39.702,,,0.0
2006-04-30,1.78,100500.0,43.265,,,0.0
2006-05-31,1.48,74500.0,37.5642,,,0.0
2006-06-30,1.34,24500.0,34.2048,,,0.0
2006-07-31,1.24,85000.0,31.6598,,,0.0
2006-08-31,2.5,119500.0,63.625,,,0.0
2006-09-30,3.64,256000.0,92.5871,,,0.0
2006-10-31,2.46,127000.0,62.607,,,0.0
2006-11-30,3.13,168000.0,79.6076,,,0.0
2006-12-31,2.52,191000.0,64.134,,,0.0
2007-01-31,3.05,177500.0,77.7243,,,0.0
2007-02-28,2.98,234000.0,75.841,,,0.0
2007-03-31,2.06,130500.0,52.4779,,,0.0
2007-04-30,2.54,33000.0,64.5412,,,0.0
2007-05-31,2.42,86500.0,61.6908,,,0.0
2007-06-30,2.43,32000.0,61.8435,,,0.0
2007-07-31,2.45,147500.0,62.3525,,,0.0
2007-08-31,2.7,78500.0,68.715,,,0.0
2007-09-30,2.72,185000.0,69.224,,,0.0
2007-10-31,2.79,123500.0,71.1073,,,0.0
2007-11-30,2.51,81500.0,63.8795,,,0.0
2007-12-31,3.17,95500.0,80.6765,,,0.0
2008-01-31,2.48,121500.0,63.116,,,0.0
2008-02-29,1.77,45000.0,45.1483,,,0.0
2008-03-31,1.5,39500.0,38.175,,,0.0
2008-04-30,2.08,31000.0,52.8851,,,0.0
2008-05-31,2.0,15500.0,129.8398,,,0.0
2008-06-30,1.66,28000.0,108.2432,,,0.0
2008-07-31,1.66,6500.0,107.983,,,0.0
2008-08-31,1.89,12000.0,122.9445,,,0.0
2008-09-30,1.55,10500.0,101.0877,,,0.0
2008-10-31,1.25,18500.0,81.3125,,,0.0
2008-11-30,1.3,18000.0,84.6951,,,0.0
2008-12-31,1.1,10000.0,71.555,,,0.0
2009-01-31,1.19,7000.0,77.4095,,,0.0
2009-02-28,1.14,2000.0,73.8968,,,0.0
2009-03-31,1.28,11000.0,96.704,,,0.0
2009-04-30,1.46,8500.0,110.303,,,0.0
2009-05-31,1.5,12500.0,113.325,,,0.0
