ACCE IN Equity,price,volume,mc,pe,bm,div
2020-09-30,67.05,6463683.0,7609.0483,14.6718,1.719,0.5
2020-10-31,71.05,5711375.0,8062.9806,15.547,1.8216,0.5
2020-11-30,113.3,16569458.0,12857.6454,24.7921,2.9048,0.5
2020-12-31,135.95,19470226.0,15428.0397,29.7484,3.4855,0.5
2021-01-31,128.45,9356375.0,14576.9158,28.1072,3.2932,0.5
2021-02-28,156.35,14141679.0,17743.0968,34.2123,4.0085,0.5
2021-03-31,154.35,18093188.0,17516.1304,21.9559,3.3474,0.5
2021-04-30,145.35,5458979.0,16494.7817,20.6757,3.1522,0.5
2021-05-31,169.5,10875629.0,19235.4007,24.111,3.676,0.0
2021-06-30,225.6,37703875.0,25601.8077,32.091,4.8926,0.0
2021-07-31,258.05,27910891.0,29284.3387,36.707,5.5964,0.0
2021-08-31,238.35,20395107.0,27048.7198,33.9047,5.1691,0.5
2021-09-30,258.15,40337138.0,30741.327,36.7212,5.5985,0.5
2021-10-31,233.35,15556685.0,27788.0638,33.1935,5.0607,0.5
2021-11-30,207.9,14927934.0,24757.3964,29.5733,4.5088,0.5
2021-12-31,222.3,9858182.0,26472.1945,31.6216,4.8211,0.5
2022-01-31,222.25,9354504.0,26466.2403,31.6145,4.82,0.5
2022-02-28,217.55,11582423.0,25906.5493,30.9459,4.718,0.5
2022-03-31,240.5,8151090.0,28639.5086,26.663,3.7979,0.5
2022-04-30,239.85,13751514.0,28562.1046,26.5909,3.7876,0.5
2022-05-31,198.5,7568088.0,23638.0144,22.0067,3.1346,0.5
2022-06-30,208.0,7411136.0,24769.3048,23.0599,3.2847,0.5
2022-07-31,224.25,6327233.0,26704.4067,24.8614,3.5413,0.5
2022-08-31,252.95,10202971.0,30122.0944,28.0432,3.9945,0.5
2022-09-30,275.15,30977295.0,32765.7414,30.5044,4.3451,0.6
2022-10-31,308.55,9533103.0,36743.1201,34.2073,4.8725,0.6
2022-11-30,339.2,22731328.0,40393.0201,37.6053,5.3565,0.6
2022-12-31,303.85,13677472.0,36183.4291,33.6863,4.7983,0.6
2023-01-31,332.9,11571451.0,39642.7959,36.9069,5.257,0.6
2023-02-28,344.3,18305428.0,41000.3444,38.1707,5.4371,0.6
2023-03-31,406.9,14289808.0,48454.9525,28.2373,5.2751,0.6
2023-04-30,417.35,9354781.0,49699.3719,28.9625,5.4106,0.6
2023-05-31,472.0,10277710.0,56207.2685,32.755,6.1191,0.6
2023-06-30,490.1,10653934.0,58362.6744,34.0111,6.3537,0.6
2023-07-31,721.55,23649317.0,85924.4801,50.0729,9.3543,0.6
2023-08-31,765.1,6750618.0,91110.5533,53.0951,9.9189,1.0
2023-09-30,688.5,6996498.0,81988.7804,47.7793,8.9258,1.0
2023-10-31,833.1,7628349.0,99208.2106,57.814,10.8004,1.0
2023-11-30,838.25,6530097.0,99821.489,58.1714,10.8672,1.0
2023-12-31,829.15,5204171.0,98737.832,57.5399,10.7492,1.0
2024-01-31,977.0,7811060.0,116344.2825,67.8001,12.666,1.0
2024-02-29,1264.15,12619017.0,150539.0222,87.7273,16.3886,1.0
2024-03-31,1426.65,14808988.0,169890.0416,51.7652,13.814,1.0
2024-04-30,1518.8,11010877.0,180863.5581,55.1089,14.7063,1.0
2024-05-31,1432.2,10492279.0,170550.9533,51.9666,13.8677,1.0
2024-06-30,1486.9,14624277.0,177064.8041,53.9514,14.3974,1.0
2024-07-31,1393.4,10285085.0,165930.5253,50.5588,13.492,1.0
2024-08-31,1290.95,6421699.0,153730.4519,46.8414,12.5,2.0
2024-09-30,1388.75,8590902.0,165376.7884,50.3901,13.447,2.0
2024-10-31,1347.2,9797745.0,160428.8817,48.8824,13.0447,2.0
2024-11-30,1308.1,4463152.0,155772.7287,47.4637,12.6661,2.0
2024-12-31,1507.4,12772142.0,179506.0097,54.6952,14.5959,2.0
2025-01-31,1288.0,7406831.0,153379.1564,46.7344,12.4715,2.0
2025-02-28,1050.3,5962988.0,125073.0808,38.1096,10.1699,2.0
2025-03-31,1257.1,8144218.0,149699.4857,36.5542,9.2709,2.0
2025-04-30,1168.5,3343511.0,139148.7145,33.9779,8.6175,2.0
2025-05-31,1248.7,9024552.0,148699.1868,36.31,9.2089,2.0
2025-06-30,1218.6,4147184.0,145114.7826,35.4347,8.987,2.0
2025-07-31,1132.5,3378738.0,134861.7195,32.9311,8.352,2.0
2025-08-31,1053.5,19927191.0,125454.147,30.6339,7.7694,2.0
2025-09-30,1072.6,12215336.0,127728.636,31.1893,7.9102,2.0
2025-10-31,1100.9,3263299.0,131098.6905,32.0122,8.1189,2.0
2025-11-30,992.8,3219159.0,118225.797,28.8689,7.3217,2.0
2025-12-31,946.65,4790632.0,112730.1075,27.5269,6.9814,2.0
2026-01-31,852.0,4688172.0,101458.883,24.7746,6.2834,2.0
2026-02-28,884.7,5305739.0,105352.9035,25.7255,6.5245,2.0
2026-03-31,872.2,673207.0,103864.365,25.362,6.4323,2.0
