POLYCAB IN Equity,price,volume,mc,pe,bm,div
2024-02-29,4749.85,14683691.0,713474.826,42.703,9.3576,20.0
2024-03-31,5065.0,8645816.0,760947.3407,42.4917,9.2944,20.0
2024-04-30,5666.55,7703004.0,851387.2094,47.5383,10.3983,20.0
2024-05-31,6741.65,14512802.0,1012952.834,56.5576,12.3711,20.0
2024-06-30,6739.5,19402217.0,1012912.074,56.6965,12.8255,20.0
2024-07-31,6858.2,14012968.0,1031208.108,57.6951,,30.0
2024-08-31,6813.4,7496718.0,1024632.989,57.3182,,30.0
2024-09-30,6955.2,8152471.0,1045982.095,58.0452,12.1712,30.0
2024-10-31,6480.4,12421438.0,974605.2743,54.0828,11.3403,30.0
2024-11-30,7297.9,6194362.0,1097582.011,60.9053,12.7709,30.0
2024-12-31,7272.35,4641027.0,1093904.451,59.2482,12.0535,30.0
2025-01-31,6037.95,11641620.0,908230.9447,49.1915,10.0076,30.0
2025-02-28,4713.4,18414819.0,709010.3575,38.4003,7.8122,30.0
2025-03-31,5147.95,21091128.0,774385.0016,38.2225,7.8818,30.0
2025-04-30,5520.0,7275746.0,830359.237,40.9849,8.4514,30.0
2025-05-31,5991.0,9202154.0,901210.5414,44.482,9.1725,30.0
2025-06-30,6551.0,7486813.0,985743.8604,44.3441,9.4596,35.0
2025-07-31,6821.0,9444423.0,1026676.546,46.1718,9.8495,35.0
2025-08-31,7091.0,4857121.0,1067360.458,47.9994,10.2394,35.0
2025-09-30,7286.0,5489353.0,1096761.165,44.5172,10.3529,35.0
2025-10-31,7704.0,5923133.0,1159699.63,47.0711,10.9469,35.0
2025-11-30,7470.0,3391922.0,1124521.273,45.6414,10.6144,35.0
2025-12-31,7619.0,7227490.0,1146952.626,43.6501,10.222,35.0
2026-01-31,7013.5,12092749.0,1055862.247,40.1811,9.4097,35.0
2026-02-28,8610.5,8048879.0,1296305.807,49.3305,11.5523,35.0
2026-03-31,8568.0,1687159.0,1289907.456,49.087,11.4952,35.0
