NTPC IN Equity,price,volume,mc,pe,bm,div
2008-05-31,143.63,240867293.0,1421105.866,19.0232,2.6883,2.9167
2008-06-30,126.58,198531390.0,1252486.11,16.766,2.3693,2.9167
2008-07-31,141.96,250549650.0,1404614.936,18.8024,2.6571,2.9167
2008-08-31,145.75,168355076.0,1442131.801,19.3046,2.7281,2.9167
2008-09-30,143.25,219836702.0,1417395.407,18.9735,2.6813,2.9167
2008-10-31,117.58,262392382.0,1163435.09,15.574,2.2009,2.9167
2008-11-30,132.88,233479265.0,1314739.369,17.5993,2.4871,2.9167
2008-12-31,150.5,213314842.0,1489130.951,19.9338,2.817,2.9167
2009-01-31,158.04,189107628.0,1563752.408,20.9327,2.9581,3.0
2009-02-28,154.17,134436636.0,1525410.996,20.4194,2.8856,3.0
2009-03-31,149.88,172264504.0,1482946.852,18.3333,2.5832,3.0
2009-04-30,158.33,192089910.0,1566638.32,19.368,2.729,3.0
2009-05-31,179.5,210989432.0,1776073.127,21.9572,3.0938,3.0
2009-06-30,162.54,348915394.0,1608277.918,19.8828,2.8015,3.0
2009-07-31,179.67,181355966.0,1777722.22,21.9776,3.0967,3.0
2009-08-31,176.96,122687119.0,1750924.46,21.6463,3.05,3.0
2009-09-30,178.13,94899864.0,1762468.11,21.789,3.0701,3.0
2009-10-31,177.0,98336842.0,1751336.733,21.6514,3.0507,3.0
2009-11-30,174.83,78323364.0,1729898.524,21.3863,3.0134,3.0
2009-12-31,196.38,116369303.0,1943043.79,24.0214,3.3846,3.0
2010-01-31,178.58,132512849.0,1767003.116,21.8451,3.078,3.0
2010-02-28,169.21,101954608.0,1674241.637,20.6983,2.9164,3.0
2010-03-31,172.71,98575297.0,1708872.589,19.333,2.7286,3.1667
2010-04-30,172.96,62300180.0,1711346.228,19.361,2.7326,3.1667
2010-05-31,168.58,78097393.0,1668057.538,18.8713,2.6634,3.1667
2010-06-30,166.33,54115243.0,1645794.783,18.6194,2.6279,3.1667
2010-07-31,165.63,52296329.0,1638786.138,18.5401,2.6167,3.1667
2010-08-31,163.29,37319904.0,1615698.836,18.2789,2.5798,3.1667
2010-09-30,180.79,113850830.0,1788853.598,20.2379,2.8563,3.1667
2010-10-31,162.75,104543992.0,1610339.284,18.2183,2.5713,3.1667
2010-11-30,153.33,83908813.0,1517165.531,17.1642,2.4225,3.1667
2010-12-31,167.21,73235231.0,1654452.521,18.7174,2.6417,3.1667
2011-01-31,157.54,58239035.0,1558805.129,17.6353,2.489,3.1667
2011-02-28,141.54,51754202.0,1400492.204,15.8442,2.2362,3.1667
2011-03-31,160.92,47925622.0,1592199.261,17.0282,2.3263,3.1667
2011-04-30,151.92,37901441.0,1503148.241,16.0758,2.1962,3.1667
2011-05-31,140.21,86469018.0,1387299.46,14.8369,2.0269,3.1667
2011-06-30,155.75,60777970.0,1541077.379,16.4815,2.2516,3.1667
2011-07-31,146.75,72773232.0,1452026.359,15.5291,2.1215,3.1667
2011-08-31,141.08,64646472.0,1395957.198,14.9295,2.0396,3.1667
2011-09-30,139.71,69587117.0,1382352.181,14.784,2.0197,3.1667
2011-10-31,149.38,61975939.0,1477999.573,15.8069,2.1594,3.1667
2011-11-30,135.29,56241379.0,1338651.217,14.3166,1.9558,3.1667
2011-12-31,134.04,64910327.0,1326283.02,14.1843,1.9378,3.1667
2012-01-31,143.5,80254289.0,1419869.046,15.1852,2.0745,3.5833
2012-02-29,150.88,63741895.0,1492841.41,15.9656,2.1811,3.5833
2012-03-31,135.63,54340290.0,1341949.244,13.6765,1.8036,3.5833
2012-04-30,135.42,37078142.0,1339887.878,13.6555,1.8009,3.5833
2012-05-31,122.33,65626248.0,1210434.096,12.3361,1.6269,3.5833
2012-06-30,132.88,60711361.0,1314739.214,13.3992,1.7671,3.5833
2012-07-31,130.83,57844367.0,1294537.827,13.1933,1.7399,3.5833
2012-08-31,140.04,76016777.0,1385650.203,14.1218,1.8624,3.5833
2012-09-30,140.08,68180587.0,1386062.476,14.1261,1.8629,3.3333
2012-10-31,137.79,85858136.0,1363387.45,13.895,1.8324,3.3333
2012-11-30,135.33,49328778.0,1339063.332,13.6471,1.7997,3.3333
2012-12-31,130.38,71590621.0,1290002.822,13.1471,1.7338,3.3333
2013-01-31,130.92,90260923.0,1295362.374,13.2017,1.741,3.3333
2013-02-28,125.75,317131010.0,1244240.498,12.6807,1.6723,3.3333
2013-03-31,118.29,179476842.0,1170443.596,9.296,1.4366,3.5417
2013-04-30,131.13,142274413.0,1297423.74,10.3045,1.5924,3.5417
2013-05-31,128.5,157853011.0,1271450.528,10.0982,1.5605,3.5417
2013-06-30,119.79,91945196.0,1185285.431,9.4139,1.4548,3.5417
2013-07-31,108.92,93438598.0,1077682.127,8.5593,1.3227,3.5417
2013-08-31,109.08,135136376.0,1079331.22,8.5724,1.3247,3.5417
2013-09-30,122.88,111730810.0,1215793.647,9.6562,1.4922,4.7917
2013-10-31,124.25,75608071.0,1229398.663,9.7642,1.5089,4.7917
2013-11-30,122.71,83865356.0,1214144.554,9.6431,1.4902,4.7917
2013-12-31,114.17,208529624.0,1129628.55,8.9718,1.3865,4.7917
2014-01-31,105.38,134930639.0,1042638.906,8.2809,1.2797,5.0
2014-02-28,93.67,195085063.0,926790.1387,7.3608,1.1375,5.0
2014-03-31,99.92,183100223.0,988631.1177,8.6696,1.1321,5.0
2014-04-30,96.96,152002072.0,959359.7209,8.4129,1.0985,5.0
2014-05-31,133.75,490540049.0,1323396.951,11.6052,1.5154,5.0
2014-06-30,130.17,277007160.0,1287941.456,11.2943,1.4748,5.0
2014-07-31,120.88,208180008.0,1196004.534,10.4881,1.3695,5.0
2014-08-31,114.5,136953810.0,1132926.735,9.9349,1.2973,5.8333
2014-09-30,115.92,188391539.0,1146944.024,10.0578,1.3133,4.7917
2014-10-31,125.08,118843357.0,1237644.127,10.8532,1.4172,4.7917
2014-11-30,118.92,123595105.0,1176627.694,10.3181,1.3473,4.7917
2014-12-31,120.0,150260891.0,1187346.797,10.4121,1.3596,4.7917
2015-01-31,119.71,159900084.0,1184460.885,10.3868,1.3563,4.7917
2015-02-28,129.92,146447381.0,1285467.817,11.2726,1.472,2.0833
2015-03-31,122.38,260465534.0,1210846.369,12.1263,1.475,2.0833
2015-04-30,125.25,79805407.0,1239293.219,12.4112,1.5096,2.0833
2015-05-31,113.79,166139466.0,1125918.091,11.2758,1.3715,2.0833
2015-06-30,114.71,112068584.0,1134988.101,11.3666,1.3825,2.0833
2015-07-31,112.54,91678786.0,1113549.895,11.1519,1.3564,2.0833
2015-08-31,101.21,141583222.0,1001411.587,10.0289,1.2198,2.0833
2015-09-30,103.13,109376015.0,1020376.154,10.2188,1.2429,2.0833
2015-10-31,110.67,116713933.0,1094997.602,10.9661,1.3338,2.0833
2015-11-30,109.08,97648343.0,1079331.22,10.8092,1.3148,2.0833
2015-12-31,121.88,113006666.0,1205899.091,12.0768,1.4689,2.0833
2016-01-31,118.71,104672754.0,1174566.328,11.763,1.4308,2.0833
2016-02-29,99.58,167500578.0,985332.9321,9.8679,1.2003,2.7917
2016-03-31,107.38,105721007.0,1062428.019,9.8359,1.1602,2.7917
2016-04-30,116.08,102174370.0,1148593.117,10.6336,1.2543,2.7917
2016-05-31,119.29,173214577.0,1180338.153,10.9275,1.2889,2.7917
2016-06-30,130.25,97177688.0,1288766.002,11.9313,1.4073,2.7917
2016-07-31,131.96,116270340.0,1305669.203,12.0878,1.4258,2.7917
2016-08-31,132.71,120745147.0,1313090.121,12.1565,1.4339,2.7917
2016-09-30,123.33,89974751.0,1220328.652,11.2977,1.3326,2.7917
2016-10-31,125.88,90799830.0,1245477.317,11.5305,1.3601,2.7917
2016-11-30,135.96,138977240.0,1345247.43,12.4542,1.469,2.7917
2016-12-31,137.29,87619625.0,1358440.172,12.5763,1.4834,2.7917
2017-01-31,143.63,136982545.0,1421105.698,13.1565,1.5518,2.7917
2017-02-28,135.79,143476997.0,1343598.337,12.4389,1.4672,3.6333
2017-03-31,138.33,132843455.0,1368747.002,12.7692,1.399,3.6333
2017-04-30,137.08,108939120.0,1356378.806,12.6538,1.3864,3.6333
2017-05-31,133.5,102119948.0,1320923.312,12.3231,1.3501,3.6333
2017-06-30,132.46,121286384.0,1310616.482,12.2269,1.3396,3.6333
2017-07-31,136.83,129313885.0,1353905.167,12.6308,1.3838,3.6333
2017-08-31,140.63,297723912.0,1391422.028,12.9808,1.4222,3.6333
2017-09-30,139.54,116529050.0,1380702.925,12.8808,1.4112,3.9833
2017-10-31,151.04,197860331.0,1494490.326,13.9423,1.5275,3.9833
2017-11-30,150.96,260646692.0,1493665.815,13.9346,1.5267,3.9833
2017-12-31,147.5,205291642.0,1459447.139,13.6154,1.4917,3.9833
2018-01-31,141.88,210521633.0,1403790.257,13.0962,1.4348,3.9833
2018-02-28,136.04,155095292.0,1346072.063,12.5577,1.3758,4.0833
2018-03-31,141.42,118853885.0,1399255.309,13.2707,1.3511,4.0833
2018-04-30,143.46,97954652.0,1419456.697,13.4623,1.3706,4.0833
2018-05-31,139.63,173585188.0,1381527.56,13.1026,1.334,4.0833
2018-06-30,133.04,127320828.0,1316388.392,12.4848,1.2711,4.0833
2018-07-31,129.04,176636135.0,1276810.162,12.1094,1.2329,4.0833
2018-08-31,142.92,105663635.0,1414097.145,13.4115,1.3654,4.0833
2018-09-30,139.04,105778327.0,1375755.735,13.0478,1.3284,4.2667
2018-10-31,133.04,220311148.0,1316388.392,12.4848,1.2711,4.2667
2018-11-30,116.92,192267269.0,1156838.655,10.9716,1.117,4.2667
2018-12-31,124.21,281370608.0,1228986.469,11.6558,1.1867,4.2667
2019-01-31,116.42,240283986.0,1151891.377,10.9247,1.1123,4.2667
2019-02-28,117.71,325384885.0,1164671.847,11.0459,1.1246,4.975
2019-03-31,134.7,491637562.0,1332796.866,9.7025,1.1969,4.975
2019-04-30,134.05,234852852.0,1326365.403,9.6556,1.1911,4.975
2019-05-31,133.25,251645113.0,1318449.758,9.598,1.184,4.975
2019-06-30,141.35,208792045.0,1398595.672,10.1815,1.256,4.975
2019-07-31,126.55,371831992.0,1252156.224,9.1154,1.1245,4.975
2019-08-31,121.65,299542032.0,1203672.893,8.7625,1.0809,5.4833
2019-09-30,117.5,256798473.0,1162610.48,8.4635,1.044,5.4833
2019-10-31,122.4,215152303.0,1211093.811,8.8165,1.0876,5.4833
2019-11-30,116.35,196456688.0,1151231.74,8.3807,1.0338,5.4833
2019-12-31,119.05,157479796.0,1177947.044,8.5752,1.0578,5.4833
2020-01-31,112.85,292162473.0,1116600.789,8.1286,1.0027,5.4833
2020-02-29,106.55,389246063.0,1054265.078,7.6748,0.9468,2.5
2020-03-31,84.2,692047033.0,833121.723,7.1843,0.701,0.5
2020-04-30,95.05,377112599.0,940477.6695,8.1101,0.7914,0.5
2020-05-31,97.85,306160756.0,968182.4298,8.349,0.8147,0.5
2020-06-30,95.8,405241322.0,947898.5874,8.1741,0.7976,0.5
2020-07-31,87.0,357374682.0,860826.4834,7.4232,0.7244,0.5
2020-08-31,96.4,798824330.0,953835.3218,8.2253,0.8026,3.15
2020-09-30,85.1,562865075.0,842026.8245,7.2611,0.7085,3.15
2020-10-31,87.6,642521453.0,866763.1959,7.4744,0.7294,3.15
2020-11-30,94.7,1095999522.0,937014.5508,8.0802,0.7885,3.15
2020-12-31,99.35,739937944.0,983024.241,8.477,0.8272,3.15
2021-01-31,88.95,557128524.0,880120.8479,7.5896,0.7406,3.15
2021-02-28,107.3,764854206.0,1040452.305,9.1553,0.8934,5.65
2021-03-31,106.55,578756591.0,1033179.806,7.1676,0.8217,5.65
2021-04-30,102.45,332823527.0,993423.4733,6.8918,0.7901,5.65
2021-05-31,110.5,400866049.0,1071481.638,7.4333,0.8522,5.65
2021-06-30,116.4,469920032.0,1128691.97,7.8302,0.8977,5.65
2021-07-31,118.2,285275121.0,1146145.937,7.9513,0.9115,5.65
2021-08-31,115.95,220527646.0,1124328.438,7.7999,0.8942,5.65
2021-09-30,141.85,374378805.0,1375472.091,9.5422,1.0939,6.15
2021-10-31,132.65,443862992.0,1286262.763,8.9233,1.023,6.15
2021-11-30,127.25,238954308.0,1233900.766,8.5601,0.9813,6.15
2021-12-31,124.4,275139495.0,1206265.267,8.3684,0.9593,6.15
2022-01-31,142.05,316408829.0,1377411.424,9.5557,1.0955,6.15
2022-02-28,133.5,215699524.0,1294504.929,8.9805,1.0295,7.15
2022-03-31,135.0,265587778.0,1309049.928,7.8488,0.967,7.15
2022-04-30,156.2,522886635.0,1514619.25,9.0814,1.1188,7.15
2022-05-31,156.0,515936904.0,1512679.917,9.0698,1.1174,7.15
2022-06-30,142.9,431805105.0,1385653.591,8.3081,1.0236,7.15
2022-07-31,152.95,249884629.0,1483105.085,8.8924,1.0956,7.15
2022-08-31,164.0,357690108.0,1590253.246,9.5349,1.1747,7.0
2022-09-30,159.65,416297312.0,1548072.748,9.282,1.1436,7.0
2022-10-31,173.1,243569276.0,1678492.908,10.064,1.2399,7.0
2022-11-30,172.2,321608865.0,1669765.908,10.0116,1.2334,7.0
2022-12-31,166.45,196701884.0,1614010.078,9.6773,1.1923,7.0
2023-01-31,171.15,250021342.0,1659584.409,9.9506,1.2259,7.0
2023-02-28,170.5,255184685.0,1653281.576,9.9128,1.2213,7.25
2023-03-31,175.1,278921872.0,1697886.24,10.0401,1.1548,7.25
2023-04-30,172.0,206922184.0,1667826.575,9.8624,1.1344,7.25
2023-05-31,173.85,225099079.0,1685765.407,9.9685,1.1466,7.25
2023-06-30,189.15,246786312.0,1834124.399,10.8458,1.2475,7.25
2023-07-31,218.35,338937241.0,2117267.05,12.5201,1.4401,7.25
2023-08-31,220.3,352199979.0,2136175.549,12.6319,1.453,7.25
2023-09-30,245.55,375628150.0,2381016.369,14.0797,1.6195,7.25
2023-10-31,235.8,262086754.0,2286473.874,13.5206,1.5552,7.25
2023-11-30,261.3,210022282.0,2533738.861,14.9828,1.7234,9.5
2023-12-31,311.15,396935811.0,3017117.668,17.8412,2.0521,9.5
2024-01-31,317.5,432123400.0,3078691.498,18.2053,2.094,9.5
2024-02-29,335.6,343696376.0,3254201.155,19.2431,2.2134,7.5
2024-03-31,335.8,369094977.0,3256140.488,15.6477,2.0261,7.5
2024-04-30,363.2,350979077.0,3521829.14,16.9245,2.1914,7.5
2024-05-31,359.0,328031526.0,3481103.142,16.7288,2.1661,7.5
2024-06-30,378.35,478252898.0,3668733.632,17.6305,2.2828,7.5
2024-07-31,416.0,480045428.0,4033813.112,19.3849,2.51,7.5
2024-08-31,416.2,367885450.0,4035752.445,19.3942,2.5112,9.75
2024-09-30,443.2,432122623.0,4297562.431,20.6524,2.6741,9.75
2024-10-31,408.15,314335205.0,3957694.283,19.0191,2.4626,8.625
2024-11-30,363.65,264036178.0,3526192.64,16.9455,2.1941,8.625
2024-12-31,333.35,309093848.0,3232383.656,15.5336,2.0113,8.625
2025-01-31,324.0,334028216.0,3141719.827,15.0979,1.9549,8.25
2025-02-28,311.45,239412751.0,3020026.667,14.513,1.8792,8.25
2025-03-31,357.6,320871744.0,3467527.81,14.8013,1.8838,8.25
2025-04-30,354.55,235621890.0,3437952.978,14.6751,1.8677,8.25
2025-05-31,333.9,288675709.0,3237716.822,13.8204,1.7589,8.25
2025-06-30,334.9,537259529.0,3247413.488,13.8618,1.7642,8.25
2025-07-31,334.25,211668410.0,3241110.655,13.8349,1.7608,8.25
2025-08-31,327.55,189287907.0,3176142.992,13.5575,1.7255,8.25
2025-09-30,340.45,209421516.0,3301229.985,14.0915,1.7935,8.35
2025-10-31,336.95,198923117.0,3267291.654,13.9466,1.775,8.35
2025-11-30,326.45,171113120.0,3165476.659,13.512,1.7197,8.6
2025-12-31,329.55,167306926.0,3195536.325,13.6403,1.736,8.6
2026-01-31,356.0,264813369.0,3452013.144,14.7351,1.8754,8.6
2026-02-28,381.9,242221322.0,3703156.797,15.8071,2.0118,8.85
2026-03-31,378.55,45142902.0,3670672.847,15.6685,1.9942,8.85
