AUBANK IN Equity,price,volume,mc,pe,bm,div
2020-10-31,387.68,22687638.0,237672.1658,33.9768,5.3875,0.0
2020-11-30,419.53,34109198.0,257202.1739,36.7682,5.8302,0.0
2020-12-31,426.3,69146716.0,261502.2658,37.362,5.9243,0.0
2021-01-31,436.25,38165308.0,267646.8515,38.234,6.0626,0.0
2021-02-28,563.25,35314792.0,345936.8737,49.3646,7.8275,0.0
2021-03-31,613.92,67994514.0,383351.1974,32.1511,6.109,0.0
2021-04-30,502.15,79671884.0,313555.8965,26.2975,4.9967,0.0
2021-05-31,494.28,81679712.0,309241.0056,25.885,4.9184,0.0
2021-06-30,517.92,51854250.0,324037.5253,27.1236,5.1537,0.0
2021-07-31,609.85,72014450.0,381549.9899,31.9377,6.0684,0.0
2021-08-31,565.38,93979144.0,353724.4003,29.6085,5.6259,0.0
2021-09-30,582.13,94554780.0,364203.9647,30.4857,5.7925,0.0
2021-10-31,608.17,48409832.0,380502.0335,31.85,6.0518,0.0
2021-11-30,548.05,29261086.0,343689.4057,28.7012,5.4535,0.0
2021-12-31,518.25,53767952.0,325114.3871,27.1406,5.1569,0.0
2022-01-31,654.78,86096348.0,410944.8097,34.2904,6.5155,0.0
2022-02-28,601.8,41150496.0,377772.2145,31.5161,5.9883,0.0
2022-03-31,623.13,58784208.0,392444.1636,34.5605,5.2228,0.0
2022-04-30,695.03,61997930.0,437744.4417,38.5483,5.8255,0.0
2022-05-31,625.67,72629988.0,394291.9171,34.7019,5.2442,0.0
2022-06-30,591.7,49002896.0,372881.3319,32.8175,4.9594,0.0
2022-07-31,592.05,38377146.0,373101.8972,32.8369,4.9624,0.5
2022-08-31,633.9,59699501.0,421333.8211,35.1581,5.3131,0.5
2022-09-30,619.2,35710839.0,412088.649,34.3428,5.1899,0.5
2022-10-31,589.55,43273519.0,392443.7794,32.6983,4.9414,0.5
2022-11-30,639.3,30148387.0,425975.9524,35.4576,5.3584,0.5
2022-12-31,654.45,34377953.0,436147.925,36.2978,5.4854,0.5
2023-01-31,618.9,27283644.0,412504.3455,34.3261,5.1874,0.5
2023-02-28,592.9,20992816.0,395230.047,32.8841,4.9695,0.5
2023-03-31,579.2,31054763.0,386178.7359,26.4959,3.518,0.5
2023-04-30,663.85,77717544.0,442618.7048,30.3683,4.0321,0.5
2023-05-31,776.9,43835338.0,518049.2649,35.5398,4.7188,0.5
2023-06-30,753.65,32759001.0,502632.1713,34.4762,4.5775,0.5
2023-07-31,729.85,36225590.0,486821.1495,33.3875,4.433,1.0
2023-08-31,723.55,40337583.0,483177.5197,33.0993,4.3947,1.0
2023-09-30,713.5,34837033.0,476618.02,32.6395,4.3337,1.0
2023-10-31,669.1,34927024.0,447111.7723,30.6084,4.064,1.0
2023-11-30,741.4,41572719.0,495519.3519,33.9158,4.5031,1.0
2023-12-31,787.4,42808906.0,526462.4101,36.0201,4.7825,1.0
2024-01-31,636.6,86247521.0,425741.8149,29.1217,3.8666,1.0
2024-02-29,569.85,72696022.0,381161.5569,26.0682,3.4612,1.0
2024-03-31,565.0,57975314.0,378076.7848,24.5866,3.0103,1.0
2024-04-30,633.6,102202252.0,470566.992,27.5718,3.3758,1.0
2024-05-31,653.1,87818723.0,485078.4344,28.4204,3.4797,1.0
2024-06-30,672.05,94358359.0,499291.3552,29.245,3.5806,1.0
2024-07-31,646.05,67552434.0,480117.9721,28.1136,3.4421,1.0
2024-08-31,688.7,61750761.0,511890.2315,29.9695,3.6693,1.0
2024-09-30,740.2,74962984.0,550281.9696,32.2106,3.9437,1.0
2024-10-31,612.45,52240758.0,455379.4133,26.6514,3.2631,1.0
2024-11-30,583.35,45124878.0,433873.4886,25.3851,3.108,1.0
2024-12-31,559.1,45166945.0,416100.6245,24.3299,2.9788,1.0
2025-01-31,600.95,79185350.0,447246.7721,26.151,3.2018,1.0
2025-02-28,565.7,77541495.0,421101.4349,24.6171,3.014,1.0
2025-03-31,534.6,63711283.0,397968.5155,18.8771,2.0897,1.0
2025-04-30,678.6,92853436.0,505238.4183,23.9619,2.6525,1.0
2025-05-31,693.05,68862338.0,516197.1947,24.4721,2.709,1.0
2025-06-30,817.5,83952926.0,608998.6083,28.8665,3.1955,1.0
2025-07-31,741.5,65055818.0,552721.8502,26.1829,2.8984,1.0
2025-08-31,718.05,47465638.0,535415.2764,25.3549,2.8068,1.0
2025-09-30,731.4,66450414.0,545705.7478,25.8263,2.8589,1.0
2025-10-31,877.85,72983554.0,655114.6803,30.9975,3.4314,1.0
2025-11-30,955.25,46054615.0,712949.631,33.7306,3.7339,1.0
2025-12-31,994.5,53338183.0,742823.9506,35.1165,3.8874,1.0
2026-01-31,982.35,50973881.0,734211.8086,34.6875,3.8399,1.0
2026-02-28,958.35,77586903.0,716685.9779,33.84,3.7461,1.0
2026-03-31,973.55,6961600.0,728053.0339,34.3768,3.8055,1.0
