TMPV IN Equity,price,volume,mc,pe,bm,div
2021-09-30,201.8,582784499.0,1203084.192,,1.7296,0.0
2021-10-31,292.82,1419548742.0,1731124.578,,2.5096,0.0
2021-11-30,277.62,717830097.0,1653352.96,,2.3794,0.0
2021-12-31,292.03,461578260.0,1723544.581,,2.4406,0.0
2022-01-31,313.43,455333114.0,1851810.856,,,0.0
2022-02-28,274.87,521679078.0,1617964.928,,,0.0
2022-03-31,262.58,716666087.0,1545342.994,,2.2568,0.0
2022-04-30,264.91,354229763.0,1563678.509,,2.2768,0.0
2022-05-31,268.51,498022126.0,1581301.885,,2.3078,0.0
2022-06-30,249.29,362107752.0,1468133.561,,2.1694,0.0
2022-07-31,272.18,328554941.0,1605681.23,,,0.0
2022-08-31,285.19,336911594.0,1683671.611,,,0.0
2022-09-30,244.93,367920519.0,1443236.095,,3.5839,0.0
2022-10-31,249.87,271261745.0,1490452.714,,3.6561,0.0
2022-11-30,266.0,289776090.0,1578939.046,,3.8922,0.0
2022-12-31,234.85,302769306.0,1393068.167,,3.4183,0.0
2023-01-31,273.69,435419683.0,1618906.297,,,0.0
2023-02-28,254.68,208916604.0,1509074.134,,,0.0
2023-03-31,254.74,187612357.0,1503771.672,59.584,2.1531,0.0
2023-04-30,293.58,224917567.0,1737062.184,68.6674,2.4813,0.0
2023-05-31,318.61,308595146.0,1886276.615,74.5224,2.6929,0.0
2023-06-30,360.53,275885771.0,2136792.045,12.9444,3.0016,0.0
2023-07-31,390.04,280022795.0,2350948.296,14.004,,2.0
2023-08-31,363.83,293449348.0,2199585.838,13.0629,,2.0
2023-09-30,381.51,193711413.0,2311388.838,9.5063,2.7239,2.0
2023-10-31,380.57,229261261.0,2302196.649,9.4829,2.7172,2.0
2023-11-30,427.64,234761945.0,2590046.131,10.6557,3.0532,2.0
2023-12-31,472.16,229828871.0,2855720.161,9.3051,3.2585,2.0
2024-01-31,535.27,251469368.0,3235027.11,10.5488,,2.0
2024-02-29,575.23,234207448.0,3479254.658,11.3363,,2.0
2024-03-31,601.01,291974927.0,3633512.325,7.3248,2.7128,2.0
2024-04-30,610.16,177465187.0,3696922.64,7.4362,2.7541,2.0
2024-05-31,558.76,326093052.0,3382516.152,6.8098,2.5221,2.0
2024-06-30,599.17,263312135.0,3628367.656,6.7887,2.6563,6.0
2024-07-31,700.2,288745429.0,4248709.083,7.9334,,6.0
2024-08-31,672.78,301033092.0,4085720.006,7.6227,,6.0
2024-09-30,590.03,314830130.0,3978434.459,6.8171,2.1485,6.0
2024-10-31,504.91,294106338.0,3070131.188,5.8337,1.8385,6.0
2024-11-30,476.1,274791193.0,2894915.98,5.5008,1.7336,6.0
2024-12-31,448.07,286143644.0,2724584.592,5.6481,1.6172,6.0
2025-01-31,433.51,364378771.0,2636053.538,5.4646,,6.0
2025-02-28,375.72,255892482.0,2284730.086,4.7362,,6.0
2025-03-31,408.29,276948518.0,2482778.066,7.1734,1.2944,6.0
2025-04-30,390.01,361928001.0,2371708.927,6.8522,1.2364,6.0
2025-05-31,435.57,385963825.0,2648812.143,7.6526,1.3808,6.0
2025-06-30,416.5,278829435.0,2532846.08,7.8781,1.3183,6.0
2025-07-31,403.15,217237644.0,2451834.997,7.6256,,6.0
2025-08-31,404.99,210935852.0,2463064.213,7.6605,,6.0
2025-09-30,411.77,268439527.0,2504683.219,15.1044,1.3692,6.0
2025-10-31,410.0,389604893.0,1509755.863,15.0393,1.3633,6.0
2025-11-30,356.8,266521744.0,1313855.834,13.0878,1.1864,6.0
2025-12-31,367.35,291848986.0,1352704.43,54.8943,1.2028,6.0
2026-01-31,350.05,221001542.0,1289000.097,52.3091,,6.0
2026-02-28,382.65,249259627.0,1409061.775,57.1807,,6.0
2026-03-31,355.3,42980416.0,1308348.703,53.0937,,6.0
