MHSC IN Equity,price,volume,mc,pe,bm,div
2012-11-30,387.2,55140.0,4425.154,,2.1853,1.0
2012-12-31,516.85,598188.0,5906.8721,,2.917,1.0
2013-01-31,479.7,241565.0,5482.2996,,2.7073,1.0
2013-02-28,446.5,327835.0,5102.87,,2.52,1.0
2013-03-31,371.7,110137.0,4248.0107,8.6968,1.8914,1.0
2013-04-30,365.55,43400.0,4177.7248,8.5529,1.8601,1.0
2013-05-31,400.65,186545.0,4578.8687,9.3741,2.0387,1.0
2013-06-30,411.9,171810.0,4707.4271,9.6373,2.0959,1.0
2013-07-31,380.0,191662.0,4342.8558,8.891,1.9336,20.0
2013-08-31,371.85,67881.0,4249.713,8.7003,1.8922,20.0
2013-09-30,404.2,45737.0,4619.4271,9.4572,2.0568,20.0
2013-10-31,396.3,35882.0,4529.1415,9.2723,2.0166,20.0
2013-11-30,402.0,53321.0,4594.2843,9.4057,2.0456,20.0
2013-12-31,410.2,65141.0,4687.9985,9.5976,2.0873,20.0
2014-01-31,411.7,101670.0,4705.1414,9.6327,2.0949,20.0
2014-02-28,514.0,743394.0,5874.2839,12.0262,2.6155,20.0
2014-03-31,455.45,635057.0,5205.1412,10.9352,2.18,20.0
2014-04-30,466.95,125282.0,5336.5698,11.2113,2.2351,20.0
2014-05-31,508.35,360992.0,5809.7125,12.2053,2.4332,20.0
2014-06-30,653.85,257147.0,7472.5691,15.6987,3.1296,20.0
2014-07-31,700.65,303606.0,8007.4261,16.8223,3.3537,25.0
2014-08-31,762.45,173577.0,8713.7116,18.3061,3.6495,25.0
2014-09-30,900.75,196088.0,10294.2825,21.6267,4.3114,25.0
2014-10-31,936.5,91224.0,10702.8538,22.485,4.4825,25.0
2014-11-30,1048.4,139181.0,11981.7106,25.1717,5.0182,25.0
2014-12-31,1004.7,181365.0,11482.2822,24.1224,4.809,25.0
2015-01-31,993.1,80086.0,11349.7108,23.8439,4.7535,25.0
2015-02-28,803.95,126384.0,9188.3445,19.3025,3.8481,25.0
2015-03-31,880.95,86972.0,10067.9969,18.3876,3.9911,25.0
2015-04-30,857.85,57299.0,9803.997,17.9054,3.8865,25.0
2015-05-31,996.3,140625.0,11386.2822,20.7952,4.5137,25.0
2015-06-30,1107.35,109153.0,12655.4246,23.1131,5.0168,25.0
2015-07-31,1119.55,72132.0,12794.8539,23.3678,5.0721,30.0
2015-08-31,1006.3,61908.0,11500.5679,21.004,4.559,30.0
2015-09-30,963.0,21235.0,11005.7109,20.1002,4.3629,30.0
2015-10-31,1311.9,169234.0,14993.1382,27.3826,5.9435,30.0
2015-11-30,1499.4,283202.0,17135.9947,31.2962,6.793,30.0
2015-12-31,1407.3,85916.0,16083.4243,29.3738,6.3757,30.0
2016-01-31,1219.55,57022.0,13937.7107,25.455,5.5251,30.0
2016-02-29,1131.65,53413.0,12933.1388,23.6203,5.1269,30.0
2016-03-31,1224.35,53690.0,13992.5671,13.8548,0.3303,60.0
2016-04-30,1265.15,31370.0,14458.8527,14.3165,0.3413,60.0
2016-05-31,1294.5,354937.0,14794.2811,14.6486,0.3492,60.0
2016-06-30,1342.1,71212.0,15338.281,15.1873,0.3621,60.0
2016-07-31,1619.8,198023.0,18511.995,18.3298,0.437,30.0
2016-08-31,1561.75,163930.0,17848.5659,17.6729,0.4214,30.0
2016-09-30,1454.6,154458.0,16623.9948,16.4603,0.3924,30.0
2016-10-31,1980.8,939850.0,22637.708,22.4148,0.5344,30.0
2016-11-30,1656.6,273367.0,18932.5656,18.7462,0.4469,30.0
2016-12-31,1612.15,124026.0,18424.5657,18.2432,0.435,30.0
2017-01-31,1663.55,88700.0,19011.9948,18.8248,0.4488,30.0
2017-02-28,1697.05,85244.0,19394.8518,19.2039,0.4579,30.0
2017-03-31,1881.15,143716.0,21498.8505,164.5801,0.3281,30.0
2017-04-30,2071.4,138281.0,23673.1341,181.2248,0.3613,30.0
2017-05-31,1926.9,120640.0,22021.7075,168.5827,0.3361,0.0
2017-06-30,1860.1,53700.0,21258.2791,162.7384,0.3244,0.0
2017-07-31,2174.05,120171.0,24846.278,190.2056,0.3792,30.0
2017-08-31,2499.65,163940.0,28567.4197,218.692,0.436,30.0
2017-09-30,2859.55,649714.0,32680.5613,250.1794,0.4988,30.0
2017-10-31,2680.95,135907.0,30639.4191,234.5538,0.4676,30.0
2017-11-30,2751.55,83972.0,31446.2763,240.7305,0.4799,30.0
2017-12-31,2760.7,107106.0,31550.8477,241.5311,0.4815,30.0
2018-01-31,2665.3,109126.0,30460.5623,233.1846,0.4649,30.0
2018-02-28,2425.9,91314.0,27724.5631,212.2397,0.4231,30.0
2018-03-31,2288.7,175024.0,26156.5636,43.053,0.318,30.0
2018-04-30,2444.4,102159.0,27935.9916,45.9819,0.3396,30.0
2018-05-31,2589.75,76523.0,29597.134,48.7161,0.3598,30.0
2018-06-30,2875.55,262070.0,32863.4187,54.0924,0.3995,30.0
2018-07-31,3014.75,114310.0,34454.2754,56.7109,0.4189,33.0
2018-08-31,3182.2,63557.0,36367.9891,59.8608,0.4421,33.0
2018-09-30,2452.55,87076.0,28029.1344,46.1353,0.3408,33.0
2018-10-31,2308.6,183387.0,26383.9921,43.4274,0.3208,33.0
2018-11-30,2778.5,47489.0,31754.2762,52.2667,0.3861,33.0
2018-12-31,3175.55,140272.0,36291.9891,59.7357,0.4412,33.0
2019-01-31,3225.7,302208.0,36865.1318,60.6791,0.4482,33.0
2019-02-28,3088.9,67636.0,35301.7037,58.1057,0.4292,33.0
2019-03-31,3548.35,58742.0,40552.5593,55.7041,0.3581,33.0
2019-04-30,3666.85,108421.0,41906.8446,57.5644,0.3701,33.0
2019-05-31,4296.75,203818.0,49105.6996,67.4529,0.4337,33.0
2019-06-30,4605.85,165304.0,52638.2699,72.3053,0.4649,33.0
2019-07-31,4012.05,153338.0,45851.9862,62.9835,0.4049,33.0
2019-08-31,3825.85,94289.0,43723.9869,60.0604,0.3861,33.0
2019-09-30,4503.0,170244.0,51462.8417,70.6907,0.4545,33.0
2019-10-31,4612.0,159450.0,52708.5556,72.4019,0.4655,33.0
2019-11-30,4742.7,116759.0,54202.2695,74.4537,0.4787,33.0
2019-12-31,4449.15,111841.0,50847.4133,69.8454,0.4491,33.0
2020-01-31,4366.1,59358.0,49898.2707,68.5416,0.4407,33.0
2020-02-29,4279.4,125486.0,48907.4139,67.1805,0.4319,33.0
2020-03-31,2050.45,284928.0,23433.7073,13.0229,0.2854,83.0
2020-04-30,2247.75,171697.0,25688.5637,14.276,0.3129,83.0
2020-05-31,1840.9,198531.0,21038.8508,11.692,0.2562,83.0
2020-06-30,2504.55,681994.0,28623.42,15.907,0.3486,83.0
2020-07-31,3004.3,661127.0,34334.8468,19.081,0.4182,50.0
2020-08-31,3046.3,254491.0,34814.8467,19.3477,0.424,50.0
2020-09-30,2856.4,121227.0,32644.5616,18.1416,0.3976,50.0
2020-10-31,2788.3,106952.0,31866.2762,17.7091,0.3881,50.0
2020-11-30,3834.55,279143.0,43823.4154,24.3541,0.5337,50.0
2020-12-31,3794.25,223868.0,43362.8441,24.0981,0.5281,50.0
2021-01-31,3604.25,189008.0,41191.4162,22.8914,0.5017,50.0
2021-02-28,3671.0,179228.0,41954.2731,23.3153,0.511,50.0
2021-03-31,3567.55,165474.0,40771.9878,462.7173,0.251,50.0
2021-04-30,3595.8,155117.0,41094.8448,466.3813,0.253,50.0
2021-05-31,3734.65,195657.0,42681.7015,484.3904,0.2628,0.0
2021-06-30,3734.1,128461.0,42675.4158,484.3191,0.2627,0.0
2021-07-31,4221.5,317483.0,48245.6998,547.5357,0.297,50.0
2021-08-31,4622.45,705698.0,52827.9842,599.5396,0.3252,50.0
2021-09-30,4653.95,289422.0,53187.984,603.6252,0.3274,50.0
2021-10-31,4413.75,137184.0,50442.842,572.4708,0.3105,50.0
2021-11-30,4126.15,92988.0,47155.9859,535.1686,0.2903,50.0
2021-12-31,3794.75,275026.0,43368.5584,492.1855,0.267,50.0
2022-01-31,3659.1,368791.0,41818.2732,474.5914,0.2574,50.0
2022-02-28,3516.8,179658.0,40191.9879,456.1349,0.2474,50.0
2022-03-31,3678.6,266950.0,42041.1302,29.4594,0.184,50.0
2022-04-30,3879.7,212744.0,44339.4153,31.0699,0.194,50.0
2022-05-31,3830.35,128459.0,43775.4154,30.6747,0.1916,50.0
2022-06-30,3695.7,64269.0,42236.5588,29.5964,0.1848,80.0
2022-07-31,3910.2,65288.0,44687.9866,31.3142,0.1955,80.0
2022-08-31,4155.0,186192.0,47485.7,33.2746,0.2078,80.0
2022-09-30,4998.05,550643.0,57120.5543,40.026,0.2499,180.0
2022-10-31,5258.05,132933.0,60091.982,42.1082,0.263,180.0
2022-11-30,4990.4,237829.0,57033.1257,39.9648,0.2496,180.0
2022-12-31,4607.1,115798.0,52652.5556,36.8952,0.2304,180.0
2023-01-31,4432.6,75099.0,50658.2705,35.4977,0.2217,180.0
2023-02-28,4455.0,47299.0,50914.2704,35.6771,0.2228,180.0
2023-03-31,4233.35,66809.0,48381.1283,24.7709,0.2541,180.0
2023-04-30,5052.4,73535.0,57741.697,29.5635,0.3032,180.0
2023-05-31,5344.45,80847.0,61079.4102,31.2724,0.3207,180.0
2023-06-30,5479.8,75920.0,62626.2669,32.0644,0.3289,160.0
2023-07-31,5597.35,129656.0,63969.6951,32.7522,0.3359,160.0
2023-08-31,7139.3,204966.0,81591.9755,41.7747,0.4285,160.0
2023-09-30,7613.15,282462.0,87007.4025,44.5474,0.4569,220.0
2023-10-31,7530.25,244799.0,86059.9742,44.0623,0.4519,220.0
2023-11-30,7889.1,86631.0,90161.1158,46.1621,0.4735,220.0
2023-12-31,7419.3,140919.0,84791.9746,43.4131,0.4453,220.0
2024-01-31,7538.7,176938.0,86156.5456,44.1118,0.4524,220.0
2024-02-29,7488.4,99203.0,85581.6886,43.8174,0.4494,220.0
2024-03-31,7170.35,88398.0,81946.8326,41.1144,0.3033,220.0
2024-04-30,7782.4,158177.0,88941.6876,44.6239,0.3292,220.0
2024-05-31,7749.8,88979.0,88569.1163,44.4369,0.3278,220.0
2024-06-30,8964.25,291334.0,102448.5407,51.4005,0.3792,170.0
2024-07-31,9305.35,190802.0,106346.8252,53.3564,0.3936,170.0
2024-08-31,9741.55,148519.0,111331.9666,55.8575,0.4121,170.0
2024-09-30,11743.85,419656.0,134215.3883,67.3386,0.4968,170.0
2024-10-31,10236.1,339757.0,116983.9649,58.6932,0.433,170.0
2024-11-30,9423.15,135012.0,107693.1105,54.0318,0.3986,170.0
2024-12-31,9620.95,201757.0,109953.6813,55.166,0.407,170.0
2025-01-31,9310.85,125142.0,106409.6824,53.3879,0.3939,170.0
2025-02-28,9233.55,152595.0,105526.2541,52.9447,0.3906,170.0
2025-03-31,11224.5,228195.0,128279.9615,59.846,0.4156,170.0
2025-04-30,11475.0,215474.0,131142.8178,61.1816,0.4249,170.0
2025-05-31,13376.0,298439.0,152868.5256,71.3173,0.4953,170.0
2025-06-30,14498.0,266656.0,165691.3789,77.2995,0.5369,170.0
2025-07-31,16054.0,209415.0,183474.2307,85.5956,0.5945,170.0
2025-08-31,15876.0,174236.0,181439.9456,84.6466,0.5879,170.0
2025-09-30,17248.0,454735.0,197119.9409,91.9617,0.6387,220.0
2025-10-31,15108.0,107482.0,172662.8053,80.5518,0.5595,220.0
2025-11-30,14705.0,89719.0,168057.0924,78.4031,0.5445,220.0
2025-12-31,14223.0,71019.0,162548.5227,75.8332,0.5267,220.0
2026-01-31,13439.0,190987.0,153588.5254,71.6531,0.4976,220.0
2026-02-28,13259.0,68733.0,151531.3831,70.6934,0.491,220.0
2026-03-31,13272.0,16646.0,151679.9545,70.7628,0.4915,220.0
