ENDU IN Equity,price,volume,mc,pe,bm,div
2019-04-30,1176.85,1265337.0,165539.0727,33.4427,6.4546,4.0
2019-05-31,1203.5,1073446.0,169287.7376,34.2001,6.6007,4.0
2019-06-30,1114.4,773943.0,156754.6778,31.6681,6.1121,4.0
2019-07-31,922.4,1052419.0,129747.411,26.212,5.059,5.5
2019-08-31,925.9,2946065.0,130239.731,26.3115,5.0782,5.5
2019-09-30,1012.25,649574.0,142385.9679,28.7653,5.5518,5.5
2019-10-31,1090.45,411762.0,153385.8026,30.9875,5.9807,5.5
2019-11-30,1111.5,352544.0,156346.7556,31.5857,6.0962,5.5
2019-12-31,1081.3,693063.0,152098.7375,30.7275,5.9305,5.5
2020-01-31,1089.5,894526.0,153252.1729,30.9605,5.9755,5.5
2020-02-29,981.5,460076.0,138060.5853,27.8914,5.3832,5.5
2020-03-31,601.1,1226699.0,84552.4379,14.9527,2.8127,5.5
2020-04-30,677.15,11506013.0,95249.8475,16.8445,3.1686,5.5
2020-05-31,726.05,4358515.0,102128.2608,18.0609,3.3974,5.5
2020-06-30,870.75,3699828.0,122482.1749,21.6604,4.0745,5.5
2020-07-31,905.55,2708137.0,127377.242,22.5261,4.2374,5.5
2020-08-31,1099.2,2890277.0,154616.6025,27.3433,5.1435,5.5
2020-09-30,1152.3,1655372.0,162085.7998,28.6642,5.392,5.5
2020-10-31,1058.2,1961051.0,148849.4321,26.3234,4.9517,5.5
2020-11-30,1157.0,2513536.0,162746.9221,28.7811,5.414,5.5
2020-12-31,1348.35,5099876.0,189662.7592,33.541,6.3094,5.5
2021-01-31,1384.65,3634694.0,194768.8208,34.444,6.4792,5.5
2021-02-28,1442.15,2843933.0,202856.9349,35.8744,6.7483,5.5
2021-03-31,1456.15,2490698.0,204826.2149,39.4087,5.7501,5.5
2021-04-30,1292.45,3762311.0,181799.7057,34.9783,5.1037,5.5
2021-05-31,1492.5,3577192.0,209939.3096,40.3924,5.8937,0.0
2021-06-30,1625.25,2687612.0,228612.3035,43.9851,6.4179,0.0
2021-07-31,1732.0,2410660.0,243628.0527,46.8742,6.8394,0.0
2021-08-31,1662.85,2440761.0,233901.2168,45.0027,6.5664,6.0
2021-09-30,1584.45,2365731.0,222873.2495,42.8809,6.2568,6.0
2021-10-31,1820.75,2731839.0,256111.8805,49.276,7.1899,6.0
2021-11-30,1667.8,2508340.0,234597.4979,45.1367,6.5859,6.0
2021-12-31,1693.75,1620242.0,238247.6988,45.839,6.6884,6.0
2022-01-31,1602.35,1278907.0,225391.1145,43.3654,6.3274,6.0
2022-02-28,1318.25,2214053.0,185428.7994,35.6766,5.2056,6.0
2022-03-31,1094.8,4023347.0,153997.686,33.429,3.9285,6.0
2022-04-30,1219.25,7031896.0,171503.1774,37.229,4.3751,6.0
2022-05-31,1307.8,3559998.0,183958.8726,39.9328,4.6928,6.0
2022-06-30,1411.7,1759605.0,198573.7425,43.1053,5.0657,6.0
2022-07-31,1454.75,1504794.0,204629.2781,44.4198,5.2201,6.0
2022-08-31,1497.05,1844063.0,210579.3166,45.7115,5.3719,6.25
2022-09-30,1423.95,3295189.0,200296.8624,43.4794,5.1096,6.25
2022-10-31,1354.3,1659431.0,190499.695,41.3527,4.8597,6.25
2022-11-30,1527.85,1860617.0,214911.7323,46.6519,5.4825,6.25
2022-12-31,1379.2,515840.0,194002.2,42.113,4.949,6.25
2023-01-31,1472.4,443176.0,207111.9774,44.9588,5.2835,6.25
2023-02-28,1248.85,742248.0,175666.7977,38.1328,4.4813,6.25
2023-03-31,1241.65,1269564.0,174654.0252,36.4227,3.9585,6.25
2023-04-30,1344.3,1682033.0,189093.0666,39.4339,4.2858,6.25
2023-05-31,1434.15,1340060.0,201731.6235,42.0695,4.5722,6.25
2023-06-30,1579.5,2263940.0,222176.9684,46.3332,5.0356,6.25
2023-07-31,1692.8,3082966.0,238114.0691,49.6568,5.3968,6.25
2023-08-31,1660.35,1486175.0,233549.5597,48.7049,5.2934,7.0
2023-09-30,1591.65,1838525.0,223886.022,46.6896,5.0743,7.0
2023-10-31,1596.35,3139545.0,224547.1374,46.8275,5.0893,7.0
2023-11-30,1683.95,2886415.0,236869.2029,49.3972,5.3686,7.0
2023-12-31,1933.2,3408468.0,271929.4178,56.7087,6.1632,7.0
2024-01-31,2105.25,6190751.0,296130.4608,61.7556,6.7117,7.0
2024-02-29,1857.0,3182512.0,261210.9087,54.4735,5.9203,7.0
2024-03-31,1827.0,1767086.0,256991.0233,37.7635,5.1631,7.0
2024-04-30,1978.45,1788691.0,278294.4116,40.894,5.5911,7.0
2024-05-31,2218.8,4867817.0,312102.7271,45.8619,6.2703,7.0
2024-06-30,2678.15,5015367.0,376716.2064,55.3566,7.5685,7.0
2024-07-31,2600.9,2576710.0,365850.0014,53.7598,7.3502,7.0
2024-08-31,2474.05,2245650.0,348006.9191,51.1379,6.9917,8.5
2024-09-30,2400.75,3475201.0,337696.3323,49.6228,6.7845,8.5
2024-10-31,2374.65,3632058.0,334025.032,49.0833,6.7108,8.5
2024-11-30,2348.1,3608443.0,330290.4334,48.5345,6.6357,8.5
2024-12-31,2150.05,1030849.0,302432.1563,44.4409,6.0761,8.5
2025-01-31,1989.45,3830306.0,279841.703,41.1213,5.6222,8.5
2025-02-28,1765.75,1571344.0,248375.4239,36.4975,4.99,8.5
2025-03-31,1968.3,2624663.0,276866.6837,33.1029,4.8425,8.5
2025-04-30,1875.0,1957853.0,263742.84,31.5338,4.613,8.5
2025-05-31,2431.8,3839418.0,342063.9138,40.8981,5.9828,8.5
2025-06-30,2770.1,8581720.0,389650.1552,46.5876,6.8152,8.5
2025-07-31,2551.7,4239675.0,358929.3892,42.9146,6.2778,8.5
2025-08-31,2868.8,4203927.0,403533.5783,48.2476,7.058,10.0
2025-09-30,2745.4,4250790.0,386175.7829,46.1722,6.7544,10.0
2025-10-31,2838.6,2916170.0,399285.5603,47.7397,6.9837,10.0
2025-11-30,2643.6,2730262.0,371856.305,44.4601,6.5039,10.0
2025-12-31,2589.9,1450763.0,364302.71,43.557,6.3718,10.0
2026-01-31,2426.8,1480464.0,341360.5995,40.814,5.9705,10.0
2026-02-28,2661.7,2413664.0,374402.3025,44.7645,6.5485,10.0
2026-03-31,2503.3,279701.0,352121.3143,42.1006,6.1588,10.0
