KKB IN Equity,price,volume,mc,pe,bm,div
2010-06-30,259.75,612991.0,20606.1761,18.3088,2.6169,2.6667
2010-07-31,257.05,335325.0,20391.9829,18.1185,2.5897,5.5
2010-08-31,245.8,139399.0,19499.5114,17.3256,2.4763,5.5
2010-09-30,255.0,732654.0,20229.3547,17.974,2.569,5.5
2010-10-31,221.95,12393196.0,17608.381,15.6445,2.2361,5.5
2010-11-30,213.15,428276.0,16910.2339,15.0242,2.1474,5.5
2010-12-31,204.45,381818.0,16220.3884,14.4109,2.0597,5.5
2011-01-31,147.3,1175834.0,11686.296,10.3826,1.484,5.5
2011-02-28,134.6,277821.0,10678.9489,9.4875,1.356,5.5
2011-03-31,134.65,802829.0,10682.9158,11.0098,1.2574,5.5
2011-04-30,188.3,3318554.0,14939.4211,15.3966,1.7584,5.5
2011-05-31,147.55,718932.0,11706.3812,12.0646,1.3779,5.5
2011-06-30,160.2,392719.0,12710.012,13.0989,1.496,5.5
2011-07-31,171.75,861661.0,13626.3705,14.0433,1.6039,3.5
2011-08-31,152.65,324712.0,12111.007,12.4816,1.4255,3.5
2011-09-30,145.8,105655.0,11567.7281,11.9215,1.3615,3.5
2011-10-31,128.1,209271.0,10163.4154,10.4742,1.1962,3.5
2011-11-30,117.95,587562.0,9358.1175,9.6443,1.1015,3.5
2011-12-31,118.0,92699.0,9362.0845,9.6484,1.1019,3.5
2012-01-31,133.25,103633.0,10572.0149,10.8953,1.2443,3.5
2012-02-29,139.65,345097.0,11079.7889,11.4186,1.3041,3.5
2012-03-31,125.1,489527.0,9925.3963,20.3415,1.126,3.5
2012-04-30,128.2,261634.0,10171.3494,20.8455,1.154,3.5
2012-05-31,114.65,419986.0,9096.2965,18.6423,1.032,3.5
2012-06-30,120.85,111625.0,9588.2026,19.6504,1.0878,3.5
2012-07-31,136.75,461626.0,10849.7038,22.2358,1.2309,2.0
2012-08-31,134.55,353387.0,10675.1565,21.878,1.2111,2.0
2012-09-30,134.45,103968.0,10669.75,21.8618,1.2102,2.0
2012-10-31,149.15,1197705.0,11836.3199,24.252,1.3425,2.0
2012-11-30,158.15,1423671.0,12550.5464,25.7154,1.4235,2.0
2012-12-31,155.1,377429.0,12308.503,25.2195,1.3961,2.0
2013-01-31,165.3,1552673.0,13117.9597,26.878,1.4879,2.0
2013-02-28,154.3,436521.0,12245.0162,25.0894,1.3889,2.0
2013-03-31,148.55,593294.0,11788.7048,17.8761,1.2664,2.0
