IIFL IN Equity,price,volume,mc,pe,bm,div
2010-11-30,37.61,60908741.0,24194.1596,4.7338,0.6882,1.7484
2010-12-31,37.21,55273319.0,23970.5818,4.6825,0.6807,1.7484
2011-01-31,34.44,42817187.0,22190.6603,4.3348,0.6302,1.7484
2011-02-28,33.81,34486578.0,22155.7022,4.255,0.6186,1.7484
2011-03-31,33.58,22001936.0,22201.2291,4.6352,0.5949,2.9141
2011-04-30,32.61,14415689.0,21564.8503,4.5008,0.5777,2.9141
2011-05-31,35.62,22517340.0,23556.6039,4.9165,0.631,2.9141
2011-06-30,39.95,33530159.0,26568.9526,5.5135,0.7076,2.9141
2011-07-31,37.91,11276593.0,24142.538,5.2322,0.6715,2.9141
2011-08-31,33.51,14519347.0,21377.0391,4.6258,0.5937,2.9141
2011-09-30,31.73,18623007.0,20236.3586,4.3789,0.562,2.9141
2011-10-31,33.56,7734323.0,21406.5194,4.6321,0.5945,2.9141
2011-11-30,26.88,11938694.0,17145.4376,3.71,0.4762,2.9141
2011-12-31,19.72,7650382.0,12581.1854,2.7224,0.3494,2.9141
2012-01-31,24.23,6969438.0,15455.6468,3.3444,0.4292,2.9141
2012-02-29,31.5,41605161.0,20092.3408,4.3477,0.558,2.9141
2012-03-31,30.3,22678884.0,19326.7808,6.6118,0.5139,2.9141
2012-04-30,24.71,5887890.0,15057.1801,5.3913,0.4191,2.9141
2012-05-31,22.62,13807360.0,13787.4637,4.9366,0.3837,1.457
2012-06-30,27.81,11128879.0,16947.9534,6.0683,0.4717,1.457
2012-07-31,23.37,7490404.0,14242.9054,5.0997,0.3964,1.457
2012-08-31,24.12,6616521.0,14698.3472,5.2628,0.4091,1.457
2012-09-30,26.13,8426815.0,15926.6598,5.7026,0.4433,1.457
2012-10-31,31.16,32315842.0,19020.2207,6.7996,0.5285,1.457
2012-11-30,35.33,10076355.0,21602.8103,7.7089,0.5992,1.457
2012-12-31,38.9,18431909.0,23790.7872,8.4896,0.6599,1.457
2013-01-31,37.93,12418367.0,23564.3869,8.2771,0.6434,1.457
2013-02-28,29.76,3798648.0,18509.6617,6.4932,0.5047,4.3711
2013-03-31,27.47,3774312.0,17117.3094,3.018,0.4262,4.3711
2013-04-30,28.08,3782338.0,17499.7176,3.0851,0.4357,4.3711
2013-05-31,28.08,6798405.0,18305.9276,3.0851,0.4357,4.3711
2013-06-30,23.55,13646833.0,15356.5579,2.5875,0.3654,4.3711
2013-07-31,22.6,4249587.0,14743.0592,2.483,0.3507,2.9141
2013-08-31,23.96,3646369.0,15629.4154,2.6323,0.3718,2.9141
2013-09-30,21.44,4828980.0,13990.1303,2.3562,0.3328,2.9141
2013-10-31,25.41,3135833.0,16575.4237,2.7916,0.3943,2.9141
2013-11-30,27.22,4889557.0,17757.272,2.9906,0.4224,2.9141
2013-12-31,28.22,4383770.0,18415.4735,3.1001,0.4378,2.9141
2014-01-31,28.65,5202584.0,18723.5365,3.1473,0.4445,2.9141
2014-02-28,32.09,2051956.0,20973.3211,3.5255,0.4979,2.9141
2014-03-31,35.39,5026651.0,23147.9523,3.8722,0.5016,2.9141
2014-04-30,36.21,1890153.0,23770.5418,3.9614,0.5131,2.9141
2014-05-31,49.19,9857817.0,32307.2737,5.381,0.697,2.9141
2014-06-30,57.36,4814548.0,38124.8541,6.2754,0.8128,2.9141
2014-07-31,59.49,3232349.0,39600.7022,6.5082,0.843,2.9141
2014-08-31,63.11,4137197.0,42012.6216,6.9046,0.8943,2.9141
2014-09-30,68.07,10007600.0,45430.8124,7.4472,0.9646,5.8282
2014-10-31,77.58,4055520.0,51827.9369,8.4877,1.0994,5.8282
2014-11-30,82.11,2878453.0,55370.1863,8.9832,1.1636,5.8282
2014-12-31,77.51,2735952.0,52407.9184,8.4803,1.0984,5.8282
2015-01-31,81.39,3029920.0,55107.6746,8.9039,1.1533,5.8282
2015-02-28,78.6,17701046.0,53233.5124,8.5992,1.1138,2.9141
2015-03-31,80.73,7655228.0,55113.7598,5.6308,1.0081,2.9141
2015-04-30,78.9,3184062.0,54042.7537,5.5028,0.9852,2.9141
2015-05-31,84.74,3306341.0,58044.7716,5.9103,1.0581,2.9141
2015-06-30,78.6,1454480.0,53893.1698,5.4823,0.9815,2.9141
2015-07-31,88.93,12827737.0,61092.9171,6.2025,1.1104,2.9141
2015-08-31,85.78,2206789.0,58930.4737,5.983,1.0711,2.9141
2015-09-30,85.82,5716904.0,59018.7248,5.9861,1.0717,2.9141
2015-10-31,87.27,6591212.0,60560.5502,6.0872,1.0898,2.9141
2015-11-30,95.56,6492968.0,66423.1902,6.6653,1.1933,0.0
2015-12-31,96.45,1824218.0,67170.1476,6.7269,1.2043,0.0
2016-01-31,94.29,3866288.0,65671.87,6.5768,1.1775,0.0
2016-02-29,74.66,1067692.0,52007.3477,5.2075,0.9323,4.1283
2016-03-31,93.46,2279319.0,65317.3758,5.8872,0.9085,4.1283
2016-04-30,98.71,861709.0,68989.2031,6.2182,0.9596,4.1283
2016-05-31,90.58,957929.0,63307.3669,5.7061,0.8806,4.1283
2016-06-30,100.97,8383016.0,70609.2339,6.3608,0.9816,4.1283
2016-07-31,121.22,6318650.0,84765.9181,7.6361,1.1784,4.1283
2016-08-31,126.29,7140013.0,88313.0068,7.9557,1.2277,4.1283
2016-09-30,123.33,7899902.0,86238.5933,7.7688,1.1989,4.1283
2016-10-31,148.44,4544846.0,103799.8493,9.3508,1.443,4.1283
2016-11-30,119.72,6433092.0,83720.7938,7.542,1.1639,4.1283
2016-12-31,118.64,4375325.0,83156.2545,7.4735,1.1533,4.1283
2017-01-31,133.83,3933938.0,93806.7311,8.4307,1.301,4.1283
2017-02-28,168.91,24489170.0,118447.8524,10.6404,1.642,4.3711
2017-03-31,181.25,8591297.0,127226.8629,8.5944,1.3539,4.3711
2017-04-30,217.28,5176981.0,152529.1394,10.3028,1.623,4.3711
2017-05-31,226.43,10400459.0,158954.6535,10.7366,1.6913,4.3711
2017-06-30,275.43,11383537.0,193355.8806,13.0602,2.0573,4.3711
2017-07-31,270.93,3875946.0,190200.7095,12.8465,2.0237,4.3711
2017-08-31,281.16,3890050.0,197386.4936,13.3319,2.1001,4.3711
2017-09-30,275.25,8738698.0,193519.2253,13.0516,2.056,4.3711
2017-10-31,282.06,4016332.0,194936.1904,13.3743,2.1068,4.3711
2017-11-30,281.09,5040807.0,194301.9404,13.3284,2.0996,4.3711
2017-12-31,307.56,2970117.0,212598.3614,14.5835,2.2973,4.3711
2018-01-31,336.08,4393538.0,232311.9987,15.9357,2.5103,4.3711
2018-02-28,348.35,8808880.0,240799.3679,16.5179,2.602,4.8568
2018-03-31,325.13,13546910.0,225103.4986,13.4317,2.2511,4.8568
2018-04-30,353.79,3400148.0,244943.9941,14.6156,2.4495,4.8568
2018-05-31,322.23,2903840.0,223124.8198,13.3118,2.231,4.8568
2018-06-30,308.8,3793187.0,213833.5016,12.757,2.138,4.8568
2018-07-31,310.53,2726340.0,215029.8845,12.8284,2.15,4.8568
2018-08-31,333.82,4221943.0,231168.7839,13.7905,2.3113,4.8568
2018-09-30,234.76,5539367.0,162579.3909,9.6984,1.6254,4.8568
2018-10-31,211.93,11290997.0,146769.7376,8.7553,1.4674,4.8568
2018-11-30,217.3,6158963.0,150486.8408,8.977,1.5045,4.8568
2018-12-31,232.3,1794593.0,160880.9387,9.5966,1.6084,4.8568
2019-01-31,198.02,2202157.0,137143.3549,8.1805,1.371,4.8568
2019-02-28,151.51,8607884.0,104931.5781,6.2591,1.049,4.8568
2019-03-31,197.65,7358970.0,136938.1265,9.671,1.4916,4.8568
2019-04-30,198.96,2445614.0,137861.4024,9.7353,1.5016,4.8568
2019-05-31,184.12,3352881.0,60510.8923,9.009,1.3895,4.8568
2019-06-30,138.18,2609010.0,45411.1022,6.7609,1.0428,4.8568
2019-07-31,114.67,2497058.0,37685.6282,5.6107,0.8654,4.8568
2019-08-31,114.81,1830832.0,37733.5134,5.6179,0.8665,4.8568
2019-09-30,121.08,4107737.0,39792.5757,5.9244,0.9138,4.8568
2019-10-31,110.74,3511742.0,36392.7287,5.4183,0.8357,4.8568
2019-11-30,163.72,15967568.0,53876.4921,8.0109,1.2356,4.8568
2019-12-31,136.04,7280268.0,44766.5542,6.6564,1.0267,4.8568
2020-01-31,162.85,14055557.0,53588.8098,7.9682,1.229,4.8568
2020-02-29,158.23,10230576.0,52072.8359,7.7424,1.1942,4.8568
2020-03-31,72.07,9558175.0,23720.7284,5.5916,0.5898,2.1856
2020-04-30,74.94,3479396.0,29189.0021,5.8139,0.6132,2.1856
2020-05-31,61.15,2937234.0,23816.561,4.7438,0.5004,2.1856
2020-06-30,71.74,40176857.0,27940.4771,5.5652,0.587,2.1856
2020-07-31,65.42,18712392.0,25481.2611,5.0754,0.5353,2.1856
2020-08-31,79.31,34881784.0,30893.7519,6.153,0.649,2.1856
2020-09-30,77.27,18643709.0,30099.1789,5.9947,0.6323,2.1856
2020-10-31,72.61,7371557.0,28285.0679,5.633,0.5941,2.1856
2020-11-30,97.33,31505540.0,37915.2348,7.5509,0.7964,2.1856
2020-12-31,110.49,27864042.0,43050.9064,8.572,0.9041,2.1856
2021-01-31,142.64,20986897.0,55578.2471,11.0663,1.1672,2.1856
2021-02-28,269.6,38105723.0,105059.9463,20.9156,2.2061,2.9141
2021-03-31,273.78,21338622.0,106687.6083,14.0294,1.9819,2.9141
2021-04-30,259.5,4498279.0,101123.2733,13.2977,1.8786,2.9141
2021-05-31,241.77,5123978.0,94215.1702,12.3892,1.7502,2.9141
2021-06-30,247.11,17631521.0,96411.1357,12.663,1.7889,2.9141
2021-07-31,293.89,7892132.0,114658.7607,15.0597,2.1275,2.9141
2021-08-31,274.41,2629079.0,107060.3203,14.0617,1.9865,2.9141
2021-09-30,278.78,48215826.0,108765.7059,14.2857,2.0181,2.9141
2021-10-31,314.62,12992933.0,122749.8681,16.1224,2.2776,2.9141
2021-11-30,300.64,13405162.0,117378.6484,15.4057,2.1764,2.9141
2021-12-31,271.4,66055253.0,105963.1482,13.9074,1.9647,2.9141
2022-01-31,304.96,12745627.0,119139.8831,15.6272,2.2076,2.9141
2022-02-28,289.37,14699772.0,113049.1198,14.8283,2.0948,3.3998
2022-03-31,277.42,17270424.0,108413.3919,9.1159,1.6772,3.3998
2022-04-30,337.11,41801796.0,131739.7327,11.0772,2.0381,3.3998
2022-05-31,312.1,19473891.0,121965.0658,10.2553,1.8869,3.3998
2022-06-30,314.48,48501357.0,122940.7117,10.3335,1.9013,3.3998
2022-07-31,336.14,8172445.0,131408.9059,11.0453,2.0322,3.3998
2022-08-31,334.97,42645842.0,130961.4771,11.007,2.0252,3.3998
2022-09-30,341.63,24906105.0,133562.8578,11.2257,2.0654,3.3998
2022-10-31,407.87,20038608.0,159508.1314,13.4025,2.4659,3.3998
2022-11-30,453.24,19225394.0,177248.1404,14.8931,2.7402,3.3998
2022-12-31,467.42,17957161.0,182830.1552,15.3591,2.8259,3.3998
2023-01-31,498.65,16205231.0,195200.5362,16.3853,3.0147,3.3998
2023-02-28,416.37,11959500.0,162993.4934,13.6818,2.5173,3.8854
2023-03-31,474.12,8354448.0,185688.0729,12.3601,2.065,3.8854
2023-04-30,466.01,8232838.0,182511.4791,12.1486,2.0297,3.8854
2023-05-31,433.03,15645304.0,169595.8674,11.2889,1.8861,3.8854
2023-06-30,491.17,24018850.0,192434.9373,12.8045,2.1393,3.8854
2023-07-31,573.25,16550164.0,224593.055,14.9443,2.4968,3.8854
2023-08-31,589.32,11857622.0,231070.0923,15.3634,2.5668,3.8854
2023-09-30,580.44,10965987.0,227747.4158,15.1317,2.5281,3.8854
2023-10-31,601.95,15624346.0,236189.5634,15.6926,2.6218,3.8854
2023-11-30,591.07,7799966.0,232034.0202,15.409,2.5744,3.8854
2023-12-31,581.02,76407608.0,228087.3446,15.1469,2.5306,3.8854
2024-01-31,605.6,24193901.0,237835.6418,15.7875,2.6377,3.8854
2024-02-29,573.44,13761387.0,225208.551,14.9494,2.4976,3.8854
2024-03-31,330.36,74767368.0,129764.6227,7.3472,1.2199,3.8854
2024-04-30,406.0,73051215.0,158963.6765,9.0294,1.4993,3.8854
2024-05-31,399.25,32731089.0,169283.2329,8.8793,1.4743,3.8854
2024-06-30,517.6,89202838.0,219561.2466,11.5114,1.9114,3.8854
2024-07-31,442.05,42414813.0,187513.6187,9.8311,1.6324,3.8854
2024-08-31,456.3,38067407.0,193581.7236,10.1481,1.685,3.8854
2024-09-30,462.8,131642517.0,196339.298,10.2926,1.709,3.8854
2024-10-31,436.8,56198588.0,185402.0838,9.7144,1.613,3.8854
2024-11-30,420.4,24436474.0,178441.0165,9.3496,1.5524,3.8854
2024-12-31,413.5,40798012.0,175522.2385,9.1962,1.527,3.8854
2025-01-31,356.45,37629592.0,151305.6878,7.9274,1.3163,3.8854
2025-02-28,301.9,30058393.0,128161.5525,6.7142,1.1148,0.0
2025-03-31,327.65,60813927.0,139092.8542,36.1246,1.1206,0.0
2025-04-30,359.2,49456719.0,152609.6344,39.6031,1.2285,0.0
2025-05-31,435.85,43730690.0,185175.1369,48.054,1.4907,0.0
2025-06-30,472.75,57095372.0,200852.4629,52.1224,1.6169,0.0
2025-07-31,477.95,53352844.0,203095.5167,52.6957,1.6347,0.0
2025-08-31,427.6,33226898.0,181726.0139,47.1444,1.4625,0.0
2025-09-30,451.9,21445723.0,192053.2874,49.8236,1.5456,0.0
2025-10-31,534.6,43657412.0,227259.5885,58.9416,1.8284,0.0
2025-11-30,578.7,32249709.0,246006.5916,63.8037,1.9792,0.0
2025-12-31,610.5,26918092.0,259601.6494,67.3098,2.088,0.0
2026-01-31,528.7,87954313.0,224818.005,58.2911,1.8082,4.0
2026-02-28,496.2,37366304.0,211026.5252,54.7078,1.6971,4.0
2026-03-31,491.0,3759008.0,208815.042,54.1345,1.6793,4.0
