DMART IN Equity,price,volume,mc,pe,bm,div
2021-11-30,4710.9,10639730.0,3051601.792,222.1075,24.034,0.0
2021-12-31,4671.45,7922599.0,3026047.08,204.5293,23.669,0.0
2022-01-31,4114.35,16166306.0,2665171.8,180.1379,,0.0
2022-02-28,4340.35,8561805.0,2811568.88,190.0328,,0.0
2022-03-31,4003.35,10517520.0,2593268.809,173.7565,18.9599,0.0
2022-04-30,3944.25,5774559.0,2554985.325,171.1914,18.68,0.0
2022-05-31,3972.8,13660007.0,2573479.292,172.4306,18.8152,0.0
2022-06-30,3406.1,8758935.0,2206385.375,108.1302,16.3167,0.0
2022-07-31,4243.85,12535609.0,2749058.622,134.7254,,0.0
2022-08-31,4531.35,7445779.0,2935293.846,143.8524,,0.0
2022-09-30,4386.55,7413175.0,2841496.071,123.1139,18.9366,0.0
2022-10-31,4320.9,6332531.0,2798969.662,121.2714,18.6532,0.0
2022-11-30,4025.5,7143564.0,2607617.019,112.9806,17.378,0.0
2022-12-31,4068.75,6366178.0,2635633.274,112.3964,18.0376,0.0
2023-01-31,3502.3,10769505.0,2268701.3,96.7486,,0.0
2023-02-28,3416.95,5783645.0,2213413.73,94.3909,,0.0
2023-03-31,3401.05,5754284.0,2203114.113,92.6464,13.7124,0.0
2023-04-30,3511.95,4969094.0,2279356.347,95.6674,14.1595,0.0
2023-05-31,3471.25,7469545.0,2255908.401,94.5587,13.9954,0.0
2023-06-30,3889.2,10814983.0,2530831.048,105.3413,15.9805,0.0
2023-07-31,3752.8,7856684.0,2442071.058,101.6468,,0.0
2023-08-31,3720.4,9199433.0,2420987.306,100.7692,,0.0
2023-09-30,3675.6,5220579.0,2391834.465,102.3274,13.7229,0.0
2023-10-31,3633.4,9688611.0,2364373.529,101.1526,13.5654,0.0
2023-11-30,3949.75,5688725.0,2570232.935,109.9596,14.7465,0.0
2023-12-31,4082.65,7225048.0,2656715.36,109.0451,15.1008,0.0
2024-01-31,3792.7,10764024.0,2468035.307,101.3007,,0.0
2024-02-29,3918.9,6886630.0,2550157.82,104.6715,,0.0
2024-03-31,4525.6,10744755.0,2944957.573,116.041,15.7503,0.0
2024-04-30,4603.8,10106041.0,2995844.899,118.0462,16.0224,0.0
2024-05-31,4302.15,8653597.0,2799551.269,110.3115,14.9726,0.0
2024-06-30,4716.75,13472258.0,3069345.199,115.7485,17.0536,0.0
2024-07-31,4935.95,12914370.0,3211985.887,121.1276,,0.0
2024-08-31,4927.45,9183987.0,3206454.656,120.919,,0.0
2024-09-30,5096.3,9751392.0,3316330.934,123.3672,16.4679,0.0
2024-10-31,3930.7,22453555.0,2557836.47,95.1513,12.7014,0.0
2024-11-30,3709.6,11071836.0,2413959.389,89.7991,11.987,0.0
2024-12-31,3561.85,18768254.0,2317813.578,85.1913,11.5958,0.0
2025-01-31,3664.65,23592134.0,2384708.938,87.6501,,0.0
2025-02-28,3403.95,13702235.0,2215062.827,81.4147,,0.0
2025-03-31,4083.2,11462513.0,2657073.263,98.1067,12.4002,0.0
2025-04-30,4199.9,14034095.0,2733013.812,100.9106,12.7546,0.0
2025-05-31,4002.1,8968280.0,2604298.811,96.1581,12.1539,0.0
2025-06-30,4372.3,15093848.0,2845200.193,105.0781,13.0995,0.0
2025-07-31,4267.4,19481606.0,2776938.294,102.5571,,0.0
2025-08-31,4755.6,11936158.0,3094626.178,114.2898,,0.0
2025-09-30,4475.4,9446474.0,2912290.773,106.5571,12.7231,0.0
2025-10-31,4153.5,8774183.0,2702819.798,98.8929,11.808,0.0
2025-11-30,3996.5,7578668.0,2600654.706,95.1548,11.3617,0.0
2025-12-31,3782.2,7702661.0,2461202.61,85.9005,10.6708,0.0
2026-01-31,3689.5,12932403.0,2400879.654,83.7951,,0.0
2026-02-28,3847.6,7032394.0,2503760.552,87.3859,,0.0
2026-03-31,3833.9,1548773.0,2494845.446,87.0747,,0.0
