GRAV IN Equity,price,volume,mc,pe,bm,div
2015-10-31,29.3,1258632.0,2000.9388,30.2062,1.6939,0.2
2015-11-30,27.2,943258.0,1859.6122,28.0412,1.5725,0.2
2015-12-31,29.7,5142154.0,2030.5324,30.6186,1.717,0.2
2016-01-31,26.1,5504625.0,1784.4073,26.9072,1.5089,0.2
2016-02-29,20.7,1771183.0,1415.2196,21.3402,1.1967,0.2
2016-03-31,24.35,6835038.0,1664.7631,38.0469,1.3971,0.2
2016-04-30,24.65,757055.0,1685.2736,38.5156,1.4143,0.2
2016-05-31,19.15,7563034.0,1309.249,29.9219,1.0987,0.2
2016-06-30,18.15,9939932.0,1240.8809,28.3594,1.0413,0.2
2016-07-31,25.35,19907944.0,1733.1312,39.6094,1.4544,0.2
2016-08-31,30.3,9558687.0,2071.5533,47.3438,1.7384,0.2
2016-09-30,32.8,8043531.0,2242.4735,51.25,1.8819,0.2
2016-10-31,36.7,7128217.0,2509.1091,57.3438,2.1056,0.2
2016-11-30,42.0,10471513.0,2871.46,65.625,2.4097,0.2
2016-12-31,39.6,6958744.0,2711.3136,61.875,2.272,0.2
2017-01-31,42.95,5957446.0,2940.6797,67.1094,2.4642,0.2
2017-02-28,45.9,5889913.0,3142.6589,71.7188,2.6335,0.2
2017-03-31,50.95,22828764.0,3488.4198,10.659,2.3234,0.2
2017-04-30,62.25,9121850.0,4262.1027,13.023,2.8387,0.2
2017-05-31,80.35,16515058.0,5504.8075,16.8096,3.6641,0.2
2017-06-30,82.15,5015273.0,5628.1261,17.1862,3.7462,0.2
2017-07-31,85.7,6108487.0,5871.3379,17.9289,3.9081,0.2
2017-08-31,122.1,30933906.0,8388.8332,25.5439,5.568,0.6
2017-09-30,131.1,20407666.0,9007.1747,27.4268,5.9784,0.6
2017-10-31,156.85,26108651.0,10776.3185,32.8138,7.1527,0.6
2017-11-30,153.15,11252876.0,10522.1116,32.0397,6.984,0.6
2017-12-31,159.2,7799836.0,10937.7745,33.3054,7.2599,0.6
2018-01-31,166.05,13114446.0,11408.4012,34.7385,7.5722,0.6
2018-02-28,155.2,5893459.0,10662.9561,32.4686,7.0775,0.6
2018-03-31,155.85,5349909.0,10707.6141,24.2757,5.6451,0.6
2018-04-30,198.1,7742482.0,13610.384,30.8567,7.1754,0.6
2018-05-31,162.65,3818580.0,11181.653,25.3349,5.8914,0.6
2018-06-30,155.05,4848152.0,10659.178,24.1511,5.6161,0.6
2018-07-31,147.9,1596805.0,10167.639,23.0374,5.3571,0.6
2018-08-31,147.3,3508523.0,10126.391,22.9439,5.3354,0.7
2018-09-30,89.2,3804068.0,6132.2069,13.8941,3.2309,0.7
2018-10-31,75.3,3189899.0,5176.6276,11.729,2.7275,0.7
2018-11-30,72.05,715573.0,4953.2007,11.2227,2.6097,0.7
2018-12-31,76.55,587276.0,5262.561,11.9237,2.7727,0.7
2019-01-31,60.1,603480.0,4131.6775,9.3614,2.1769,0.7
2019-02-28,66.75,776471.0,4588.8432,10.3972,2.4178,0.7
2019-03-31,81.15,1436996.0,5578.7958,35.9071,2.7989,0.7
2019-04-30,85.6,1856325.0,5884.7187,37.8761,2.9524,0.7
2019-05-31,70.3,1853158.0,4853.3654,31.1062,2.4247,0.7
2019-06-30,58.7,835385.0,4052.5256,25.9735,2.0246,0.7
2019-07-31,37.95,1661661.0,2619.9888,16.792,1.3089,0.7
2019-08-31,41.7,844356.0,2878.881,18.4513,1.4383,0.7
2019-09-30,42.25,1857584.0,2916.8519,18.6947,1.4572,0.3
2019-10-31,40.85,639069.0,2820.1988,18.0752,1.4089,0.3
2019-11-30,40.4,1181567.0,2789.1317,17.8761,1.3934,0.3
2019-12-31,48.3,2458464.0,3334.5312,21.3717,1.6659,0.3
2020-01-31,61.9,3884047.0,4273.4469,27.3894,2.135,0.3
2020-02-29,54.05,2923879.0,3731.4993,23.9159,1.8642,0.3
2020-03-31,33.45,1859667.0,2309.3182,6.9398,1.0255,1.0
2020-04-30,36.8,1116422.0,2540.5952,7.6349,1.1282,1.0
2020-05-31,33.65,455011.0,2323.1258,6.9813,1.0317,1.0
2020-06-30,41.95,2200091.0,2896.1405,8.7033,1.2861,1.0
2020-07-31,45.95,4386289.0,3172.2921,9.5332,1.4088,1.0
2020-08-31,50.4,8431055.0,3479.5109,10.4564,1.5452,1.0
2020-09-30,50.65,3961939.0,3496.7703,10.5083,1.5529,0.7
2020-10-31,42.4,2149022.0,2927.2076,8.7967,1.2999,0.7
2020-11-30,51.2,5299924.0,3534.7412,10.6224,1.5697,0.7
2020-12-31,77.0,15974489.0,5315.9195,15.9751,2.3607,0.7
2021-01-31,77.9,5926131.0,5378.0536,16.1618,2.3883,0.7
2021-02-28,93.85,12147658.0,6479.2083,19.471,2.8773,1.8
2021-03-31,90.5,11478810.0,6247.9313,11.7228,2.3233,1.1
2021-04-30,95.4,3414620.0,6586.2171,12.3575,2.449,1.1
2021-05-31,104.1,7518438.0,7186.847,13.4845,2.6724,1.1
2021-06-30,128.1,17381779.0,8843.7569,16.5933,3.2885,1.1
2021-07-31,185.4,24147078.0,12799.6293,24.0155,4.7595,1.1
2021-08-31,198.9,20779841.0,13731.6411,25.7642,5.106,1.1
2021-09-30,196.75,12764007.0,13583.2096,25.4858,5.0508,1.1
2021-10-31,218.75,14414842.0,15102.0437,28.3355,5.6156,1.1
2021-11-30,195.15,10248087.0,13472.7489,25.2785,5.0098,1.1
2021-12-31,292.95,21822612.0,20224.6569,37.9469,7.5204,1.1
2022-01-31,337.7,10936619.0,23314.1036,43.7435,8.6692,1.1
2022-02-28,337.55,9241659.0,23303.7479,43.7241,8.6654,3.0
2022-03-31,317.75,3712392.0,21936.7972,15.4248,5.6706,3.0
2022-04-30,310.4,1927562.0,21429.3685,15.068,5.5395,3.0
2022-05-31,269.8,1515241.0,18626.4292,13.0971,4.8149,3.0
2022-06-30,289.85,1103205.0,20010.6394,14.0704,5.1727,3.0
2022-07-31,290.45,3334097.0,20052.0621,14.0995,5.1834,3.0
2022-08-31,322.75,6266348.0,22281.9867,15.6675,5.7599,3.0
2022-09-30,319.3,5521382.0,22043.8059,15.5,5.6983,3.0
2022-10-31,370.35,11642801.0,25568.1914,17.9782,6.6093,3.0
2022-11-30,360.2,5705936.0,24867.4566,17.4854,6.4282,3.0
2022-12-31,449.6,20982607.0,31039.4461,21.8252,8.0236,3.0
2023-01-31,518.65,12279131.0,35806.5141,25.1772,9.2559,3.0
2023-02-28,457.2,7448475.0,31564.1343,22.1942,8.1593,3.0
2023-03-31,484.65,5764365.0,33459.225,16.3072,5.6814,3.0
2023-04-30,508.4,3320094.0,35098.8755,17.1063,5.9598,0.0
2023-05-31,615.15,10328273.0,42468.6728,20.6982,7.2112,0.0
2023-06-30,606.95,6977747.0,41902.5619,20.4223,7.115,0.0
2023-07-31,672.25,5850333.0,46410.7377,22.6194,7.8805,0.0
2023-08-31,782.05,5080736.0,53991.1006,26.3139,9.1677,0.0
2023-09-30,910.15,9705390.0,62834.8574,30.6242,10.6693,4.35
2023-10-31,995.15,4556997.0,68703.0801,33.4842,11.6657,4.35
2023-11-30,1118.55,2860354.0,77222.3587,37.6363,13.1123,4.35
2023-12-31,1096.15,2451711.0,75675.9094,36.8826,12.8497,4.35
2024-01-31,931.75,5771777.0,64326.0764,31.3509,10.9225,4.35
2024-02-29,952.6,4715018.0,65765.5169,32.0525,11.1669,4.35
2024-03-31,998.75,5576223.0,68951.6166,28.6339,8.234,4.35
2024-04-30,977.95,3089623.0,67515.628,28.0376,8.0625,4.35
2024-05-31,1075.45,7074079.0,74246.8246,30.8329,8.8664,9.55
2024-06-30,1476.2,18149677.0,101913.7686,42.3222,12.1703,9.55
2024-07-31,1640.15,7615541.0,113232.5346,47.0226,13.5219,9.55
2024-08-31,2277.15,17997252.0,157209.6859,65.2853,18.7735,9.55
2024-09-30,2453.05,7990956.0,169353.4549,70.3283,20.2237,5.2
2024-10-31,2119.8,6710151.0,146346.5701,60.7741,17.4763,5.2
2024-11-30,2176.8,3740629.0,150281.7312,62.4083,17.9462,5.2
2024-12-31,2179.5,9969302.0,160865.519,62.4857,17.9685,5.2
2025-01-31,2065.1,6481384.0,152421.8322,59.2058,17.0253,5.2
2025-02-28,1594.7,5004432.0,117702.3368,45.7196,13.1472,5.2
2025-03-31,1831.95,7811824.0,135213.3918,40.6107,6.5323,5.2
2025-04-30,1752.5,9360713.0,129349.3104,38.8495,6.249,5.2
2025-05-31,1829.9,13314335.0,135062.0845,40.5653,6.525,6.35
2025-06-30,1880.7,8453601.0,138811.5538,41.6914,6.7062,6.35
2025-07-31,1873.5,7899229.0,138280.1329,41.5318,6.6805,6.35
2025-08-31,1619.7,4130884.0,119547.5481,35.9056,5.7755,6.35
2025-09-30,1569.8,5675233.0,115864.5064,34.7994,5.5976,6.35
2025-10-31,1667.1,9228807.0,123046.0687,36.9563,5.9445,6.35
2025-11-30,1823.3,9512823.0,134574.9487,40.419,6.5015,6.35
2025-12-31,1857.8,4855133.0,137121.3403,41.1838,6.6245,6.35
2026-01-31,1604.4,4569969.0,118418.2788,35.5664,5.7209,6.35
2026-02-28,1613.0,3113790.0,119053.0315,35.757,5.7516,6.35
2026-03-31,1539.4,565873.0,113620.7313,34.1255,5.4892,6.35
