GESCO IN Equity,price,volume,mc,pe,bm,div
2003-05-31,34.17,5088411.0,9354.5718,2.3493,0.4427,5.0
2003-06-30,35.46,1660101.0,9706.6768,2.4377,0.4594,5.0
2003-07-31,37.69,4584654.0,10315.7232,2.5907,0.4882,5.0
2003-08-31,48.71,7807582.0,13332.4061,3.3483,0.631,5.0
2003-09-30,56.28,8707282.0,15408.6625,3.8693,0.7291,5.0
2003-10-31,66.61,10029311.0,18235.3289,4.5791,0.8629,5.0
2003-11-30,96.37,18251387.0,26382.219,6.6248,1.2484,5.0
2003-12-31,106.8,7356090.0,29237.4375,7.3418,1.3835,5.0
2004-01-31,98.42,6590592.0,26943.7453,6.7658,1.275,5.0
2004-02-29,98.45,4756246.0,26953.2627,6.7682,1.2754,3.125
2004-03-31,88.27,3683814.0,24164.666,3.1393,0.9167,3.125
2004-04-30,89.83,6508934.0,24592.9487,3.1949,0.9329,3.125
2004-05-31,81.04,7510994.0,22185.0478,2.8821,0.8416,3.125
2004-06-30,94.18,8263948.0,25779.7916,3.3495,0.978,10.0
2004-07-31,95.88,7234858.0,26246.0927,3.41,0.9957,10.0
2004-08-31,100.89,3668391.0,27616.4471,3.5881,1.0477,10.0
2004-09-30,112.57,6051537.0,30819.4299,4.0035,1.169,10.0
2004-10-31,119.21,4503746.0,32637.3765,4.2397,1.238,10.0
2004-11-30,133.71,4081939.0,36606.4012,4.7553,1.3885,9.375
2004-12-31,116.08,4972670.0,31780.7524,4.1284,1.2055,9.375
2005-01-31,117.05,12546928.0,32047.2577,4.163,1.2156,9.375
2005-02-28,123.69,11886912.0,33865.2043,4.3992,1.2846,9.375
2005-03-31,107.01,12543570.0,29296.5426,1.9538,0.7451,9.375
2005-04-30,112.95,8459018.0,30924.1283,2.0624,0.7865,9.375
2005-05-31,108.92,8360703.0,29820.0351,1.9888,0.7584,9.375
2005-06-30,91.92,19436263.0,25165.7111,1.6784,0.64,10.3125
2005-07-31,108.01,19108439.0,29572.9381,1.9723,0.7521,10.3125
2005-08-31,134.51,46465699.0,36825.7797,2.456,0.9365,10.3125
2005-09-30,138.61,53243198.0,37948.9232,2.5309,0.9651,10.3125
2005-10-31,135.9,22015154.0,37206.5063,2.4813,0.9462,10.0
2005-11-30,157.31,27317875.0,43069.6958,2.8724,1.0953,10.0
2005-12-31,160.47,17339163.0,43935.8488,2.9301,1.1174,10.0
2006-01-31,163.67,21850629.0,44811.52,2.9885,1.1396,10.0
2006-02-28,170.73,24968894.0,46743.7075,3.1174,1.1888,9.375
2006-03-31,181.92,24821262.0,49808.5565,3.3116,0.9156,9.375
2006-04-30,201.15,22979275.0,50455.7917,,1.0124,9.375
2006-05-31,164.79,21921454.0,45116.1013,,0.8294,11.25
2006-06-30,161.83,20412229.0,44307.0573,,0.8145,11.25
2006-07-31,149.63,11330961.0,40966.1814,,0.7531,11.25
2006-08-31,188.18,45536960.0,51521.8262,,0.9471,11.25
2006-09-30,214.92,32384067.0,58841.295,,1.0817,11.25
2006-10-31,233.38,44820954.0,63895.4405,,1.1746,11.25
2006-11-30,218.55,48187973.0,33279.4598,,1.1,11.5
2006-12-31,200.95,18815933.0,30599.4393,,1.0114,11.5
2007-01-31,209.2,16300535.0,31855.6989,,1.0529,11.5
2007-02-28,208.45,11690308.0,31741.4935,,1.0491,11.375
2007-03-31,202.95,10552212.0,30903.987,3.387,0.9886,11.375
2007-04-30,247.1,10333600.0,37626.8795,4.1238,1.2037,11.375
2007-05-31,301.6,13001662.0,45925.8068,5.0334,1.4692,11.375
2007-06-30,356.4,25159861.0,54270.4163,5.9479,1.7361,11.375
2007-07-31,341.25,12627255.0,51963.4668,5.6951,1.6623,11.5
2007-08-31,318.05,13513999.0,48430.7124,5.3079,1.5493,11.5
2007-09-30,336.45,10374651.0,51232.588,5.615,1.6389,11.5
2007-10-31,483.95,22802688.0,73693.0033,8.0766,2.3574,11.5
2007-11-30,494.45,14996096.0,75291.8803,8.2518,2.4086,11.5
2007-12-31,557.4,13713830.0,84877.5288,9.3024,2.7152,11.5
2008-01-31,400.75,10918533.0,61023.8063,6.6881,1.9521,11.5
2008-02-29,414.35,8848657.0,63094.7328,6.915,2.0184,12.0
2008-03-31,377.15,7023575.0,57430.1399,3.9516,1.3258,12.0
2008-04-30,441.4,4769699.0,67213.7445,4.6247,1.5517,12.0
2008-05-31,505.85,11945082.0,77027.8039,5.3,1.7783,20.0
2008-06-30,371.6,6871952.0,56585.0192,3.8934,1.3063,20.0
