GUJS IN Equity,price,volume,mc,pe,bm,div
2008-07-31,58.35,23191732.0,32794.5911,35.3636,3.279,0.5
2008-08-31,62.25,38332113.0,34986.5175,37.7273,3.4982,0.5
2008-09-30,45.95,57325284.0,25825.3892,27.8485,2.5822,0.5
2008-10-31,29.45,25250035.0,16551.8419,17.8485,1.655,0.5
2008-11-30,29.0,35746501.0,16300.2674,17.5758,1.6297,0.5
2008-12-31,33.55,46202722.0,18857.7231,20.3333,1.8854,0.5
2009-01-31,30.1,63057788.0,16918.5479,18.2424,1.6915,0.5
2009-02-28,32.7,37227299.0,18381.1662,19.8182,1.8376,0.5
2009-03-31,38.35,38349888.0,21557.1169,23.2424,2.1551,0.5
2009-04-30,39.75,72106949.0,22344.0781,24.0909,2.2338,0.5
2009-05-31,60.0,111101064.0,33726.9104,36.3636,3.3717,0.5
2009-06-30,48.2,154327052.0,27093.9514,29.2121,2.7086,0.5
2009-07-31,72.05,163789585.0,40500.3982,43.6667,4.0489,0.5
2009-08-31,81.6,124601168.0,45876.9803,49.4545,4.5856,0.5
2009-09-30,83.65,100884011.0,47029.527,50.697,4.7008,0.5
2009-10-31,81.35,96288771.0,45736.4258,49.303,4.5715,0.5
2009-11-30,99.4,114721506.0,55895.3064,60.2424,5.5858,0.75
2009-12-31,96.4,70876840.0,54208.3253,58.4242,5.4172,0.75
2010-01-31,91.25,76673284.0,51312.3412,55.303,5.1278,0.75
2010-02-28,85.4,46824428.0,48033.1112,51.7576,4.7991,0.75
2010-03-31,87.75,42301856.0,49354.8654,11.9226,3.156,0.75
2010-04-30,95.4,49695952.0,53657.5972,12.962,3.4312,0.75
2010-05-31,94.45,34881470.0,53123.2711,12.8329,3.397,0.75
2010-06-30,102.3,48368996.0,57542.1203,13.8995,3.6793,0.75
2010-07-31,106.45,47580566.0,59876.4292,14.4633,3.8286,0.75
2010-08-31,115.1,45346554.0,64746.5039,15.6386,4.1397,0.75
2010-09-30,109.8,46972657.0,61765.1271,14.9185,3.9491,1.0
2010-10-31,112.55,87047528.0,63312.0678,15.2921,4.048,1.0
2010-11-30,108.5,37540664.0,61038.6935,14.7418,3.9023,1.0
2010-12-31,117.95,32746514.0,66354.9668,16.0258,4.2422,1.0
2011-01-31,102.1,36055691.0,57438.2544,13.8723,3.6722,1.0
2011-02-28,89.9,31521576.0,50576.1685,12.2147,3.2334,1.0
2011-03-31,99.0,23445383.0,55695.6694,10.1538,2.6803,1.0
2011-04-30,98.45,22146705.0,55386.249,10.0974,2.6654,1.0
2011-05-31,101.05,23227947.0,56848.9636,10.3641,2.7358,1.0
2011-06-30,88.9,36223281.0,50016.4021,9.1179,2.4069,1.0
2011-07-31,102.25,76922443.0,57527.3016,10.4872,2.7683,1.0
2011-08-31,100.15,44280743.0,56350.2374,10.2718,2.7114,1.0
2011-09-30,105.55,37815461.0,59388.5927,10.8256,2.8576,1.0
2011-10-31,99.75,19360851.0,56125.174,10.2308,2.7006,1.0
2011-11-30,89.5,16614259.0,50359.9577,9.1795,2.4231,1.0
2011-12-31,77.7,21316887.0,43720.3208,7.9692,2.1036,1.0
2012-01-31,83.35,27970087.0,46899.469,8.5487,2.2566,1.0
2012-02-29,77.35,58683110.0,43524.0009,7.9333,2.0942,1.0
2012-03-31,76.5,38031305.0,43045.7151,7.8947,1.6808,1.0
2012-04-30,65.95,46211119.0,37109.3453,6.806,1.449,1.0
2012-05-31,63.25,14208571.0,35590.0847,6.5273,1.3897,1.0
2012-06-30,70.0,34539316.0,39388.9282,7.2239,1.538,1.0
2012-07-31,70.6,17187739.0,39726.5476,7.2859,1.5511,1.0
2012-08-31,78.4,34872388.0,44115.5996,8.0908,1.7225,1.0
2012-09-30,80.7,34593748.0,45409.8073,8.3282,1.773,1.0
2012-10-31,75.45,21576503.0,42455.7528,7.7864,1.6577,1.0
2012-11-30,73.6,11211286.0,41414.7568,7.5955,1.6171,1.0
2012-12-31,76.75,23647193.0,43187.2634,7.9205,1.6863,1.0
2013-01-31,72.5,20190433.0,40795.7863,7.4819,1.5929,1.0
2013-02-28,64.8,15812267.0,36463.5303,6.6873,1.4237,1.0
2013-03-31,67.0,12957314.0,37701.4897,7.0084,1.2423,1.0
2013-04-30,67.2,12872798.0,37814.0314,7.0293,1.2461,1.0
2013-05-31,59.3,18740538.0,33368.6319,6.2029,1.0996,1.0
2013-06-30,57.6,13995449.0,32412.5789,6.0251,1.068,1.0
2013-07-31,49.55,8114636.0,27882.6959,5.1831,0.9188,1.0
2013-08-31,49.75,9118473.0,27995.2396,5.204,0.9225,1.0
2013-09-30,54.85,13576393.0,30865.6658,5.7374,1.0171,1.0
2013-10-31,55.9,11407437.0,31456.6571,5.8473,1.0365,1.0
2013-11-30,59.6,8268273.0,33538.7614,6.2343,1.1051,1.0
2013-12-31,61.0,12245214.0,34326.5847,6.3808,1.1311,1.0
2014-01-31,55.55,9281015.0,31260.1319,5.8107,1.03,1.0
2014-02-28,57.95,7888882.0,32610.7046,6.0617,1.0745,1.0
2014-03-31,69.3,11262547.0,38997.7883,9.3775,1.1519,1.0
2014-04-30,72.8,10902264.0,40967.3735,9.8512,1.2101,1.0
2014-05-31,72.85,32016479.0,40995.5105,9.8579,1.2109,1.0
2014-06-30,90.35,38715529.0,50843.5526,12.226,1.5018,1.0
2014-07-31,88.95,60425786.0,50055.7167,12.0365,1.4786,1.0
2014-08-31,85.5,18197554.0,48114.2639,11.5697,1.4212,1.0
2014-09-30,93.65,35017311.0,52703.0122,12.6725,1.5567,1.0
2014-10-31,96.95,15342089.0,54560.1392,13.1191,1.6115,1.0
2014-11-30,112.5,41182360.0,63317.3744,15.2233,1.87,1.0
2014-12-31,114.0,25343536.0,64161.6061,15.4263,1.8949,1.0
2015-01-31,118.8,53565614.0,66863.1474,16.0758,1.9747,1.0
2015-02-28,117.3,14935997.0,66018.9014,15.8728,1.9498,1.0
2015-03-31,124.05,18080448.0,69837.6666,14.3576,1.8476,1.0
2015-04-30,120.1,9416237.0,67613.8957,13.9005,1.7887,1.0
2015-05-31,120.5,11052634.0,67839.0876,13.9468,1.7947,1.0
2015-06-30,118.65,6396516.0,66805.9028,13.7326,1.7671,1.0
2015-07-31,129.7,19925298.0,73027.6072,15.0116,1.9317,1.0
2015-08-31,123.2,24692937.0,69367.7811,14.2593,1.8349,1.0
2015-09-30,117.7,12849960.0,66276.9533,13.6227,1.753,1.2
2015-10-31,129.45,19361178.0,72893.3867,14.9826,1.928,1.2
2015-11-30,135.75,7807834.0,76454.3685,15.7118,2.0218,1.2
2015-12-31,136.9,12397251.0,77102.0482,15.8449,2.0389,1.2
2016-01-31,138.9,17180230.0,78228.4478,16.0764,2.0687,1.2
2016-02-29,126.85,6829588.0,71459.6901,14.6817,1.8893,1.2
2016-03-31,141.7,9809602.0,79825.2905,17.155,2.0024,1.2
2016-04-30,137.7,6849886.0,77571.9301,16.6707,1.9459,1.2
2016-05-31,132.5,9688606.0,74642.5616,16.0412,1.8724,1.2
2016-06-30,143.3,6083757.0,80731.6462,17.3487,2.025,1.2
2016-07-31,132.6,9190488.0,74703.5331,16.0533,1.8738,1.2
2016-08-31,151.8,10990524.0,85520.3343,18.3777,2.1451,1.2
2016-09-30,156.25,6735909.0,88027.3533,18.9165,2.208,1.5
2016-10-31,158.6,12145063.0,89351.2847,19.201,2.2412,1.5
2016-11-30,156.9,6220985.0,88393.5471,18.9952,2.2172,1.5
2016-12-31,139.75,8813333.0,78751.5645,16.9189,1.9749,1.5
2017-01-31,152.25,13677966.0,85795.5327,18.4322,2.1515,1.5
2017-02-28,154.45,14701280.0,87046.1309,18.6985,2.1826,1.5
2017-03-31,161.5,18204691.0,91019.4246,16.8933,2.0474,1.5
2017-04-30,181.0,26166132.0,102009.3861,18.9331,2.2947,1.5
2017-05-31,170.4,10110293.0,96035.3558,17.8243,2.1603,1.5
2017-06-30,176.55,10525041.0,99520.6014,18.4676,2.2382,1.5
2017-07-31,194.75,22739188.0,109779.8761,20.3713,2.469,1.5
2017-08-31,191.0,16355906.0,107666.0145,19.9791,2.4214,1.5
2017-09-30,200.3,25941932.0,112922.5359,20.9519,2.5393,1.5
2017-10-31,204.5,18222683.0,115290.3574,21.3912,2.5926,1.5
2017-11-30,210.15,28328778.0,118484.376,21.9822,2.6642,1.5
2017-12-31,227.5,21756542.0,128266.4551,23.7971,2.8842,1.5
2018-01-31,202.85,14330017.0,114368.5733,21.2186,2.5717,1.5
2018-02-28,207.05,14182859.0,116741.7452,21.6579,2.6249,1.5
2018-03-31,189.5,19519468.0,106846.4657,14.4656,4.3998,1.5
2018-04-30,178.45,11211846.0,100616.1045,13.6221,4.1433,1.5
2018-05-31,179.35,12550463.0,101123.5547,13.6908,4.1642,1.5
2018-06-30,179.95,14971827.0,101469.1439,13.7366,4.1781,1.5
2018-07-31,198.0,10862365.0,111647.0714,15.1145,4.5972,1.5
2018-08-31,192.5,7274077.0,108547.0213,14.6947,4.4695,1.5
2018-09-30,174.45,17554180.0,98368.9759,13.3168,4.0504,1.75
2018-10-31,179.0,10869352.0,100934.6328,13.6641,4.156,1.75
2018-11-30,187.15,7631554.0,105544.1861,14.2863,4.3453,1.75
2018-12-31,175.85,5060871.0,99171.4941,13.4237,4.0829,1.75
2019-01-31,176.05,11461871.0,99284.2851,13.4389,4.0875,1.75
2019-02-28,157.25,8911919.0,88684.4953,12.0038,3.651,1.75
2019-03-31,190.7,15576147.0,107549.337,10.7679,3.2638,1.75
2019-04-30,199.9,7712181.0,112737.8735,11.2874,3.4212,1.75
2019-05-31,193.5,10708959.0,109136.8307,10.926,3.3117,1.75
2019-06-30,196.25,8549861.0,110687.8709,11.0813,3.3588,1.75
2019-07-31,211.95,10360302.0,119542.9006,11.9678,3.6275,1.75
2019-08-31,219.85,13071997.0,124006.5908,12.4139,3.7627,1.75
2019-09-30,216.95,10432381.0,122370.8432,12.2501,3.713,2.0
2019-10-31,209.25,15381942.0,118027.6512,11.8154,3.5813,2.0
2019-11-30,215.25,10041014.0,121414.632,12.1542,3.684,2.0
2019-12-31,219.5,11901558.0,123811.9012,12.3941,3.7567,2.0
2020-01-31,253.6,15439324.0,143046.4607,14.3196,4.3403,2.0
2020-02-29,225.45,10454423.0,127168.078,12.7301,3.8585,2.0
2020-03-31,172.45,20741032.0,97279.259,5.6467,1.9917,2.0
2020-04-30,207.25,9396467.0,116909.9822,6.7862,2.3936,2.0
2020-05-31,197.5,11038970.0,111409.9951,6.4669,2.281,2.0
2020-06-30,220.75,24869707.0,124534.6862,7.2282,2.5495,2.0
2020-07-31,204.75,19374367.0,115508.3896,6.7043,2.3647,2.0
2020-08-31,203.55,29708175.0,114843.0804,6.665,2.3509,2.0
2020-09-30,208.55,21069717.0,117664.0846,6.8287,2.4086,2.0
2020-10-31,193.2,11135325.0,109003.6004,6.3261,2.2313,2.0
2020-11-30,219.55,20006972.0,123872.6078,7.1889,2.5357,2.0
2020-12-31,221.6,20984014.0,125029.2411,7.2561,2.5593,2.0
2021-01-31,198.0,25238638.0,111713.8526,6.4833,2.2868,2.0
2021-02-28,249.8,32041096.0,140940.002,8.1794,2.885,2.0
2021-03-31,273.35,36302873.0,154227.1799,9.3735,2.4133,2.0
2021-04-30,269.65,16047613.0,152139.5978,9.2466,2.3806,2.0
2021-05-31,271.05,13697916.0,152929.4937,9.2946,2.393,2.0
2021-06-30,333.4,50076179.0,188108.0731,11.4326,2.9434,2.0
2021-07-31,346.1,17841758.0,195273.5572,11.8681,3.0556,2.0
2021-08-31,350.65,29004853.0,197840.719,12.0241,3.0957,2.0
2021-09-30,316.0,22094565.0,178290.7948,10.836,2.7898,2.0
2021-10-31,305.15,18030226.0,172169.1014,10.4639,2.694,2.0
2021-11-30,313.3,22069166.0,176767.4241,10.7434,2.766,2.0
2021-12-31,295.15,20700989.0,166526.9876,10.121,2.6057,2.0
2022-01-31,300.85,18194970.0,169742.9925,10.3165,2.6561,2.0
2022-02-28,289.5,23982746.0,163339.1934,9.9273,2.5559,2.0
2022-03-31,259.05,22811134.0,146158.957,8.9205,1.8457,2.0
2022-04-30,261.95,19383208.0,147795.1699,9.0203,1.8664,2.0
2022-05-31,254.5,16044159.0,143591.7952,8.7638,1.8133,2.0
2022-06-30,217.9,14994027.0,122941.6588,7.5034,1.5525,2.0
2022-07-31,232.4,20772419.0,131122.7238,8.0028,1.6559,2.0
2022-08-31,242.3,17448823.0,136708.4164,8.3437,1.7264,2.0
2022-09-30,230.95,30962146.0,130304.6173,7.9528,1.6455,2.0
2022-10-31,226.15,20353675.0,127596.4027,7.7875,1.6113,2.0
2022-11-30,269.5,68410410.0,152054.9658,9.2803,1.9202,2.0
2022-12-31,263.7,24186910.0,148782.5399,9.0806,1.8789,2.0
2023-01-31,269.8,16427544.0,152224.2292,9.2906,1.9223,2.0
2023-02-28,282.85,16645717.0,159587.1877,9.74,2.0153,2.0
2023-03-31,265.0,16699208.0,149516.0146,9.1097,1.5824,2.0
2023-04-30,284.95,15996737.0,160772.0316,9.7955,1.7015,2.0
2023-05-31,300.5,18743330.0,169545.5185,10.33,1.7943,2.0
2023-06-30,284.45,11549786.0,160489.9259,9.7783,1.6985,2.0
2023-07-31,288.35,11857474.0,162690.3503,9.9123,1.7218,2.0
2023-08-31,276.15,12760823.0,155806.9715,9.493,1.6489,2.0
2023-09-30,282.2,25168237.0,159220.4503,9.7009,1.6851,5.0
2023-10-31,267.5,16737634.0,150926.5431,9.1956,1.5973,5.0
2023-11-30,288.5,18906011.0,162774.982,9.9175,1.7227,5.0
2023-12-31,306.0,30348165.0,172648.6811,10.5191,1.8272,5.0
2024-01-31,367.85,51969810.0,207545.1547,12.6452,2.1965,5.0
2024-02-29,368.9,48102175.0,208137.5766,12.6813,2.2028,5.0
2024-03-31,356.5,23178430.0,201141.3555,12.1217,1.8581,5.0
2024-04-30,296.0,102656752.0,167006.5673,10.0646,1.5428,5.0
2024-05-31,290.0,37685445.0,163621.299,9.8606,1.5115,5.0
2024-06-30,296.55,42288654.0,167316.8836,10.0833,1.5457,5.0
2024-07-31,339.25,36031158.0,191408.7093,11.5352,1.7682,5.0
2024-08-31,442.6,162919563.0,249719.955,15.0493,2.3069,5.0
2024-09-30,425.05,119395801.0,239818.0454,14.4526,2.2154,5.0
2024-10-31,389.1,27551515.0,219534.6464,13.2302,2.0281,5.0
2024-11-30,354.15,20131977.0,199815.4588,12.0418,1.8459,5.0
2024-12-31,361.9,14650060.0,204188.097,12.3053,1.8863,5.0
2025-01-31,345.7,34404958.0,195047.8727,11.7545,1.8018,5.0
2025-02-28,272.25,14408921.0,153606.5471,9.2571,1.419,5.0
2025-03-31,291.3,31975847.0,164354.7738,14.7943,1.4113,5.0
2025-04-30,325.0,12389329.0,183368.6972,16.5058,1.5746,5.0
2025-05-31,328.8,10671674.0,185512.7004,16.6988,1.593,5.0
2025-06-30,329.55,16580414.0,185935.859,16.7369,1.5966,5.0
2025-07-31,315.25,13752343.0,177867.6363,16.0107,1.5273,5.0
2025-08-31,289.9,10812468.0,163564.8779,14.7232,1.4045,5.0
2025-09-30,309.55,21768534.0,174651.6314,15.7212,1.4997,5.0
2025-10-31,309.65,10252146.0,174708.0526,15.7263,1.5002,5.0
2025-11-30,287.5,8447585.0,162210.7706,14.6013,1.3929,5.0
2025-12-31,306.25,39188732.0,172789.7339,15.5536,1.4837,5.0
2026-01-31,304.6,11008943.0,171858.7851,15.4698,1.4757,5.0
2026-02-28,304.75,6877724.0,171943.4168,15.4774,1.4764,5.0
2026-03-31,291.05,2176965.0,164213.7141,14.7816,1.4101,5.0
