CGPOWER IN Equity,price,volume,mc,pe,bm,div
2019-07-31,18.25,86516832.0,11438.1171,,0.5369,0.0
2019-08-31,10.5,67011406.0,6580.8345,,0.3089,0.0
2019-09-30,14.15,39714865.0,8868.4579,,0.4163,0.0
2019-10-31,14.45,12859411.0,9056.4818,,0.4251,0.0
2019-11-30,13.7,95562724.0,8586.4221,,0.403,0.0
2019-12-31,10.8,19840652.0,6768.8583,,0.3177,0.0
2020-01-31,9.6,19511238.0,6016.763,,0.2824,0.0
2020-02-29,7.0,9128444.0,4387.223,,0.2059,0.0
2020-03-31,5.05,22142819.0,3165.068,,0.1441,0.0
2020-04-30,7.95,17642584.0,4982.6318,,,0.0
2020-05-31,6.0,23545356.0,3760.4769,,,0.0
2020-06-30,8.55,68210372.0,5358.6795,,,0.0
2020-07-31,9.3,128099939.0,5828.7391,,,0.0
2020-08-31,22.4,466151900.0,14039.1136,,,0.0
2020-09-30,23.95,198952424.0,15010.5701,,,0.0
2020-10-31,31.4,108865692.0,19679.8289,,,0.0
2020-11-30,41.2,158266836.0,25821.9411,,,0.0
2020-12-31,44.85,195365541.0,60009.2116,,,0.0
2021-01-31,39.75,65127669.0,53185.4224,,,0.0
2021-02-28,56.45,136582434.0,75529.9898,,,0.0
2021-03-31,66.9,113356197.0,89512.0693,4.4839,,0.0
2021-04-30,69.6,81940423.0,93124.6641,4.6649,,0.0
2021-05-31,85.6,91954338.0,114532.6328,5.7373,,0.0
2021-06-30,79.1,43916214.0,105835.6455,5.3016,,0.0
2021-07-31,78.4,26794739.0,104899.0455,5.2547,,0.0
2021-08-31,85.9,39870824.0,116123.3162,5.7574,,0.0
2021-09-30,122.95,48340215.0,166209.1004,8.2406,,0.0
2021-10-31,146.3,52847816.0,197774.6351,9.8056,,0.0
2021-11-30,149.15,22236276.0,201627.3878,9.9966,,0.0
2021-12-31,194.55,33042029.0,263001.0613,13.0395,,0.0
2022-01-31,174.55,69048497.0,235964.2007,11.6991,,0.0
2022-02-28,171.25,37979345.0,231503.1187,11.4779,,0.0
2022-03-31,189.45,34063221.0,256106.6618,40.9179,27.2351,0.0
2022-04-30,197.9,50731151.0,267529.7354,42.743,28.4499,0.0
2022-05-31,181.95,39934706.0,245967.8391,39.2981,26.1569,0.0
2022-06-30,191.65,24170803.0,292664.2446,41.3931,27.5514,0.0
2022-07-31,224.15,54999485.0,342294.2365,48.4125,32.2235,0.0
2022-08-31,224.85,37327491.0,343363.1901,48.5637,32.3242,0.0
2022-09-30,235.7,90763631.0,359931.9721,50.9071,33.8839,0.0
2022-10-31,260.0,47188899.0,397039.9352,56.1555,37.3773,0.0
2022-11-30,279.6,32955612.0,426970.6381,60.3888,40.195,0.0
2022-12-31,270.3,28997640.0,412774.1661,58.3801,38.858,0.0
2023-01-31,302.45,69029457.0,461870.3165,65.324,43.4798,0.0
2023-02-28,305.25,153038043.0,466146.1865,65.9287,43.8824,0.0
2023-03-31,300.05,43209349.0,458215.7868,57.1524,25.5914,1.5
2023-04-30,308.85,29710960.0,471654.5434,58.8286,26.3419,1.5
2023-05-31,392.85,63278262.0,599960.2034,74.8286,33.5063,1.5
2023-06-30,378.5,34644188.0,578044.8949,72.0952,32.2824,1.5
2023-07-31,402.05,34432495.0,614023.7036,76.581,34.291,1.5
2023-08-31,429.35,35540761.0,655727.404,81.781,36.6194,1.5
2023-09-30,442.2,38561435.0,675352.6448,84.2286,37.7154,1.5
2023-10-31,390.1,41549738.0,595788.4538,74.3048,33.2717,1.5
2023-11-30,449.4,89547141.0,686361.2471,85.6,38.3295,1.5
2023-12-31,454.4,44209633.0,693997.6651,86.5524,38.7559,1.5
2024-01-31,468.55,55453093.0,715608.728,89.2476,39.9628,1.5
2024-02-29,443.25,51616663.0,676975.9883,84.4286,37.8049,1.3
2024-03-31,540.9,122520867.0,826134.5355,94.8947,27.3787,1.3
2024-04-30,553.95,65183874.0,846066.2339,97.1842,28.0392,1.3
2024-05-31,643.45,109942504.0,982788.6806,112.886,32.5694,1.3
2024-06-30,704.7,76337558.0,1076691.366,123.6316,35.6697,1.3
2024-07-31,736.0,71654179.0,1124858.309,129.1228,37.254,1.3
2024-08-31,696.1,45274826.0,1063967.336,122.1228,35.2344,1.3
2024-09-30,759.05,62208202.0,1160198.888,133.1667,38.4207,1.3
2024-10-31,704.4,98844965.0,1076667.013,123.5789,35.6545,1.3
2024-11-30,732.25,43606282.0,1119264.697,128.4649,37.0642,1.3
2024-12-31,728.0,51174883.0,1112795.126,127.7193,36.8491,1.3
2025-01-31,634.85,113204924.0,970531.3459,111.3772,32.1341,1.3
2025-02-28,572.6,73048773.0,875430.6436,100.4561,28.9832,1.3
2025-03-31,638.5,76230159.0,976183.14,100.0784,25.3953,1.3
2025-04-30,626.8,53946240.0,958379.9855,98.2445,24.93,1.3
2025-05-31,686.7,63135417.0,1049981.594,107.6332,27.3124,1.3
2025-06-30,682.15,48866443.0,1043061.161,106.9201,27.1314,1.3
2025-07-31,661.7,77453748.0,1041873.402,103.7147,26.3181,1.3
2025-08-31,694.3,65062788.0,1093247.161,108.8245,27.6147,1.3
2025-09-30,740.95,93938474.0,1166771.601,116.1364,29.4701,1.3
2025-10-31,736.65,49285545.0,1160017.347,115.4624,29.2991,1.3
2025-11-30,672.9,52601557.0,1059677.947,105.4702,26.7635,1.3
2025-12-31,647.9,44987117.0,1020353.484,101.5517,25.7692,1.3
2026-01-31,584.05,122343305.0,919807.2675,91.5439,23.2297,1.3
2026-02-28,725.2,84918160.0,1142119.372,113.6677,28.8437,1.3
2026-03-31,701.7,8444876.0,1105109.18,109.9843,27.909,1.3
