IFCI IN Equity,price,volume,mc,pe,bm,div
2002-11-30,5.45,2918795.0,3480.8735,,,0.0
2002-12-31,5.7,5346620.0,3640.5466,,,0.0
2003-01-31,5.4,5028387.0,3448.9389,,,0.0
2003-02-28,5.0,2256521.0,3193.4619,,,0.0
2003-03-31,3.8,2537491.0,2427.0311,,,0.0
2003-04-30,4.1,1171290.0,2618.6388,,,0.0
2003-05-31,7.25,10313495.0,4630.5198,,,0.0
2003-06-30,8.67,26751522.0,5537.463,,,0.0
2003-07-31,8.73,29010882.0,5575.7845,,,0.0
2003-08-31,15.65,111158111.0,9995.5358,,,0.0
2003-09-30,14.75,46098882.0,9420.7126,,,0.0
2003-10-31,13.25,29359805.0,8462.6741,,,0.0
2003-11-30,16.66,84297155.0,10640.6151,,,0.0
2003-12-31,16.9,101293035.0,10793.9013,,,0.0
2004-01-31,18.05,173796721.0,11528.3975,,,0.0
2004-02-29,9.5,64217191.0,6067.5776,,,0.0
2004-03-31,9.83,20477473.0,6278.3461,,,0.0
2004-04-30,10.1,26188969.0,6450.7931,,,0.0
2004-05-31,7.69,16700330.0,4911.5444,,,0.0
2004-06-30,7.97,8407693.0,5090.3783,,,0.0
2004-07-31,9.68,32115658.0,6182.5423,,,0.0
2004-08-31,8.55,11689589.0,5460.6779,,,0.0
2004-09-30,10.31,66908999.0,6584.7473,,,0.0
2004-10-31,9.58,28650613.0,6118.514,,,0.0
2004-11-30,10.97,30328139.0,7006.2733,,,0.0
2004-12-31,15.26,127547098.0,9746.1924,,,0.0
2005-01-31,14.05,238058296.0,8973.3947,,,0.0
2005-02-28,16.15,819675203.0,10314.6139,,,0.0
2005-03-31,13.3,389287903.0,8494.3879,,,0.0
2005-04-30,11.75,106466998.0,7504.4404,,,0.0
2005-05-31,13.3,123536518.0,8494.3879,,,0.0
2005-06-30,13.25,264585796.0,8462.4541,,,0.0
2005-07-31,16.8,293602218.0,10729.7531,,,0.0
2005-08-31,16.7,299646513.0,10665.8855,,,0.0
2005-09-30,16.0,397225763.0,10218.8125,,,0.0
2005-10-31,12.15,229949724.0,7759.9107,,,0.0
2005-11-30,10.35,338398752.0,6610.2943,,,0.0
2005-12-31,10.0,173027615.0,6386.7578,,,0.0
2006-01-31,11.35,353669343.0,7248.9701,,,0.0
2006-02-28,10.95,293114062.0,6993.4998,,,0.0
2006-03-31,10.8,249225148.0,6897.6984,,,0.0
2006-04-30,12.0,452443882.0,7376.7053,,,0.0
2006-05-31,11.1,765765131.0,7089.3012,,,0.0
2006-06-30,9.1,442072462.0,5811.9496,,,0.0
2006-07-31,8.55,188122534.0,5460.6779,,,0.0
2006-08-31,9.4,198288761.0,6003.5523,,,0.0
