WELSPUNL IN Equity,price,volume,mc,pe,bm,div
1998-12-31,1.2,74000.0,,,,0.15
1999-01-31,1.22,58000.0,,,,0.15
1999-02-28,0.74,90000.0,,,,0.15
1999-03-31,0.89,230000.0,,,,0.15
1999-04-30,0.75,51000.0,,,,0.15
1999-05-31,0.66,40000.0,,,,0.15
1999-06-30,0.84,240000.0,,,,0.15
1999-07-31,0.59,113000.0,,,,0.15
1999-08-31,0.76,278500.0,,,,0.15
1999-09-30,0.75,140000.0,,,,0.0
1999-10-31,0.84,147500.0,,,,0.0
1999-11-30,0.86,143000.0,,,,0.0
1999-12-31,0.84,174500.0,,,,0.0
2000-01-31,0.49,538500.0,,,,0.0
2000-02-29,0.75,4324330.0,,,,0.0
2000-03-31,0.69,2315500.0,,,,0.0
2000-04-30,0.75,5752000.0,,,,0.0
2000-05-31,1.15,3839000.0,423.1326,,,0.0
2000-06-30,1.45,4179500.0,535.8523,,,0.0
2000-07-31,2.46,152000.0,908.6946,,,0.0
2000-08-31,3.11,143900.0,1149.7414,,,0.0
2000-09-30,1.99,297250.0,737.0137,,,0.0
2000-10-31,1.83,52950.0,676.3185,,,0.0
2000-11-30,3.16,5857500.0,1167.0829,,,0.0
2000-12-31,3.22,12918140.0,1189.6269,,,0.0
2001-01-31,3.93,15156980.0,1453.2176,,,0.0
2001-02-28,5.33,29882990.0,1968.2602,,,0.0
2001-03-31,4.0,16086610.0,1477.4957,,,0.0
2001-04-30,4.77,3207750.0,1763.6305,,,0.0
2001-06-30,5.06,6359150.0,1643.2469,,,0.0
2001-07-31,5.43,7078930.0,1762.0358,,,0.0
2001-08-31,6.93,5808450.0,2249.375,,,0.0
2001-09-30,7.08,5616930.0,2296.586,,,0.0
2001-10-31,5.84,3489340.0,1894.5312,,,0.0
2001-11-30,5.67,3196830.0,1839.7055,,,0.0
2001-12-31,5.34,3423840.0,1731.5771,,,0.0
2002-01-31,5.43,4317950.0,1771.1734,,,0.0
2002-02-28,6.24,4487640.0,1851.889,,,0.0
2002-03-31,7.07,6562470.0,,22.9175,1.9387,0.0
2002-04-30,4.66,755320.0,2272.0515,15.1109,1.2783,0.0
2002-05-31,4.59,1405950.0,,14.8827,1.259,0.0
2002-06-30,3.43,454420.0,1835.1185,11.1239,0.941,0.0
2002-07-31,3.14,105840.0,,10.1957,0.8625,0.0
2002-08-31,3.05,50890.0,,9.8913,0.8368,0.0
2002-09-30,2.35,47630.0,,7.6087,0.6437,0.0
2002-10-31,1.88,44950.0,,6.1022,0.5162,0.0
2002-11-30,2.46,53190.0,,7.9892,0.6759,0.0
2002-12-31,2.2,70660.0,,7.137,0.6038,0.0
2003-01-31,1.98,71390.0,,6.4218,0.5433,0.0
2003-02-28,1.92,57510.0,,6.2391,0.5278,0.0
2003-03-31,3.29,113790.0,,6.4674,0.8066,0.0
2003-04-30,2.39,42150.0,,4.712,0.5876,0.0
2003-05-31,3.09,336730.0,,6.0886,0.7593,0.0
2003-06-30,3.27,269600.0,,6.4304,0.802,0.0
2003-07-31,4.12,2088470.0,,8.1027,1.0105,0.0
2003-08-31,5.39,57557370.0,,10.6158,1.3239,0.0
2003-09-30,4.71,11886010.0,,9.2668,1.1557,0.0
2003-10-31,5.25,29605260.0,,10.3386,1.2894,0.0
2003-11-30,7.26,36612570.0,,14.3022,1.7837,0.0
2003-12-31,10.56,111256060.0,,20.788,2.5926,0.0
2004-01-31,8.89,29240460.0,,17.4989,2.1824,0.0
2004-02-29,7.69,67623050.0,,15.1337,1.8874,0.0
2004-03-31,7.87,9062830.0,,12.2799,1.5498,0.0
2004-04-30,8.06,19501430.0,,12.5803,1.5878,0.0
2004-05-31,7.51,6575650.0,,11.7231,1.4796,0.0
2004-06-30,7.64,3368560.0,,11.9282,1.5055,0.0
2004-07-31,8.04,3946730.0,,12.551,1.5841,0.0
2004-08-31,9.1,5730380.0,5475.6583,14.2069,1.793,0.0
2004-09-30,9.25,7715800.0,5563.201,14.434,1.8217,0.0
2004-10-31,9.81,19141150.0,5902.0762,15.3133,1.9327,0.0
2004-11-30,11.27,38728250.0,6780.3278,17.5919,2.2203,0.0
2004-12-31,12.27,22392130.0,7381.8312,19.1526,2.4172,0.0
2005-01-31,11.77,24915590.0,7082.4915,18.3759,2.3192,0.0
2005-02-28,12.48,21624770.0,7508.9094,19.4823,2.4589,0.0
2005-03-31,11.57,36963190.0,6961.0612,19.77,1.8284,0.0
2005-04-30,10.85,8663380.0,6531.8193,18.5509,1.7157,0.0
2005-05-31,10.56,39765080.0,6353.9098,18.0456,1.669,0.0
2005-06-30,10.32,40942070.0,7495.1473,17.6446,1.6319,0.0
2005-07-31,10.18,17186820.0,7392.9408,17.404,1.6096,0.0
2005-08-31,12.47,51947240.0,9581.0799,21.3179,1.9716,0.0
2005-09-30,11.81,41523000.0,9072.8285,20.187,1.867,0.0
2005-10-31,10.51,46837710.0,8186.024,17.9654,1.6615,0.0
2005-11-30,10.7,11168610.0,8335.8575,18.2942,1.692,0.0
2005-12-31,10.18,36029620.0,7930.2108,17.404,1.6096,0.0
2006-01-31,9.68,17164940.0,7535.5275,16.5378,1.5295,0.0
2006-02-28,9.62,25439030.0,7488.0193,16.4335,1.5199,0.0
2006-03-31,11.13,55888230.0,8668.4148,19.9749,1.4762,0.0
2006-04-30,10.84,33669260.0,8390.6746,19.4528,1.4377,0.0
2006-05-31,8.76,24104980.0,6819.2504,15.7138,1.1613,0.0
2006-06-30,7.36,19215430.0,5733.8713,13.2127,0.9765,0.0
2006-07-31,6.67,34526850.0,5196.6635,11.9748,0.885,0.0
2006-08-31,8.24,27645070.0,6417.2581,14.7875,1.0929,0.0
2006-09-30,9.04,20367570.0,7042.1734,16.2275,1.1993,0.0
2006-10-31,8.53,3938480.0,6643.8356,15.3096,1.1315,0.0
2006-11-30,8.68,9962090.0,6760.7788,15.579,1.1514,0.0
2006-12-31,8.07,6373520.0,6285.697,14.4843,1.0705,0.0
2007-01-31,8.45,9644200.0,6578.055,15.158,1.1202,0.0
2007-02-28,7.37,10090600.0,5737.5258,13.2211,0.9771,0.0
2007-03-31,6.68,39960740.0,5203.9724,10.6219,0.9175,0.0
2007-04-30,6.88,8366060.0,5361.1149,10.9426,0.9452,0.0
2007-05-31,6.51,8186860.0,5072.4113,10.3534,0.8943,0.0
2007-06-30,6.1,7093150.0,4750.8175,9.6969,0.8376,0.0
2007-07-31,5.82,28176850.0,4535.2035,9.2569,0.7996,0.0
2007-08-31,5.52,13764760.0,4301.3171,8.7795,0.7583,0.0
2007-09-30,6.3,54331700.0,4907.9933,10.0177,0.8653,0.0
2007-10-31,6.24,29280460.0,4856.8303,9.9133,0.8563,0.0
2007-11-30,8.44,190745840.0,6574.4452,13.4191,1.1591,0.0
2007-12-31,9.71,75672400.0,7564.8146,15.4405,1.3337,0.0
2008-01-31,6.21,33812870.0,4838.5578,9.876,0.8531,0.0
2008-02-29,5.86,25377150.0,4564.4703,9.3165,0.8047,0.0
2008-03-31,4.2,17463180.0,3270.7773,6.676,0.5869,0.0
2008-04-30,4.97,19750280.0,3873.7698,,0.695,0.0
2008-05-31,4.7,34398020.0,3661.8088,,0.657,0.0
2008-06-30,3.33,5788460.0,2594.6949,,0.4655,0.0
2008-07-31,3.67,4468850.0,2861.4734,,0.5134,0.0
2008-08-31,3.68,4212250.0,2865.1279,,0.5141,0.0
2008-09-30,3.43,6363320.0,2671.4394,,0.4793,0.0
2008-10-31,2.23,3768400.0,1735.8874,,0.3115,0.0
2008-11-30,1.69,2960350.0,1315.6199,,0.2361,0.0
2008-12-31,1.9,2275950.0,1480.0724,,0.2656,0.0
2009-01-31,1.51,3534600.0,1173.0944,,0.2105,0.0
2009-02-28,1.32,57724450.0,1030.5689,,0.1849,0.0
2009-03-31,1.91,61330360.0,1491.0359,,0.3188,0.0
2009-04-30,2.53,5038370.0,1969.7754,,0.4211,0.0
2009-05-31,3.39,5316370.0,2638.5489,,0.5641,0.0
2009-06-30,3.49,10810090.0,2547.1864,,0.5802,0.0
2009-07-31,3.94,5242160.0,2879.7459,,0.6559,0.0
2009-08-31,5.56,20733600.0,4063.8038,,0.9256,0.0
2009-09-30,6.05,54113520.0,4418.2903,,1.0064,0.0
2009-10-31,8.36,101840350.0,6106.6692,,1.391,0.0
2009-11-30,8.43,49868710.0,6157.8322,,1.4026,0.0
2009-12-31,9.37,41232190.0,6848.5327,,1.5599,0.0
2010-01-31,7.75,82523180.0,5664.4747,,1.2902,0.0
2010-02-28,7.83,38651800.0,5719.2922,,1.3027,0.0
2010-03-31,9.15,99862400.0,6687.7347,4.2038,1.295,0.0
2010-04-30,8.87,122743410.0,7862.5899,4.0728,1.2547,0.0
2010-05-31,8.09,43314600.0,7175.223,3.7168,1.145,0.0
2010-06-30,7.5,28515130.0,6651.9373,3.4457,1.0615,0.1
2010-07-31,7.77,25296270.0,6896.7529,3.5698,1.0997,0.1
2010-08-31,6.78,24089280.0,6019.4044,3.1126,0.9589,0.1
2010-09-30,6.3,28663470.0,5599.7109,2.8944,0.8917,0.1
2010-10-31,6.68,52448890.0,5935.6304,3.0667,0.9447,0.1
2010-11-30,6.06,38837380.0,5388.7521,2.7841,0.8577,0.1
2010-12-31,5.99,15843500.0,5329.6806,2.752,0.8478,0.1
2011-01-31,4.64,70732430.0,4128.5005,2.1317,0.6567,0.1
2011-02-28,3.76,19431440.0,3349.9578,1.7297,0.5329,0.1
2011-03-31,4.27,57230500.0,3799.2881,266.875,0.5722,0.1
2011-04-30,5.79,113744290.0,5151.7279,361.875,0.7759,0.1
2011-05-31,4.76,24444450.0,4235.272,297.5,0.6379,0.1
2011-06-30,4.18,40204230.0,3719.2095,261.25,0.5602,0.1
2011-07-31,4.1,16364090.0,3648.0284,256.25,0.5494,0.1
2011-08-31,2.58,25901540.0,2291.7834,160.9375,0.3451,0.0
2011-09-30,2.74,17448660.0,2438.6355,171.25,0.3672,0.0
2011-10-31,3.26,10506850.0,2896.9922,203.4375,0.4362,0.0
2011-11-30,2.69,8191040.0,2394.1349,168.125,0.3605,0.0
2011-12-31,2.47,13823380.0,2198.332,154.375,0.331,0.0
2012-01-31,4.21,38962440.0,3742.5045,262.8125,0.5635,0.0
2012-02-29,3.69,13642160.0,3279.6978,230.3125,0.4938,0.0
2012-03-31,4.54,72281410.0,4036.7077,272.5,0.5434,0.0
2012-04-30,4.53,8179080.0,4032.2571,,0.5428,0.0
2012-05-31,5.25,13384590.0,4675.3507,,0.6291,0.0
2012-06-30,5.15,4771500.0,4586.2964,,0.6171,0.0
2012-07-31,5.33,119655680.0,4742.7804,,0.6381,0.0
2012-08-31,5.19,73656250.0,4623.5578,,0.6213,0.0
2012-09-30,5.19,4815140.0,4623.5578,,0.6213,0.0
2012-10-31,5.17,5973140.0,4612.4311,,0.6195,0.0
2012-11-30,6.6,30239560.0,5896.1296,,0.7909,0.2
2012-12-31,6.17,8320220.0,5516.1529,,0.7394,0.2
2013-01-31,8.02,32370190.0,8005.246,,0.9605,0.2
2013-02-28,7.18,18924780.0,7180.395,,0.8604,0.2
2013-03-31,6.81,9428500.0,6806.8374,3.0177,0.6874,0.2
2013-04-30,6.3,4583130.0,6296.6997,2.7916,0.6359,0.2
2013-05-31,5.66,5281930.0,5661.5282,2.51,0.5718,0.2
2013-06-30,6.25,4850530.0,6251.6885,2.7716,0.6314,0.2
2013-07-31,4.85,7631240.0,4850.5484,2.1486,0.4894,0.2
2013-08-31,5.95,4512570.0,5956.8138,2.6386,0.6011,0.2
2013-09-30,6.14,5071200.0,6152.4035,2.7228,0.6203,0.4
2013-10-31,6.78,13114050.0,6798.7065,3.0089,0.6854,0.4
2013-11-30,6.86,6957830.0,6876.0535,3.0421,0.693,0.2
2013-12-31,7.5,5829220.0,7521.3387,3.3259,0.7576,0.2
2014-01-31,8.79,38453700.0,8813.3767,3.8958,0.8875,0.2
2014-02-28,10.29,48123800.0,10318.2219,4.561,1.039,0.2
2014-03-31,10.07,60879540.0,10104.8937,10.9558,0.9106,0.2
2014-04-30,12.92,137275950.0,12961.6251,14.0511,1.1679,0.2
2014-05-31,12.54,99902840.0,12582.7598,13.6377,1.1335,0.2
2014-06-30,17.51,95155900.0,17576.7152,19.0503,1.5834,0.5
2014-07-31,23.86,38012490.0,23950.3057,25.9535,2.1572,0.5
2014-08-31,21.78,27255360.0,21867.0156,23.6959,1.9695,0.5
2014-09-30,30.02,37617470.0,30139.9362,32.6608,2.7146,0.3
2014-10-31,29.89,13530470.0,30012.5845,32.5139,2.7024,0.3
2014-11-30,37.27,36881190.0,37429.1123,40.5486,3.3702,0.6
2014-12-31,32.96,15177530.0,33105.5554,35.8594,2.9805,0.6
2015-01-31,38.33,17163400.0,38499.5373,41.6964,3.4656,0.6
2015-02-28,35.15,14331470.0,35309.9331,38.2421,3.1785,0.6
2015-03-31,35.58,25754800.0,35738.6148,6.6174,2.4951,0.6
2015-04-30,47.39,57499450.0,47602.9308,8.8142,3.3234,0.6
2015-05-31,56.56,67246270.0,56822.4453,10.5208,3.9669,0.6
2015-06-30,64.29,40165750.0,64583.2902,11.9578,4.5087,1.5
2015-07-31,89.71,102531430.0,90133.8967,16.6871,6.2919,1.5
2015-08-31,77.19,77925160.0,77549.7137,14.3573,5.4135,1.5
2015-09-30,84.52,57701040.0,84914.3494,15.7208,5.9276,1.5
2015-10-31,71.86,68298160.0,72204.5757,13.3677,5.0404,1.7
2015-11-30,87.13,33648140.0,87536.6821,16.2063,6.1106,1.4
2015-12-31,91.29,35414400.0,91716.3389,16.9801,6.4024,1.4
2016-01-31,83.08,40313360.0,83467.5451,15.4529,5.8266,1.4
2016-02-29,81.19,31690920.0,81568.6145,15.1014,5.694,1.4
2016-03-31,98.95,44747931.0,99417.5605,13.4993,5.0464,2.0
2016-04-30,99.95,32137462.0,100422.2857,13.6357,5.0974,2.0
2016-05-31,104.25,19712048.0,104742.6042,14.2224,5.3167,2.0
