IPRU IN Equity,price,volume,mc,pe,bm,div
2024-01-31,503.25,68769041.0,724707.9057,79.4137,6.5459,0.6
2024-02-29,532.65,35614091.0,767179.2524,84.0531,6.9283,0.6
2024-03-31,608.65,57186490.0,876731.7921,102.8635,7.9679,0.6
2024-04-30,572.9,50643781.0,825406.661,96.8216,7.4999,0.6
2024-05-31,545.45,35905007.0,786238.8458,92.1825,7.1405,0.6
2024-06-30,605.7,33708517.0,873361.2413,100.2828,7.7385,0.6
2024-07-31,735.95,54574222.0,1061210.757,121.8476,9.4026,0.6
2024-08-31,753.15,35627989.0,1087350.083,124.6953,9.6223,0.6
2024-09-30,780.15,25870475.0,1126856.369,128.2397,9.7357,0.6
2024-10-31,741.0,23381816.0,1070538.892,121.8043,9.2472,0.6
2024-11-30,699.65,19395965.0,1010957.701,115.0073,8.7311,0.6
2024-12-31,654.85,20249374.0,946395.6185,96.9902,8.1303,0.6
2025-01-31,616.0,37873495.0,890260.9106,91.2361,7.6479,0.6
2025-02-28,551.6,21769530.0,797215.8087,81.6978,6.8484,0.6
2025-03-31,564.35,25214926.0,815667.333,68.725,6.8349,0.6
2025-04-30,614.35,42228892.0,888069.4047,74.8139,7.4405,0.6
2025-05-31,662.4,16799935.0,957595.564,80.6653,8.0224,0.6
2025-06-30,657.9,23398691.0,951414.6724,75.2992,7.5845,0.85
2025-07-31,615.95,34758456.0,890859.9392,70.4979,7.1008,0.85
2025-08-31,599.85,17522615.0,867762.8458,68.6552,6.9152,0.85
2025-09-30,595.2,29433242.0,861115.5214,65.8099,6.7723,0.85
2025-10-31,591.15,33217548.0,855350.0732,65.3621,6.7263,0.85
2025-11-30,619.75,22105470.0,896989.7329,68.5243,7.0517,0.85
2025-12-31,668.25,30314719.0,967453.7886,70.5633,7.1906,0.85
2026-01-31,636.85,38782223.0,922137.8706,67.2477,6.8527,0.85
2026-02-28,654.5,26094584.0,948364.3713,69.1114,7.0426,0.85
2026-03-31,627.5,1825352.0,909241.6241,66.2604,6.7521,0.85
