MM IN Equity,price,volume,mc,pe,bm,div
2004-01-31,51.44,90885256.0,47744.5726,21.4757,2.6814,0.6875
2004-02-29,58.28,180882752.0,54090.407,24.3301,3.0378,0.6875
2004-03-31,58.07,125474904.0,53893.1872,13.0965,2.6769,0.6875
2004-04-30,58.67,77162888.0,54450.0429,13.2319,2.7046,0.6875
2004-05-31,52.55,99459512.0,48771.2752,11.8519,2.4225,0.6875
2004-06-30,55.24,108232752.0,51271.3252,12.4594,2.5467,1.125
2004-07-31,56.46,146286488.0,52401.0839,12.7343,2.6029,1.125
2004-08-31,53.57,93515984.0,49715.4848,12.0816,2.4695,1.125
2004-09-30,53.51,57169568.0,49663.2809,12.0689,2.4669,1.125
2004-10-31,55.58,40468224.0,51583.2232,12.5355,2.5622,1.125
2004-11-30,61.21,31486672.0,56803.6102,13.8041,2.8215,1.125
2004-12-31,68.06,44456400.0,63166.6818,15.3505,3.1376,1.125
2005-01-31,67.51,148517400.0,62656.244,15.2264,3.1122,1.125
2005-02-28,67.15,149772576.0,62319.819,15.1447,3.0955,1.125
2005-03-31,62.11,200342992.0,57644.6725,8.458,2.3912,1.125
2005-04-30,55.36,134144368.0,51380.2082,7.5389,2.1313,1.125
2005-05-31,63.89,124933504.0,59297.795,8.7006,2.4598,1.125
2005-06-30,69.72,142860968.0,64703.7957,9.4938,2.684,1.625
2005-07-31,85.16,90722696.0,79036.658,11.5968,3.2786,1.625
2005-08-31,90.15,104625440.0,83665.4011,12.276,3.4706,1.625
2005-09-30,94.38,53409108.0,87587.7359,12.8513,3.6332,1.625
2005-10-31,89.75,86712960.0,83295.3568,12.2215,3.4552,1.625
2005-11-30,113.88,85060652.0,105685.3344,15.5067,4.3839,1.625
2005-12-31,127.9,121714912.0,118926.6409,17.4165,4.9239,1.625
2006-01-31,139.6,70364132.0,131022.8052,19.0097,5.3743,1.625
2006-02-28,147.07,88567636.0,138888.1541,20.0276,5.6621,1.625
2006-03-31,156.76,136682600.0,150540.0315,11.1179,1.0841,1.625
2006-04-30,157.84,53727620.0,150942.9469,11.1941,1.0916,1.625
2006-05-31,152.73,121971888.0,148746.1428,10.8316,1.0562,1.625
2006-06-30,155.45,117478952.0,151703.099,11.0248,1.075,2.5
2006-07-31,147.53,83381356.0,143969.1199,10.4628,1.0202,2.5
2006-08-31,161.56,88363100.0,157668.2659,11.4583,1.1173,2.5
2006-09-30,170.03,77590620.0,165950.118,12.0585,1.1758,2.5
2006-10-31,195.49,66728764.0,190802.3743,13.8644,1.3519,2.5
2006-11-30,205.29,74789004.0,200367.5039,14.5594,1.4197,2.5
2006-12-31,227.11,69464712.0,222099.5848,16.1073,1.5706,2.5
2007-01-31,225.28,92235732.0,220302.6429,15.977,1.5579,2.5
2007-02-28,202.84,80112680.0,198360.3921,14.3856,1.4028,2.5
2007-03-31,195.1,104047252.0,191489.7926,12.3325,3.9814,4.375
2007-04-30,194.43,79444860.0,190827.2831,12.2898,3.9676,4.375
2007-05-31,189.36,96226004.0,185952.0795,11.9698,3.8643,4.375
2007-06-30,180.79,71124964.0,177531.5154,11.4278,3.6893,3.75
2007-07-31,182.2,92779872.0,178918.5762,11.5171,3.7182,2.875
2007-08-31,177.03,89527764.0,173836.778,11.1899,3.6126,2.875
2007-09-30,188.0,66354880.0,184640.0623,11.8837,3.8365,2.875
2007-10-31,188.61,113705148.0,185241.6157,11.9224,3.849,2.875
2007-11-30,182.39,63940524.0,179127.8689,11.5289,3.722,2.875
2007-12-31,215.49,67430832.0,211819.0436,13.6212,4.3975,2.875
2008-01-31,166.21,81879812.0,163382.9006,10.5065,3.3919,2.875
2008-02-29,172.94,48875432.0,169993.4143,10.9316,3.5291,2.875
2008-03-31,174.26,66126044.0,171295.8575,10.587,2.7032,2.875
2008-04-30,167.55,54910792.0,164697.631,10.1792,2.5991,2.875
2008-05-31,147.54,56150436.0,145025.8235,8.9634,2.2886,1.0
2008-06-30,122.14,46097708.0,120058.2328,7.4203,1.8946,1.0
