JWL IN Equity,price,volume,mc,pe,bm,div
2024-03-31,374.15,32432395.0,154259.6598,45.4066,9.5449,0.3
2024-04-30,408.45,37071298.0,168401.3311,49.5692,10.4199,0.3
2024-05-31,602.2,114415133.0,248283.221,73.0825,15.3626,0.3
2024-06-30,689.25,83507356.0,284173.381,83.6468,17.5833,0.3
2024-07-31,609.3,49603216.0,258646.6613,73.9442,15.5437,0.3
2024-08-31,575.65,23005358.0,244362.3019,69.8604,14.6853,0.3
2024-09-30,513.1,22453812.0,217809.9489,62.2694,13.0896,0.6
2024-10-31,515.75,27672853.0,218934.8688,62.591,13.1572,1.6
2024-11-30,490.75,21455509.0,208322.4175,59.557,12.5194,1.6
2024-12-31,500.95,78291877.0,212652.2976,60.7949,12.7796,1.6
2025-01-31,400.65,183650513.0,170075.1433,48.6226,10.2209,1.6
2025-02-28,290.15,125445288.0,123168.1089,35.2124,7.4019,1.6
2025-03-31,369.25,115270173.0,156745.9046,40.6663,5.6909,1.3
2025-04-30,354.6,44572582.0,150527.0082,39.0529,5.4652,1.3
2025-05-31,395.2,68166665.0,167761.629,43.5242,6.0909,2.3
2025-06-30,388.4,43324243.0,164875.0422,42.7753,5.9861,2.3
2025-07-31,341.6,14617535.0,145008.5335,37.6211,5.2648,2.3
2025-08-31,317.55,70688791.0,134799.3555,34.9725,4.8941,2.3
2025-09-30,335.55,71185152.0,142440.3203,36.9548,5.1716,2.0
2025-10-31,322.65,13086559.0,136964.2955,35.5341,4.9727,1.0
2025-11-30,285.8,13929076.0,121321.5424,31.4758,4.4048,1.0
2025-12-31,339.75,363147820.0,144223.2121,37.4174,5.2363,1.0
2026-01-31,323.4,128584841.0,137282.669,35.6167,4.9843,1.0
2026-02-28,267.2,40255233.0,114193.3679,29.4273,4.1181,1.0
2026-03-31,255.6,4682630.0,109235.874,28.1498,3.9394,1.0
