IRCTC IN Equity,price,volume,mc,pe,bm,div
2025-04-30,751.5,21109907.0,601200.0,45.7117,16.4111,11.0
2025-05-31,756.0,32643870.0,604800.0,45.9854,16.5094,11.0
2025-06-30,781.5,25249407.0,625200.0,47.5365,17.0663,11.0
2025-07-31,726.05,16797197.0,580840.0,44.1636,15.8554,11.0
2025-08-31,691.95,15777161.0,553560.0,42.0894,15.1107,8.0
2025-09-30,700.4,17035235.0,560320.0,42.6034,15.2952,8.0
2025-10-31,718.7,16684917.0,574960.0,43.7165,15.6949,8.0
2025-11-30,686.7,15584468.0,549360.0,41.7701,14.996,9.0
2025-12-31,684.6,27018621.0,547680.0,41.6423,14.9502,9.0
2026-01-31,623.05,34031367.0,498440.0,37.8984,13.6061,9.0
2026-02-28,569.55,79290823.0,455640.0,34.6442,12.4377,9.5
2026-03-31,561.0,9058843.0,448800.0,34.1241,12.251,9.5
