SAMMAANC IN Equity,price,volume,mc,pe,bm,div
2021-06-30,232.7,851697389.0,120716.7597,9.4174,0.7481,8.0225
2021-07-31,245.53,397558684.0,127375.7243,9.9369,0.7894,8.0225
2021-08-31,199.67,349068858.0,103583.8164,8.0808,0.6419,8.0225
2021-09-30,206.49,338197269.0,107121.3888,8.3568,0.6638,8.0225
2021-10-31,193.25,379344726.0,100254.3366,7.8211,0.6213,8.0225
2021-11-30,204.13,454699078.0,105895.9552,8.2612,0.6562,8.0225
2021-12-31,194.32,833461671.0,101485.9167,7.8644,0.6247,8.0225
2022-01-31,187.82,233430285.0,98090.6218,7.601,0.6038,8.0225
2022-02-28,133.62,411630358.0,69785.4021,5.4076,0.4296,8.0225
2022-03-31,140.66,415607784.0,73940.5833,5.9727,0.4217,8.0225
2022-04-30,136.92,235441444.0,72437.2424,5.8138,0.4105,8.0225
2022-05-31,105.18,401489336.0,55648.4023,4.4663,0.3153,8.0225
2022-06-30,84.46,506468192.0,44683.7807,3.5863,0.2532,0.0
2022-07-31,98.1,407019051.0,51899.2091,4.1654,0.2941,0.0
2022-08-31,121.85,377204097.0,64467.2593,5.1741,0.3653,0.0
2022-09-30,105.85,337260405.0,56002.0998,4.4947,0.3173,0.0
2022-10-31,115.3,282341825.0,61001.0241,4.8959,0.3457,0.0
2022-11-30,126.76,317309706.0,67061.0408,5.3823,0.38,0.0
2022-12-31,137.9,442188994.0,72955.9987,5.8554,0.4134,0.0
2023-01-31,109.51,241741524.0,57935.646,4.6499,0.3283,0.0
2023-02-28,89.85,217782999.0,47536.9403,3.8153,0.2694,0.0
2023-03-31,86.78,207934379.0,45909.9319,3.8708,0.2515,0.0
2023-04-30,95.96,144125680.0,50767.3772,4.2803,0.2782,0.0
2023-05-31,102.64,274448074.0,54304.3519,4.5785,0.2975,0.0
2023-06-30,110.0,271947652.0,58195.0241,4.9066,0.3189,0.0
2023-07-31,128.14,335375283.0,67792.0156,5.7157,0.3714,0.0
2023-08-31,176.76,788812154.0,93517.6117,7.8847,0.5124,0.0
2023-09-30,165.35,418871856.0,88952.9814,7.3757,0.4793,1.1142
2023-10-31,144.32,285927768.0,77636.0522,6.4374,0.4183,1.1142
2023-11-30,181.98,316286643.0,97896.2326,8.1173,0.5275,1.1142
2023-12-31,193.21,615858318.0,106739.194,8.6183,0.5601,1.1142
2024-01-31,198.33,461698327.0,109570.799,8.8469,0.5749,1.1142
2024-02-29,189.15,388019159.0,93634.2144,8.4373,0.5483,1.1142
2024-03-31,168.3,204507198.0,83329.5129,7.1378,0.4116,1.1142
2024-04-30,170.2,135983640.0,84237.7474,7.2184,0.4163,1.1142
2024-05-31,157.5,113555644.0,77962.6282,6.6798,0.3852,1.1142
2024-06-30,166.52,152946153.0,83014.797,7.0623,0.4073,1.1142
2024-07-31,174.27,157832670.0,86443.5078,7.391,0.4262,1.1142
2024-08-31,161.79,126618091.0,118106.2491,6.8617,0.3957,1.1142
2024-09-30,162.89,152387369.0,119309.613,6.9084,0.3984,2.0
2024-10-31,144.22,122999186.0,106235.4835,6.1166,0.3527,2.0
2024-11-30,167.87,139899675.0,123963.1736,7.1196,0.4106,2.0
2024-12-31,151.07,138192392.0,111889.363,6.4071,0.3695,2.0
2025-01-31,140.7,168250323.0,116551.6492,5.9673,0.3441,2.0
2025-02-28,110.4,171580473.0,91335.2977,4.6822,0.27,2.0
2025-03-31,107.1,220841563.0,88714.7548,4.6644,0.3988,2.0
2025-04-30,120.55,167329492.0,99855.8701,,0.4488,2.0
2025-05-31,124.12,137688212.0,102814.9526,,0.4621,2.0
2025-06-30,142.37,246474260.0,117933.332,,0.5301,2.0
2025-07-31,126.88,409781258.0,105102.0662,,0.4724,2.0
2025-08-31,123.96,239115455.0,102683.2608,,0.4615,2.0
2025-09-30,160.86,668611264.0,133250.464,,0.5989,2.0
2025-10-31,188.59,682014282.0,156220.9686,,0.7022,0.0
2025-11-30,153.76,473409518.0,127833.4721,,0.5725,0.0
2025-12-31,145.64,370408213.0,121126.4228,,0.5423,0.0
2026-01-31,150.71,251138997.0,124888.9381,,0.5611,0.0
2026-02-28,149.91,192920977.0,124226.4775,,0.5581,0.0
2026-03-31,145.32,25623977.0,120422.8712,,0.5411,0.0
