GOAGRO IN Equity,price,volume,mc,pe,bm,div
2022-06-30,506.95,2070286.0,97415.5546,24.1865,4.2934,8.0
2022-07-31,509.15,1323060.0,97838.3068,24.2915,4.312,9.5
2022-08-31,521.75,5985967.0,100259.7284,24.8927,4.4187,9.5
2022-09-30,513.7,3176240.0,98712.8365,24.5086,4.3505,9.5
2022-10-31,500.9,1567633.0,96253.1824,23.8979,4.2421,9.5
2022-11-30,478.6,2452395.0,91968.0038,22.834,4.0533,9.5
2022-12-31,469.7,1179326.0,90257.8939,22.4094,3.9779,9.5
2023-01-31,450.5,977108.0,86568.4809,21.4933,3.8153,9.5
2023-02-28,437.95,1363409.0,84156.8618,20.8946,3.709,9.5
2023-03-31,412.7,1796554.0,79304.7993,26.2699,3.3927,9.5
2023-04-30,437.95,721550.0,84156.8618,27.8771,3.6002,9.5
2023-05-31,430.0,1674608.0,82648.9988,27.3711,3.5349,9.5
2023-06-30,453.7,1595934.0,87204.3041,28.8797,3.7297,9.5
2023-07-31,485.9,6366400.0,93393.3687,30.9293,3.9944,9.5
2023-08-31,479.7,6198626.0,92203.5505,30.5347,3.9435,9.5
2023-09-30,480.25,3272791.0,92309.2665,30.5697,3.948,9.5
2023-10-31,464.45,4940069.0,89272.3349,29.564,3.8181,9.5
2023-11-30,501.35,3523633.0,96364.9157,31.9128,4.1214,9.5
2023-12-31,557.45,7023924.0,107147.945,35.4838,4.5826,9.5
2024-01-31,555.85,4414389.0,106840.4076,35.3819,4.5695,9.5
2024-02-29,513.55,4096462.0,98709.8882,32.6894,4.2217,9.5
2024-03-31,487.0,3847472.0,93606.6898,26.0289,3.7195,9.5
2024-04-30,544.15,3087291.0,104591.5406,29.0834,4.156,9.5
2024-05-31,519.1,5379766.0,99802.5231,27.7445,3.9647,9.5
2024-06-30,675.3,12251926.0,129833.6426,36.093,5.1576,9.5
2024-07-31,851.5,18268918.0,163709.9758,45.5104,6.5034,10.0
2024-08-31,783.7,6396198.0,150674.7012,41.8867,5.9856,10.0
2024-09-30,761.85,13522688.0,146473.8052,40.7189,5.8187,10.0
2024-10-31,712.8,6643657.0,137043.9295,38.0973,5.4441,10.0
2024-11-30,750.55,2237273.0,144301.7975,40.1149,5.7324,10.0
2024-12-31,743.45,3257702.0,142936.7415,39.7354,5.6782,10.0
2025-01-31,729.9,2756692.0,140331.5995,39.0112,5.5747,10.0
2025-02-28,715.15,4102965.0,137495.7438,38.2229,5.462,10.0
2025-03-31,753.7,10042784.0,144907.4209,33.7226,6.0864,10.0
2025-04-30,770.25,7934268.0,148093.1538,34.4631,6.22,10.0
2025-05-31,762.8,12693754.0,146708.2111,34.1298,6.1599,10.0
2025-06-30,781.5,6030415.0,150304.7548,34.9664,6.3109,10.0
2025-07-31,847.2,9603844.0,162940.7399,37.906,6.8414,11.0
2025-08-31,740.3,4636981.0,142380.8189,33.123,5.9782,11.0
2025-09-30,690.2,5247024.0,132745.159,30.8814,5.5736,11.0
2025-10-31,663.25,3527494.0,127562.2053,29.6756,5.356,11.0
2025-11-30,594.55,6838002.0,114349.2034,26.6018,4.8012,11.0
2025-12-31,571.2,3907353.0,109858.3214,25.557,4.6126,11.0
2026-01-31,533.55,2536553.0,102617.1347,23.8725,4.3086,11.0
2026-02-28,640.25,13965179.0,123138.6384,28.6465,5.1703,11.0
2026-03-31,606.2,527721.0,116589.8385,27.123,4.8953,11.0
