JBCP IN Equity,price,volume,mc,pe,bm,div
2013-07-31,39.73,5826328.0,6730.3525,8.4701,0.6596,0.5
2013-08-31,41.45,4295288.0,7022.6082,8.838,0.6883,1.5
2013-09-30,42.45,2503500.0,7192.0318,9.0512,0.7049,1.5
2013-10-31,50.75,6311536.0,8598.2477,10.8209,0.8427,1.5
2013-11-30,58.65,12811578.0,9936.6941,12.5053,0.9739,1.5
2013-12-31,64.65,16657330.0,10953.2357,13.7846,1.0735,1.5
2014-01-31,60.9,10785910.0,10317.8972,12.9851,1.0112,1.5
2014-02-28,65.5,11120442.0,11099.8423,13.9659,1.0876,1.5
2014-03-31,64.05,8607628.0,10854.1206,17.6446,1.0409,1.5
2014-04-30,76.72,20006358.0,13002.0672,21.1364,1.2468,1.5
2014-05-31,72.38,11798614.0,12264.9021,19.938,1.1761,1.5
2014-06-30,77.8,7606988.0,13190.1735,21.4325,1.2643,1.5
2014-07-31,86.78,13384994.0,14711.7905,23.905,1.4101,1.5
2014-08-31,105.13,24551556.0,17822.8405,28.9601,1.7083,1.5
2014-09-30,112.28,19425406.0,19035.0479,30.9298,1.8245,1.5
2014-10-31,114.9,5347798.0,19488.9307,31.6529,1.8672,1.5
2014-11-30,106.43,5268000.0,18051.4312,29.3182,1.7295,1.5
2014-12-31,100.53,5269238.0,17050.6941,27.6928,1.6336,1.5
2015-01-31,95.43,3667586.0,16185.6502,26.2879,1.5507,1.5
2015-02-28,94.18,5229690.0,15973.5865,25.9435,1.5304,1.5
2015-03-31,99.73,10166964.0,16915.001,16.8454,1.7002,1.5
2015-04-30,108.4,16557232.0,18386.4237,18.3108,1.8481,1.5
2015-05-31,119.75,9622314.0,20311.5705,20.228,2.0416,1.5
2015-06-30,118.63,6973332.0,20120.752,20.038,2.0224,1.5
2015-07-31,141.43,14944094.0,23988.0072,23.8894,2.4112,1.5
2015-08-31,135.1,12165480.0,22918.0815,22.8209,2.3033,7.0
2015-09-30,138.73,8932074.0,23533.0189,23.4333,2.3651,7.0
2015-10-31,142.63,14200260.0,24194.6068,24.0921,2.4316,7.0
2015-11-30,139.95,7649816.0,23740.8254,23.6402,2.386,7.0
2015-12-31,139.32,5791096.0,23634.8017,23.5346,2.3754,7.0
2016-01-31,132.95,6918264.0,22553.6318,22.4578,2.2667,7.0
2016-02-29,121.08,6248302.0,20539.1574,20.4519,2.0642,7.0
2016-03-31,124.73,3214232.0,21158.3432,13.0162,1.7873,7.25
2016-04-30,122.78,2434242.0,20827.5453,12.8127,1.7593,7.25
2016-05-31,127.33,2960248.0,21599.4071,13.2875,1.8245,7.25
2016-06-30,125.3,6985468.0,21255.8862,13.0762,1.7955,7.25
2016-07-31,134.23,3944186.0,22769.9228,14.0076,1.9234,7.25
2016-08-31,163.88,20903116.0,27799.7474,17.1018,2.3483,0.25
2016-09-30,177.95,14129882.0,30187.4297,18.5707,2.55,0.25
2016-10-31,193.48,5450740.0,32821.09,20.1909,2.7724,0.25
2016-11-30,176.18,4540914.0,29886.3188,18.3855,2.5245,0.25
2016-12-31,175.65,2675792.0,29797.2579,18.3307,2.517,0.25
2017-01-31,168.7,3877326.0,28618.2602,17.6054,2.4174,0.25
2017-02-28,165.18,4622676.0,28020.2793,17.2375,2.3669,0.25
2017-03-31,173.08,2577598.0,29360.435,15.9513,2.153,0.25
2017-04-30,164.83,2421822.0,27960.9054,15.191,2.0504,0.25
2017-05-31,168.78,4997482.0,28630.9832,15.555,2.0996,0.25
2017-06-30,156.35,2000996.0,26523.2067,14.4099,1.945,0.25
2017-07-31,154.95,1872510.0,26285.7108,14.2808,1.9276,0.25
2017-08-31,137.7,2996858.0,23359.4216,12.691,1.713,0.25
2017-09-30,139.55,3680884.0,23673.2555,12.8615,1.736,0.5
2017-10-31,143.05,6624824.0,24266.9954,13.1841,1.7795,0.5
2017-11-30,143.3,14405934.0,24309.4054,13.2071,1.7826,0.5
2017-12-31,168.2,8533258.0,28533.4403,15.502,2.0924,0.5
2018-01-31,153.65,3401526.0,25681.0539,14.161,1.9114,0.5
2018-02-28,157.57,3195338.0,26337.0776,14.5228,1.9602,0.5
2018-03-31,155.05,2278100.0,25915.0492,18.8167,1.7977,0.5
