BPCL IN Equity,price,volume,mc,pe,bm,div
2004-06-30,29.6,90383388.0,106575.0,5.2399,1.6249,1.5833
2004-07-31,28.78,66599868.0,103620.0,5.0946,1.5798,1.4583
2004-08-31,29.25,49093200.0,105285.0,5.1765,1.6052,1.4583
2004-09-30,29.27,47128332.0,105360.0,5.1802,1.6064,1.4583
2004-10-31,28.87,39819624.0,103935.0,5.1101,1.5846,1.4583
2004-11-30,32.7,75141072.0,117705.0,5.7872,1.7946,1.4583
2004-12-31,38.24,52431756.0,137655.0,6.768,2.0987,1.375
2005-01-31,35.4,191648184.0,127455.0,6.2665,1.9432,1.375
2005-02-28,35.68,206000352.0,128460.0,6.3159,1.9586,1.375
2005-03-31,29.46,226855320.0,106050.0,6.8776,1.3852,1.375
2005-04-30,28.89,126494316.0,103995.0,6.7443,1.3584,1.375
2005-05-31,32.57,137522160.0,117240.0,7.6033,1.5314,1.375
2005-06-30,30.61,132568740.0,110190.0,7.1461,1.4393,1.0417
2005-07-31,30.55,75699852.0,109980.0,7.1325,1.4365,1.0417
2005-08-31,29.97,105282264.0,107880.0,6.9963,1.4091,1.0417
2005-09-30,33.74,168671652.0,121470.0,7.8776,1.5866,0.0
2005-10-31,30.63,115077660.0,110280.0,7.1519,1.4404,0.0
2005-11-30,36.58,125210376.0,131700.0,8.5411,1.7202,0.0
2005-12-31,36.26,147710808.0,130545.0,8.4662,1.7051,0.0
2006-01-31,34.52,90165720.0,124275.0,8.0595,1.6232,0.0
2006-02-28,36.29,133779732.0,130650.0,8.473,1.7065,0.0
2006-03-31,35.44,101943108.0,127590.0,28.6179,1.5502,0.0
2006-04-30,36.5,57548640.0,132030.0,29.4758,1.5967,0.0
2006-05-31,33.02,111689304.0,118875.0,26.6631,1.4443,0.0
2006-06-30,27.88,79507764.0,100350.0,22.5081,1.2192,0.0
2006-07-31,26.04,60029364.0,93735.0,21.0243,1.1389,0.0
2006-08-31,30.13,176044380.0,108465.0,24.3282,1.3178,0.0
2006-09-30,30.53,277371864.0,109890.0,24.6478,1.3351,0.0
2006-10-31,33.41,220474272.0,120270.0,26.976,1.4612,0.0
2006-11-30,28.69,200750040.0,124473.8855,23.1675,1.2549,0.2083
2006-12-31,28.17,201830340.0,122214.3392,22.7469,1.2322,0.2083
2007-01-31,30.03,166931304.0,130294.4767,24.2508,1.3136,1.0
2007-02-28,25.94,101607576.0,112525.4047,20.9436,1.1345,1.0
2007-03-31,25.23,157258572.0,109452.4218,5.1024,0.9626,1.0
2007-04-30,27.77,87003852.0,120479.0076,5.6164,1.0596,1.0
2007-05-31,30.1,167452044.0,130583.6986,6.0875,1.1484,1.0
2007-06-30,28.37,120144204.0,123082.005,5.7378,1.0825,1.0
2007-07-31,26.78,107670912.0,116158.7552,5.415,1.0216,1.0
2007-08-31,25.94,97858512.0,112525.4047,5.2456,0.9896,1.0
2007-09-30,29.78,168233136.0,129209.7527,6.0234,1.1364,1.3333
2007-10-31,28.6,127989984.0,124076.0692,5.7841,1.0912,1.3333
