PLM IN Equity,price,volume,mc,pe,bm,div
2011-12-31,27.22,1513344.0,2396.8831,,,0.375
2012-01-31,30.57,483096.0,2691.8841,,,0.375
2012-02-29,32.49,618416.0,2860.8492,,,0.375
2012-03-31,32.11,415552.0,2828.5606,,,0.375
2012-04-30,32.84,1090496.0,2892.9837,,,0.375
2012-05-31,31.38,3117264.0,2764.1375,,,0.375
2012-06-30,37.21,1906384.0,3278.4212,,,0.375
2012-07-31,35.26,894360.0,3106.6262,,,0.375
2012-08-31,38.13,624344.0,3358.8124,,,0.375
2012-09-30,41.26,623144.0,3635.2262,,,0.375
2012-10-31,39.34,3218048.0,3466.1843,,,0.375
2012-11-30,52.28,1344512.0,4605.978,,,0.375
2012-12-31,52.34,254608.0,4611.4843,,,0.375
2013-01-31,58.56,1229792.0,5158.8055,,,0.375
2013-02-28,57.33,394736.0,5050.883,,,0.375
2013-03-31,56.49,553608.0,4976.5487,,,0.375
2013-04-30,61.79,772672.0,5443.4787,,,0.375
2013-05-31,64.21,1350768.0,5657.1212,,,0.375
2013-06-30,66.39,1770824.0,5848.7386,,,0.375
2013-07-31,65.64,1506784.0,5782.6636,,,0.375
2013-08-31,58.53,1091084.0,5156.0524,,,0.375
2013-09-30,60.48,1079684.0,5327.8474,,,0.5
2013-10-31,81.05,1275608.0,7140.5049,,,0.5
2013-11-30,83.9,954120.0,7394.3455,,,0.5
2013-12-31,84.18,731112.0,7418.5821,,,0.5
2014-01-31,87.94,1202288.0,7750.1819,,,0.5
2014-02-28,102.33,1609936.0,9018.1932,,,0.5
2014-03-31,113.0,2282524.0,9959.0113,,,0.5
2014-04-30,115.95,1103764.0,10219.0031,,,0.5
2014-05-31,113.74,1376700.0,10024.0092,,,0.5
2014-06-30,122.26,1130180.0,10775.3417,,,0.5
2014-07-31,115.26,1190792.0,10158.4118,,,0.5
2014-08-31,132.93,1369904.0,11715.0582,,,0.5
2014-09-30,206.28,4035944.0,18179.6022,,,1.0
2014-10-31,206.15,1719896.0,18174.8013,,,1.0
2014-11-30,225.01,2359316.0,19852.1515,,,1.0
2014-12-31,223.78,5365304.0,19742.9707,,,1.0
2015-01-31,249.79,3493708.0,22037.9725,,,1.0
2015-02-28,249.6,1188258.0,22021.2091,,,1.0
2015-03-31,252.4,1037112.0,22268.4653,,,1.0
2015-04-30,266.95,588230.0,23552.1664,,,1.0
2015-05-31,237.9,894456.0,20989.1755,,,1.0
2015-06-30,230.08,775342.0,20298.8001,,,1.0
2015-07-31,233.7,657074.0,20618.6225,,,1.0
2015-08-31,198.73,689456.0,17532.8873,,,1.0
2015-09-30,192.25,365558.0,16961.6182,,,1.25
2015-10-31,171.28,985852.0,15111.0594,,,1.25
2015-11-30,163.7,502008.0,14442.7407,,,1.25
2015-12-31,199.4,1649040.0,17592.4405,,,1.25
2016-01-31,164.18,1015852.0,14484.6485,,,1.25
2016-02-29,126.78,568200.0,11184.9631,,,1.25
2016-03-31,141.95,836846.0,12523.806,,,1.25
2016-04-30,138.73,359164.0,12239.2743,,,1.25
2016-05-31,174.95,574830.0,15435.2932,,,1.25
2016-06-30,195.33,176944.0,17232.9159,,,1.25
2016-07-31,207.53,393794.0,18309.2839,,,1.25
2016-08-31,197.1,271502.0,17389.5186,,,1.25
2016-09-30,190.23,424900.0,16782.9588,,,0.25
2016-10-31,201.2,186062.0,17751.2488,,,0.25
2016-11-30,198.5,92832.0,17513.0363,,,0.5
2016-12-31,190.45,116918.0,16802.8099,,,0.5
2017-01-31,218.0,227504.0,19233.4605,,,0.5
2017-02-28,249.8,3540546.0,22039.0754,,,0.5
2017-03-31,271.55,11408029.0,23958.0101,,,0.5
2017-04-30,277.75,1340172.0,24505.0167,,,0.5
2017-05-31,208.15,673380.0,18364.4257,,,0.5
2017-06-30,219.6,676527.0,19374.6235,,,0.5
2017-07-31,220.25,279652.0,19431.971,,,0.5
2017-08-31,206.25,233253.0,18196.7946,,,0.5
2017-09-30,230.6,1242498.0,20345.1192,,,1.5
2017-10-31,266.0,837079.0,23468.3509,,,1.5
2017-11-30,269.15,921445.0,23746.2648,,,1.0
2017-12-31,279.25,356816.0,24637.3562,,,1.0
2018-01-31,249.95,548115.0,22052.3087,,,1.0
2018-02-28,252.45,568216.0,22272.8759,,,0.5
2018-03-31,251.1,304122.0,22153.7696,,,0.5
2018-04-30,260.75,805589.0,23005.159,,,0.5
2018-05-31,231.8,319949.0,20450.9908,,,0.5
2018-06-30,212.2,710427.0,18721.7439,,,0.5
2018-07-31,242.25,353573.0,21372.9617,,,0.5
2018-08-31,213.8,338199.0,18862.9069,,,0.5
2018-09-30,213.8,183931.0,18862.9069,,,2.0
2018-10-31,223.35,285332.0,19705.4736,,,2.0
2018-11-30,215.7,89379.0,19030.538,,,2.0
2018-12-31,222.2,260766.0,19604.0127,,,2.0
2019-01-31,215.7,143809.0,19030.538,,,2.0
2019-02-28,204.9,195786.0,18077.6877,,,2.0
2019-03-31,219.5,193957.0,19365.8002,,5.0785,2.0
2019-04-30,195.5,149512.0,17250.3198,,4.5232,2.0
2019-05-31,196.35,110208.0,17327.2945,,4.5429,2.0
2019-06-30,191.25,277705.0,16877.2349,,4.3301,2.0
2019-07-31,175.0,136342.0,15443.2215,,,2.0
2019-08-31,190.8,128204.0,16837.5238,,,2.0
2019-09-30,228.05,149563.0,20124.7238,,4.9318,2.0
2019-10-31,205.7,369295.0,18152.4038,,4.4484,2.0
2019-11-30,206.1,1892742.0,18187.7026,,4.4571,2.0
2019-12-31,218.05,549514.0,19242.254,20.3405,4.7025,2.0
2020-01-31,272.4,1599904.0,24038.4774,25.4104,,2.0
2020-02-29,297.3,2648209.0,26235.8272,27.7332,,4.0
2020-03-31,233.05,2055789.0,20565.9587,21.4595,4.7297,4.0
2020-04-30,227.0,1283956.0,20032.0645,20.9024,4.6069,4.0
2020-05-31,292.3,2738860.0,25794.5923,26.9153,5.9322,4.0
2020-06-30,294.4,3038244.0,25979.9109,25.2704,5.918,4.0
2020-07-31,390.2,8684532.0,34433.9716,33.4936,,4.0
2020-08-31,400.85,4627681.0,35373.8019,34.4077,,4.0
2020-09-30,458.55,7734785.0,40465.6527,36.9798,8.1504,2.0
2020-10-31,481.35,4222891.0,42477.6833,38.8185,8.5556,2.0
2020-11-30,489.6,1762858.0,43205.7312,39.4839,8.7023,2.0
2020-12-31,506.2,3081355.0,44670.6208,37.3029,9.1022,2.0
2021-01-31,506.55,2376167.0,44701.5072,37.3287,,2.0
2021-02-28,704.05,10215476.0,67504.7125,51.8828,,2.0
2021-03-31,822.35,4272425.0,78847.3835,53.8893,8.1659,2.0
2021-04-30,992.75,3661038.0,95185.4319,65.0557,9.8579,0.0
2021-05-31,1018.15,6000131.0,97620.7983,66.7202,10.1102,0.0
2021-06-30,1016.55,4397808.0,97467.3894,62.9443,9.9731,0.0
2021-07-31,981.6,3040333.0,94116.3646,60.7802,,0.0
2021-08-31,954.5,2834263.0,91518.0012,59.1022,,0.0
2021-09-30,927.15,2853053.0,88895.6677,57.3377,8.7343,2.5
2021-10-31,923.65,1571930.0,88560.0857,57.1212,8.7013,2.5
2021-11-30,1036.8,2263795.0,99408.9719,64.1187,9.7673,2.5
2021-12-31,957.95,1799538.0,91867.7326,59.7075,8.9651,2.5
2022-01-31,901.1,1219964.0,86415.7982,56.1642,,2.5
2022-02-28,798.4,1813594.0,76566.8331,49.763,,2.5
2022-03-31,949.5,2574066.0,91057.3747,61.0452,8.3732,2.5
2022-04-30,872.9,771456.0,83711.4085,56.1205,7.6977,2.5
2022-05-31,749.8,1214112.0,71906.0764,48.2061,6.6122,2.5
2022-06-30,750.85,873897.0,72006.7718,51.976,6.4922,2.5
2022-07-31,730.25,679512.0,70031.2247,50.55,,2.5
2022-08-31,851.8,2356407.0,81687.9113,58.964,,2.5
2022-09-30,865.2,2157070.0,82988.3332,57.7335,7.3152,2.5
2022-10-31,921.35,1234941.0,88374.1341,61.4803,7.79,2.5
2022-11-30,977.7,1557539.0,93779.1185,65.2404,8.2664,2.5
2022-12-31,897.85,664540.0,86120.0589,55.0084,7.5837,2.5
2023-01-31,895.35,449785.0,85880.2637,54.8552,,2.5
2023-02-28,936.85,605375.0,89860.8645,57.3978,,2.5
2023-03-31,952.65,2996765.0,91401.3774,50.9928,7.3614,2.5
2023-04-30,978.8,769119.0,93910.3219,52.3925,7.5635,2.5
2023-05-31,975.3,1498584.0,93574.5168,52.2052,7.5364,2.5
2023-06-30,1149.9,5663935.0,110326.3989,51.3119,8.8837,2.5
2023-07-31,1236.15,5166586.0,118601.5984,55.1606,,2.5
2023-08-31,1464.6,6402523.0,140520.0833,65.3548,,2.5
2023-09-30,1374.15,2475766.0,131841.9176,56.4101,9.8535,3.0
2023-10-31,1405.8,1294606.0,134878.556,57.7094,10.0804,3.0
2023-11-30,1525.65,2502029.0,146377.4854,62.6293,10.9398,3.0
2023-12-31,1489.9,2230478.0,142947.4751,57.4585,10.7745,3.0
2024-01-31,1456.65,1588389.0,139757.3258,56.1762,,3.0
2024-02-29,1563.15,4154223.0,150016.6263,60.2835,,3.0
2024-03-31,1589.2,1228280.0,152516.6635,59.0282,10.375,3.0
2024-04-30,1643.2,1298774.0,157700.2324,61.034,10.7275,3.0
2024-05-31,1802.25,2827850.0,172964.4863,66.9416,11.7659,3.0
2024-06-30,1930.55,4396903.0,185277.6191,68.7207,12.7164,3.0
2024-07-31,1871.6,2478628.0,179620.1041,66.6223,,3.0
2024-08-31,2338.25,3489681.0,236842.6636,83.2333,,3.0
2024-09-30,2314.75,3464752.0,234462.3353,76.5289,9.0482,3.0
2024-10-31,2874.3,4771155.0,291139.471,95.0284,11.2354,3.0
2024-11-30,2782.6,5828112.0,281948.9346,91.9967,10.877,3.0
2024-12-31,2615.25,3531859.0,264992.0762,82.0391,10.2406,3.0
2025-01-31,2330.0,3548979.0,236088.916,73.0909,,3.0
2025-02-28,2035.5,4491431.0,206248.4929,63.8526,,3.0
2025-03-31,2245.25,1734296.0,227501.5616,66.3909,8.226,3.0
2025-04-30,2574.0,2477371.0,260812.3904,76.1118,9.4304,3.0
2025-05-31,2258.6,6160258.0,228854.2599,66.7856,8.2749,3.0
2025-06-30,2223.6,3459299.0,225307.8599,62.9939,7.8642,3.0
2025-07-31,1937.8,2654011.0,196348.9705,54.8973,,3.0
2025-08-31,2085.4,4421536.0,211304.6461,59.0787,,3.0
2025-09-30,1948.1,4074816.0,197392.6254,54.531,6.7661,3.5
2025-10-31,1999.7,3219799.0,202688.5722,55.9754,6.9453,3.5
2025-11-30,1939.1,7395557.0,196546.1871,54.2791,6.7348,3.5
2025-12-31,1773.7,1978673.0,179781.3274,51.6914,5.8999,3.5
2026-01-31,1520.9,6034770.0,154157.6483,44.324,,3.5
2026-02-28,1256.1,5958806.0,127317.6554,36.6068,,3.5
2026-03-31,1364.4,2685089.0,138294.8906,39.7631,,3.5
