BOI IN Equity,price,volume,mc,pe,bm,div
2023-01-31,82.7,539994275.0,339364.914,10.8959,0.5739,2.0
2023-02-28,70.85,267148174.0,290737.6561,9.3347,0.4916,2.0
2023-03-31,74.65,354759603.0,306331.2071,7.984,0.507,2.0
2023-04-30,84.0,186455681.0,344699.5499,8.984,0.5705,2.0
2023-05-31,73.75,214504726.0,302637.9977,7.8877,0.5009,2.0
2023-06-30,73.6,133695326.0,302022.4628,6.3668,0.4891,2.0
2023-07-31,85.35,304317896.0,350239.3641,7.3832,0.5672,2.0
2023-08-31,85.8,289278511.0,352085.9688,7.4221,0.5702,2.0
2023-09-30,109.4,601678221.0,448930.1281,8.3321,0.719,2.0
2023-10-31,95.85,274724067.0,393326.8078,7.3001,0.63,2.0
2023-11-30,103.75,186260598.0,425744.9798,7.9018,0.6819,2.0
2023-12-31,112.6,721503921.0,512630.4017,7.2692,0.7438,2.0
2024-01-31,138.95,599700480.0,632593.2,8.9703,0.9179,2.0
2024-02-29,131.45,575473338.0,598448.191,8.4861,0.8683,2.0
2024-03-31,137.05,304842143.0,623943.131,8.8362,0.884,2.0
2024-04-30,155.1,306721379.0,706118.786,10.0,1.0004,2.0
2024-05-31,128.7,361349571.0,585928.3544,8.2979,0.8301,2.0
2024-06-30,120.51,370437696.0,548642.0045,7.6032,0.7751,2.8
2024-07-31,125.8,235757857.0,572725.6175,7.9369,0.8091,2.8
2024-08-31,117.74,160717320.0,536031.1145,7.4284,0.7573,2.8
2024-09-30,110.6,119415772.0,503525.066,6.3128,0.6821,2.8
2024-10-31,108.69,127316878.0,494829.4704,6.2038,0.6703,2.8
2024-11-30,110.5,139739167.0,503069.7992,6.3071,0.6815,2.8
2024-12-31,101.9,175131999.0,463916.8555,5.4434,0.6082,2.8
2025-01-31,112.52,305378686.0,512266.1883,6.0107,0.6716,2.8
2025-02-28,95.16,184050180.0,433231.8741,5.0833,0.568,2.8
2025-03-31,107.12,174812223.0,487681.7818,5.1058,0.6041,2.8
2025-04-30,115.15,219815397.0,524239.7048,5.4886,0.6494,2.8
2025-05-31,121.94,267447081.0,555152.3196,5.8122,0.6877,2.8
2025-06-30,118.56,271178180.0,539764.3022,5.6863,0.6671,4.05
2025-07-31,111.38,194686181.0,507076.1469,5.342,0.6267,4.05
2025-08-31,110.29,91389327.0,502113.7389,5.2897,0.6206,4.05
2025-09-30,123.41,158241176.0,561844.7413,5.824,0.6727,4.05
2025-10-31,139.88,295002823.0,636827.1811,6.6012,0.7625,4.05
2025-11-30,147.14,180871736.0,669879.5498,6.9438,0.802,4.05
2025-12-31,143.85,157177852.0,654901.2725,6.6659,0.7581,4.05
2026-01-31,164.1,313185700.0,747092.7968,7.6043,0.8648,4.05
2026-02-28,176.05,248240106.0,801497.1778,8.158,0.9278,4.05
2026-03-31,164.31,37665240.0,748048.8459,7.614,0.8659,4.05
