ECLX IN Equity,price,volume,mc,pe,bm,div
2016-09-30,1002.4,728565.0,61382.7791,16.8414,5.6465,0.6667
2016-10-31,1013.53,2164421.0,62064.5404,17.0285,5.7092,0.6667
2016-11-30,1000.27,964209.0,61252.1427,16.8056,5.6345,0.6667
2016-12-31,933.33,1671527.0,55597.2885,15.681,5.2575,0.6667
2017-01-31,1007.67,598950.0,60025.2154,16.9299,5.6762,0.6667
2017-02-28,898.7,1020006.0,53618.2768,15.0991,5.0624,0.6667
2017-03-31,940.33,1131338.0,56115.5747,16.1477,4.6085,0.6667
2017-04-30,866.83,818919.0,51745.4701,14.8855,4.2483,0.6667
2017-05-31,869.7,303776.0,51964.5037,14.9347,4.2623,0.6667
2017-06-30,881.23,267963.0,52664.9448,15.1328,4.3189,0.6667
2017-07-31,865.37,679035.0,51750.6327,14.8603,4.2411,0.6667
2017-08-31,842.7,276728.0,50402.3446,14.4711,4.13,0.6667
2017-09-30,831.7,1215737.0,49750.5868,14.2822,4.0761,0.6667
2017-10-31,853.37,2545476.0,51046.6424,14.6543,4.1823,0.6667
2017-11-30,916.6,2459397.0,54845.3605,15.7401,4.4922,0.6667
2017-12-31,1047.73,5576714.0,62736.8308,17.992,5.1349,0.6667
2018-01-31,1006.2,2202762.0,60249.872,17.2788,4.9313,0.6667
2018-02-28,912.3,906585.0,54627.2678,15.6663,4.4711,0.6667
2018-03-31,801.0,752234.0,46412.842,16.4072,3.8039,0.6667
2018-04-30,889.53,550838.0,51561.1774,18.2207,4.2243,0.6667
2018-05-31,881.1,877704.0,51089.5094,18.0479,4.1843,0.6667
2018-06-30,866.73,768081.0,50258.8875,17.7537,4.116,0.6667
2018-07-31,861.73,532556.0,49977.1743,17.6512,4.0923,0.6667
2018-08-31,714.7,650211.0,41464.8099,14.6395,3.394,0.6667
2018-09-30,706.4,2025980.0,40991.071,14.4695,3.3546,0.6667
2018-10-31,709.3,204611.0,41161.2315,14.5289,3.3684,0.6667
2018-11-30,675.87,592116.0,39223.5682,13.8441,3.2096,0.6667
2018-12-31,716.23,638598.0,41570.5594,14.6709,3.4013,0.6667
2019-01-31,716.23,258459.0,41576.8239,14.6709,3.4013,0.6667
2019-02-28,691.0,352931.0,40119.735,14.154,3.2815,0.6667
2019-03-31,765.1,2045915.0,44426.7882,19.1052,3.1398,0.6667
2019-04-30,763.8,750287.0,44373.0378,19.0727,3.1345,0.6667
2019-05-31,622.23,1108826.0,36148.708,15.5377,2.5535,0.6667
2019-06-30,511.17,460277.0,29696.2789,12.7643,2.0977,0.6667
2019-07-31,397.73,781871.0,23106.358,9.9317,1.6322,0.6667
2019-08-31,300.13,648140.0,16649.9271,7.4946,1.2317,0.6667
2019-09-30,289.73,2985842.0,16072.9861,7.2349,1.189,0.6667
2019-10-31,301.17,599660.0,16707.2514,7.5204,1.2359,0.6667
2019-11-30,353.77,7020543.0,19625.2417,8.8339,1.4518,0.6667
2019-12-31,378.67,2109620.0,21006.5718,9.4556,1.554,0.6667
2020-01-31,421.43,4978539.0,23379.0569,10.5236,1.7295,0.6667
2020-02-29,361.77,765741.0,20069.0426,9.0336,1.4846,0.6667
2020-03-31,243.6,3141908.0,13513.7347,6.3814,1.0099,0.6667
2020-04-30,310.03,1503149.0,17199.1306,8.1217,1.2853,0.6667
2020-05-31,264.33,1630632.0,14663.9185,6.9246,1.0958,0.6667
2020-06-30,297.5,6478733.0,16503.8427,7.7934,1.2333,0.6667
2020-07-31,320.03,12162231.0,17753.8817,8.3837,1.3267,0.6667
2020-08-31,469.43,10336272.0,24567.502,12.2974,1.9461,0.6667
2020-09-30,467.4,3324440.0,24461.0887,12.2441,1.9376,0.6667
2020-10-31,462.07,2667594.0,24181.9727,12.1044,1.9155,0.6667
2020-11-30,483.1,2346135.0,25282.7392,12.6554,2.0027,0.6667
2020-12-31,588.87,8048150.0,30817.9722,15.4261,2.4412,0.6667
2021-01-31,658.7,4075805.0,34472.6564,17.2555,2.7307,0.6667
2021-02-28,619.27,2109935.0,32408.9374,16.2225,2.5672,0.6667
2021-03-31,735.33,3104109.0,38483.2145,13.5155,2.4992,0.6667
