LTFOODS IN Equity,price,volume,mc,pe,bm,div
2024-11-30,397.1,17516071.0,137894.1441,23.2358,4.0898,2.0
2024-12-31,419.1,14095592.0,145533.7088,24.5231,4.3164,2.0
2025-01-31,390.1,14128352.0,135463.3735,22.8262,4.0178,2.0
2025-02-28,339.55,10540329.0,117909.7371,19.8683,3.4971,2.5
2025-03-31,381.0,12823291.0,132303.3717,21.8589,3.4332,2.5
2025-04-30,346.55,20087624.0,120340.5077,19.8824,3.1228,2.5
2025-05-31,439.9,22912212.0,152756.5701,25.2381,3.9639,2.5
2025-06-30,486.45,47135267.0,168921.1946,27.9088,4.3834,2.5
2025-07-31,486.45,28599081.0,168921.1946,27.9088,4.3834,2.5
2025-08-31,421.35,13992573.0,146315.028,24.1738,3.7968,3.0
2025-09-30,405.6,18131504.0,140845.7941,23.2702,3.6549,3.0
2025-10-31,420.5,17153986.0,146019.863,24.1251,3.7891,3.0
2025-11-30,408.3,10150099.0,141783.377,23.4251,3.6792,2.5
2025-12-31,389.45,15040631.0,135237.659,22.3437,3.5093,2.5
2026-01-31,372.8,10362011.0,129455.8975,21.3884,3.3593,2.5
2026-02-28,402.3,22275994.0,139699.8594,23.0809,3.6251,3.0
2026-03-31,437.0,52487182.0,151749.5365,25.0717,3.9378,3.0
