KVB IN Equity,price,volume,mc,pe,bm,div
2007-08-31,26.19,10161454.0,17617.9654,8.3894,,0.8016
2007-09-30,26.84,10223688.0,18060.1352,8.7269,,0.8016
2007-10-31,27.14,19248447.0,18259.6947,8.8233,,0.8016
2007-11-30,27.14,8670351.0,18262.3915,8.8246,,0.8016
2007-12-31,33.85,12299737.0,22774.0543,10.636,,0.8016
2008-01-31,37.69,24515733.0,25354.8441,11.8413,,0.8016
2008-02-29,34.55,7826839.0,23245.9856,10.8564,,0.8016
2008-03-31,26.79,19097134.0,18025.0775,8.6573,1.5165,0.8016
2008-04-30,30.01,7395739.0,20187.871,9.6961,1.6985,0.8016
2008-05-31,29.14,4051329.0,19605.373,9.4163,1.6495,0.8016
2008-06-30,23.74,7034845.0,15975.5474,8.3807,1.4637,0.8016
2008-07-31,27.07,12741938.0,18211.1532,9.5535,,0.962
2008-08-31,27.59,5063943.0,18564.4275,9.7388,,0.962
2008-09-30,23.96,7423594.0,16121.1719,7.697,,0.962
2008-10-31,18.65,8064412.0,12547.9781,5.991,,0.962
2008-11-30,16.69,7847534.0,11229.2673,5.3614,,0.962
2008-12-31,17.84,4558023.0,12003.2346,5.4013,,0.962
2009-01-31,16.92,2768746.0,11385.6788,5.1234,,0.962
2009-02-28,16.32,1642466.0,10981.1663,4.9414,,0.962
2009-03-31,16.04,16021869.0,10789.697,4.5757,0.7994,0.962
2009-04-30,19.24,28838877.0,12941.7036,5.4883,0.9588,0.962
2009-05-31,25.34,29311591.0,17048.8539,7.2301,1.2631,0.962
2009-06-30,22.57,19224546.0,15188.0964,5.5108,1.1446,0.962
2009-07-31,25.74,36742907.0,17315.8322,6.2828,,0.962
2009-08-31,25.82,10728174.0,17372.4639,6.3033,,0.962
2009-09-30,28.17,34695051.0,18952.7595,6.2294,1.2543,0.962
2009-10-31,31.18,40476191.0,20975.322,6.8942,1.3882,0.962
2009-11-30,30.09,10793527.0,20244.5028,6.654,1.3398,0.962
2009-12-31,31.76,23389117.0,21366.3508,6.6591,1.3641,0.962
2010-01-31,32.07,17675974.0,21574.0005,6.7238,,0.962
2010-02-28,31.39,8180460.0,21118.2498,6.5818,,0.962
2010-03-31,36.9,50441138.0,24828.9779,7.3987,1.5469,0.962
2010-04-30,38.96,19657117.0,26209.7139,7.8102,1.6329,0.962
2010-05-31,40.33,23439875.0,27137.3959,8.0866,1.6907,0.962
2010-06-30,41.87,16895232.0,28167.5545,8.0719,1.7472,0.962
2010-07-31,48.26,37049625.0,32468.8708,9.3045,,0.962
2010-08-31,59.86,60431507.0,40273.2655,11.541,,0.962
2010-09-30,59.91,166166455.0,40306.7056,11.2052,2.2512,0.962
2010-10-31,59.83,22142207.0,40253.8493,11.1905,2.2483,0.962
2010-11-30,56.72,25431859.0,38158.4745,10.608,2.1312,0.962
2010-12-31,60.8,16316717.0,40907.0022,10.3278,2.2331,0.962
2011-01-31,57.25,13728932.0,38520.9177,9.7253,,0.962
2011-02-28,56.32,23201929.0,42971.9421,9.5659,,0.962
2011-03-31,56.33,13925061.0,42982.7133,9.1149,1.9919,0.962
2011-04-30,57.96,5372157.0,44226.7939,9.3788,2.0496,0.962
2011-05-31,58.07,9097255.0,44312.9639,9.397,2.0536,0.962
2011-06-30,57.18,5402598.0,43634.3745,8.707,2.0246,0.962
2011-07-31,58.08,13178663.0,44318.3496,8.8434,,1.6939
2011-08-31,52.48,17753225.0,40042.1593,7.9902,,1.6939
2011-09-30,52.98,17077923.0,40224.803,8.0893,1.5516,1.6939
2011-10-31,55.78,19769028.0,42352.3339,8.5172,1.6336,1.6939
2011-11-30,55.71,22120031.0,42298.7437,8.5064,1.6316,1.6939
2011-12-31,48.93,8109663.0,37148.7256,7.4924,1.4319,1.6939
2012-01-31,52.83,10574367.0,40112.2636,8.0901,,1.6939
2012-02-29,53.34,11233269.0,40498.113,8.168,,1.6939
2012-03-31,52.58,79504490.0,39919.3389,7.8411,1.474,1.6939
2012-04-30,56.91,119766849.0,43209.7771,8.4874,1.5955,1.6939
2012-05-31,57.63,26151035.0,43756.3971,8.5947,1.6157,1.6939
2012-06-30,59.87,12846282.0,45455.2064,8.5573,1.663,1.6939
2012-07-31,58.56,13447165.0,44463.7877,8.3707,,1.9762
2012-08-31,55.6,7218664.0,42212.9994,7.9469,,1.9762
2012-09-30,58.03,7895914.0,44061.8612,8.0027,1.4752,1.9762
2012-10-31,65.84,42555775.0,49994.2962,9.0802,1.6738,1.9762
2012-11-30,66.16,16528266.0,50235.4521,9.124,1.6818,1.9762
2012-12-31,79.24,33079987.0,60165.7159,11.1734,2.0089,1.9762
2013-01-31,74.63,27688051.0,56666.2759,10.5235,,1.9762
2013-02-28,66.01,16543872.0,50122.9127,9.3083,,1.9762
2013-03-31,63.58,15807101.0,48274.0508,8.7712,1.5647,1.9762
2013-04-30,66.09,18267490.0,50181.8619,9.1178,1.6265,1.9762
2013-05-31,64.24,15269083.0,48772.4397,8.8617,1.5809,1.9762
2013-06-30,61.43,10519153.0,46639.5498,8.8897,1.4607,1.9762
2013-07-31,53.7,10489803.0,40771.423,7.7712,,1.9762
2013-08-31,43.48,19447366.0,33016.9213,6.2932,,1.9762
2013-09-30,43.94,21676805.0,33365.2576,7.0271,1.0106,1.9762
2013-10-31,48.57,26798532.0,36880.7746,7.7675,1.1171,1.9762
2013-11-30,47.22,37260197.0,35851.8428,7.5508,1.0859,1.9762
2013-12-31,49.09,38520577.0,37271.9831,7.954,1.1245,1.9762
2014-01-31,45.68,10307961.0,34683.5765,7.4016,,1.9762
2014-02-28,44.46,13133671.0,33756.466,7.2038,,1.9762
2014-03-31,52.98,40203065.0,40224.803,9.3638,1.2103,1.9762
2014-04-30,54.96,21147954.0,41730.6876,9.7143,1.2556,1.9762
2014-05-31,63.25,34721564.0,48022.1769,11.1789,1.4449,1.9762
2014-06-30,65.62,27739248.0,49822.8076,11.5519,1.4818,1.9762
2014-07-31,68.29,28104838.0,51848.5171,12.0216,,1.8351
2014-08-31,66.35,15422022.0,50380.1456,11.6812,,1.8351
2014-09-30,74.86,34622053.0,56843.1236,13.1112,1.5394,1.8351
2014-10-31,76.99,11806948.0,58456.1885,13.4833,1.5831,1.8351
2014-11-30,75.73,21863692.0,57502.283,13.2633,1.5572,1.8351
2014-12-31,81.0,25115456.0,69350.9655,14.0844,1.6181,1.8351
2015-01-31,84.06,22750306.0,71973.6842,14.6171,,1.8351
2015-02-28,82.95,16514473.0,71019.0982,14.4232,,1.8351
2015-03-31,76.78,31078883.0,65737.1735,15.0499,1.5591,1.8351
2015-04-30,67.98,23185080.0,58207.4329,13.3261,1.3805,1.8351
2015-05-31,65.37,17054737.0,55971.4746,12.8142,1.3275,1.8351
2015-06-30,68.39,22070017.0,58551.8913,13.5285,1.3995,1.8351
2015-07-31,67.93,21310414.0,58165.131,13.4391,,1.8351
2015-08-31,65.7,11213787.0,56255.5018,12.9979,,1.8351
2015-09-30,63.13,15836628.0,54055.8023,11.3114,1.2033,1.8351
2015-10-31,59.51,29829243.0,50949.6332,10.6614,1.1342,1.8351
2015-11-30,63.85,9082704.0,54672.2016,11.4404,1.217,1.8351
2015-12-31,69.3,12798209.0,59331.4552,11.7385,1.315,1.8351
2016-01-31,63.28,22244542.0,54176.6649,10.7186,,1.8351
2016-02-29,56.22,17536514.0,48133.5344,9.523,,1.8351
2016-03-31,61.66,20106367.0,52792.788,9.3754,1.164,1.4116
2016-04-30,67.89,17536479.0,58128.8722,10.323,1.2817,1.4116
2016-05-31,65.16,20259137.0,55790.1807,9.9077,1.2301,1.4116
2016-06-30,70.07,21443638.0,59996.1995,10.4395,1.3452,1.4116
2016-07-31,67.8,31673766.0,58050.3115,10.1009,,0.5646
2016-08-31,68.05,24408092.0,58267.8642,10.1388,,0.5646
2016-09-30,66.27,35383172.0,56738.9522,10.1503,1.1705,0.5646
2016-10-31,68.22,30739653.0,58890.9984,10.4486,1.2049,0.5646
2016-11-30,59.08,35256468.0,51000.2736,9.0486,1.0435,0.5646
2016-12-31,57.7,16650698.0,49402.5918,9.4596,1.0092,0.5646
2017-01-31,58.93,18048836.0,50460.1396,9.6621,,0.5646
2017-02-28,70.72,99385834.0,60552.1675,11.5945,,0.5646
2017-03-31,79.05,44272199.0,67683.0615,11.2608,1.3552,0.5646
2017-04-30,84.34,32750956.0,72215.4094,12.0149,1.446,0.5646
2017-05-31,81.84,42196304.0,70070.0981,11.658,1.403,0.5646
2017-06-30,102.13,70464816.0,87444.0982,14.5077,1.6803,0.5646
2017-07-31,98.99,28049428.0,84754.9052,14.0616,1.6286,1.8351
2017-08-31,100.44,39210853.0,85993.7469,14.2671,1.6524,1.8351
2017-09-30,101.78,71609620.0,87141.9417,15.7768,1.6724,1.8351
2017-10-31,96.14,70296052.0,76858.624,14.9025,1.5797,1.8351
2017-11-30,86.29,41839620.0,68831.2549,13.3758,1.4179,1.8351
2017-12-31,94.85,39573372.0,90348.0919,16.0818,1.4643,1.8351
2018-01-31,84.02,65028785.0,80567.1605,14.2449,1.297,1.8351
2018-02-28,81.67,33852294.0,78315.0578,13.8468,1.2608,1.8351
2018-03-31,76.1,34257524.0,72975.3947,19.486,0.9771,1.8351
2018-04-30,82.5,27431101.0,79114.191,21.1252,1.0593,1.8351
2018-05-31,79.62,53570698.0,76353.5489,20.388,1.0223,1.8351
2018-06-30,78.56,22805253.0,75336.4702,29.4345,1.1938,1.8351
2018-07-31,75.8,31509027.0,72684.8008,28.3985,1.1518,0.4545
2018-08-31,78.0,40803071.0,74800.3186,29.2245,1.1853,0.4545
2018-09-30,64.75,28114964.0,62093.8542,24.2618,0.9792,0.4545
2018-10-31,66.46,61829435.0,63732.9053,24.9019,1.0051,0.4545
2018-11-30,65.83,22829076.0,63133.5363,24.6678,0.9956,0.4545
2018-12-31,74.17,24878279.0,71125.1231,35.2181,1.118,0.4545
2019-01-31,73.29,20576204.0,70286.0065,34.8027,1.1048,0.4545
2019-02-28,57.63,59194776.0,55261.8232,27.3633,0.8686,0.4545
2019-03-31,59.42,32842483.0,56980.0144,26.9517,0.8066,0.4545
2019-04-30,64.5,35810710.0,61854.8824,29.2575,0.8757,0.4545
2019-05-31,65.08,47267154.0,62415.0566,29.5221,0.8836,0.4545
2019-06-30,58.92,15184252.0,56501.2101,22.9936,0.7908,0.4545
2019-07-31,52.42,12015949.0,50267.6961,20.4569,0.7036,0.5
2019-08-31,48.42,14454437.0,46431.6875,18.8958,0.6499,0.5
2019-09-30,49.79,39206958.0,47750.3154,21.2274,0.7346,0.5
2019-10-31,45.71,15657612.0,43834.39,19.4865,0.6744,0.5
2019-11-30,52.63,28002084.0,50467.4882,22.4353,0.7764,0.5
2019-12-31,50.21,17222924.0,48149.8997,22.0312,0.7391,0.5
2020-01-31,39.96,17467828.0,38320.1276,17.5335,0.5882,0.5
2020-02-29,34.83,28273438.0,33405.2416,15.2847,0.5127,0.5
2020-03-31,16.83,35024472.0,16143.2029,6.6582,0.2446,0.5
2020-04-30,24.38,20965608.0,23375.6774,9.6412,0.3542,0.5
2020-05-31,19.29,18202046.0,18500.7498,7.6306,0.2804,0.5
2020-06-30,28.13,96119526.0,26971.9355,10.0746,0.4023,0.5
2020-07-31,28.79,84914225.0,27611.2703,10.3134,0.4118,0.5
2020-08-31,31.88,136593208.0,30568.1936,11.4179,0.4559,0.5
2020-09-30,27.17,38084801.0,26052.8918,8.15,0.382,0.0
2020-10-31,27.04,31660141.0,25933.0164,8.1125,0.3803,0.0
2020-11-30,31.25,53733089.0,29968.8171,9.375,0.4395,0.0
2020-12-31,38.13,133509473.0,36561.9569,10.7901,0.5334,0.0
2021-01-31,35.38,54362158.0,33924.701,10.0118,0.495,0.0
2021-02-28,49.71,138733680.0,47670.3985,14.0684,0.6955,0.0
2021-03-31,46.33,50710870.0,44433.7662,12.3556,0.6386,0.0
2021-04-30,43.5,33115463.0,41716.5935,11.6,0.5995,0.0
2021-05-31,47.67,48818755.0,45712.4357,12.7111,0.6569,0.0
2021-06-30,43.08,57981631.0,41317.0092,11.3877,0.5846,0.0
2021-07-31,40.58,50194020.0,38919.5521,10.7269,0.5507,0.4167
2021-08-31,36.63,60211860.0,35123.4972,9.6806,0.4969,0.4167
2021-09-30,39.92,243744877.0,38280.2166,9.265,0.5322,0.4167
2021-10-31,40.83,163436585.0,39159.303,9.4778,0.5444,0.4167
2021-11-30,39.96,205628582.0,38320.175,9.2747,0.5327,0.4167
2021-12-31,37.96,69331129.0,36402.1684,6.4518,0.4933,0.4167
2022-01-31,41.83,109511405.0,40118.3063,7.1105,0.5437,0.4167
2022-02-28,39.5,140583449.0,37880.6318,6.7139,0.5134,0.4167
2022-03-31,38.58,83955446.0,37001.5454,5.4988,0.488,0.4167
2022-04-30,40.71,82977440.0,39039.4275,5.8017,0.5149,0.4167
2022-05-31,37.46,81400963.0,35922.6667,5.3385,0.4738,0.4167
2022-06-30,37.46,53332487.0,35922.6667,4.5313,0.4591,0.4167
2022-07-31,48.96,149149022.0,46951.147,5.9224,0.6,1.3333
2022-08-31,57.21,159847844.0,54862.9147,6.9204,0.7012,1.3333
2022-09-30,67.92,284549378.0,65132.2294,7.4226,0.8207,1.3333
2022-10-31,86.67,211950326.0,83113.5197,9.4718,1.0473,1.3333
2022-11-30,83.46,167580794.0,80036.7212,9.1211,1.0085,1.3333
2022-12-31,94.38,203155435.0,90505.828,9.2235,1.0984,1.3333
2023-01-31,89.33,110996040.0,85670.8588,8.7308,1.0397,1.3333
2023-02-28,85.0,56665697.0,81515.1828,8.3073,0.9893,1.3333
2023-03-31,87.0,61616032.0,83433.1871,7.5552,0.9763,1.3333
2023-04-30,81.5,46216201.0,78158.6753,7.0775,0.9146,1.3333
2023-05-31,88.42,119980958.0,84791.7735,7.6782,0.9922,1.3333
2023-06-30,103.88,121336696.0,99616.3484,8.0793,1.1138,1.3333
2023-07-31,103.29,85518446.0,99056.9305,8.0339,1.1075,1.3333
2023-08-31,101.29,38799138.0,97138.9262,7.8783,1.0861,1.6667
2023-09-30,111.5,67623907.0,106928.7398,7.8621,1.167,1.6667
2023-10-31,119.25,86889119.0,114361.0065,8.4086,1.2481,1.6667
2023-11-30,128.88,74130826.0,123591.4022,9.0872,1.3488,1.6667
2023-12-31,140.75,107635132.0,134979.5527,9.1149,1.4173,1.6667
2024-01-31,165.29,103125277.0,158515.0638,10.7043,1.6644,1.6667
2024-02-29,153.0,67486950.0,146727.3291,9.9083,1.5406,1.6667
2024-03-31,152.25,54581960.0,146008.0775,9.1396,1.4649,1.6667
2024-04-30,169.96,62381910.0,162990.4072,10.2026,1.6353,1.6667
2024-05-31,164.25,64340977.0,157516.1033,9.8599,1.5804,1.6667
2024-06-30,172.28,81231065.0,165212.0955,9.7243,1.5608,1.6667
2024-07-31,192.32,78720956.0,184432.097,10.8556,1.7424,1.6667
2024-08-31,185.18,38186021.0,177591.215,10.4529,1.6778,2.0
2024-09-30,178.8,34954106.0,171469.5846,9.5661,1.5842,2.0
2024-10-31,188.32,81072250.0,180596.0884,10.0753,1.6685,2.0
2024-11-30,197.13,56527262.0,189051.2907,10.547,1.7466,2.0
2024-12-31,180.94,38828269.0,173523.4475,9.2372,1.5231,2.0
2025-01-31,198.52,62438552.0,190377.9103,10.1345,1.671,2.0
2025-02-28,167.59,34655333.0,160720.7688,8.5557,1.4107,2.0
2025-03-31,174.37,55382270.0,167218.0084,8.6406,1.4132,2.0
2025-04-30,181.81,62353015.0,174354.5827,9.0094,1.4735,2.0
2025-05-31,184.74,54693326.0,177167.6557,9.1547,1.4973,2.0
2025-06-30,222.95,101169965.0,213809.5295,10.722,1.731,2.0
2025-07-31,219.67,77026367.0,210660.8058,10.5641,1.7055,2.0
2025-08-31,214.05,36204166.0,206850.4058,10.294,1.6619,2.1667
2025-09-30,210.91,34751117.0,203816.02,9.6635,1.5928,2.1667
2025-10-31,243.15,68170157.0,234971.6242,11.1407,1.8363,2.1667
2025-11-30,247.97,35845143.0,239629.503,11.3615,1.8727,2.1667
2025-12-31,263.83,53270784.0,254956.0502,11.0885,1.8928,2.1667
2026-01-31,301.4,131878636.0,291262.3794,12.6676,2.1623,2.1667
2026-02-28,326.2,71469877.0,315228.2287,13.7099,2.3403,2.1667
2026-03-31,316.7,11264298.0,306047.774,13.3106,2.2721,2.1667
