CEAT IN Equity,price,volume,mc,pe,bm,div
1999-05-31,27.21,1042229.0,792.2925,,,2.4189
1999-06-30,46.26,2965667.0,1346.8973,,,2.4189
1999-07-31,58.54,5008179.0,1704.3093,,,2.4189
1999-08-31,84.66,6123547.0,2464.9101,,,2.4189
1999-09-30,85.69,3450882.0,2494.8411,,,2.4189
1999-10-31,71.36,1048352.0,2077.5671,,,2.4189
1999-11-30,56.84,255024.0,1655.0111,,,2.4189
1999-12-31,56.48,768451.0,1644.4472,,,2.4189
2000-01-31,78.43,1222946.0,2283.5631,,,2.4189
2000-02-29,79.82,546641.0,2324.0581,,,2.4189
2000-03-31,62.89,134779.0,1831.0761,,,2.4189
2000-04-30,48.38,82933.0,1408.5201,,,2.4189
2000-05-31,53.09,65648.0,1545.8508,,,2.4189
2000-06-30,42.94,133113.0,1250.0615,,,2.4189
2000-07-31,34.59,94818.0,1007.0918,,,2.4189
2000-08-31,33.2,30684.0,966.5969,,,2.4189
2000-09-30,29.81,198062.0,868.0005,,,2.4189
2000-10-31,33.26,139714.0,968.3575,,,2.4189
2000-11-30,41.61,186053.0,1211.3272,,,2.4189
2000-12-31,45.84,186631.0,1334.5727,,,2.4189
2001-01-31,36.95,165178.0,1075.7572,,,2.4189
2001-02-28,33.26,105371.0,968.3575,,,2.4189
2001-03-31,25.4,309261.0,739.473,,,2.4189
2001-04-30,23.22,316717.0,676.0896,,,2.4189
2001-05-31,26.12,435116.0,760.6008,,,2.4189
2001-06-30,21.17,369596.0,616.2275,,,2.4189
2001-07-31,20.56,168744.0,598.621,,,1.2094
2001-08-31,20.74,419276.0,603.903,,,1.2094
2001-09-30,18.63,424857.0,542.2802,,,1.2094
2001-10-31,20.2,149718.0,588.0621,,,1.2094
2001-11-30,23.58,143037.0,686.6593,,,1.2094
2001-12-31,27.64,177521.0,804.6239,,,1.2094
2002-01-31,29.63,66359.0,862.7258,,,1.2094
2002-02-28,29.69,124918.0,864.4865,,,1.2094
2002-03-31,30.9,154709.0,899.6998,12.6242,0.1537,1.2094
2002-04-30,31.2,150579.0,908.5031,12.7477,0.1552,1.2094
2002-05-31,29.39,130909.0,855.6832,12.0066,0.1462,1.2094
2002-06-30,54.12,2729328.0,1575.7951,22.1109,0.2692,1.2094
2002-07-31,38.94,710849.0,1133.8682,15.9099,0.1937,1.2094
2002-08-31,36.71,425976.0,1068.7236,14.9959,0.1826,1.2094
2002-09-30,35.62,409964.0,1037.0316,14.5512,0.1771,1.2094
2002-10-31,38.22,133914.0,1112.7402,15.6135,0.1901,1.2094
2002-11-30,37.55,352878.0,1093.3729,15.3417,0.1868,1.2094
2002-12-31,41.12,633121.0,1197.2522,16.7993,0.2045,1.2094
2003-01-31,35.62,156449.0,1037.0316,14.5512,0.1771,1.2094
2003-02-28,33.02,142789.0,961.3231,13.4889,0.1642,1.2094
2003-03-31,30.78,100011.0,896.1785,4.8252,0.1441,1.2094
2003-04-30,33.74,102331.0,982.451,5.2897,0.158,1.2094
2003-05-31,43.3,720225.0,1260.6361,6.7875,0.2027,1.2094
2003-06-30,46.87,1158908.0,1364.5153,7.3469,0.2194,1.2094
2003-07-31,47.47,1398095.0,1382.122,7.4417,0.2222,1.2094
2003-08-31,52.55,867998.0,1530.0178,8.238,0.246,1.2094
2003-09-30,50.74,444274.0,1477.1979,7.9536,0.2375,1.2094
2003-10-31,53.76,1545792.0,1565.2311,8.4276,0.2517,0.0
2003-11-30,66.64,1190975.0,1940.2528,10.4467,0.312,1.2094
2003-12-31,85.21,2371866.0,2480.7769,13.3571,0.3989,1.2094
2004-01-31,58.6,664392.0,1706.0843,9.1859,0.2743,1.2094
2004-02-29,46.38,537753.0,1350.43,7.271,0.2171,1.2094
2004-03-31,43.9,321571.0,1278.2427,25.2438,0.2079,1.2094
2004-04-30,46.62,288927.0,1357.4727,26.8085,0.2208,1.2094
2004-05-31,38.88,222861.0,1132.1076,22.3578,0.1841,1.2094
2004-06-30,37.86,106253.0,1102.1763,21.7667,0.1793,1.2094
2004-07-31,41.0,569585.0,1193.7308,23.5748,0.1942,1.2094
2004-08-31,48.56,2150169.0,1413.8139,27.9211,0.23,1.2094
2004-09-30,51.7,1871503.0,1505.3685,29.7292,0.2448,1.2094
2004-10-31,45.66,921322.0,1329.302,26.2521,0.2162,1.2094
2004-11-30,67.97,1962215.0,1978.9874,39.0826,0.3219,1.2094
2004-12-31,69.48,1318917.0,2023.004,39.9519,0.329,1.2094
2005-01-31,74.38,6426586.0,2165.6179,42.7684,0.3522,1.2094
2005-02-28,104.31,13641768.0,3037.147,59.98,0.494,1.2094
2005-03-31,119.01,60913475.0,3464.9886,66.8299,0.5646,1.2094
2005-04-30,111.99,15888344.0,3260.7515,,0.5313,1.2094
2005-05-31,119.19,9060032.0,3470.2706,,0.5654,1.2094
2005-06-30,98.45,5433869.0,2866.3625,,0.467,1.2094
2005-07-31,92.46,6543703.0,2692.0567,,0.4386,1.2094
2005-08-31,110.42,14890438.0,3214.9742,,0.5238,1.2094
2005-09-30,108.19,21684311.0,3141.5825,,0.5132,1.2094
2005-10-31,80.61,2752933.0,2340.8214,,0.3824,1.2094
2005-11-30,101.9,5016053.0,2958.9528,,0.4834,0.0
2005-12-31,89.0,4868931.0,3047.6313,,0.4222,0.0
2006-01-31,94.93,5534396.0,3250.8068,,0.4504,0.0
2006-02-28,90.73,3856296.0,3106.9317,,0.4304,0.0
2006-03-31,88.4,7862447.0,3027.0326,,0.4016,0.0
2006-04-30,105.6,8001217.0,3326.0834,,,0.0
2006-05-31,119.53,40092207.0,4093.1143,,,0.0
2006-06-30,106.87,4933410.0,3659.3766,,,0.0
2006-07-31,107.6,774002.0,3684.4877,,,0.0
2006-08-31,136.93,4386704.0,4688.9329,,,0.0
2006-09-30,161.2,9027599.0,5519.8831,,,0.0
2006-10-31,156.93,6830921.0,5373.7819,,,0.0
2006-11-30,170.0,12877532.0,5821.2166,,,0.0
2006-12-31,165.67,7549366.0,5672.8327,,,0.0
2007-01-31,189.47,12682130.0,6487.803,,,0.0
2007-02-28,156.67,5635355.0,5364.6506,,,0.0
2007-03-31,143.8,2892390.0,4924.0644,,,0.0
2007-04-30,190.0,11118383.0,6506.0656,,,0.0
2007-05-31,242.33,18564706.0,8298.0872,,,0.0
2007-06-30,207.87,9252368.0,7117.9265,,,0.0
2007-07-31,240.8,8743117.0,8245.6545,,,2.4
2007-08-31,215.6,2660486.0,7382.7371,,,2.4
2007-09-30,216.33,2623310.0,7407.8485,,,2.4
2007-10-31,234.87,5919035.0,8042.4808,,,2.4
2007-11-30,263.93,8893627.0,9037.8034,,,2.4
2007-12-31,278.27,8911318.0,12704.8216,,,2.4
2008-01-31,209.35,,9558.2933,,,2.4
2008-02-29,139.45,2062119.0,4775.1864,,,2.4
2008-03-31,109.25,2668947.0,3741.0478,,,2.4
2008-04-30,135.7,8592085.0,4646.7751,,,2.4
2008-05-31,96.25,3688957.0,3295.8888,,,2.4
2008-06-30,78.2,4058748.0,2677.8026,,,2.4
2008-07-31,70.75,3127565.0,2422.6923,,,2.0
2008-08-31,75.4,3571763.0,2581.9222,,,2.0
2008-09-30,58.95,4680623.0,2018.6249,,,2.0
2008-10-31,39.9,2142530.0,1366.2957,,,2.0
2008-11-30,36.4,2521961.0,1246.4634,,,2.0
2008-12-31,38.85,1721997.0,1330.36,,,2.0
2009-01-31,36.3,1177208.0,1243.0572,,,2.0
2009-02-28,33.6,475466.0,1150.5984,,,2.0
2009-03-31,34.9,1423146.0,1195.1156,,0.2447,2.0
2009-04-30,53.15,4184716.0,1820.0686,,0.3727,2.0
2009-05-31,90.35,6439546.0,3093.9454,,0.6335,2.0
2009-06-30,88.35,2225912.0,3025.4574,,0.6195,2.0
2009-07-31,116.0,3276671.0,3972.3039,,0.8133,2.0
2009-08-31,149.7,3576880.0,5126.3267,,1.0496,0.0
2009-09-30,161.65,5173755.0,5535.5425,,1.1334,0.0
2009-10-31,149.2,7822778.0,5109.2047,,1.0461,0.0
2009-11-30,144.0,3881031.0,4931.1359,,1.0097,0.0
2009-12-31,145.2,2749250.0,4972.2287,,1.0181,0.0
2010-01-31,133.4,5279982.0,4568.0829,,0.9353,0.0
2010-02-28,135.55,2451668.0,4641.7064,,0.9504,0.0
2010-03-31,148.3,16118612.0,5078.311,3.1254,0.8071,0.0
2010-04-30,145.0,7516871.0,4965.3075,3.0558,0.7891,0.0
2010-05-31,132.3,3969204.0,4530.415,2.7882,0.72,0.0
2010-06-30,134.1,2784341.0,4592.0533,2.8261,0.7298,0.0
2010-07-31,134.0,3593357.0,4588.629,2.824,0.7293,4.0
2010-08-31,145.85,16236650.0,4994.4144,3.0738,0.7938,4.0
2010-09-30,176.55,24492766.0,6045.6899,3.7208,0.9608,4.0
2010-10-31,156.85,5081375.0,5371.0929,3.3056,0.8536,4.0
2010-11-30,138.7,4882474.0,4749.5734,2.9231,0.7549,4.0
2010-12-31,134.0,2885135.0,4588.629,2.824,0.7293,4.0
2011-01-31,112.05,2828216.0,3836.9841,2.3614,0.6098,4.0
2011-02-28,97.25,2107879.0,3330.1804,2.0495,0.5293,4.0
2011-03-31,103.05,7603915.0,3528.7926,13.2823,0.54,4.0
2011-04-30,106.6,4808364.0,3650.3571,13.7399,0.5586,4.0
2011-05-31,98.7,3000728.0,3379.8334,12.7216,0.5172,4.0
2011-06-30,106.2,4691019.0,3636.6597,13.6883,0.5565,4.0
2011-07-31,104.9,6118194.0,3592.1431,13.5208,0.5497,4.0
2011-08-31,85.75,3656281.0,2936.3801,11.0525,0.4493,2.0
2011-09-30,77.1,2401047.0,2640.1738,9.9376,0.404,2.0
2011-10-31,73.4,1804172.0,2513.4729,9.4607,0.3846,2.0
2011-11-30,73.0,2307590.0,2499.7755,9.4091,0.3825,2.0
2011-12-31,73.75,1859405.0,2525.4581,9.5058,0.3865,2.0
2012-01-31,85.85,5555036.0,2939.8045,11.0654,0.4499,2.0
2012-02-29,87.9,5467735.0,3010.0036,11.3296,0.4606,2.0
2012-03-31,89.05,2045452.0,3049.3837,16.7689,0.45,2.0
2012-04-30,107.5,8696831.0,3681.1762,20.2432,0.5433,2.0
2012-05-31,92.95,5376930.0,3182.9333,17.5033,0.4697,2.0
2012-06-30,98.5,2573011.0,3372.9847,18.5484,0.4978,2.0
2012-07-31,98.05,2264723.0,3357.5752,18.4637,0.4955,1.0
2012-08-31,109.6,13719314.0,3753.0876,20.6386,0.5539,1.0
2012-09-30,113.0,5493921.0,3869.5155,21.2789,0.5711,1.0
2012-10-31,119.65,7648084.0,4097.2347,22.5311,0.6047,1.0
2012-11-30,104.5,5562154.0,3578.4457,19.6782,0.5281,1.0
2012-12-31,105.35,3789046.0,3607.5527,19.8383,0.5324,1.0
2013-01-31,105.3,3054926.0,3605.8405,19.8289,0.5321,1.0
2013-02-28,91.7,3943940.0,3140.1289,17.2679,0.4634,1.0
2013-03-31,93.6,1914593.0,3205.1916,2.6667,0.4081,1.0
2013-04-30,105.3,2496761.0,3605.8405,3.0,0.4591,1.0
2013-05-31,107.85,5672380.0,3693.1614,3.0726,0.4702,1.0
2013-06-30,105.75,2575462.0,3621.2537,3.0128,0.461,1.0
2013-07-31,127.45,4479423.0,4364.3384,3.6311,0.5556,1.0
2013-08-31,104.45,6847125.0,3755.5741,2.9758,0.4554,4.0
2013-09-30,122.2,3321618.0,4393.7879,3.4815,0.5327,4.0
2013-10-31,184.55,16032163.0,6635.6265,5.2578,0.8046,4.0
2013-11-30,286.6,32137323.0,10304.9069,8.1652,1.2495,4.0
2013-12-31,321.2,18477517.0,11548.9745,9.151,1.4003,4.0
2014-01-31,297.7,9730781.0,10704.0153,8.4815,1.2979,4.0
2014-02-28,282.35,7887018.0,10152.0951,8.0442,1.2309,4.0
2014-03-31,441.75,23629387.0,15883.4355,5.7677,1.5442,4.0
2014-04-30,388.65,16154264.0,13974.1872,5.0744,1.3585,4.0
2014-05-31,423.45,7561800.0,15225.446,5.5288,1.4802,4.0
2014-06-30,683.55,27560730.0,24577.5265,8.9248,2.3894,4.0
2014-07-31,522.1,22417444.0,18772.4769,6.8168,1.825,4.0
2014-08-31,587.3,14317018.0,21116.7893,7.6681,2.0529,4.0
2014-09-30,794.8,31149376.0,28577.5994,10.3773,2.7783,10.0
2014-10-31,866.85,19236629.0,31168.2084,11.3181,3.0301,10.0
2014-11-30,908.55,13770835.0,32667.5616,11.8625,3.1759,10.0
2014-12-31,860.45,16226664.0,34805.2819,11.2345,3.0078,10.0
2015-01-31,819.8,6400302.0,33160.9857,10.7037,2.8657,10.0
2015-02-28,749.1,11081348.0,30301.0956,9.7807,2.6185,10.0
2015-03-31,804.45,6866862.0,32540.0768,9.6054,1.9343,10.0
2015-04-30,761.65,10112583.0,30808.8128,9.0943,1.8314,10.0
2015-05-31,776.45,7586299.0,31407.4742,9.271,1.867,10.0
2015-06-30,662.2,10518441.0,26786.0511,7.9069,1.5923,10.0
2015-07-31,915.25,29070602.0,37021.947,10.9284,2.2007,10.0
2015-08-31,1097.5,27013033.0,44393.9763,13.1045,2.639,10.0
2015-09-30,1281.95,22645389.0,51854.9933,15.3069,3.0825,10.0
2015-10-31,1081.55,15358248.0,43748.7999,12.914,2.6006,10.0
2015-11-30,1025.85,14323633.0,41495.7272,12.249,2.4667,10.0
2015-12-31,1051.4,11575547.0,42529.2271,12.554,2.5281,10.0
2016-01-31,940.55,8715665.0,38045.3343,11.2304,2.2616,10.0
2016-02-29,947.8,10196722.0,38338.5975,11.317,2.279,10.0
2016-03-31,1086.65,8713100.0,43955.0928,10.0458,2.1392,11.5
2016-04-30,1098.6,9022569.0,44438.4714,10.1562,2.1627,11.5
2016-05-31,924.0,10757161.0,37375.8853,8.5421,1.819,11.5
2016-06-30,838.85,13216182.0,33931.5599,7.7549,1.6514,11.5
2016-07-31,863.75,12595416.0,34938.7672,7.9851,1.7004,11.5
2016-08-31,893.2,13510382.0,36130.0225,8.2574,1.7584,11.5
2016-09-30,1326.4,37509614.0,53653.0024,12.2622,2.6112,11.5
2016-10-31,1215.55,23850738.0,49169.1122,11.2374,2.393,11.5
2016-11-30,1280.65,23396235.0,51802.4107,11.8392,2.5211,11.5
2016-12-31,1163.1,22388822.0,47047.5024,10.7525,2.2897,11.5
2017-01-31,1168.6,18352865.0,47269.9779,10.8034,2.3005,11.5
2017-02-28,1180.55,19083519.0,47753.359,10.9138,2.3241,11.5
2017-03-31,1324.85,23367076.0,53590.3048,14.8393,2.2191,11.5
2017-04-30,1525.9,18551775.0,61722.7959,17.0912,2.5559,11.5
2017-05-31,1683.4,29128451.0,68093.6854,18.8553,2.8197,0.0
2017-06-30,1795.0,23239844.0,72607.9157,20.1053,3.0067,0.0
2017-07-31,1877.15,13043024.0,75930.8908,21.0254,3.1443,11.5
2017-08-31,1705.7,21329547.0,68995.7225,19.1051,2.8571,11.5
2017-09-30,1714.6,11793101.0,69355.7283,19.2047,2.872,11.5
2017-10-31,1671.9,6773216.0,67628.5093,18.7265,2.8005,11.5
2017-11-30,1784.1,13139174.0,72167.0091,19.9832,2.9884,11.5
2017-12-31,1950.85,12303512.0,78912.062,21.8509,3.2677,11.5
2018-01-31,1820.85,8990642.0,73653.55,20.3948,3.05,11.5
2018-02-28,1602.45,14992678.0,64819.2499,17.9486,2.6841,11.5
2018-03-31,1506.3,9790425.0,60929.9736,25.6043,2.338,11.5
2018-04-30,1590.4,16029813.0,64331.8263,27.0338,2.4686,11.5
2018-05-31,1361.85,15622235.0,55086.9578,23.1489,2.1138,11.5
2018-06-30,1258.15,12176199.0,50892.2832,21.3862,1.9529,11.5
2018-07-31,1385.75,19169577.0,56053.715,23.5552,2.1509,11.5
2018-08-31,1386.4,13113716.0,56080.0075,23.5662,2.1519,11.5
2018-09-30,1141.05,10174668.0,46155.5775,19.3957,1.7711,11.5
2018-10-31,1146.95,14673616.0,46394.233,19.496,1.7803,11.5
2018-11-30,1264.15,13800471.0,51134.9838,21.4882,1.9622,11.5
2018-12-31,1306.4,14075532.0,52844.0002,22.2064,2.0277,11.5
2019-01-31,1086.05,11341130.0,43930.8224,18.4608,1.6857,11.5
2019-02-28,1090.25,11156179.0,44100.7128,18.5322,1.6922,11.5
2019-03-31,1119.9,9407656.0,45300.058,17.9615,1.6377,11.5
2019-04-30,1054.0,8850244.0,42634.397,16.9046,1.5413,11.5
2019-05-31,979.8,15269037.0,39633.0001,15.7145,1.4328,11.5
2019-06-30,923.6,14253128.0,37359.705,14.8132,1.3506,11.5
2019-07-31,817.7,4712067.0,33076.0402,13.1147,1.1958,12.0
2019-08-31,907.3,4637682.0,36700.3685,14.5517,1.3268,12.0
2019-09-30,957.1,4290817.0,38714.7831,15.3504,1.3996,12.0
2019-10-31,1008.8,3251308.0,40806.0528,16.1796,1.4752,12.0
2019-11-30,941.85,3031278.0,38097.9192,15.1059,1.3773,12.0
2019-12-31,988.85,2940589.0,39999.0735,15.8597,1.4461,12.0
2020-01-31,1004.15,2910099.0,40617.9599,16.1051,1.4684,12.0
2020-02-29,1021.2,2326426.0,41307.634,16.3785,1.4934,12.0
2020-03-31,792.95,1825670.0,32074.9005,13.87,1.103,12.0
2020-04-30,804.05,3404427.0,32523.8965,14.0642,1.1185,12.0
2020-05-31,809.95,4443000.0,32762.552,14.1674,1.1267,12.0
2020-06-30,914.4,4195196.0,36987.5641,15.9944,1.272,12.0
2020-07-31,868.95,4821142.0,35149.1074,15.1994,1.2087,12.0
2020-08-31,878.2,8607085.0,35523.2708,15.3612,1.2216,12.0
2020-09-30,999.2,5751769.0,40417.7319,17.4777,1.3899,12.0
2020-10-31,1093.1,6530381.0,44215.9956,19.1202,1.5205,12.0
2020-11-30,1148.35,3533281.0,46450.8631,20.0866,1.5974,12.0
2020-12-31,1080.95,4710721.0,43724.5269,18.9076,1.5036,12.0
2021-01-31,1470.9,19272285.0,59498.0403,25.7285,2.0461,12.0
2021-02-28,1594.4,9383385.0,64493.6267,27.8888,2.2179,12.0
2021-03-31,1556.55,3760627.0,62962.5907,14.5731,1.8986,12.0
2021-04-30,1386.0,4101654.0,56063.8275,12.9763,1.6906,12.0
2021-05-31,1322.0,6747021.0,53475.0216,12.3771,1.6125,0.0
2021-06-30,1359.65,5004753.0,54997.9676,12.7296,1.6584,0.0
2021-07-31,1356.85,6308962.0,54884.7073,12.7034,1.655,0.0
2021-08-31,1278.15,2230700.0,51701.2851,11.9666,1.559,18.0
2021-09-30,1321.7,3454159.0,53462.8866,12.3743,1.6121,18.0
2021-10-31,1247.2,4145943.0,50449.3547,11.6768,1.5213,18.0
2021-11-30,1174.25,1387172.0,47498.5205,10.9938,1.4323,18.0
2021-12-31,1215.25,2826683.0,49156.9743,11.3777,1.4823,18.0
2022-01-31,1094.95,3064586.0,44290.8282,10.2514,1.3356,18.0
2022-02-28,977.05,1358683.0,39521.7624,9.1476,1.1917,18.0
2022-03-31,932.15,2673347.0,37705.5533,52.9631,1.1521,18.0
2022-04-30,1124.75,5776869.0,45496.241,63.9062,1.3901,18.0
2022-05-31,1013.95,1748737.0,41014.3708,57.6108,1.2532,18.0
2022-06-30,929.2,1730361.0,37586.2255,52.7955,1.1484,3.0
2022-07-31,1260.55,4161560.0,50989.3635,71.6222,1.558,3.0
2022-08-31,1390.5,3312312.0,56245.8529,79.0057,1.7186,3.0
2022-09-30,1573.6,12882866.0,63652.2648,89.4091,1.9449,3.0
2022-10-31,1541.95,2276800.0,62372.0194,87.6108,1.9058,3.0
2022-11-30,1882.85,7002404.0,76161.4557,106.9801,2.3271,3.0
2022-12-31,1642.5,3882581.0,66439.2761,93.3239,2.03,3.0
2023-01-31,1573.15,3450592.0,63634.0622,89.3835,1.9443,3.0
2023-02-28,1383.6,1390166.0,55966.7473,78.6136,1.7101,3.0
2023-03-31,1450.55,1431529.0,58674.881,31.5131,1.7058,3.0
2023-04-30,1557.2,4182016.0,62988.8833,33.8301,1.8313,3.0
2023-05-31,1927.8,14786303.0,77979.6874,41.8814,2.2671,3.0
2023-06-30,2077.4,5370916.0,84031.0211,45.1314,2.443,12.0
2023-07-31,2471.45,20557962.0,99970.3799,53.6922,2.9064,12.0
2023-08-31,2253.1,3534207.0,91138.1023,48.9485,2.6496,12.0
2023-09-30,2122.05,2193562.0,85837.1177,46.1015,2.4955,12.0
2023-10-31,2108.6,7485753.0,85293.064,45.8093,2.4797,12.0
2023-11-30,2099.9,5022717.0,84941.1482,45.6202,2.4695,12.0
2023-12-31,2427.0,8077567.0,98172.3733,52.7265,2.8541,12.0
2024-01-31,2650.5,8470899.0,107212.9688,57.582,3.117,12.0
2024-02-29,2855.4,4248573.0,115501.1927,62.0335,3.3579,12.0
2024-03-31,2682.4,2618094.0,108503.3268,16.8842,2.684,12.0
2024-04-30,2569.0,3067746.0,103916.2863,16.1705,2.5705,12.0
2024-05-31,2358.2,4550086.0,95389.407,14.8436,2.3596,12.0
2024-06-30,2821.85,5322102.0,114144.0921,17.762,2.8235,12.0
2024-07-31,2688.85,8159000.0,108764.2299,16.9248,2.6904,12.0
2024-08-31,2756.3,5133521.0,111492.5886,17.3494,2.7579,30.0
2024-09-30,3154.8,6023173.0,127611.9502,19.8577,3.1567,30.0
2024-10-31,2805.9,3290722.0,113498.9131,17.6616,2.8076,30.0
2024-11-30,3078.15,1381330.0,124511.4507,19.3753,3.08,30.0
2024-12-31,3232.35,12896065.0,130748.8549,20.3459,3.2343,30.0
2025-01-31,2856.65,3010922.0,115551.7553,17.9811,2.8583,30.0
2025-02-28,2532.5,1825590.0,102439.858,15.9407,2.534,30.0
2025-03-31,2879.5,2369581.0,116476.0399,24.6427,2.6663,30.0
2025-04-30,3332.0,4311684.0,134779.7065,28.5152,3.0852,30.0
2025-05-31,3778.7,6629829.0,152848.7626,32.338,3.4989,30.0
2025-06-30,3684.0,2516913.0,149018.1389,31.5276,3.4112,30.0
2025-07-31,3313.3,5420476.0,134023.2898,28.3552,3.0679,30.0
2025-08-31,3132.2,2102375.0,126697.7782,26.8053,2.9002,30.0
2025-09-30,3383.4,2745482.0,136858.8413,28.9551,3.1328,30.0
2025-10-31,4032.7,11307806.0,163123.086,34.5118,3.734,30.0
2025-11-30,3847.0,2486851.0,155611.5039,32.9226,3.5621,30.0
2025-12-31,3812.6,2563043.0,154220.0208,32.6282,3.5302,30.0
2026-01-31,3761.8,3568190.0,152165.1561,32.1934,3.4832,30.0
2026-02-28,3531.4,2458086.0,142845.4549,30.2217,3.2699,30.0
2026-03-31,3419.8,477897.0,138331.2266,29.2666,3.1665,30.0
