RVNL IN Equity,price,volume,mc,pe,bm,div
2024-09-30,531.45,186038709.0,1108083.932,71.4315,12.7047,2.11
2024-10-31,471.8,165199686.0,983712.4832,63.414,11.2787,2.11
2024-11-30,435.85,109025295.0,908756.0106,58.582,10.4193,2.11
2024-12-31,422.7,102640781.0,881337.9963,56.8145,10.105,2.11
2025-01-31,476.3,196180202.0,993095.0736,64.0188,11.3863,2.11
2025-02-28,332.4,338991731.0,693060.6812,44.6774,7.9463,2.11
2025-03-31,351.85,254270990.0,733614.3222,57.2114,7.6652,2.11
2025-04-30,349.8,116472532.0,729340.031,56.878,7.6205,2.11
2025-05-31,405.55,274830251.0,845579.9016,65.9431,8.8351,2.11
2025-06-30,397.7,219889384.0,829212.4938,64.6667,8.6641,2.11
2025-07-31,348.15,90639622.0,725899.7478,56.6098,7.5846,2.11
2025-08-31,302.6,90279033.0,630927.0823,49.2033,6.5923,1.72
2025-09-30,339.45,180040469.0,707760.0729,55.1951,7.3951,1.72
2025-10-31,328.8,82277385.0,685554.6089,53.4634,7.163,1.72
2025-11-30,324.1,99394827.0,675755.0144,52.6992,7.0607,1.72
2025-12-31,357.25,291891463.0,744873.4307,58.0894,7.7828,1.72
2026-01-31,343.4,199102467.0,715995.9023,55.8374,7.4811,1.72
2026-02-28,316.35,200034043.0,659596.1086,51.439,6.8918,2.72
2026-03-31,280.65,30806800.0,585160.8783,45.6341,6.1141,2.72
