BHARTI IN Equity,price,volume,mc,pe,bm,div
2010-08-31,295.03,132995372.0,1243121.455,15.1208,2.8576,0.9013
2010-09-30,330.13,145673006.0,1391035.25,18.233,3.0098,0.9013
2010-10-31,293.49,126404010.0,1236665.654,16.2096,2.6758,0.9013
2010-11-30,324.59,183696187.0,1367680.44,17.9268,2.9593,0.9013
2010-12-31,323.37,100884567.0,1362553.775,20.3471,2.9125,0.9013
2011-01-31,287.5,78739171.0,1211412.079,18.0901,2.5894,0.9013
2011-02-28,298.59,121915115.0,1258121.699,18.7876,2.6893,0.9013
2011-03-31,322.11,100026504.0,1357237.233,22.4272,2.7831,0.9013
2011-04-30,342.52,100994267.0,1443251.288,23.8485,2.9595,0.9013
2011-05-31,337.21,104913735.0,1420845.861,23.4783,2.9136,0.9013
2011-06-30,355.91,116876878.0,1499644.609,26.8512,3.0086,0.9013
2011-07-31,394.08,134499832.0,1660470.005,29.7307,3.3313,0.9013
2011-08-31,364.69,156982237.0,1536670.526,27.5141,3.0829,0.9013
2011-09-30,340.68,101826811.0,1435466.351,28.9966,2.9629,0.9013
2011-10-31,353.11,96127835.0,1487872.266,30.0552,3.0711,0.9013
2011-11-30,347.98,183844987.0,1466226.344,29.618,3.0264,0.9013
2011-12-31,309.58,154952727.0,1304451.565,28.0042,2.6528,0.9013
2012-01-31,329.59,108873827.0,1388756.732,29.8141,2.8243,0.9013
2012-02-29,315.62,234784991.0,1329895.016,28.5505,2.7046,0.9013
2012-03-31,304.54,106670954.0,1283185.397,30.1024,2.5337,0.9013
2012-04-30,279.84,87910629.0,1179133.074,27.6615,2.3283,0.9013
2012-05-31,272.68,85680744.0,1148942.71,26.9532,2.2687,0.9013
2012-06-30,274.93,95888606.0,1158436.535,30.4138,2.3396,0.9013
2012-07-31,270.42,95775561.0,1139448.885,29.9153,2.3013,0.9013
2012-08-31,223.33,242396685.0,941027.9413,24.7059,1.9005,0.9013
2012-09-30,239.24,161684657.0,1008054.346,28.7813,2.0445,0.9013
2012-10-31,243.02,87493249.0,1024003.972,29.2367,2.0768,0.9013
2012-11-30,303.72,151892381.0,1279767.62,36.5391,2.5956,0.9013
2012-12-31,285.79,102707762.0,1204196.772,43.4027,2.3325,0.9013
2013-01-31,306.07,127599234.0,1289641.198,46.4823,2.498,0.9013
2013-02-28,291.02,136970837.0,1226222.447,44.1966,2.3752,0.9013
2013-03-31,262.94,154392747.0,1107929.386,48.6493,2.1994,0.9013
2013-04-30,287.28,98937563.0,1210462.697,53.1516,2.403,0.9013
2013-05-31,272.13,103302423.0,1146664.192,50.3502,2.2763,0.9013
2013-06-30,262.94,108577012.0,1166241.422,50.3886,2.0272,0.9013
2013-07-31,310.48,114970512.0,1377104.266,59.4991,2.3937,0.9013
