GLXO IN Equity,price,volume,mc,pe,bm,div
2000-04-30,192.25,1869404.0,22983.4881,,,3.0
2000-05-31,170.23,2667110.0,20350.3993,,,3.0
2000-06-30,215.13,3683510.0,25718.1944,,,3.0
2000-07-31,240.95,4874422.0,28805.5732,,,3.0
2000-08-31,229.88,4165554.0,27481.557,,,3.0
2000-09-30,223.95,1752558.0,26773.2232,,,3.0
2000-10-31,204.98,1488340.0,24504.7619,,,3.0
2000-11-30,230.0,4573442.0,27496.5007,,,3.0
2000-12-31,227.23,3628574.0,27164.7494,,,3.0
2001-01-31,216.93,2351610.0,25933.3844,,,3.0
2001-02-28,231.05,6501326.0,27622.0282,,,3.0
2001-03-31,213.7,3718328.0,25547.8357,,,3.0
2001-04-30,184.9,1405440.0,22104.7956,,,2.5
2001-05-31,196.13,2238070.0,23446.7443,,,2.5
2001-06-30,158.13,2691428.0,18903.8442,,,2.5
2001-07-31,135.8,948570.0,16234.8904,,,2.5
2001-08-31,130.93,404094.0,15652.0841,,,2.5
2001-09-30,113.23,2182184.0,13536.0491,,,2.5
2001-10-31,134.57,1323326.0,16088.4417,,,2.5
2001-11-30,153.45,1900332.0,18344.948,,,2.5
2001-12-31,143.7,615888.0,17179.3354,31.02,,2.5
2002-01-31,164.45,1621632.0,24494.827,35.4992,,2.5
2002-02-28,169.98,1412818.0,25317.7757,36.6918,,2.5
2002-03-31,169.8,821522.0,25291.7095,36.6541,,2.75
2002-04-30,212.85,2945054.0,31704.0069,45.9471,,2.75
2002-05-31,182.03,873964.0,27112.6232,39.293,,2.75
2002-06-30,183.9,375742.0,27391.9044,39.6978,,2.75
2002-07-31,191.4,933852.0,28509.0294,41.3168,,2.75
2002-08-31,188.9,224478.0,28136.6544,40.7771,,2.75
2002-09-30,184.55,243238.0,27488.7219,39.8381,,2.75
2002-10-31,161.78,281544.0,24096.3858,34.9217,,2.75
2002-11-30,161.15,261196.0,24003.292,34.7868,,2.75
2002-12-31,152.8,591174.0,22759.5595,23.3907,3.9842,2.75
2003-01-31,149.18,921314.0,22219.6158,22.8358,3.8897,2.75
2003-02-28,154.82,2458080.0,23061.1833,23.7007,4.037,2.75
2003-03-31,145.98,832612.0,21742.9758,22.346,3.8062,2.75
2003-04-30,161.93,1294474.0,24118.7283,24.7876,4.2221,3.5
2003-05-31,181.55,747708.0,27041.8719,27.7918,4.7338,3.5
2003-06-30,178.2,768096.0,26542.8895,27.279,4.6465,3.5
2003-07-31,207.33,1865280.0,30881.0581,31.7375,5.4059,3.5
2003-08-31,220.3,1097026.0,32813.6843,33.7237,5.7442,3.5
2003-09-30,225.7,1293612.0,33618.0143,34.5503,5.885,3.5
2003-10-31,238.88,1399866.0,35580.4305,36.5672,6.2285,3.5
2003-11-30,244.95,1368436.0,36485.3018,37.4971,6.387,3.5
2003-12-31,287.52,1316730.0,42826.8479,23.1697,6.4655,3.5
2004-01-31,305.88,1307980.0,45560.0803,24.6485,6.8782,3.5
2004-02-29,301.25,726788.0,44871.1866,24.2758,6.7742,5.0
2004-03-31,303.48,1164500.0,45202.6003,24.4551,6.8242,5.0
2004-04-30,333.73,1576732.0,49708.3377,26.8927,7.5044,5.0
2004-05-31,302.13,529000.0,45001.5178,24.3463,6.7938,5.0
2004-06-30,297.15,634516.0,44260.4916,23.9454,6.682,5.0
2004-07-31,299.93,1119634.0,44673.8278,24.169,6.7444,5.0
2004-08-31,297.55,276440.0,44320.0716,23.9776,6.691,5.0
2004-09-30,336.9,902220.0,50181.254,27.1486,7.5758,5.0
2004-10-31,336.73,368050.0,50155.1877,27.1345,7.5719,5.0
2004-11-30,368.43,1118764.0,54876.9026,29.6889,8.2847,5.0
2004-12-31,384.68,1403588.0,67181.567,24.8241,7.2727,5.0
2005-01-31,352.75,2885712.0,61606.0253,22.7639,6.6691,5.0
2005-02-28,368.38,4922364.0,64334.8534,23.7723,6.9645,5.0
2005-03-31,359.48,3713448.0,62780.5129,23.1979,6.7963,12.0
2005-04-30,356.55,1634214.0,62269.6763,23.0092,6.741,12.0
2005-05-31,379.15,3780494.0,66216.6534,24.4676,7.1683,12.0
2005-06-30,402.33,9355342.0,70264.0513,25.9632,7.6064,12.0
2005-07-31,441.03,3931816.0,77022.813,28.4606,8.3381,12.0
2005-08-31,439.45,2249252.0,76747.7471,28.3589,8.3083,12.0
2005-09-30,443.03,2066234.0,77372.103,28.5896,8.3759,12.0
2005-10-31,453.73,3419320.0,79240.8046,29.2801,8.5782,12.0
2005-11-30,537.85,3277262.0,93932.8155,34.709,10.1687,12.0
2005-12-31,560.88,3323336.0,95015.5935,18.9807,9.9686,12.0
2006-01-31,641.4,4173850.0,108657.0122,21.7058,11.3997,12.0
2006-02-28,657.78,6198798.0,111431.0355,22.2599,11.6908,12.0
2006-03-31,726.18,6031848.0,123018.4063,24.5747,12.9065,14.0
2006-04-30,704.73,5530288.0,116902.8495,23.8488,12.5252,14.0
2006-05-31,565.0,8731818.0,95714.3933,19.1203,10.0419,14.0
2006-06-30,518.65,5747860.0,87862.4249,17.5518,9.2181,14.0
2006-07-31,499.8,2614778.0,84669.1217,16.9139,8.8831,14.0
2006-08-31,605.17,4536588.0,102520.2796,20.4799,10.7559,14.0
2006-09-30,616.25,4823352.0,104396.4511,20.8547,10.9527,14.0
2006-10-31,575.78,3591960.0,97539.743,19.4849,10.2334,14.0
2006-11-30,585.42,4791672.0,99174.511,19.8115,10.4049,14.0
2006-12-31,581.48,5000216.0,98505.3573,17.8776,8.1764,14.0
2007-01-31,583.88,4560904.0,98911.9317,17.9514,8.2102,14.0
2007-02-28,580.55,3202088.0,98348.6567,17.8492,8.1634,14.0
2007-03-31,559.95,2464106.0,94858.893,17.2158,7.8738,15.5
2007-04-30,585.33,2260004.0,99157.5704,17.996,8.2306,15.5
2007-05-31,641.98,4953426.0,108754.4206,19.7377,9.0272,15.5
2007-06-30,634.75,2833146.0,107530.4622,19.5156,8.9256,15.5
2007-07-31,577.83,2099984.0,97887.0253,17.7654,8.1251,15.5
2007-08-31,584.13,1785984.0,98954.2832,17.9591,8.2137,15.5
2007-09-30,559.2,2051818.0,94731.8385,17.1928,7.8632,15.5
2007-10-31,543.95,2150450.0,92148.3969,16.7239,7.6488,15.5
2007-11-30,471.75,3304696.0,79917.2833,14.5041,6.6335,15.5
2007-12-31,513.6,4408118.0,87006.9246,15.8903,6.301,15.5
2008-01-31,408.98,7543064.0,69282.8212,12.6533,5.0174,15.5
2008-02-29,555.58,2933868.0,94117.7417,17.189,6.816,15.5
2008-03-31,521.6,3112674.0,88362.1727,16.1378,6.3992,8.5
2008-04-30,545.38,1465202.0,92389.8004,16.8734,6.6909,18.0
2008-05-31,569.63,1243702.0,96497.8961,17.6237,6.9884,18.0
2008-06-30,557.15,2143590.0,94384.5615,17.2377,6.8353,18.0
2008-07-31,550.0,1403872.0,93173.3032,17.0165,6.7476,18.0
2008-08-31,587.83,698838.0,99581.0854,18.1868,7.2116,18.0
2008-09-30,591.38,702744.0,100182.4767,18.2966,7.2552,18.0
2008-10-31,541.97,1419500.0,91813.8147,16.7682,6.6491,18.0
2008-11-30,583.0,1668280.0,98763.7014,18.0375,7.1524,18.0
2008-12-31,575.33,1461602.0,97463.5103,21.0549,6.1861,18.0
2009-01-31,582.6,1331340.0,98695.9337,21.3211,6.2643,18.0
2009-02-28,600.13,1132968.0,101664.7793,21.9625,6.4527,18.0
2009-03-31,546.22,1980606.0,92533.7903,19.9899,5.8732,20.0
2009-04-30,586.22,1288532.0,99310.0305,21.4538,6.3033,11.0
2009-05-31,584.53,1523682.0,99022.0509,21.3916,6.285,11.0
2009-06-30,599.85,1685652.0,101618.1873,21.9524,6.4498,11.0
2009-07-31,684.08,1919108.0,115886.4135,25.0348,7.3554,11.0
2009-08-31,716.5,998424.0,121379.4032,26.2214,7.704,11.0
2009-09-30,776.03,1259102.0,131463.301,28.3998,8.3441,11.0
2009-10-31,782.47,2014346.0,132555.9591,28.6359,8.4134,11.0
2009-11-30,832.05,996170.0,140954.2672,30.4501,8.9465,11.0
2009-12-31,805.97,768828.0,136537.0003,26.8849,7.6444,11.0
2010-01-31,760.22,935632.0,128786.6755,25.3588,7.2105,11.0
2010-02-28,854.95,1962306.0,144833.6647,28.5185,8.109,11.0
2010-03-31,889.0,2744284.0,150601.9392,29.6543,8.4319,15.0
2010-04-30,956.47,1093248.0,162032.6042,31.9051,9.0719,15.0
2010-05-31,1053.97,1805000.0,178549.6897,35.1574,9.9967,15.0
2010-06-30,1091.97,1448252.0,184987.118,36.4249,10.3571,15.0
2010-07-31,1005.4,1725482.0,170320.8036,33.5371,9.5359,15.0
2010-08-31,930.35,1678362.0,157606.8723,31.0336,8.8241,15.0
2010-09-30,1104.97,1992928.0,187189.396,36.8586,10.4804,15.0
2010-10-31,1111.22,1590324.0,188248.1836,37.0671,10.5397,15.0
2010-11-30,1065.3,869648.0,180468.2286,35.5352,10.1041,15.0
2010-12-31,1168.75,744642.0,197993.2693,35.3203,10.1453,15.0
2011-01-31,1142.32,710706.0,193516.7051,34.5218,9.9159,15.0
2011-02-28,1104.28,1789614.0,187070.8224,33.3719,9.5856,15.0
2011-03-31,1031.47,2106412.0,174738.0546,31.1718,8.9537,20.0
2011-04-30,1128.82,1444436.0,191229.724,34.1138,9.7987,20.0
2011-05-31,1160.75,829404.0,196638.0213,35.0786,10.0758,20.0
2011-06-30,1175.07,989264.0,199064.7517,35.5115,10.2002,20.0
2011-07-31,1172.45,986468.0,198620.061,35.4322,10.1774,20.0
2011-08-31,1059.8,1721296.0,179536.4956,32.0278,9.1995,20.0
2011-09-30,1045.5,1284420.0,177113.9791,31.5956,9.0754,20.0
2011-10-31,1028.8,816370.0,174284.9094,31.091,8.9304,20.0
2011-11-30,958.55,1101944.0,162384.1269,28.968,8.3206,20.0
2011-12-31,972.58,746444.0,164760.0461,38.4417,8.5117,20.0
2012-01-31,970.03,1076968.0,164328.0661,38.3409,8.4893,20.0
2012-02-29,1037.43,2079854.0,175746.0362,41.0049,9.0792,20.0
2012-03-31,1158.28,1394380.0,196218.7467,45.7816,10.1368,22.5
2012-04-30,1072.03,617954.0,181607.4787,42.3725,9.382,22.5
2012-05-31,1005.0,403278.0,170253.0359,39.7233,8.7954,22.5
2012-06-30,1009.65,2034186.0,171040.7791,39.9071,8.8361,22.5
2012-07-31,1054.97,1267146.0,178719.0957,41.6986,9.2328,22.5
2012-08-31,1049.97,923368.0,177872.0657,41.501,9.189,22.5
2012-09-30,990.53,2397802.0,167800.8892,39.1512,8.6688,22.5
2012-10-31,1002.5,770614.0,169829.5209,39.6245,8.7736,22.5
2012-11-30,1025.05,1429326.0,173649.6369,40.5158,8.9709,22.5
2012-12-31,1084.03,2249342.0,183640.3508,32.6809,9.1508,22.5
2013-01-31,1024.4,1123958.0,173539.5177,30.8833,8.6474,22.5
2013-02-28,1055.47,915034.0,178803.7987,31.8202,8.9098,22.5
2013-03-31,1102.63,1588610.0,186791.2972,33.2416,9.3078,22.5
2013-04-30,1131.15,685720.0,191623.6088,34.1016,9.5486,25.0
2013-05-31,1249.03,1887092.0,211592.3418,37.6553,10.5436,25.0
2013-06-30,1167.2,2056870.0,197730.7151,35.1884,9.8529,25.0
2013-07-31,1184.07,970428.0,200589.4419,35.6972,9.9953,25.0
2013-08-31,1175.45,956422.0,199128.3149,35.4371,9.9225,25.0
2013-09-30,1234.03,634646.0,209051.2893,37.203,10.417,25.0
2013-10-31,1215.68,799716.0,205942.6939,36.6498,10.2621,25.0
2013-11-30,1247.85,941800.0,211393.3172,37.6198,10.5337,25.0
2013-12-31,1499.15,4151624.0,253965.0647,52.722,12.7638,25.0
2014-01-31,1492.05,3770258.0,252762.2872,52.4723,12.7033,25.0
2014-02-28,1522.57,4198936.0,257933.3852,53.5458,12.9632,25.0
2014-03-31,1286.6,4259424.0,217957.8011,45.2471,10.9541,25.0
2014-04-30,1233.15,655582.0,208903.0591,43.3673,10.499,25.0
2014-05-31,1217.38,569686.0,206230.6735,42.8126,10.3647,25.0
2014-06-30,1250.8,350944.0,211893.0809,43.988,10.6493,25.0
2014-07-31,1247.78,492210.0,211380.6223,43.8817,10.6236,25.0
2014-08-31,1244.32,290334.0,210796.1556,43.7603,10.5942,25.0
2014-09-30,1413.38,2235638.0,239434.2567,49.7055,12.0335,25.0
2014-10-31,1360.0,426538.0,230392.2095,47.8284,11.579,25.0
2014-11-30,1466.9,707178.0,248501.7201,51.5878,12.4892,25.0
2014-12-31,1599.22,867586.0,270918.3632,56.2414,13.6158,25.0
2015-01-31,1695.1,1138890.0,287160.167,59.6132,14.4321,25.0
2015-02-28,1554.63,509344.0,263362.8119,54.6729,13.2361,25.0
2015-03-31,1712.82,1115776.0,290162.8837,57.7668,15.8648,25.0
2015-04-30,1591.7,686952.0,269643.5775,,14.7429,25.0
2015-05-31,1614.05,385922.0,273429.8236,,14.9499,25.0
2015-06-30,1674.05,543504.0,283594.1858,,15.5056,0.0
2015-07-31,1761.15,718110.0,298349.4463,,16.3124,31.25
2015-08-31,1698.63,590728.0,287757.3285,,15.7332,31.25
2015-09-30,1679.78,482942.0,284564.03,,15.5586,31.25
2015-10-31,1655.07,455458.0,280379.6851,,15.3299,31.25
2015-11-30,1648.13,319372.0,279202.3237,,15.2655,31.25
2015-12-31,1657.03,421444.0,280710.0427,,15.3479,31.25
2016-01-31,1618.2,349562.0,274132.8375,,14.9883,31.25
2016-02-29,1578.7,455664.0,267441.299,,14.6224,31.25
2016-03-31,1907.38,533654.0,323120.8386,85.8984,14.8,31.25
2016-04-30,1865.7,252790.0,316060.8315,84.0216,14.4766,31.25
2016-05-31,1777.22,325312.0,301072.6377,80.0372,13.7901,31.25
2016-06-30,1743.7,213092.0,295393.295,78.5274,13.53,31.25
2016-07-31,1657.47,244274.0,280786.2648,74.6442,12.8609,25.0
2016-08-31,1516.97,597828.0,256984.7167,68.3168,11.7708,25.0
2016-09-30,1390.47,1742770.0,235554.8531,62.6199,10.7892,25.0
2016-10-31,1471.82,335288.0,249336.0289,66.2835,11.4204,25.0
2016-11-30,1357.1,692548.0,229900.9267,61.1169,10.5302,25.0
2016-12-31,1364.9,346792.0,231222.3043,61.4681,10.5907,25.0
2017-01-31,1362.05,256344.0,230739.5024,61.3398,10.5686,25.0
2017-02-28,1341.63,350818.0,227279.3736,60.42,10.4101,25.0
2017-03-31,1372.28,581704.0,232471.6739,69.0279,11.5839,25.0
2017-04-30,1248.18,465626.0,211448.39,62.7855,10.5363,25.0
2017-05-31,1215.1,588620.0,205845.2748,61.1217,10.2571,25.0
2017-06-30,1254.88,524524.0,212583.3999,63.1225,10.5929,25.0
2017-07-31,1200.47,461592.0,203367.7115,60.3861,10.1336,15.0
2017-08-31,1200.85,387638.0,203431.2388,60.4049,10.1368,15.0
2017-09-30,1253.35,395484.0,212325.0557,63.0458,10.58,15.0
2017-10-31,1293.08,467384.0,219054.7105,65.044,10.9153,15.0
2017-11-30,1241.25,475308.0,210275.2347,62.4371,10.4778,15.0
2017-12-31,1244.65,568674.0,210851.2152,62.6081,10.5065,15.0
2018-01-31,1230.3,687598.0,208420.2387,61.8863,10.3854,15.0
2018-02-28,1192.08,483036.0,201944.698,59.9635,10.0627,15.0
2018-03-31,1043.88,555794.0,176838.7237,50.4166,8.596,15.0
2018-04-30,1171.85,410454.0,198518.4609,56.5974,9.6499,15.0
2018-05-31,1273.45,480264.0,215730.114,61.5045,10.4865,15.0
2018-06-30,1398.23,1135092.0,236867.7519,67.5308,11.514,15.0
2018-07-31,1594.45,1371058.0,270109.4509,77.008,13.1299,17.5
2018-08-31,1714.18,1090134.0,290391.5883,82.7904,14.1158,17.5
2018-09-30,1449.3,1100033.0,245520.1651,69.9976,11.9346,17.5
2018-10-31,1420.25,461148.0,240598.9198,68.5945,11.6954,17.5
2018-11-30,1360.5,266178.0,230476.9093,65.7088,11.2033,17.5
2018-12-31,1515.35,329985.0,256709.4336,73.1876,12.4785,17.5
2019-01-31,1409.25,288975.0,238735.4534,68.0633,11.6048,17.5
2019-02-28,1334.7,343932.0,226106.2336,64.4627,10.9909,17.5
2019-03-31,1297.45,444382.0,219795.8588,49.3515,10.2722,17.5
2019-04-30,1284.45,262083.0,217593.5804,48.857,10.1693,17.5
2019-05-31,1265.0,420164.0,214298.633,48.1172,10.0153,17.5
2019-06-30,1199.95,379681.0,203278.7705,45.6428,9.5003,17.5
2019-07-31,1207.35,638455.0,204532.3751,45.9243,9.5589,20.0
2019-08-31,1215.2,742637.0,205862.2125,46.2229,9.621,20.0
2019-09-30,1389.45,1880852.0,235381.2139,52.8509,11.0006,20.0
2019-10-31,1662.9,1040394.0,281705.2939,63.2522,13.1656,20.0
2019-11-30,1677.0,984777.0,284093.919,63.7885,13.2772,20.0
2019-12-31,1610.3,1394027.0,272794.5366,61.2514,12.7491,20.0
2020-01-31,1665.4,2135940.0,282128.809,63.3473,13.1854,20.0
2020-02-29,1306.0,2864697.0,221244.2804,49.6767,10.3399,20.0
2020-03-31,1257.4,908489.0,213011.1472,228.6182,11.7007,20.0
2020-04-30,1444.25,1641099.0,244664.6646,262.5909,13.4394,20.0
2020-05-31,1369.35,791837.0,231976.1527,248.9727,12.7424,20.0
2020-06-30,1481.6,948891.0,250991.98,269.3818,13.7869,20.0
2020-07-31,1437.3,771643.0,243487.2927,261.3273,13.3747,40.0
2020-08-31,1566.3,2571226.0,265340.6711,284.7818,14.5751,40.0
2020-09-30,1575.15,3687875.0,266839.9145,286.3909,14.6575,40.0
2020-10-31,1464.75,2021129.0,248137.4824,266.3182,13.6302,40.0
2020-11-30,1553.45,1065740.0,263163.7973,282.4455,14.4555,40.0
2020-12-31,1623.95,1381013.0,275106.9224,295.2636,15.1116,40.0
2021-01-31,1465.8,844998.0,248315.3588,266.5091,13.6399,40.0
2021-02-28,1460.55,1402789.0,247425.9771,265.5545,13.5911,40.0
2021-03-31,1440.75,1035778.0,244071.7377,84.9499,16.5117,40.0
2021-04-30,1458.9,1050908.0,247146.4572,86.02,16.7197,40.0
2021-05-31,1517.7,1380362.0,257107.5317,89.487,17.3935,40.0
2021-06-30,1502.2,1120955.0,254481.7383,88.5731,17.2159,40.0
2021-07-31,1607.75,1885169.0,272362.5512,94.7966,18.4256,30.0
2021-08-31,1527.7,1555000.0,258801.5981,90.0767,17.5081,30.0
2021-09-30,1480.75,1361271.0,250847.9848,87.3084,16.9701,30.0
2021-10-31,1503.95,909453.0,254778.2048,88.6763,17.236,30.0
2021-11-30,1678.95,3585244.0,284424.2608,98.9947,19.2415,30.0
2021-12-31,1756.65,2401518.0,297587.1096,103.5761,20.132,30.0
2022-01-31,1563.35,1337107.0,264840.9233,92.1787,17.9167,30.0
2022-02-28,1519.25,1096668.0,257370.1172,89.5784,17.4113,30.0
2022-03-31,1666.9,1284730.0,282382.9181,74.1504,10.6047,30.0
2022-04-30,1571.05,566336.0,266145.3497,69.8866,9.9949,30.0
2022-05-31,1511.75,615090.0,256099.5719,67.2487,9.6176,30.0
2022-06-30,1499.6,727678.0,254041.2886,66.7082,9.5404,30.0
2022-07-31,1406.3,1097671.0,238235.7056,62.5578,8.9468,90.0
2022-08-31,1457.75,1672134.0,246951.6461,64.8465,9.2741,90.0
2022-09-30,1424.4,1964974.0,241301.9548,63.363,9.0619,90.0
2022-10-31,1377.35,1266969.0,233331.4009,61.27,8.7626,90.0
2022-11-30,1337.15,1541774.0,226521.2784,59.4818,8.5069,90.0
2022-12-31,1318.75,1060818.0,223404.2073,58.6633,8.3898,90.0
2023-01-31,1246.2,993631.0,211113.7996,55.4359,7.9282,90.0
2023-02-28,1336.25,1283876.0,226368.8129,59.4417,8.5011,90.0
2023-03-31,1324.75,769248.0,224420.6435,36.932,12.8883,90.0
2023-04-30,1241.9,801880.0,210385.3536,34.6222,12.0823,90.0
2023-05-31,1305.35,1652454.0,221134.1665,36.3911,12.6996,90.0
2023-06-30,1425.1,1521401.0,241420.5391,39.7296,13.8646,92.0
2023-07-31,1396.1,2113636.0,236507.7641,38.9211,13.5825,32.0
2023-08-31,1429.5,1383979.0,242165.9256,39.8522,13.9074,32.0
2023-09-30,1548.25,2173279.0,262282.8921,43.1628,15.0627,32.0
2023-10-31,1423.35,1589092.0,241124.0785,39.6808,13.8476,32.0
2023-11-30,1657.1,4501985.0,280722.7389,46.1974,16.1217,32.0
2023-12-31,1898.15,4604882.0,321558.0634,52.9175,18.4668,32.0
2024-01-31,2249.9,8496720.0,381146.6359,62.7237,21.889,32.0
2024-02-29,2173.65,4193540.0,368229.4258,60.598,21.1471,32.0
2024-03-31,1946.6,3362659.0,329765.7858,55.8886,18.5508,32.0
2024-04-30,2086.75,2814143.0,353508.0414,59.9124,19.8864,32.0
2024-05-31,2619.3,5556481.0,443725.2249,75.2024,24.9615,32.0
2024-06-30,2651.0,3346656.0,449095.3961,76.1125,25.2636,32.0
2024-07-31,2730.6,3709246.0,462580.1164,78.3979,26.0222,32.0
2024-08-31,2745.1,3302367.0,465036.5039,78.8142,26.1603,32.0
2024-09-30,2750.55,1568278.0,465959.7668,78.9707,26.2123,32.0
2024-10-31,2712.25,2166917.0,459471.5157,77.8711,25.8473,32.0
2024-11-30,2444.4,1862054.0,414096.1095,70.1809,23.2947,44.0
2024-12-31,2251.85,1816796.0,381476.9777,64.6526,21.4597,44.0
2025-01-31,1977.15,2915849.0,334941.1401,56.7657,18.8419,44.0
2025-02-28,2475.35,16962149.0,419339.2263,71.0695,23.5897,44.0
2025-03-31,2880.35,3151856.0,487948.67,52.5995,25.0062,44.0
2025-04-30,2964.6,4541164.0,502221.1284,54.1381,25.7376,44.0
2025-05-31,3298.6,6137535.0,558802.7438,60.2374,28.6373,54.0
2025-06-30,3388.1,3358561.0,573964.5838,61.8718,29.4143,54.0
2025-07-31,3162.6,1675388.0,535763.5231,57.7538,27.4566,54.0
2025-08-31,2785.0,2766734.0,471795.8047,50.8583,24.1784,54.0
2025-09-30,2659.7,1982244.0,450569.2286,48.5701,23.0906,54.0
2025-10-31,2618.6,1256804.0,443606.6406,47.8196,22.7338,54.0
2025-11-30,2569.5,1914222.0,435288.8044,46.9229,22.3075,42.0
2025-12-31,2473.6,2399001.0,419042.7657,45.1717,21.4749,42.0
2026-01-31,2401.6,1420773.0,406845.5313,43.8568,20.8499,42.0
2026-02-28,2571.6,1604945.0,435644.557,46.9613,22.3257,42.0
2026-03-31,2484.0,210652.0,420804.5885,45.3616,21.5652,42.0
