UBBL IN Equity,price,volume,mc,pe,bm,div
2011-05-31,561.55,11028906.0,142939.6923,106.556,13.6333,0.36
2011-06-30,530.2,6810006.0,134959.7095,100.6072,12.8722,0.36
2011-07-31,501.9,10604743.0,127756.0886,95.2372,12.1851,0.36
2011-08-31,422.95,1684430.0,107659.7683,80.2562,10.2684,0.36
2011-09-30,374.5,1526988.0,95327.0675,71.0626,9.0921,0.36
2011-10-31,416.5,2582484.0,106017.9536,79.0323,10.1118,0.0
2011-11-30,395.85,1276475.0,100761.6013,75.1139,9.6104,0.0
2011-12-31,383.9,8908094.0,97913.579,72.8463,9.3203,0.6
2012-01-31,409.7,13066481.0,108036.0821,77.7419,9.9467,0.6
2012-02-29,458.5,4666086.0,120904.4267,87.0019,11.1315,0.6
2012-03-31,539.2,13934638.0,142184.6606,114.968,11.0374,0.6
2012-04-30,536.3,3996021.0,141419.9434,114.3497,10.978,0.6
2012-05-31,481.7,3186045.0,127363.9908,102.7079,9.8603,0.6
2012-06-30,544.55,3793316.0,143981.8584,116.1087,11.1469,0.6
2012-07-31,556.9,7541825.0,147247.2628,118.742,11.3997,0.6
2012-08-31,624.35,10733514.0,165081.3944,133.1237,12.7804,0.6
2012-09-30,653.55,20537057.0,172802.0266,139.3497,13.3781,0.7
2012-10-31,771.5,19545002.0,203988.6214,164.4989,15.7925,0.7
2012-11-30,798.6,31641439.0,211154.0026,170.2772,16.3472,0.7
2012-12-31,927.95,27780602.0,245354.8168,197.8571,18.995,0.7
2013-01-31,730.7,18752926.0,193200.8887,155.7996,14.9573,0.7
2013-02-28,613.6,24138031.0,162239.0383,130.8316,12.5603,0.7
2013-03-31,699.6,11751200.0,184977.8866,109.142,12.8718,0.7
2013-04-30,734.8,9579913.0,194284.9501,114.6334,13.5194,0.7
2013-05-31,765.3,6044748.0,202349.3091,119.3916,14.0806,0.7
2013-06-30,724.4,8467570.0,191535.0917,113.0109,13.3281,0.7
2013-07-31,690.2,14055897.0,182492.4355,107.6755,12.6988,0.7
2013-08-31,715.55,8596399.0,189195.1061,111.6303,13.1652,0.7
2013-09-30,860.5,11200544.0,227520.6328,134.2434,15.8321,0.7
2013-10-31,925.2,8242403.0,244627.646,144.337,17.0225,0.7
2013-11-30,793.05,10620407.0,209686.5053,123.7207,14.5912,0.7
2013-12-31,773.65,9241061.0,204557.0454,120.6942,14.2342,0.7
2014-01-31,834.25,7987117.0,220579.9975,130.1482,15.3492,0.7
2014-02-28,802.5,4124405.0,212185.134,125.195,14.765,0.7
2014-03-31,824.0,2640112.0,217869.8447,97.5148,13.3454,0.7
2014-04-30,789.7,2084593.0,208800.748,93.4556,12.7899,0.7
2014-05-31,754.75,2842972.0,199559.788,89.3195,12.2238,0.7
2014-06-30,698.45,6065796.0,184673.778,82.6568,11.312,0.7
2014-07-31,705.1,3508033.0,186432.0722,83.4438,11.4197,0.7
2014-08-31,707.25,3389770.0,187000.5433,83.6982,11.4545,0.7
2014-09-30,712.25,2512262.0,188322.5691,84.2899,11.5355,0.9
2014-10-31,698.35,3397063.0,184647.3375,82.645,11.3104,0.9
2014-11-30,783.8,5341844.0,207240.7576,92.7574,12.6943,0.9
2014-12-31,835.4,5390805.0,220884.0635,98.8639,13.53,0.9
2015-01-31,975.05,6266333.0,257808.2428,115.3905,15.7918,0.9
2015-02-28,998.85,4342576.0,264100.933,118.2071,16.1772,0.9
2015-03-31,1000.3,4153229.0,264484.4729,102.8058,14.2917,0.9
2015-04-30,932.4,5388736.0,246531.3631,95.8273,13.3216,0.9
2015-05-31,953.25,4426593.0,252044.2105,97.9702,13.6195,0.9
2015-06-30,934.25,3579502.0,247020.5127,96.0175,13.3481,0.9
2015-07-31,1056.2,6278916.0,279264.7043,108.5509,15.0904,0.9
2015-08-31,854.85,3624960.0,226026.7436,87.8571,12.2136,0.9
2015-09-30,881.65,4134797.0,233112.8017,90.6115,12.5965,1.0
2015-10-31,938.55,2985785.0,248157.4548,96.4594,13.4095,1.0
2015-11-30,948.55,3651354.0,250801.5063,97.4872,13.5524,1.0
2015-12-31,947.55,2822953.0,250537.1012,97.3844,13.5381,1.0
2016-01-31,772.7,3437782.0,204305.8605,79.4142,11.0399,1.0
2016-02-29,802.95,6038381.0,212304.1163,82.5231,11.4721,1.0
2016-03-31,827.35,8138493.0,218755.602,73.2168,10.1883,1.0
2016-04-30,762.15,4446528.0,201516.3861,67.4469,9.3854,1.0
2016-05-31,725.6,20591688.0,191852.3778,64.2124,8.9353,1.0
2016-06-30,750.75,8996449.0,198502.1674,66.4381,9.245,1.0
2016-07-31,812.15,5183997.0,214736.6437,71.8717,10.0011,1.0
2016-08-31,813.25,3947068.0,215027.4893,71.969,10.0147,1.15
2016-09-30,904.0,14925852.0,239022.2568,80.0,11.1322,1.15
2016-10-31,873.6,6252744.0,230984.3402,77.3097,10.7579,1.15
2016-11-30,879.2,10379525.0,232465.0091,77.8053,10.8268,1.15
2016-12-31,779.55,5762822.0,206117.0357,68.9867,9.5997,1.15
2017-01-31,799.6,3800515.0,211418.359,70.7611,9.8466,1.15
2017-02-28,777.6,4456311.0,205601.4457,68.8142,9.5757,1.15
2017-03-31,770.8,4611616.0,203803.4907,88.5977,8.7312,1.15
2017-04-30,769.0,4518365.0,203327.5614,88.3908,8.7108,1.15
2017-05-31,801.05,8623833.0,211801.7465,92.0747,9.0738,1.15
2017-06-30,781.65,4152919.0,206672.2866,89.8448,8.8541,1.15
2017-07-31,820.6,4988664.0,216970.8672,94.3218,9.2953,1.15
2017-08-31,788.05,4850849.0,208364.4795,90.5805,8.9266,1.15
2017-09-30,821.45,5815996.0,217195.6116,94.4195,9.3049,1.15
2017-10-31,1027.35,11225556.0,271636.6323,118.0862,11.6372,1.15
2017-11-30,1083.4,13838544.0,286456.5406,124.5287,12.2721,1.15
2017-12-31,1079.0,5765321.0,285293.1579,124.023,12.2223,1.15
2018-01-31,1146.55,12325781.0,303153.7259,131.7874,12.9874,1.15
2018-02-28,1059.4,9489642.0,280110.8149,121.7701,12.0002,1.15
2018-03-31,947.85,8303422.0,250616.4205,63.4863,9.3157,1.15
2018-04-30,1200.55,7052965.0,317431.6016,80.4119,11.7993,1.15
2018-05-31,1170.5,14034580.0,309486.2269,78.3992,11.504,1.15
2018-06-30,1151.4,13794869.0,304436.0886,77.1199,11.3162,1.15
2018-07-31,1090.85,11849553.0,288426.3568,73.0643,10.7211,1.15
2018-08-31,1404.1,23420047.0,371251.2697,94.0455,13.7998,1.15
2018-09-30,1357.35,15835450.0,358890.329,90.9143,13.3404,2.0
2018-10-31,1219.9,16755971.0,322547.8413,81.708,11.9895,2.0
2018-11-30,1239.9,12113314.0,327835.9442,83.0476,12.186,2.0
2018-12-31,1377.0,15065195.0,364085.8902,92.2304,13.5335,2.0
2019-01-31,1428.8,13468374.0,377782.0769,95.6999,14.0426,2.0
2019-02-28,1343.7,11627142.0,355281.1987,90.0,13.2062,2.0
2019-03-31,1394.8,24264768.0,368792.3018,65.4836,11.5835,2.0
2019-04-30,1418.95,7479560.0,375177.6862,66.6174,11.7841,2.0
2019-05-31,1344.6,12868732.0,355519.1633,63.1268,11.1666,2.0
2019-06-30,1339.0,6646740.0,354038.4945,62.8638,11.1201,2.0
2019-07-31,1415.45,6843066.0,374252.2682,66.4531,11.755,2.0
2019-08-31,1372.05,7921590.0,362777.0847,64.4155,11.3946,2.5
2019-09-30,1347.15,9436420.0,356193.3965,63.2465,11.1878,2.5
2019-10-31,1276.15,9624147.0,337420.6309,59.9131,10.5981,2.5
2019-11-30,1257.6,15065886.0,332515.9154,59.0423,10.4441,2.5
2019-12-31,1270.05,10829237.0,335807.7595,59.6268,10.5475,2.5
2020-01-31,1264.0,8811710.0,334208.1083,59.3427,10.4972,2.5
2020-02-29,1245.65,8993461.0,329356.2739,58.4812,10.3449,2.5
2020-03-31,918.85,12965446.0,242948.6712,56.7892,6.9014,2.5
2020-04-30,938.6,12547372.0,248170.6729,58.0099,7.0498,2.5
2020-05-31,957.0,19542479.0,253035.7276,59.1471,7.188,2.5
2020-06-30,1037.75,19888355.0,274386.4434,64.1378,7.7945,2.5
2020-07-31,951.65,13730734.0,251621.16,58.8164,7.1478,2.5
2020-08-31,1010.65,15132791.0,267221.0638,62.4629,7.5909,2.5
2020-09-30,956.3,20833447.0,252850.644,59.1038,7.1827,2.5
2020-10-31,926.2,17058852.0,244892.0509,57.2435,6.9566,2.5
2020-11-30,1038.95,12706640.0,274703.7316,64.212,7.8035,2.5
2020-12-31,1186.35,18062428.0,313677.0509,73.322,8.9106,2.5
2021-01-31,1299.7,14450845.0,343647.3748,80.3276,9.762,2.5
2021-02-28,1161.35,12568041.0,307066.9221,71.7769,8.7228,2.5
2021-03-31,1241.45,7201246.0,328245.7747,290.0584,9.163,2.5
2021-04-30,1211.9,12512272.0,320432.6025,283.1542,8.9449,2.5
2021-05-31,1253.35,8866220.0,331392.196,292.8388,9.2509,2.5
2021-06-30,1446.3,72678583.0,382409.1699,337.9206,10.675,2.5
2021-07-31,1428.6,8376883.0,377729.1959,333.785,10.5444,0.5
2021-08-31,1475.0,14932632.0,389997.5948,344.6262,10.8869,0.5
2021-09-30,1571.5,17718617.0,415512.6917,367.1729,11.5991,0.5
2021-10-31,1658.55,11227297.0,438529.1599,387.5117,12.2416,0.5
2021-11-30,1504.35,8002539.0,397757.8859,351.4836,11.1035,0.5
2021-12-31,1586.05,6714569.0,419359.7866,370.5724,11.7065,0.5
2022-01-31,1619.2,6661124.0,428124.8173,378.3178,11.9512,0.5
2022-02-28,1500.95,4808931.0,396858.9084,350.6893,11.0784,0.5
2022-03-31,1489.55,11152265.0,393844.6897,107.7822,10.0085,0.5
2022-04-30,1585.9,8661027.0,419320.1258,114.754,10.6558,0.5
2022-05-31,1542.4,5148900.0,407818.5018,111.6064,10.3636,0.5
2022-06-30,1452.8,6720379.0,384127.8005,105.123,9.7615,0.5
2022-07-31,1622.45,6511228.0,428984.1324,117.3987,10.9014,0.5
2022-08-31,1641.65,5508220.0,434060.7129,118.788,11.0304,10.5
2022-09-30,1706.9,4634874.0,451313.1488,123.5094,11.4689,10.5
2022-10-31,1652.85,4468001.0,437022.0505,119.5984,11.1057,10.5
2022-11-30,1686.1,4414292.0,445813.5217,122.0043,11.3291,10.5
2022-12-31,1699.8,5703359.0,449435.8723,122.9957,11.4211,10.5
2023-01-31,1592.15,3139703.0,420972.658,115.2062,10.6978,10.5
2023-02-28,1446.9,5011939.0,382567.8101,104.6961,9.7219,10.5
2023-03-31,1424.45,4480895.0,376631.9145,123.8652,9.4992,10.5
2023-04-30,1479.5,4201846.0,391187.4179,128.6522,9.8663,10.5
2023-05-31,1454.7,7030874.0,384630.1703,126.4957,9.7009,10.5
2023-06-30,1511.95,7378956.0,399767.365,131.4739,10.0827,10.5
2023-07-31,1540.25,6732722.0,407250.0307,133.9348,10.2714,10.5
2023-08-31,1516.6,5228710.0,400996.849,131.8783,10.1137,7.5
2023-09-30,1557.0,5143562.0,411678.817,135.3913,10.3831,7.5
2023-10-31,1615.15,7397226.0,427053.9764,140.4478,10.7709,7.5
2023-11-30,1646.8,4343982.0,435422.3994,143.2,10.982,7.5
2023-12-31,1785.15,5605898.0,472002.8517,155.2304,11.9046,7.5
2024-01-31,1808.1,6287841.0,478070.9499,157.2261,12.0576,7.5
2024-02-29,1697.2,3476000.0,448748.4189,147.5826,11.3181,7.5
2024-03-31,1735.95,3718180.0,458994.1184,111.9246,10.9851,7.5
2024-04-30,2037.9,10125575.0,538831.2531,131.3926,12.8958,7.5
2024-05-31,1860.4,6984004.0,491899.3392,119.9484,11.7726,7.5
2024-06-30,1986.05,5913721.0,525121.8462,128.0496,12.5677,7.5
2024-07-31,2015.0,8316319.0,532776.3752,129.9162,12.7509,10.0
2024-08-31,2050.45,6586724.0,542149.5378,132.2018,12.9752,10.0
2024-09-30,2175.45,7205491.0,575200.1814,140.2611,13.7662,10.0
2024-10-31,1921.55,4922062.0,508067.7141,123.891,12.1596,10.0
2024-11-30,1950.5,3676903.0,515722.2431,125.7576,12.3428,10.0
2024-12-31,2037.0,3635699.0,538593.2885,131.3346,12.8901,10.0
2025-01-31,2146.0,5882001.0,567413.4498,138.3623,13.5799,10.0
2025-02-28,1946.15,10363033.0,514572.0807,125.4771,12.3152,10.0
2025-03-31,1999.25,3415970.0,528611.9941,119.6439,12.1132,10.0
2025-04-30,2160.0,3021283.0,571115.1218,129.2639,13.0872,10.0
2025-05-31,1976.8,3096386.0,522676.0985,118.3004,11.9772,10.0
2025-06-30,1951.1,3283569.0,515880.8862,116.7624,11.8215,10.0
2025-07-31,1945.6,4022290.0,514426.6579,116.4333,11.7882,10.0
2025-08-31,1850.1,2593629.0,489175.9662,110.7181,11.2096,10.0
2025-09-30,1800.8,5170518.0,476140.7923,107.7678,10.9109,10.0
2025-10-31,1797.4,3309618.0,475241.8148,107.5643,10.8903,10.0
2025-11-30,1690.6,3826161.0,447003.3449,101.173,10.2432,10.0
2025-12-31,1621.7,2706452.0,428785.8301,97.0497,9.8257,10.0
2026-01-31,1468.5,2270186.0,388278.9613,87.8815,8.8975,10.0
2026-02-28,1605.0,2554019.0,424370.2641,96.0503,9.7245,10.0
2026-03-31,1650.0,263362.0,436268.4959,98.7433,9.9972,10.0
