RHIM IN Equity,price,volume,mc,pe,bm,div
2018-10-31,225.95,2617357.0,27145.4522,31.6457,8.4091,2.5
2018-11-30,243.55,2348023.0,29259.9022,34.1106,9.0641,2.5
2018-12-31,234.55,1173180.0,28178.6494,32.8501,8.7291,2.5
2019-01-31,208.85,941419.0,25091.0719,29.2507,7.7727,2.5
2019-02-28,215.4,637523.0,25877.9837,30.1681,8.0164,2.5
2019-03-31,238.6,1128440.0,28665.2131,33.4174,8.8798,2.5
2019-04-30,239.9,377574.0,28821.3941,33.5994,8.9282,2.5
2019-05-31,225.2,592739.0,27055.3478,31.5406,8.3811,2.5
2019-06-30,203.15,1456068.0,24406.2785,28.4524,7.5605,2.5
2019-07-31,178.8,371372.0,21480.889,25.042,6.6543,2.5
2019-08-31,198.95,842195.0,23901.6938,27.8641,7.4042,2.5
2019-09-30,210.9,401293.0,25337.3573,29.5378,7.8489,2.5
2019-10-31,217.75,628905.0,26160.3108,30.4972,8.1039,2.5
2019-11-30,225.15,907444.0,27049.3409,31.5336,8.3793,2.5
2019-12-31,236.5,1017955.0,28412.9208,33.1232,8.8017,2.5
2020-01-31,253.2,944237.0,30419.2454,35.4622,9.4232,2.5
2020-02-29,228.1,2046058.0,27403.7515,31.9468,8.4891,2.5
2020-03-31,117.15,4660598.0,14074.3073,13.8803,2.0012,2.5
2020-04-30,148.0,637670.0,17780.6016,17.5355,2.5282,2.5
2020-05-31,144.65,644679.0,17378.1353,17.1386,2.471,2.5
2020-06-30,175.25,2064290.0,21054.3948,20.7642,2.9937,2.5
2020-07-31,170.85,1465928.0,20525.7823,20.2429,2.9185,2.5
2020-08-31,194.35,2614632.0,23349.0535,23.0273,3.32,2.5
2020-09-30,198.5,2046474.0,23847.6312,23.519,3.3909,2.5
2020-10-31,186.85,1098699.0,22448.0088,22.1386,3.1919,2.5
2020-11-30,217.1,3382547.0,26082.2195,25.7227,3.7086,2.5
2020-12-31,252.0,3961337.0,30275.0774,29.8578,4.3048,2.5
2021-01-31,215.85,4301874.0,25932.0455,25.5746,3.6872,2.5
2021-02-28,232.9,3629635.0,27980.4187,27.5948,3.9785,2.5
2021-03-31,225.6,3750585.0,27103.4026,26.5724,3.3636,2.5
2021-04-30,316.3,13043755.0,38000.0277,37.2556,4.716,2.5
2021-05-31,313.6,6612673.0,37675.6519,36.9376,4.6757,2.5
2021-06-30,319.6,7012486.0,38396.487,37.6443,4.7652,2.5
2021-07-31,351.15,3261614.0,42186.8787,41.3604,5.2356,2.5
2021-08-31,362.9,4315471.0,43598.5142,42.7444,5.4108,2.5
2021-09-30,354.8,2962316.0,42625.3867,41.7903,5.29,2.5
2021-10-31,344.9,2451267.0,41436.0087,40.6243,5.1424,2.5
2021-11-30,338.85,3142456.0,54553.6068,39.9117,5.0522,2.5
2021-12-31,366.65,5092911.0,59029.3048,43.1861,5.4667,2.5
2022-01-31,434.7,10121747.0,69985.1051,51.2014,6.4813,2.5
2022-02-28,521.4,11745612.0,83943.487,61.4134,7.774,2.5
2022-03-31,612.95,13349063.0,98682.7011,36.6816,9.5928,2.5
2022-04-30,608.05,6508721.0,97893.8191,36.3884,9.5161,2.5
2022-05-31,536.65,9033867.0,86398.681,32.1155,8.3987,2.5
2022-06-30,501.5,6656675.0,80739.66,30.012,7.8486,2.5
2022-07-31,520.25,3417841.0,83758.3412,31.1341,8.142,2.5
2022-08-31,593.2,4700741.0,95503.0235,35.4997,9.2837,2.5
2022-09-30,669.95,9877404.0,107859.492,40.0928,10.4848,2.5
2022-10-31,647.95,7977264.0,104317.5727,38.7762,10.1405,2.5
2022-11-30,755.0,19400299.0,121552.2299,45.1825,11.8159,2.5
2022-12-31,839.6,10688699.0,135172.5195,50.2454,13.1399,2.5
2023-01-31,778.85,6311941.0,125391.9924,46.6098,12.1891,2.5
2023-02-28,640.7,10858657.0,120449.2493,38.3423,10.0271,2.5
2023-03-31,630.3,7207120.0,118494.0874,36.167,4.0987,2.5
2023-04-30,641.95,3263245.0,130772.5108,,4.1744,2.5
2023-05-31,655.35,7042228.0,133502.2431,,4.2616,2.5
2023-06-30,645.8,5217877.0,131556.7995,,4.1995,2.5
2023-07-31,644.8,4895787.0,131353.0882,,4.193,2.5
2023-08-31,720.95,8770465.0,148877.2031,,4.6881,2.5
2023-09-30,746.2,6512838.0,154091.3641,,4.8523,2.5
2023-10-31,685.6,2476582.0,141577.3777,,4.4583,2.5
2023-11-30,765.5,4718613.0,158076.8416,,4.9778,2.5
2023-12-31,805.25,5880358.0,166285.2733,,5.2363,2.5
2024-01-31,724.85,2842970.0,149682.5586,,4.7135,2.5
2024-02-29,570.55,7283346.0,117819.3886,,3.7101,2.5
2024-03-31,552.65,6809698.0,114123.0131,,2.9675,2.5
2024-04-30,650.25,7404037.0,134277.5523,,3.4916,2.5
2024-05-31,707.15,9203004.0,146027.4834,,3.7971,2.5
2024-06-30,637.15,4750519.0,131572.3836,,3.4213,2.5
2024-07-31,601.1,6357885.0,124128.0072,,3.2277,2.5
2024-08-31,613.4,14658992.0,126667.9747,,3.2937,2.5
2024-09-30,606.3,4631511.0,125201.8146,,3.2556,2.5
2024-10-31,592.9,4806308.0,122434.6955,,3.1837,2.5
2024-11-30,520.8,2681183.0,107545.9427,,2.7965,2.5
2024-12-31,503.1,4455181.0,103890.8674,,2.7015,2.5
2025-01-31,472.5,3228392.0,97571.9238,,2.5372,2.5
2025-02-28,391.7,4546275.0,80886.6086,,2.1033,2.5
2025-03-31,507.3,43240568.0,104758.1734,51.7125,2.6199,2.5
2025-04-30,441.2,12162699.0,91108.4292,44.9745,2.2785,2.5
2025-05-31,461.0,3654587.0,95197.1574,46.9929,2.3808,2.5
2025-06-30,476.0,25675754.0,98294.6788,48.5219,2.4582,2.5
2025-07-31,501.0,20548965.0,103457.2144,51.0703,2.5873,2.5
2025-08-31,474.0,11711749.0,97881.6759,48.318,2.4479,2.5
2025-09-30,440.9,3028701.0,91046.4787,44.9439,2.277,2.5
2025-10-31,476.8,52516362.0,98459.8799,48.6035,2.4623,2.5
2025-11-30,464.3,4126042.0,95878.6121,47.3293,2.3978,2.5
2025-12-31,459.05,2576392.0,94794.4796,46.7941,2.3707,2.5
2026-01-31,445.1,5362748.0,91913.7847,45.3721,2.2986,2.5
2026-02-28,434.65,5873629.0,89755.8448,44.3068,2.2447,2.5
2026-03-31,398.9,613840.0,82373.4176,40.6626,2.06,2.5
