CUBK IN Equity,price,volume,mc,pe,bm,div
2009-07-31,13.82,20623999.0,7360.0,6.0209,1.1136,0.1202
2009-08-31,16.49,37997432.0,8784.0,7.1859,1.3291,0.4506
2009-09-30,18.5,71869366.0,9856.0,8.0628,1.4913,0.4506
2009-10-31,16.13,42984202.0,8592.0,7.0288,1.3,0.4506
2009-11-30,18.06,40006325.0,10100.0,7.869,1.4554,0.4506
2009-12-31,18.38,23543067.0,10280.0,8.0092,1.4813,0.4506
2010-01-31,21.31,102695707.0,11920.0,9.287,1.7177,0.4506
2010-02-28,20.81,31949924.0,11640.0,9.0688,1.6773,0.4506
2010-03-31,20.49,28476881.0,11460.0,7.1092,1.388,0.4506
2010-04-30,24.07,103622302.0,13460.0,8.3499,1.6303,0.4506
2010-05-31,24.35,56331479.0,13620.0,8.4491,1.6496,0.4506
2010-06-30,25.93,82250480.0,14500.0,8.995,1.7562,0.4506
2010-07-31,28.29,54140909.0,15820.0,9.8139,1.9161,0.5364
2010-08-31,31.25,70829092.0,17480.0,10.8437,2.1172,0.5364
2010-09-30,32.22,37237424.0,18097.3101,11.1787,2.1826,0.5364
2010-10-31,36.19,74211895.0,20326.8344,12.5558,2.4514,0.5364
2010-11-30,35.62,65898125.0,20098.414,12.3573,2.4127,0.5364
2010-12-31,35.47,87330183.0,20017.6975,12.3077,2.403,0.5364
2011-01-31,30.04,30300554.0,16950.4697,10.4218,2.0348,0.5364
2011-02-28,31.33,32150102.0,17676.9184,10.8685,2.122,0.5364
2011-03-31,32.04,16888122.0,18097.6455,8.3738,1.8026,0.5364
2011-04-30,31.15,29328734.0,17592.6889,8.1402,1.7523,0.5364
2011-05-31,31.61,15082528.0,17855.2663,8.2617,1.7785,0.5364
2011-06-30,31.9,12073085.0,18016.8524,8.3364,1.7946,0.5364
2011-07-31,35.19,21492658.0,20010.3583,9.1963,1.9796,0.5364
2011-08-31,32.9,10718469.0,18708.8716,8.5981,1.8509,0.6079
2011-09-30,31.61,6471040.0,17976.7853,8.2617,1.7785,0.6079
2011-10-31,32.69,4805957.0,18586.8572,8.5421,1.8388,0.6079
2011-11-30,30.79,7494405.0,17536.6503,8.0467,1.7322,0.6079
2011-12-31,31.0,6256280.0,17658.8569,8.1028,1.7443,0.6079
2012-01-31,31.0,14630985.0,17658.8569,8.1028,1.7443,0.6079
2012-02-29,33.83,18233287.0,19267.9108,8.8411,1.9032,0.6079
2012-03-31,34.69,18645202.0,19756.7373,7.0392,1.5927,0.6079
2012-04-30,34.83,7960730.0,19838.2084,7.0682,1.5992,0.6079
2012-05-31,32.47,7493051.0,18532.8514,6.5893,1.4909,0.6079
2012-06-30,37.26,21148808.0,21267.8757,7.5617,1.7109,0.6079
2012-07-31,37.12,15245751.0,21186.2332,7.5327,1.7043,0.6079
2012-08-31,36.94,10745879.0,21174.0159,7.4964,1.6961,0.7152
2012-09-30,37.58,10554008.0,21542.9726,7.627,1.7257,0.7152
2012-10-31,40.59,17286620.0,23264.7706,8.2366,1.8636,0.7152
2012-11-30,42.98,40828125.0,26646.8738,8.7209,1.9732,0.7152
