IPCA IN Equity,price,volume,mc,pe,bm,div
2021-08-31,1287.65,14623478.0,326682.2363,28.6081,6.9482,4.0
2021-09-30,1205.68,12237102.0,305884.833,26.7868,6.5059,4.0
2021-10-31,1071.2,9814692.0,271767.9583,23.7992,5.7803,4.0
2021-11-30,1050.1,41889846.0,266414.7993,23.3304,5.6664,4.0
2021-12-31,1083.4,21381170.0,274863.1498,24.0702,5.8461,4.0
2022-01-31,1034.65,10205800.0,262495.0692,22.9871,5.583,4.0
2022-02-28,981.35,8365740.0,248972.6343,21.8029,5.2954,4.0
2022-03-31,1065.75,9743110.0,270385.2703,30.5811,4.9477,4.0
2022-04-30,1011.75,6759404.0,256685.2426,29.0316,4.697,4.0
2022-05-31,902.6,8625247.0,228993.4272,25.8996,4.1903,4.0
2022-06-30,897.5,6080240.0,227699.5357,25.7532,4.1666,4.0
2022-07-31,1000.25,5662975.0,253720.6323,28.7016,4.6436,4.0
2022-08-31,905.2,10269569.0,229610.5137,25.9742,4.2024,4.0
2022-09-30,915.0,6791491.0,232096.3545,26.2554,4.2479,4.0
2022-10-31,905.1,4185470.0,229585.148,25.9713,4.2019,4.0
2022-11-30,868.0,7037500.0,220174.4652,24.9067,4.0297,4.0
2022-12-31,843.1,5939721.0,213858.4005,24.1923,3.9141,4.0
2023-01-31,849.85,4211993.0,215570.5867,24.3859,3.9454,4.0
2023-02-28,807.95,7899369.0,204942.3493,23.1836,3.7509,4.0
2023-03-31,810.35,5690687.0,205551.1266,43.6141,3.5191,4.0
2023-04-30,710.15,25273171.0,180134.6734,38.2212,3.084,4.0
2023-05-31,700.95,11003922.0,177801.027,37.726,3.044,4.0
2023-06-30,742.85,18421609.0,188429.2644,39.9812,3.226,4.0
2023-07-31,873.5,9544575.0,221569.5799,47.0129,3.7934,4.0
2023-08-31,873.45,19601326.0,221556.8971,47.0102,3.7932,4.0
2023-09-30,935.65,10224251.0,237334.376,50.3579,4.0633,4.0
2023-10-31,983.75,14602241.0,249535.2882,52.9467,4.2722,4.0
2023-11-30,1132.95,8009302.0,287380.9451,60.9769,4.9201,2.0
2023-12-31,1113.15,7640583.0,282358.5322,59.9112,4.8341,2.0
2024-01-31,1120.25,7394628.0,284159.4985,60.2933,4.865,2.0
2024-02-29,1193.25,12636548.0,302676.4754,64.2223,5.182,2.0
2024-03-31,1237.4,6622551.0,313875.4416,57.3667,4.9577,2.0
2024-04-30,1339.5,15597682.0,339773.8435,62.1001,5.3668,2.0
2024-05-31,1152.15,10099075.0,292251.1637,53.4145,4.6162,2.0
2024-06-30,1129.7,13267896.0,286556.5592,52.3737,4.5262,2.0
2024-07-31,1307.95,10161762.0,331770.9583,60.6375,5.2404,2.0
2024-08-31,1384.65,12550750.0,351226.4669,64.1933,5.5477,2.0
2024-09-30,1498.1,9269967.0,380003.8783,69.4529,6.0023,2.0
2024-10-31,1588.8,10658257.0,403010.588,73.6579,6.3657,2.0
2024-11-30,1542.55,7074581.0,391278.9416,71.5137,6.1803,4.0
2024-12-31,1695.2,19182457.0,429999.716,78.5906,6.792,4.0
2025-01-31,1443.3,9658069.0,366103.4627,66.9124,5.7827,4.0
2025-02-28,1355.35,9887822.0,343794.3104,62.835,5.4303,4.0
2025-03-31,1501.9,3879608.0,380967.7757,51.6472,5.4838,4.0
2025-04-30,1401.2,6095807.0,355424.4939,48.1843,5.1161,4.0
2025-05-31,1424.8,4718200.0,361410.8042,48.9959,5.2023,4.0
2025-06-30,1389.8,6864032.0,352532.8016,47.7923,5.0745,4.0
2025-07-31,1473.9,6508570.0,373865.3736,50.6843,5.3816,4.0
2025-08-31,1384.4,3586043.0,351164.437,47.6066,5.0548,4.0
2025-09-30,1339.0,4273478.0,339649.6929,46.0454,4.889,4.0
2025-10-31,1271.2,2961128.0,322451.5979,43.7139,4.6414,4.0
2025-11-30,1453.1,9751482.0,368592.2097,49.9691,5.3056,4.0
2025-12-31,1418.9,5166069.0,359917.0644,48.793,5.1807,4.0
2026-01-31,1470.8,5567513.0,373081.9778,50.5777,5.3702,2.0
2026-02-28,1528.9,6010786.0,387819.5784,52.5757,5.5824,2.0
2026-03-31,1494.65,283033.0,379131.7564,51.3979,5.4573,2.0
