CYL IN Equity,price,volume,mc,pe,bm,div
2002-02-28,44.18,2500728.0,3244.8362,,,0.1833
2002-03-31,48.99,1799880.0,3598.3009,18.3903,3.8242,0.1833
2002-04-30,57.78,4421388.0,4243.4121,21.6874,4.5098,0.1833
2002-05-31,50.3,2182272.0,3694.7003,18.883,3.9267,0.1833
2002-06-30,44.36,1263804.0,3257.9955,16.6511,3.4626,0.1833
2002-07-31,25.15,18234756.0,1846.8911,9.4392,1.9629,0.3833
2002-08-31,31.28,33215532.0,2297.0425,11.7399,2.4413,0.3833
2002-09-30,24.15,5266296.0,1773.7209,9.0654,1.8851,0.2
2002-10-31,27.86,14098872.0,2411.7739,10.4574,2.1746,0.2
2002-11-30,30.08,25364406.0,2603.6769,11.2895,2.3476,0.2
2002-12-31,34.78,57851226.0,3010.569,13.0537,2.7145,0.2
2003-01-31,23.51,48678462.0,2035.1822,8.8245,1.835,0.2
2003-02-28,23.68,29129802.0,2050.3324,8.8902,1.8487,0.2
2003-03-31,14.89,22124016.0,1289.2132,8.653,1.0441,0.2
2003-04-30,16.26,32537286.0,1407.5294,9.4471,1.1399,0.2
2003-05-31,15.11,19630836.0,1307.9707,8.7789,1.0593,0.2
2003-06-30,18.9,26313378.0,1636.2259,10.9821,1.3251,0.2
2003-07-31,16.59,25333908.0,1436.387,9.6408,1.1633,0.2083
2003-08-31,18.3,8978034.0,1584.2822,10.6335,1.283,0.2083
2003-09-30,24.63,50540130.0,2138.6364,14.3135,1.7271,0.2083
2003-10-31,20.95,18813534.0,1825.1011,12.1733,1.4688,0.2083
2003-11-30,27.85,19091142.0,2426.2084,16.1826,1.9526,0.2083
2003-12-31,32.05,32572530.0,2792.0998,18.6231,2.2471,0.2083
2004-01-31,25.25,33241236.0,2199.7042,14.6719,1.7703,0.2083
2004-02-29,23.93,22291914.0,2085.0002,13.9068,1.678,0.2083
2004-03-31,18.53,9053214.0,1614.5684,17.9137,1.2402,0.2083
2004-04-30,18.5,9382524.0,1618.5022,17.8815,1.2379,0.2083
2004-05-31,18.19,11638272.0,1591.5271,17.5835,1.2173,0.2083
2004-06-30,19.58,9251562.0,1712.5502,18.9206,1.3099,0.2083
2004-07-31,22.52,14736588.0,1969.9067,21.7639,1.5067,0.4167
2004-08-31,22.48,15044916.0,1974.8416,21.7316,1.5045,0.4167
2004-09-30,23.48,13685520.0,2062.6774,22.6982,1.5714,0.4167
2004-10-31,26.66,18225714.0,2341.5561,25.7671,1.7839,0.4167
2004-11-30,30.62,11274126.0,2693.7585,29.5931,2.0487,0.4167
2004-12-31,31.37,6425004.0,2764.771,30.318,2.0989,0.4167
2005-01-31,31.42,22725216.0,2769.1782,30.3663,2.1023,0.4167
2005-02-28,40.67,60467196.0,3584.5065,39.3071,2.7212,0.4167
2005-03-31,46.19,60421932.0,4081.5881,14.8275,2.6092,0.4167
2005-04-30,44.76,86424618.0,3954.9359,14.3674,2.5283,0.4167
2005-05-31,49.35,25634796.0,4360.6648,15.8413,2.7876,0.4167
2005-06-30,45.74,17881140.0,4128.469,14.683,2.5838,0.4167
2005-07-31,46.93,17699280.0,4235.2721,15.0629,2.6506,0.4583
2005-08-31,47.1,10490118.0,4262.8515,15.1191,2.6605,0.4583
2005-09-30,61.0,54264864.0,5520.8905,19.581,3.4457,0.25
2005-10-31,67.0,68413284.0,6063.9289,21.507,3.7846,0.25
2005-11-30,73.01,12862230.0,6607.7215,23.4356,4.124,0.25
2005-12-31,88.53,11093826.0,8063.0316,28.4191,5.001,0.25
2006-01-31,93.7,6086724.0,8533.5774,30.0776,5.2928,0.25
2006-02-28,85.6,2090028.0,7795.8829,27.4775,4.8353,0.25
2006-03-31,87.75,6255654.0,8012.9089,15.7942,3.7734,0.25
2006-04-30,104.63,9924756.0,9576.6817,18.8315,4.4991,0.25
2006-05-31,91.75,3682086.0,8378.1697,16.5141,3.9454,0.25
2006-06-30,80.75,4600224.0,7373.7025,14.5342,3.4724,0.375
2006-07-31,91.3,5411644.0,8337.0778,16.4331,3.9261,0.375
2006-08-31,103.23,10493694.0,9471.3482,18.5795,4.4389,0.375
2006-09-30,105.78,4705784.0,9705.3219,19.0385,4.5485,0.375
2006-10-31,124.75,7572490.0,11446.3617,22.4538,5.3645,0.375
2006-11-30,160.98,7177330.0,14770.1649,28.9739,6.9222,0.375
2006-12-31,161.05,8688798.0,14777.0465,28.9874,6.9254,0.375
2007-01-31,188.13,6495158.0,17261.2969,33.8607,8.0897,0.375
2007-02-28,177.6,6337254.0,16295.5818,31.9663,7.6371,0.375
2007-03-31,180.9,2737728.0,16686.8312,19.8398,5.6791,0.375
2007-04-30,180.48,4368318.0,16659.2503,19.7932,5.6658,0.375
2007-05-31,185.98,2676304.0,17166.9432,20.3964,5.8385,0.375
2007-06-30,198.63,3954532.0,18334.6368,21.7838,6.2356,0.375
2007-07-31,167.1,12114960.0,15424.6334,18.3264,5.2459,0.5625
2007-08-31,137.53,6466788.0,12694.6302,15.0828,4.3174,0.5625
2007-09-30,133.73,4403282.0,12343.8871,14.666,4.1981,0.5625
2007-10-31,140.1,4556638.0,12932.3506,15.3652,4.3983,0.5625
2007-11-30,143.25,1957310.0,14871.9286,15.7107,4.4972,0.5625
2007-12-31,156.75,2671988.0,16273.4716,17.1912,4.921,0.5625
2008-01-31,124.1,2173490.0,12883.8139,13.6104,3.896,0.5625
2008-02-29,140.05,1419796.0,14599.8204,15.3597,4.3967,0.5625
2008-03-31,139.85,1259352.0,14578.9709,16.5386,2.5386,0.5625
2008-04-30,139.0,2365628.0,14491.5835,16.438,2.5231,0.5625
2008-05-31,132.07,1000726.0,13769.6108,15.6191,2.3974,0.5625
2008-06-30,117.55,450356.0,12255.2924,13.9014,2.1338,0.5625
2008-07-31,105.5,3872270.0,11075.4322,12.4763,1.9151,0.6
2008-08-31,108.85,2987942.0,11427.1165,12.8725,1.9759,0.6
2008-09-30,104.88,1185436.0,11009.8195,12.4024,1.9037,0.6
2008-10-31,71.9,1156088.0,7548.0622,8.5028,1.3051,0.6
2008-11-30,50.0,949878.0,5250.5798,5.913,0.9076,0.6
2008-12-31,51.48,1079694.0,5405.4719,6.0874,0.9344,0.6
2009-01-31,43.53,4716098.0,4570.6473,5.1472,0.7901,0.6
2009-02-28,42.83,508658.0,4497.1389,5.0645,0.7774,0.6
2009-03-31,42.5,954000.0,4463.01,4.8963,0.6094,0.6
2009-04-30,70.58,1702182.0,7795.6864,8.1308,1.012,0.6
2009-05-31,89.9,4089850.0,9930.3183,10.3571,1.2891,0.6
2009-06-30,89.0,2143150.0,9830.9046,10.2535,1.2762,0.75
2009-07-31,115.38,2848090.0,12747.7148,13.2921,1.6544,0.75
2009-08-31,124.98,1682532.0,13808.4131,14.398,1.792,0.75
2009-09-30,132.82,1243690.0,14675.7549,15.3024,1.9046,0.75
2009-10-31,119.0,2678706.0,13148.2389,13.7097,1.7064,0.75
2009-11-30,148.98,1768612.0,16518.5863,17.163,2.1362,0.75
2009-12-31,153.48,4912866.0,17017.5535,17.6815,2.2007,0.75
2010-01-31,174.1,8506226.0,19304.4865,20.0576,2.4965,0.75
2010-02-28,173.08,3162722.0,19190.8328,19.9395,2.4818,0.75
2010-03-31,184.43,2545010.0,20470.9907,11.9446,2.2586,0.75
2010-04-30,195.8,7308188.0,21733.6043,12.6813,2.3979,0.75
2010-05-31,189.75,813902.0,21062.0604,12.2895,2.3238,1.0
2010-06-30,190.15,834253.0,21126.5584,12.3154,2.3287,1.0
2010-07-31,166.0,1195958.0,18443.3799,10.7513,2.033,1.0
