WLCO IN Equity,price,volume,mc,pe,bm,div
2011-07-31,139.18,8280899.0,30395.8805,4.4969,0.821,2.0
2011-08-31,115.18,9204264.0,25154.1523,3.7214,0.6794,2.0
2011-09-30,104.86,12973992.0,25477.3055,3.3882,0.6186,2.0
2011-10-31,100.97,9524604.0,24532.0143,3.2625,0.5956,2.0
2011-11-30,64.78,23770292.0,15739.6675,2.0932,0.3822,2.0
2011-12-31,78.85,44309410.0,19156.3826,2.5476,0.4651,2.0
2012-01-31,108.47,33874689.0,26354.2624,3.5048,0.6399,2.0
2012-02-29,137.44,36365847.0,33392.6955,4.4409,0.8108,2.0
2012-03-31,126.19,36364231.0,30659.3234,11.5881,0.7022,2.0
2012-04-30,118.13,22060445.0,28700.4067,10.8477,0.6574,2.0
2012-05-31,110.21,31237617.0,26775.6572,10.1202,0.6133,2.0
2012-06-30,111.1,11728326.0,26992.0492,10.202,0.6182,2.0
2012-07-31,95.72,13021314.0,23256.4407,8.7901,0.5327,2.0
2012-08-31,88.32,14996689.0,21456.9708,8.1099,0.4915,0.5
2012-09-30,95.02,16634755.0,23085.6049,8.7255,0.5288,0.5
2012-10-31,90.66,7322363.0,22026.4233,8.3252,0.5045,0.5
2012-11-30,99.15,21997844.0,24087.8414,9.1043,0.5517,0.5
2012-12-31,99.76,33484249.0,24235.899,9.1603,0.5551,0.5
2013-01-31,94.22,23898058.0,22904.894,8.6523,0.5243,0.5
2013-02-28,54.71,73055300.0,13298.5131,5.0235,0.3044,0.5
2013-03-31,47.21,35704530.0,13239.4471,7.7933,0.2194,0.5
2013-04-30,49.78,40871660.0,13962.5549,8.219,0.2314,0.5
2013-05-31,42.61,8566468.0,11951.0004,7.0349,0.198,0.5
2013-06-30,40.88,6488818.0,11464.546,6.7485,0.19,0.5
2013-07-31,33.7,3552721.0,9452.9915,5.5644,0.1566,0.5
2013-08-31,32.06,7775630.0,8992.832,5.2936,0.149,0.5
2013-09-30,28.03,6524810.0,7862.1543,4.628,0.1303,0.5
2013-10-31,39.85,12259487.0,11175.3029,6.5783,0.1852,0.5
2013-11-30,36.28,5753319.0,10176.0993,5.9901,0.1686,0.5
2013-12-31,59.53,19940747.0,16697.2173,9.8287,0.2767,0.5
2014-01-31,54.28,9198692.0,15224.7068,8.9619,0.2523,0.5
2014-02-28,63.9,5478546.0,16802.3966,10.5494,0.297,0.5
2014-03-31,68.75,6580216.0,18077.6958,24.6416,0.6368,0.5
2014-04-30,81.65,13436487.0,21469.729,29.2652,0.7563,0.5
2014-05-31,80.05,8225810.0,21049.0117,28.6918,0.7415,0.5
2014-06-30,87.3,27662823.0,22955.3869,31.2903,0.8086,0.5
2014-07-31,83.5,6605767.0,21956.1833,29.9283,0.7734,0.5
2014-08-31,68.25,7531969.0,17946.2217,24.4624,0.6322,0.5
2014-09-30,77.45,8801904.0,20365.3461,27.7599,0.7174,0.5
2014-10-31,76.8,4003827.0,20194.4297,27.5269,0.7114,0.5
2014-11-30,74.75,6532257.0,19655.3857,26.7921,0.6924,0.5
2014-12-31,68.95,5323023.0,18130.2855,24.7133,0.6387,0.5
