UNOMINDA IN Equity,price,volume,mc,pe,bm,div
2009-12-31,7.51,1154039.0,2379.9078,16.0219,3.2147,0.0829
2010-01-31,9.36,36400475.0,2965.0363,19.9611,4.005,0.0829
2010-02-28,10.04,31292584.0,3179.3383,21.4038,4.2945,0.0829
2010-03-31,9.08,3822242.0,2875.2185,12.5493,3.1009,0.0829
2010-04-30,9.62,2579770.0,3048.0258,13.3035,3.2873,0.0829
2010-05-31,9.06,876798.0,2871.0165,12.5309,3.0964,0.0829
2010-06-30,9.06,2009158.0,2868.9155,12.5218,3.0941,0.0829
2010-07-31,9.2,8037657.0,2914.6123,12.7212,3.1434,0.0829
2010-08-31,10.91,16857105.0,3456.6703,15.0871,3.728,0.0829
2010-09-30,11.81,4377719.0,3741.881,16.332,4.0357,0.0
2010-10-31,12.01,6177114.0,3804.3858,16.6048,4.1031,0.0
2010-11-30,9.43,8525896.0,2988.1473,13.0422,3.2227,0.0
2010-12-31,9.94,3794925.0,3148.8738,13.7437,3.3961,0.0995
2011-01-31,8.34,2066566.0,2641.4823,11.5291,2.8489,0.0995
2011-02-28,8.11,2241383.0,2568.4725,11.2105,2.7701,0.0995
2011-03-31,7.77,1276211.0,2461.8468,8.8987,1.9509,0.0995
2011-04-30,8.97,17322791.0,2841.0773,10.2695,2.2514,0.0995
2011-05-31,8.44,661156.0,2671.9468,9.6582,2.1174,0.0995
2011-06-30,7.96,1000418.0,3097.157,9.1095,1.9971,0.0995
2011-07-31,7.59,767590.0,2955.1448,8.6918,1.9055,0.0995
2011-08-31,5.74,1463541.0,2550.1824,6.5673,1.4398,0.0995
2011-09-30,5.87,679880.0,2607.6886,6.7154,1.4722,0.0995
2011-10-31,5.96,301693.0,2651.187,6.8274,1.4968,0.0995
2011-11-30,5.35,329945.0,2376.9263,6.1211,1.3419,0.0995
2011-12-31,4.95,283995.0,2369.4975,5.6711,1.2433,0.0995
2012-01-31,5.41,787611.0,2586.0603,6.1894,1.3569,0.0995
2012-02-29,6.28,1064791.0,3002.527,7.1862,1.5754,0.0995
2012-03-31,6.07,507536.0,2905.7481,10.1694,1.028,0.0995
2012-04-30,5.89,421906.0,2817.6951,9.8612,0.9969,0.0995
2012-05-31,5.33,378941.0,2551.1564,8.9284,0.9026,0.0995
2012-06-30,5.34,193450.0,2554.3295,8.9395,0.9037,0.0995
2012-07-31,5.13,579567.0,2454.3774,8.5897,0.8683,0.0995
2012-08-31,5.9,1089334.0,2823.248,9.8806,0.9988,0.0995
2012-09-30,6.22,628412.0,2973.176,10.4053,1.0519,0.0995
2012-10-31,7.01,1835698.0,3353.1524,11.7351,1.1863,0.0995
2012-11-30,7.33,982267.0,3505.4602,12.2682,1.2402,0.0995
2012-12-31,7.31,3915470.0,3495.1477,12.2321,1.2365,0.0995
2013-01-31,6.92,745700.0,3309.5225,11.5825,1.1709,0.0995
2013-02-28,5.74,898688.0,2747.8873,9.6169,0.9722,0.0995
2013-03-31,5.16,582492.0,2469.4496,8.7888,0.8088,0.0995
2013-04-30,5.3,278748.0,2537.6708,9.0316,0.8311,0.0995
2013-05-31,5.4,1154642.0,2583.6804,9.1954,0.8462,0.0995
2013-06-30,5.16,463726.0,2466.2697,8.7775,0.8078,0.0995
2013-07-31,4.4,450580.0,2103.7463,7.4873,0.689,0.0995
2013-08-31,4.29,373755.0,2052.1839,7.3038,0.6721,0.0995
2013-09-30,4.45,1804733.0,2129.1308,7.5776,0.6973,0.0995
2013-10-31,4.95,427394.0,2367.9044,8.4274,0.7755,0.0995
2013-11-30,7.61,1330544.0,3641.0993,12.9588,1.1925,0.0995
2013-12-31,6.6,682292.0,3155.6194,11.2309,1.0335,0.0995
2014-01-31,6.2,226737.0,2964.4419,10.5505,0.9709,0.0995
2014-02-28,5.8,163691.0,2776.4374,9.8814,0.9094,0.0995
2014-03-31,6.27,32985304.0,2997.7591,42.4607,0.9738,0.0995
2014-04-30,6.28,620965.0,3006.485,42.5843,0.9767,0.0995
2014-05-31,7.2,2195312.0,3442.7823,48.764,1.1184,0.0995
2014-06-30,11.49,4398131.0,5498.1393,77.8764,1.7861,0.0995
2014-07-31,10.26,8125849.0,4906.3615,69.4944,1.5939,0.0995
2014-08-31,12.27,12439376.0,5869.3886,83.1348,1.9067,0.0995
2014-09-30,16.16,28158423.0,7728.8084,109.4719,2.5107,0.0995
2014-10-31,17.72,14052166.0,8478.4465,120.0899,2.7543,0.0995
2014-11-30,19.53,30863893.0,9344.6949,132.3596,3.0357,0.0995
2014-12-31,18.62,11376213.0,8908.3976,126.1798,2.8939,0.0995
2015-01-31,20.09,9255013.0,9608.0599,136.0899,3.1212,0.0995
2015-02-28,19.95,7645872.0,9545.1771,135.2022,3.1009,0.1658
2015-03-31,18.92,4619924.0,9052.7724,17.3802,2.5023,0.1658
2015-04-30,17.6,3996788.0,8418.1581,16.1618,2.3269,0.1658
2015-05-31,17.73,2346008.0,8479.2398,16.2791,2.3438,0.1658
2015-06-30,16.42,2531438.0,7852.5582,15.0759,2.1705,0.1658
2015-07-31,17.71,4053261.0,8470.5138,16.2623,2.3413,0.199
2015-08-31,17.44,6468104.0,8342.0044,16.0156,2.3058,0.199
2015-09-30,16.91,2532342.0,8090.5385,15.5328,2.2363,0.199
2015-10-31,17.25,2746868.0,8251.5719,15.842,2.2808,0.199
2015-11-30,28.72,61239065.0,13738.6054,26.3764,3.7975,0.199
2015-12-31,30.68,12487919.0,14677.0412,28.1781,4.0569,0.199
2016-01-31,26.86,13481252.0,12848.5589,24.6676,3.5515,0.199
2016-02-29,25.48,16473521.0,12186.9736,23.3974,3.3686,0.2156
2016-03-31,33.25,38532981.0,15904.2266,14.3269,3.3716,0.2156
2016-04-30,33.02,8712019.0,15793.9623,14.2275,3.3483,0.2156
2016-05-31,39.7,17175924.0,18992.4182,17.1088,4.0263,0.2156
2016-06-30,38.71,7816015.0,18516.4575,16.68,3.9254,0.2156
2016-07-31,38.8,14622145.0,18562.467,16.7215,3.9352,0.2156
2016-08-31,41.87,43396949.0,20027.6327,18.0413,4.2458,0.2322
2016-09-30,48.19,35645307.0,23052.3629,20.766,4.887,0.2322
2016-10-31,64.9,18613976.0,31044.5362,27.9656,6.5813,0.2322
2016-11-30,50.83,30848444.0,24313.6588,21.9022,5.1544,0.2322
2016-12-31,50.01,23522839.0,23924.9575,21.5521,5.072,0.2322
2017-01-31,57.8,9668435.0,27649.3499,24.9071,5.8616,0.2322
2017-02-28,72.88,24081975.0,34864.1208,31.4063,7.3911,0.3317
2017-03-31,73.7,10806517.0,35252.822,21.3551,3.3275,0.3317
2017-04-30,79.7,11597553.0,41532.9231,23.0947,3.5985,0.3317
2017-05-31,104.03,25684230.0,54210.5757,30.1442,4.6969,0.3317
2017-06-30,106.19,9578150.0,55338.3423,30.7713,4.7946,0.3317
2017-07-31,131.25,22573026.0,68400.559,38.0346,5.9264,0.3317
2017-08-31,140.1,16035713.0,73011.0073,40.5983,6.3259,0.3648
2017-09-30,137.35,18278356.0,71576.4535,39.8006,6.2016,0.3648
2017-10-31,136.01,8917337.0,70876.4605,39.4113,6.1409,0.3648
2017-11-30,206.23,28623288.0,107470.5478,59.7597,9.3115,0.3648
2017-12-31,213.32,19060606.0,111169.2768,61.8164,9.632,0.3648
2018-01-31,204.54,13998828.0,106589.075,59.2696,9.2351,0.3648
2018-02-28,187.15,16961157.0,97528.0552,54.2311,8.4501,0.3648
2018-03-31,176.87,20933987.0,92485.0513,29.7186,6.6709,0.3648
2018-04-30,182.94,7297902.0,96019.4501,30.737,6.8995,0.3648
2018-05-31,211.87,23733324.0,111229.3316,35.5977,7.9906,0.3648
2018-06-30,209.66,11386802.0,110210.4913,35.2271,7.9074,0.3648
2018-07-31,201.34,9792449.0,105834.4993,33.8284,7.5934,0.4643
2018-08-31,213.95,13259355.0,112766.4058,35.9473,8.069,0.4643
2018-09-30,175.71,11627644.0,92615.032,29.5235,6.6271,0.4643
2018-10-31,154.12,10912919.0,81234.8158,25.8958,5.8128,0.4643
2018-11-30,160.84,9256684.0,84774.7448,27.0242,6.0661,0.4643
2018-12-31,160.76,5224408.0,84735.4122,27.0117,6.0633,0.4643
2019-01-31,139.22,8305967.0,73381.4177,23.3923,5.2508,0.4643
2019-02-28,160.04,12074747.0,84355.1976,26.8905,6.0361,0.4892
2019-03-31,162.38,8448096.0,85587.6174,29.945,5.0223,0.4892
2019-04-30,180.96,5874299.0,95381.421,33.3716,5.597,0.4892
2019-05-31,170.66,7260434.0,89953.5298,31.4725,5.2785,0.4892
2019-06-30,158.33,3405984.0,83450.5491,29.1972,4.8969,0.4892
2019-07-31,144.25,12443338.0,76029.809,26.6009,4.4614,0.5472
2019-08-31,167.63,5776951.0,88354.0064,30.9128,5.1846,0.5472
2019-09-30,169.5,6018463.0,89337.32,31.2569,5.2423,0.5472
2019-10-31,183.28,3887876.0,96600.7299,33.7982,5.6685,0.5472
2019-11-30,172.53,5690248.0,90936.8435,31.8165,5.3362,0.5472
2019-12-31,175.04,5946327.0,92261.0391,32.2798,5.4139,0.5472
2020-01-31,195.04,8153472.0,102802.1611,35.9679,6.0324,0.5472
2020-02-29,185.61,5688224.0,97833.1496,34.2294,5.7408,0.5224
2020-03-31,119.6,7875699.0,63036.9584,40.6081,3.3871,0.5224
2020-04-30,148.58,12306280.0,78311.0966,50.4476,4.2078,0.5224
2020-05-31,144.07,11617990.0,75938.0331,48.9189,4.0803,0.5224
2020-06-30,136.41,11169675.0,71899.8918,46.3176,3.8633,0.5224
2020-07-31,142.95,14458538.0,75348.0449,48.5389,4.0486,0.5224
2020-08-31,170.0,36244237.0,89856.2681,57.722,4.8146,0.5224
2020-09-30,165.4,9130964.0,89954.1132,56.1601,4.6843,0.199
2020-10-31,159.82,4803020.0,86922.1048,54.2671,4.5264,0.199
2020-11-30,193.3,8711662.0,105127.7514,65.6333,5.4745,0.199
2020-12-31,199.68,5808378.0,108594.7307,67.7978,5.655,0.199
2021-01-31,228.25,16403356.0,124135.4566,77.5002,6.4643,0.199
2021-02-28,283.25,16955178.0,154047.6148,96.175,8.0219,0.374
2021-03-31,271.05,11171480.0,147412.5542,70.1294,6.5326,0.374
2021-04-30,262.48,11061758.0,142748.9768,67.9107,6.3259,0.175
2021-05-31,302.52,16741662.0,164530.4666,78.273,7.2912,0.175
2021-06-30,320.2,26410624.0,174143.1465,82.8461,7.7172,0.175
2021-07-31,372.4,18448110.0,202532.4987,96.3519,8.9752,0.175
2021-08-31,356.5,20963156.0,203647.3744,92.238,8.592,0.425
2021-09-30,369.35,14902610.0,210987.8198,95.5627,8.9017,0.425
2021-10-31,390.78,13140852.0,223226.6557,101.1061,9.4181,0.425
2021-11-30,453.2,20121336.0,258886.3677,117.2574,10.9226,0.425
2021-12-31,612.42,46183914.0,349842.1972,158.4541,14.7601,0.425
2022-01-31,551.58,16922580.0,315082.1895,142.7102,13.2935,0.425
2022-02-28,459.45,19509754.0,262456.6232,118.8745,11.0732,0.5
2022-03-31,466.15,18725968.0,266283.9371,73.7579,7.7443,0.5
2022-04-30,457.35,8093302.0,261257.0174,72.3655,7.5981,0.5
2022-05-31,461.15,20749132.0,263427.7327,72.9668,7.6612,0.5
2022-06-30,461.58,13759628.0,263822.2123,73.034,7.6683,0.5
2022-07-31,508.8,11789454.0,290907.558,80.5063,8.4529,0.75
2022-08-31,578.05,8763898.0,330733.1122,91.4636,9.6033,0.75
2022-09-30,559.1,9407610.0,320121.3487,88.4652,9.2885,0.75
2022-10-31,536.7,6754184.0,307295.8824,84.9209,8.9164,0.75
2022-11-30,550.15,6205537.0,315061.0694,87.0491,9.1398,0.75
2022-12-31,521.2,9080756.0,298611.5778,82.4684,8.6589,0.75
2023-01-31,488.0,8758232.0,279590.2724,77.2152,8.1073,0.75
2023-02-28,506.85,12225678.0,290399.5108,80.1978,8.4205,1.0
2023-03-31,481.0,15136816.0,275619.304,42.1191,6.6321,1.0
2023-04-30,521.2,8088394.0,298654.4308,45.6392,7.1864,1.0
2023-05-31,555.7,9326319.0,318423.383,48.6602,7.662,1.0
2023-06-30,581.8,7114714.0,333379.0251,50.9457,8.0219,1.0
2023-07-31,595.15,8268627.0,341058.5516,52.1147,8.206,1.0
2023-08-31,602.2,23446981.0,345115.7615,52.732,8.3032,1.5
2023-09-30,599.45,8349025.0,343586.3561,52.4912,8.2653,1.5
2023-10-31,582.7,5335134.0,333985.7698,51.0245,8.0343,1.5
2023-11-30,673.25,15560636.0,385895.8681,58.9536,9.2828,1.5
2023-12-31,687.65,9587819.0,394173.6988,60.2145,9.4814,1.5
2024-01-31,690.1,9784503.0,395578.0841,60.4291,9.5152,1.5
2024-02-29,669.6,17320834.0,383827.1049,58.634,9.2325,1.65
2024-03-31,684.75,12378263.0,393072.7718,44.8722,7.9533,1.65
2024-04-30,738.0,9877371.0,423640.3148,48.3617,8.5717,1.65
2024-05-31,850.25,18054604.0,488123.3954,55.7176,9.8755,1.65
2024-06-30,1092.05,33473734.0,627014.963,71.5629,12.684,2.0
2024-07-31,1041.0,27007455.0,597703.9297,68.2176,12.091,2.0
2024-08-31,1173.9,20267238.0,674010.2239,76.9266,13.6347,2.0
2024-09-30,1101.65,21750006.0,632526.93,72.192,12.7955,2.0
2024-10-31,983.3,16925409.0,564574.7109,64.4364,11.4209,2.0
2024-11-30,1051.25,27190778.0,603589.1029,68.8893,12.2101,2.0
2024-12-31,1053.2,11226632.0,604708.7212,69.017,12.2327,2.0
2025-01-31,945.6,19567914.0,542928.7569,61.9659,10.983,2.0
2025-02-28,825.9,20187943.0,474201.4174,54.1219,9.5927,2.1
2025-03-31,875.5,19231720.0,502679.914,53.3191,8.7771,2.1
2025-04-30,894.2,12495037.0,513416.7665,54.458,8.9645,2.1
2025-05-31,1006.65,11070624.0,577981.4225,61.3063,10.0919,2.25
2025-06-30,1104.3,17470948.0,634048.4626,67.2533,11.0708,2.25
2025-07-31,1041.4,11035343.0,598307.2046,63.4227,10.4402,2.25
2025-08-31,1279.0,25054889.0,736472.5918,77.8928,12.8222,2.25
2025-09-30,1298.8,16942257.0,747873.8094,79.0987,13.0207,2.25
2025-10-31,1235.2,19426549.0,712350.9358,75.2253,12.3831,2.25
2025-11-30,1306.8,18172440.0,753723.7979,79.5859,13.1009,2.25
2025-12-31,1285.8,12453491.0,741972.1527,78.3069,12.8904,2.25
2026-01-31,1182.3,15915499.0,682247.376,72.0037,11.8528,2.25
2026-02-28,1188.5,19441936.0,686258.664,72.3812,11.9149,2.4
2026-03-31,1117.4,3577746.0,645204.4156,68.0512,11.2022,2.4
