SCHFL IN Equity,price,volume,mc,pe,bm,div
2000-05-31,8.1,166050.0,549.6255,,,0.54
2000-06-30,7.8,100375.0,648.0747,,,0.54
2000-07-31,7.4,73300.0,614.8401,,,0.54
2000-08-31,7.29,118050.0,605.7006,,,0.54
2000-09-30,6.98,38930.0,579.9438,,,0.54
2000-10-31,6.42,581650.0,533.4153,,,0.54
2000-11-30,6.9,36275.0,573.2969,,,0.54
2000-12-31,6.81,137485.0,565.8191,,,0.54
2001-01-31,6.75,146060.0,560.8339,,,0.54
2001-02-28,7.6,602530.0,631.4574,,,0.7
2001-03-31,6.52,333905.0,541.724,,,0.7
2001-04-30,7.32,110380.0,608.1932,,,0.7
2001-05-31,8.19,243725.0,680.4784,,,0.7
2001-06-30,6.8,238555.0,564.9882,,,0.7
2001-07-31,7.2,359215.0,598.2228,,,0.7
2001-08-31,8.42,585925.0,699.5883,,,0.7
2001-09-30,8.5,207615.0,706.2353,,,0.7
2001-10-31,9.5,565245.0,789.3218,,,0.7
2001-11-30,10.37,408405.0,861.607,,,0.7
2001-12-31,10.6,379030.0,880.7169,,,0.7
2002-01-31,10.8,224890.0,897.3342,,,0.7
2002-02-28,8.95,383765.0,743.6242,,,0.7
2002-03-31,9.25,2047545.0,768.5501,,,0.7
2002-04-30,9.97,268770.0,828.3724,,,0.7
2002-05-31,9.5,244405.0,789.3218,,,0.7
2002-06-30,12.38,892030.0,1028.6109,,,0.7
2002-07-31,9.6,994240.0,797.6304,,,0.7
2002-08-31,9.9,132440.0,822.5564,,,0.7
2002-09-30,8.92,84130.0,741.1316,,,0.7
2002-10-31,9.85,326710.0,818.402,,,0.7
2002-11-30,11.0,145730.0,815.0786,,,0.7
2002-12-31,10.88,1090615.0,,,,0.7
2003-01-31,10.62,600455.0,,,,0.7
2003-02-28,11.32,848610.0,,,,0.7
2003-03-31,10.06,749185.0,,,,0.8
2003-04-30,10.49,328645.0,,,,0.8
2003-05-31,12.27,1157845.0,,,,0.8
2003-06-30,13.81,1258085.0,,,,0.8
2003-07-31,15.01,2583745.0,,,,0.8
2003-08-31,17.0,1401145.0,,,,0.8
2003-09-30,17.74,3878650.0,,,,0.8
2003-10-31,19.3,3718410.0,,,,0.8
2003-11-30,20.92,831325.0,,,,0.8
2003-12-31,25.47,1328910.0,,,,0.8
2004-01-31,22.82,809465.0,1896.0339,,,0.8
2004-02-29,22.08,361030.0,1834.5499,,,0.8
2004-03-31,21.0,264330.0,1744.8165,,,0.9
2004-04-30,23.14,196730.0,1922.6216,,,0.9
2004-05-31,19.1,176985.0,1586.9522,,,0.9
2004-06-30,18.2,84500.0,1512.1743,,,0.9
2004-07-31,22.33,583350.0,1855.3215,,,0.9
2004-08-31,25.87,278560.0,2149.4478,,,0.9
2004-09-30,27.88,821360.0,2316.4516,,,0.9
2004-10-31,28.68,476910.0,2382.9208,,,0.9
2004-11-30,32.0,570130.0,2658.768,,,0.9
2004-12-31,32.34,1082145.0,2687.0174,,,0.9
2005-01-31,31.64,1574175.0,2628.8569,,,0.9
2005-02-28,37.44,2363145.0,3110.7586,,,0.9
2005-03-31,37.83,1331605.0,3143.1623,,,0.7
2005-04-30,39.59,1632940.0,3289.3945,,,0.7
2005-05-31,41.88,1728070.0,3479.6626,,,0.7
2005-06-30,43.51,1358040.0,3615.0936,,,0.7
2005-07-31,45.0,855180.0,3738.8925,,,0.7
2005-08-31,48.46,910190.0,4026.3718,,,0.7
2005-09-30,60.6,1939645.0,5035.0419,,,0.7
2005-10-31,65.63,2319975.0,5452.967,,,0.7
2005-11-30,77.63,1984690.0,6450.005,,,0.7
2005-12-31,80.05,1800045.0,6651.0743,,,0.7
2006-01-31,77.22,8024260.0,6415.9395,,,0.7
2006-02-28,83.99,3346415.0,6978.4351,,,0.7
2006-03-31,107.79,6673290.0,8955.8939,,,0.7
2006-04-30,127.55,6437775.0,10443.9731,,,0.7
2006-05-31,111.3,5100320.0,9247.5275,,,0.7
2006-06-30,101.55,4063625.0,8437.4341,,,0.7
2006-07-31,103.94,2885275.0,8636.0108,,,0.7
2006-08-31,102.84,1253880.0,8544.6157,,,0.7
2006-09-30,116.13,1885405.0,9648.8353,,,0.7
2006-10-31,133.16,3072975.0,11063.7984,,,0.7
2006-11-30,130.44,1358285.0,10837.8031,,,0.7
2006-12-31,128.72,1732905.0,10694.8943,,,0.7
2007-01-31,131.99,2950460.0,10966.5872,,,0.7
2007-02-28,132.19,2517055.0,10983.2045,,,0.7
2007-03-31,122.4,1088795.0,10169.7876,,,0.8
2007-04-30,122.85,1129855.0,10207.1765,,,0.8
2007-05-31,137.6,3567490.0,11432.7024,,,0.8
2007-06-30,129.25,1292020.0,10738.9301,,,0.8
2007-07-31,131.37,1330845.0,10915.0735,,,0.8
2007-08-31,139.35,784865.0,11578.1038,,,0.8
2007-09-30,131.42,992615.0,10919.0311,,,0.8
2007-10-31,119.96,1683640.0,9966.8769,,,0.8
2007-11-30,124.21,4524730.0,10319.9882,,,0.8
2007-12-31,137.03,691365.0,11385.1379,,,0.8
2008-01-31,119.4,730460.0,9920.3493,,,0.8
2008-02-29,115.76,1242445.0,9617.9199,,,0.8
2008-03-31,118.89,1895185.0,9877.976,,,0.8
2008-04-30,101.69,207330.0,8448.9139,,,0.8
2008-05-31,91.52,660450.0,7603.9395,,,0.8
2008-06-30,76.35,112575.0,6343.54,,,0.8
2008-07-31,78.8,77215.0,6547.0982,,,0.8
2008-08-31,74.22,102360.0,6166.5689,,,0.8
2008-09-30,65.48,77965.0,5440.406,,,0.8
2008-10-31,65.9,260910.0,5475.3017,,,0.8
2008-11-30,47.88,715405.0,3978.1099,,,0.8
2008-12-31,48.3,1919570.0,4013.0056,,,0.8
2009-01-31,45.92,68275.0,3815.2633,,,0.8
2009-02-28,52.38,108650.0,4351.9925,,,0.8
2009-03-31,58.27,1058180.0,4841.3631,,,0.9
2009-04-30,61.0,7418795.0,5068.1852,,,0.9
2009-05-31,74.27,2492110.0,6170.7232,,,0.9
2009-06-30,87.68,1739665.0,7284.8931,,,0.9
2009-07-31,88.98,2129100.0,7392.9036,,,0.9
2009-08-31,90.6,3773235.0,7527.5013,,,0.9
2009-09-30,94.3,203470.0,7834.9158,,,0.9
2009-10-31,97.58,859420.0,8107.4346,,,0.9
2009-11-30,104.8,508810.0,8707.3083,,,0.9
2009-12-31,123.13,1950800.0,10230.2564,15.6098,2.2156,0.9
2010-01-31,109.28,341380.0,9079.5291,13.854,1.9664,0.9
2010-02-28,108.58,399635.0,9021.3696,13.7652,1.9538,0.9
2010-03-31,104.94,562480.0,8718.9402,13.3038,1.8883,0.9
2010-04-30,114.82,1623575.0,9539.82,14.5563,2.0661,0.9
2010-05-31,108.66,163480.0,9028.0164,13.7754,1.9552,0.9
2010-06-30,113.97,143315.0,9469.1978,14.4485,2.0508,0.9
2010-07-31,153.47,2092230.0,12751.0554,19.4561,2.7616,0.9
2010-08-31,163.26,2263610.0,13564.4576,20.6973,2.9377,0.9
2010-09-30,167.74,555980.0,13936.6784,21.2652,3.0183,0.9
2010-10-31,182.12,1621825.0,15131.4407,23.0882,3.2771,0.9
2010-11-30,174.63,590810.0,14509.1341,22.1387,3.1423,0.9
2010-12-31,175.76,280600.0,14603.0201,22.2819,3.1627,0.9
2011-01-31,161.39,351455.0,13409.0886,20.4602,2.9041,0.9
2011-02-28,159.1,267540.0,13218.824,20.1699,2.8629,0.9
2011-03-31,167.4,1319725.0,13908.4295,21.2221,3.0122,1.0
2011-04-30,228.47,2829450.0,18982.4306,28.9642,4.1111,1.0
2011-05-31,221.4,671405.0,18395.0196,28.068,3.9839,1.0
2011-06-30,238.26,663505.0,19795.8338,30.2054,4.2873,1.0
2011-07-31,263.53,7030010.0,21895.3908,33.409,4.742,1.0
2011-08-31,232.67,547335.0,19331.3876,29.4967,4.1867,1.0
2011-09-30,233.43,908570.0,19394.5322,29.5931,4.2004,1.0
2011-10-31,259.36,465810.0,21548.9274,32.8803,4.667,1.0
2011-11-30,229.94,274035.0,19104.5645,29.1506,4.1376,1.0
2011-12-31,208.84,475625.0,17351.471,26.4757,3.7579,1.0
2012-01-31,236.94,653225.0,19686.1595,30.038,4.2635,1.0
2012-02-29,295.8,579400.0,24576.5439,37.5,5.3227,1.0
2012-03-31,337.35,1081500.0,28029.2308,42.7675,6.0703,2.0
2012-04-30,309.68,619840.0,25730.2274,39.2596,5.5724,2.0
2012-05-31,302.8,361985.0,25158.5923,38.3874,5.4486,2.0
2012-06-30,287.67,451965.0,23901.4935,36.4693,5.1764,2.0
2012-07-31,290.16,1985760.0,24108.3799,36.785,5.2212,2.0
2012-08-31,319.61,275490.0,26555.2774,40.5185,5.7511,2.0
2012-09-30,354.85,823985.0,29483.2446,44.9861,6.3852,2.0
2012-10-31,346.48,519920.0,28787.8106,43.9249,6.2346,2.0
2012-11-30,337.48,573390.0,28040.0321,42.784,6.0727,2.0
2012-12-31,339.99,378780.0,28248.5782,17.7466,3.2119,2.0
2013-01-31,306.94,336085.0,25502.5693,16.0215,2.8997,2.0
2013-02-28,304.07,1718235.0,25264.1121,15.8717,2.8725,2.0
2013-03-31,294.02,286020.0,24429.0928,15.3471,2.7776,1.0
2013-04-30,272.2,295550.0,22616.1453,14.2082,2.5715,1.0
2013-05-31,288.06,924910.0,23933.8983,15.036,2.7213,1.0
2013-06-30,285.01,640340.0,23680.441,14.8768,2.6925,1.0
2013-07-31,250.58,228615.0,20819.777,13.0797,2.3672,1.0
2013-08-31,240.0,549855.0,19940.7234,12.5274,2.2673,1.0
2013-09-30,250.92,140405.0,20848.0263,13.0974,2.3704,1.0
2013-10-31,269.73,340715.0,22410.8805,14.0792,2.5481,1.0
2013-11-30,298.7,996960.0,24817.892,15.5914,2.8218,1.0
2013-12-31,326.65,992870.0,27140.1554,22.2756,2.7427,1.0
2014-01-31,311.12,460885.0,25849.8245,21.2166,2.6123,1.0
2014-02-28,346.6,1270420.0,28797.7281,23.6361,2.9102,1.0
2014-03-31,375.92,1281755.0,31233.8198,25.6356,3.1564,1.2
2014-04-30,424.21,846505.0,35246.0605,28.9287,3.5618,1.2
2014-05-31,468.45,1277110.0,38921.7995,31.9456,3.9333,1.2
2014-06-30,499.93,950425.0,41537.3557,34.0923,4.1976,1.2
2014-07-31,534.5,920415.0,44409.6528,36.4498,4.4879,1.2
2014-08-31,569.5,898715.0,47317.6749,38.8366,4.7817,1.2
2014-09-30,580.22,669365.0,48208.3627,39.5677,4.8717,1.2
2014-10-31,624.97,578665.0,51926.4767,42.6193,5.2475,1.2
2014-11-30,680.11,1030555.0,56507.8569,46.3796,5.7105,1.2
2014-12-31,716.23,753880.0,59508.9327,38.9255,5.3733,1.2
2015-01-31,763.91,303625.0,63470.4928,41.5168,5.731,1.2
2015-02-28,798.85,669655.0,66372.4546,43.4158,5.9931,1.2
2015-03-31,834.65,770965.0,69348.02,45.3614,6.2617,1.5
2015-04-30,797.08,422320.0,66226.4639,43.3196,5.9799,1.5
2015-05-31,819.8,1109595.0,68114.1877,44.5543,6.1503,1.5
2015-06-30,823.72,484700.0,68439.8883,44.7674,6.1797,1.5
2015-07-31,947.23,857460.0,78701.8789,51.4799,7.1063,1.5
2015-08-31,837.09,690165.0,69550.7538,45.494,6.28,1.5
2015-09-30,806.99,1126210.0,67049.8506,43.8582,6.0542,1.5
2015-10-31,829.61,1170660.0,68929.2617,45.0875,6.2239,1.5
2015-11-30,796.62,6773060.0,66188.2483,43.2946,5.9764,1.5
2015-12-31,880.26,373200.0,73137.5852,37.0355,5.6729,1.5
2016-01-31,792.84,685855.0,65874.1788,33.3575,5.1095,1.5
2016-02-29,760.39,192635.0,63178.0268,31.9922,4.9004,1.5
2016-03-31,759.56,666815.0,63109.0672,31.9573,4.8951,1.5
2016-04-30,793.43,428915.0,65923.1987,33.3823,5.1133,2.0
2016-05-31,790.0,523005.0,65638.2146,33.238,5.0912,2.0
2016-06-30,824.88,662715.0,68536.2643,34.7055,5.316,2.0
2016-07-31,815.27,495845.0,67737.8087,34.3012,5.2541,2.0
2016-08-31,815.8,621925.0,67781.8424,34.3235,5.2575,2.0
2016-09-30,818.27,176655.0,67987.0677,34.4274,5.2734,2.0
2016-10-31,894.17,921725.0,74293.3215,37.6208,5.7626,2.0
2016-11-30,806.66,620440.0,67022.4342,33.9389,5.1986,2.0
2016-12-31,772.31,504625.0,64168.4181,32.8922,4.3499,2.0
2017-01-31,793.21,617890.0,65904.9228,33.7824,4.4676,2.0
2017-02-28,844.5,231365.0,70166.4205,35.9668,4.7565,2.0
2017-03-31,915.81,510610.0,76091.3049,39.0038,5.1582,2.0
2017-04-30,969.64,337055.0,80563.8492,41.2964,5.4614,2.4
2017-05-31,900.78,607560.0,74842.5202,38.3637,5.0735,2.4
2017-06-30,889.61,404240.0,73914.4457,37.888,5.0106,2.4
2017-07-31,908.01,424765.0,75443.2345,38.6716,5.1142,2.4
2017-08-31,989.95,1014800.0,82251.3298,42.1614,5.5758,2.4
2017-09-30,977.99,1037445.0,81257.6171,41.652,5.5084,2.4
2017-10-31,1031.57,324690.0,85709.3836,43.934,5.8102,2.4
2017-11-30,1042.77,754895.0,86639.9532,44.411,5.8733,2.4
2017-12-31,1172.59,1269840.0,97426.2231,47.1677,4.1901,2.4
2018-01-31,1097.74,819015.0,91207.2098,44.1569,3.9226,2.4
2018-02-28,1089.48,440810.0,90520.9166,43.8246,3.8931,2.4
2018-03-31,1040.23,422080.0,86428.9139,41.8435,3.7171,2.4
2018-04-30,1073.68,1016265.0,89208.1523,43.1891,3.8366,3.4
2018-05-31,1066.3,1477835.0,88594.975,42.8922,3.8103,3.4
2018-06-30,1110.72,465040.0,92285.6707,44.679,3.969,3.4
2018-07-31,1052.13,528430.0,87417.6414,42.3222,3.7596,3.4
2018-08-31,1089.48,929610.0,90520.9166,43.8246,3.8931,3.4
2018-09-30,1075.18,1016160.0,89332.7818,43.2494,3.842,3.4
2018-10-31,1005.95,985475.0,83580.7138,40.4646,3.5946,3.4
2018-11-30,1055.74,836520.0,87717.5831,42.4674,3.7725,3.4
2018-12-31,1139.55,825410.0,94681.0501,42.4255,6.582,3.4
2019-01-31,1053.43,510870.0,87525.6537,39.2193,6.0845,3.4
2019-02-28,1079.9,552180.0,89724.9494,40.2048,6.2374,3.4
2019-03-31,1100.77,651915.0,91458.9615,40.9818,6.358,3.4
2019-04-30,1078.36,125760.0,168551.6256,40.1474,6.2285,6.0
2019-05-31,1029.89,604805.0,160975.5867,38.3429,5.9486,6.0
2019-06-30,977.63,373525.0,152807.1569,36.3972,5.6467,6.0
2019-07-31,836.03,1460140.0,130674.5572,31.1255,4.8289,6.0
2019-08-31,812.55,820635.0,127004.5471,30.2513,4.6932,6.0
2019-09-30,874.77,1280175.0,136729.7614,32.5678,5.0526,6.0
2019-10-31,859.73,1319965.0,134378.9542,32.0078,4.9657,6.0
2019-11-30,869.58,991675.0,135918.5454,32.3745,5.0226,6.0
2019-12-31,940.35,698735.0,146980.1561,39.9809,4.9619,6.0
2020-01-31,914.85,795595.0,142994.4125,38.8967,4.8274,6.0
2020-02-29,873.15,758325.0,136476.5495,37.1237,4.6073,6.0
2020-03-31,743.33,779525.0,116185.207,31.6042,3.9223,6.0
2020-04-30,688.86,948250.0,107671.3461,29.2883,3.6349,4.0
2020-05-31,639.39,1291610.0,99939.0036,27.1849,3.3739,4.0
2020-06-30,713.44,900745.0,111513.2903,30.3333,3.7646,7.0
2020-07-31,721.48,1088110.0,112769.9718,30.6752,3.807,7.0
2020-08-31,793.32,1497425.0,123998.8275,33.7296,4.1861,7.0
2020-09-30,708.26,2753255.0,110703.6373,30.1131,3.7373,7.0
2020-10-31,752.94,1087875.0,117687.2815,32.0128,3.973,7.0
2020-11-30,796.83,1508995.0,124547.4494,33.8788,4.2046,7.0
2020-12-31,907.25,2028900.0,141806.5001,48.7245,4.5157,7.0
2021-01-31,859.74,1776995.0,134380.5129,46.1729,4.2792,7.0
2021-02-28,1038.61,3571965.0,162338.5495,55.7793,5.1695,7.0
2021-03-31,1088.41,1845085.0,170122.472,58.4538,5.4174,7.0
2021-04-30,1046.68,1652235.0,163599.9201,56.2127,5.2097,7.6
2021-05-31,1057.65,1396150.0,165314.5713,56.8018,5.2643,7.6
2021-06-30,1126.88,1420275.0,176135.474,60.5199,5.6089,7.6
2021-07-31,1372.66,5252090.0,214551.7957,73.7197,6.8322,7.6
2021-08-31,1450.12,1476475.0,226659.0779,77.8797,7.2178,7.6
2021-09-30,1511.71,1257895.0,236285.821,81.1874,7.5243,7.6
2021-10-31,1480.35,3154315.0,231384.1379,79.5032,7.3682,7.6
2021-11-30,1558.76,2053960.0,243639.9086,83.7143,7.7585,7.6
2021-12-31,1756.88,2776510.0,274606.7917,43.6494,7.5159,7.6
2022-01-31,1791.6,2219290.0,280033.6552,44.512,7.6644,7.6
2022-02-28,1823.35,3383377.0,284996.2967,45.3008,7.8003,7.6
2022-03-31,1942.0,3180744.0,303541.7271,48.2487,8.3079,7.6
2022-04-30,2307.6,2820279.0,360686.3489,57.332,9.8719,16.0
2022-05-31,2300.6,1944827.0,359592.2232,57.158,9.8419,16.0
2022-06-30,2290.5,1678269.0,358013.5561,56.9071,9.7987,16.0
2022-07-31,2780.5,3477413.0,434602.3544,69.0811,11.895,16.0
2022-08-31,3040.55,2790154.0,475249.1238,75.542,13.0074,16.0
2022-09-30,3212.35,6868051.0,502102.0943,79.8103,13.7424,16.0
2022-10-31,2754.6,3643638.0,430554.0894,68.4376,11.7842,16.0
2022-11-30,2675.35,4105472.0,418167.0235,66.4687,11.4451,16.0
2022-12-31,2746.65,3155900.0,429311.4752,48.8293,10.0168,16.0
2023-01-31,2691.9,1458437.0,420753.8493,47.856,9.8172,16.0
2023-02-28,2981.85,2544075.0,466074.0984,53.0107,10.8746,16.0
2023-03-31,2867.55,2021347.0,448208.5889,50.9787,10.4577,16.0
2023-04-30,2774.65,3040332.0,433687.978,49.3271,10.1189,24.0
2023-05-31,2966.95,2149795.0,463745.1737,52.7458,10.8203,24.0
2023-06-30,3097.55,2628183.0,484158.433,55.0676,11.2965,24.0
2023-07-31,3120.8,1707758.0,487792.4933,55.4809,11.3813,24.0
2023-08-31,3052.3,1336799.0,477085.6919,54.2631,11.1315,24.0
2023-09-30,3314.9,3211827.0,518131.0357,58.9316,12.0892,24.0
2023-10-31,2817.4,1553666.0,440369.9599,50.0871,10.2749,24.0
2023-11-30,2838.1,3010334.0,443605.4458,50.4551,10.3503,24.0
2023-12-31,3203.0,1556240.0,500640.655,55.7043,10.4184,24.0
2024-01-31,3131.2,1308321.0,489418.0515,54.4557,10.1849,24.0
2024-02-29,2892.8,1606863.0,452155.2566,50.3096,9.4094,24.0
2024-03-31,2811.35,1115632.0,439424.3227,48.893,9.1445,24.0
2024-04-30,3689.85,2653834.0,576737.0967,64.1713,12.002,26.0
2024-05-31,4241.5,4628972.0,662962.0163,73.7652,13.7963,26.0
2024-06-30,4740.5,3905068.0,740957.5476,82.4435,15.4194,26.0
2024-07-31,4267.35,6050193.0,667002.4662,74.2148,13.8804,26.0
2024-08-31,3941.65,2575372.0,616094.3609,68.5504,12.821,26.0
2024-09-30,3913.7,1443246.0,611725.6733,68.0643,12.7301,26.0
2024-10-31,3435.9,2130388.0,537043.7798,59.7548,11.176,26.0
2024-11-30,3584.2,1593122.0,560223.614,62.3339,11.6583,26.0
2024-12-31,3405.8,1283506.0,532339.0393,56.7006,9.9793,26.0
2025-01-31,3425.8,1282854.0,535465.1127,57.0335,10.0379,26.0
2025-02-28,3061.25,901135.0,478484.6098,50.9644,8.9697,26.0
2025-03-31,3376.4,1798197.0,527743.7114,56.2111,9.8932,26.0
2025-04-30,3472.9,2520906.0,542827.0155,57.8177,10.1759,28.0
2025-05-31,4188.7,2359790.0,654709.1825,69.7345,12.2733,28.0
2025-06-30,4047.3,1405145.0,632607.8436,67.3804,11.859,28.0
2025-07-31,4121.7,2400213.0,644236.8366,68.6191,12.077,28.0
2025-08-31,3867.4,929584.0,604488.8134,64.3854,11.3318,28.0
2025-09-30,4208.8,1286705.0,657850.8863,70.0691,12.3322,28.0
2025-10-31,4021.4,1192905.0,628559.5785,66.9492,11.7831,28.0
2025-11-30,3899.4,2125556.0,609490.5308,64.9181,11.4256,28.0
2025-12-31,3879.0,1321589.0,606301.9359,52.7038,10.0249,28.0
2026-01-31,3622.1,1159488.0,566147.5231,49.2133,9.361,28.0
2026-02-28,4357.2,3020136.0,681046.3509,59.2011,11.2608,28.0
2026-03-31,4317.1,358782.0,674778.589,58.6563,11.1571,28.0
