TEJASNET IN Equity,price,volume,mc,pe,bm,div
2020-02-29,46.35,4409735.0,4271.469,,0.3664,1.0
2020-03-31,31.9,2531106.0,2941.4305,,0.2721,1.0
2020-04-30,37.45,2106569.0,3453.2958,,0.3195,1.0
2020-05-31,33.05,3730852.0,3048.0085,,0.2819,1.0
2020-06-30,47.9,7399520.0,4421.5137,,0.4119,1.0
2020-07-31,57.7,9107047.0,5327.7337,,0.4961,1.0
2020-08-31,60.75,5938547.0,5609.8351,,0.5223,1.0
2020-09-30,72.9,26517771.0,6732.8253,,0.6458,0.0
2020-10-31,89.85,17082060.0,8315.7073,,0.796,0.0
2020-11-30,102.85,17101627.0,9529.9782,,0.9111,0.0
2020-12-31,137.15,24017136.0,12718.2809,,1.2043,0.0
2021-01-31,140.15,13938606.0,13006.1929,,1.2306,0.0
2021-02-28,193.0,22214946.0,17919.8981,,1.6947,0.0
2021-03-31,158.95,9368177.0,14790.1074,39.4417,1.3067,0.0
2021-04-30,187.75,9570693.0,17505.8746,46.5881,1.5435,0.0
2021-05-31,172.7,8766089.0,16109.2102,42.8536,1.4197,0.0
2021-06-30,180.1,7731654.0,16828.4015,30.5254,1.467,0.0
2021-07-31,256.55,23210072.0,23971.8283,43.4831,2.0898,0.0
2021-08-31,367.2,12735549.0,34310.8764,62.2373,2.9911,0.0
2021-09-30,492.9,12801475.0,46056.1846,85.2768,2.8981,0.0
2021-10-31,430.65,13364580.0,40239.5941,74.5069,2.5321,0.0
2021-11-30,457.05,9423698.0,52079.1834,79.0744,2.6874,0.0
2021-12-31,418.95,7336459.0,47759.6397,173.1198,2.4915,0.0
2022-01-31,410.8,11271976.0,46874.6269,169.7521,2.443,0.0
2022-02-28,407.4,6790827.0,46490.1984,168.3471,2.4228,0.0
2022-03-31,426.75,6654817.0,48823.2133,167.9545,3.2561,0.0
2022-04-30,470.3,22717268.0,53872.8217,,3.5884,0.0
2022-05-31,428.3,8134557.0,64862.3362,,3.2679,0.0
2022-06-30,450.9,7677157.0,68309.495,,2.644,0.0
2022-07-31,469.55,9310446.0,71148.1027,,2.7534,0.0
2022-08-31,615.65,30845181.0,93301.9656,,3.6101,0.0
2022-09-30,673.95,33101430.0,102514.4415,,3.9544,0.0
2022-10-31,686.2,21643233.0,104377.7873,,4.0262,0.0
2022-11-30,656.35,14370158.0,99887.9197,,3.8511,0.0
2022-12-31,578.35,10672453.0,88362.6102,,3.3362,0.0
2023-01-31,566.65,7829884.0,86575.0377,,,0.0
2023-02-28,559.25,17832407.0,94132.3331,,,0.0
2023-03-31,580.8,10264690.0,97789.7914,,3.9287,0.0
2023-04-30,658.7,15635029.0,110905.8809,,4.4556,0.0
2023-05-31,696.95,13604619.0,117908.9465,,4.7144,0.0
2023-06-30,724.2,11839480.0,122583.5749,,4.1149,0.0
2023-07-31,819.2,39426343.0,138912.0373,,4.6547,0.0
2023-08-31,871.1,17411438.0,147760.5884,,4.9495,0.0
2023-09-30,875.35,15245201.0,148546.1037,,5.0351,0.0
2023-10-31,857.05,10840101.0,145459.5553,,4.9298,0.0
2023-11-30,797.25,4480328.0,135470.4556,,4.5858,0.0
2023-12-31,869.7,10545747.0,147831.2051,,5.0583,0.0
2024-01-31,785.45,8949759.0,133588.4296,,4.5683,0.0
2024-02-29,746.7,9181609.0,127133.198,,4.3429,0.0
2024-03-31,656.4,6766804.0,112037.7869,184.9954,4.2399,0.0
2024-04-30,1144.35,42175006.0,195349.7685,322.5159,7.3917,0.0
2024-05-31,1114.4,15530723.0,190344.0456,314.075,7.1983,0.0
2024-06-30,1413.1,26325874.0,241498.8804,146.4626,9.2507,0.0
2024-07-31,1240.45,14059387.0,212162.3889,128.5681,,0.0
2024-08-31,1318.15,11181900.0,225451.9352,136.6214,,0.0
2024-09-30,1196.85,5929678.0,204906.0568,45.2526,5.6148,0.0
2024-10-31,1341.85,37507040.0,229806.0079,50.735,6.2951,0.0
2024-11-30,1319.95,32270326.0,226055.4013,49.907,6.1923,0.0
2024-12-31,1185.7,18951892.0,203063.6685,30.9639,5.5142,0.0
2025-01-31,916.15,31852244.0,160973.9671,23.9248,,0.0
2025-02-28,710.7,20530966.0,124909.1659,18.5596,,0.0
2025-03-31,760.45,54913683.0,133884.5122,29.5019,4.1331,0.0
2025-04-30,702.3,92812374.0,123831.2496,27.2459,3.8171,0.0
2025-05-31,717.95,53874878.0,126609.692,27.8531,3.9021,0.0
2025-06-30,714.6,27703539.0,126212.9235,69.742,3.9048,2.5
2025-07-31,583.55,27571045.0,103108.0809,56.952,,2.5
2025-08-31,583.55,22818604.0,103133.4747,56.952,,2.5
2025-09-30,585.4,19141691.0,103524.0661,57.9573,3.1752,2.5
2025-10-31,533.5,16722097.0,94361.4323,,2.8937,2.5
2025-11-30,494.2,29515268.0,87553.5607,,2.6805,2.5
2025-12-31,449.65,29302247.0,79789.924,,2.4486,2.5
2026-01-31,340.8,111037473.0,60506.5743,,,2.5
2026-02-28,435.85,243643841.0,77408.9619,,,2.5
2026-03-31,491.0,352783615.0,87203.8552,,,2.5
