JPVL IN Equity,price,volume,mc,pe,bm,div
2011-08-31,33.1,21460918.0,86879.4594,40.3659,1.3427,0.0
2011-09-30,34.05,12206346.0,89372.9786,41.5244,1.3812,0.0
2011-10-31,38.55,11885586.0,101184.3854,47.0122,1.5637,0.0
2011-11-30,33.9,43014198.0,88979.265,41.3415,1.3751,0.0
2011-12-31,35.05,17701692.0,91997.7357,42.7439,1.4218,0.0
2012-01-31,44.05,67621968.0,115620.5494,53.7195,1.7868,0.0
2012-02-29,43.95,66424749.0,115358.0737,53.5976,1.7828,0.0
2012-03-31,40.75,39331659.0,106958.851,26.634,1.9594,0.0
2012-04-30,40.5,18947231.0,106302.6617,26.4706,1.9474,0.0
2012-05-31,35.75,12617341.0,93835.0656,23.366,1.719,0.0
2012-06-30,34.85,13880452.0,91472.7842,22.7778,1.6757,0.0
2012-07-31,31.75,21806646.0,83336.0373,20.7516,1.5266,0.0
2012-08-31,25.55,19884052.0,67062.5434,16.6993,1.2285,0.0
2012-09-30,35.25,36876736.0,92522.6871,23.0392,1.6949,0.0
2012-10-31,38.35,48454913.0,100659.434,25.0654,1.844,0.0
2012-11-30,38.6,25638298.0,101315.6233,25.2288,1.856,0.0
2012-12-31,37.5,164406311.0,98428.3905,24.5098,1.8031,0.0
2013-01-31,34.95,84181185.0,91735.2599,22.8431,1.6805,0.0
2013-02-28,28.75,68866669.0,84467.5912,18.7908,1.3824,0.0
2013-03-31,26.1,71214911.0,76681.8828,19.7727,1.187,0.0
2013-04-30,25.55,47548866.0,75065.9811,19.3561,1.162,0.0
2013-05-31,23.15,68460441.0,68014.7735,17.5379,1.0528,0.0
2013-06-30,19.0,92243297.0,55822.0603,14.3939,0.8641,0.0
2013-07-31,10.05,150614510.0,29526.9319,7.6136,0.4571,0.0
2013-08-31,12.95,350322047.0,38047.1411,9.8106,0.5889,0.0
2013-09-30,15.3,153682925.0,44951.4486,11.5909,0.6958,0.0
2013-10-31,18.55,157814678.0,54499.9589,14.053,0.8436,0.0
2013-11-30,18.55,83306563.0,54499.9589,14.053,0.8436,0.0
2013-12-31,18.9,129438474.0,55528.26,14.3182,0.8595,0.0
2014-01-31,12.95,104822786.0,38047.1411,9.8106,0.5889,0.0
2014-02-28,16.55,139511718.0,48623.9525,12.5379,0.7527,0.0
2014-03-31,14.15,280459210.0,41572.7449,10.7955,0.6657,0.0
2014-04-30,14.85,195364399.0,43629.3471,,0.6986,0.0
2014-05-31,22.7,481635497.0,66692.672,,1.0679,0.0
2014-06-30,23.95,430173929.0,70365.176,,1.1267,0.0
2014-07-31,18.95,478405360.0,55675.1601,,0.8915,0.0
2014-08-31,14.15,253828339.0,41572.7449,,0.6657,0.0
2014-09-30,12.45,353961205.0,36578.1395,,0.5857,0.0
2014-10-31,13.3,128483180.0,39075.4422,,0.6257,0.0
2014-11-30,13.25,266691500.0,38928.5421,,0.6233,0.0
2014-12-31,12.05,161130597.0,35402.9382,,0.5669,0.0
2015-01-31,12.05,165198395.0,35402.9382,,0.5669,0.0
2015-02-28,11.8,330231208.0,34668.4346,,0.5551,0.0
2015-03-31,10.25,169785336.0,30114.5325,,0.4275,0.0
2015-04-30,8.6,176148394.0,25266.8273,,0.3587,0.0
2015-05-31,7.35,146833834.0,21594.3233,,0.3066,0.0
2015-06-30,6.7,203019584.0,19684.6213,,0.2795,0.0
2015-07-31,6.3,174124659.0,18509.42,,0.2628,0.0
2015-08-31,5.95,245812896.0,17481.1189,,0.2482,0.0
2015-09-30,7.0,153662897.0,20566.0222,,0.292,0.0
2015-10-31,6.95,62901498.0,20419.1221,,0.2899,0.0
2015-11-30,6.85,64083173.0,20125.3217,,0.2857,0.0
2015-12-31,7.05,52195189.0,20712.9224,,0.2941,0.0
2016-01-31,6.0,58298513.0,17628.019,,0.2503,0.0
2016-02-29,4.35,46048561.0,12780.3138,,0.1814,0.0
2016-03-31,4.65,42587292.0,13661.7148,,0.1697,0.0
2016-04-30,4.6,33317901.0,13514.8146,,0.1679,0.0
2016-05-31,3.85,30281923.0,11311.3122,,0.1405,0.0
2016-06-30,4.95,73185569.0,14543.1157,,0.1807,0.0
2016-07-31,6.05,121448210.0,17774.9192,,0.2208,0.0
2016-08-31,4.95,45374550.0,14543.1157,,0.1807,0.0
