PI IN Equity,price,volume,mc,pe,bm,div
2012-03-31,105.68,500455.0,13235.575,12.7362,4.0669,0.8
2012-04-30,107.0,448510.0,13400.8945,12.8953,4.1177,0.8
2012-05-31,95.99,388765.0,12021.98,11.5684,3.694,0.8
2012-06-30,99.19,599100.0,12422.7544,11.9541,3.8172,0.8
2012-07-31,99.89,577415.0,12510.4238,12.0384,3.8441,0.4
2012-08-31,106.8,488895.0,13439.2848,12.8712,4.11,0.4
2012-09-30,108.37,1430565.0,13636.8474,13.0604,4.1704,1.2
2012-10-31,100.0,7870185.0,12583.6,12.0517,3.8483,1.2
2012-11-30,105.91,1304255.0,13327.2908,12.7639,4.0758,1.2
2012-12-31,111.05,4456520.0,13974.0878,13.3834,4.2736,1.2
2013-01-31,123.16,1533050.0,15497.9618,14.8429,4.7396,0.6
2013-02-28,124.2,2401545.0,16824.0082,14.9682,4.7796,0.6
2013-03-31,126.77,605055.0,17172.1379,16.5712,3.2296,0.6
2013-04-30,132.1,1477125.0,17894.1601,17.268,3.3653,0.6
2013-05-31,124.0,2701773.0,16796.9406,16.2092,3.159,0.6
2013-06-30,128.9,1120119.0,17460.6847,16.8497,3.2838,0.6
2013-07-31,127.0,921906.0,17203.3123,16.6013,3.2354,0.6
2013-08-31,128.4,1682682.0,17476.4065,16.7843,3.2711,2.1
2013-09-30,152.1,885394.0,20702.1918,19.8824,3.8749,1.5
2013-10-31,207.9,4929930.0,28297.0788,27.1765,5.2964,1.5
2013-11-30,229.7,3331245.0,31264.2568,30.0261,5.8518,1.5
2013-12-31,247.75,3353850.0,33721.0258,32.3856,6.3116,1.5
2014-01-31,236.9,1475302.0,32244.2423,30.9673,6.0352,1.5
2014-02-28,254.9,3264334.0,34694.2058,33.3203,6.4938,2.0
2014-03-31,278.35,4771524.0,37885.9638,20.112,5.4551,2.0
2014-04-30,249.95,2272359.0,34020.4658,18.06,4.8985,2.0
2014-05-31,296.15,4276025.0,40308.7055,21.3981,5.8039,2.0
2014-06-30,334.65,2389079.0,45548.9053,24.1799,6.5584,2.0
2014-07-31,397.65,2479371.0,54123.7777,28.7319,7.7931,2.0
2014-08-31,453.2,3801123.0,61684.6374,32.7457,8.8818,0.5
2014-09-30,451.9,3502028.0,61507.6955,32.6517,8.8563,1.5
2014-10-31,446.2,5288116.0,60940.2947,32.2399,8.7446,1.5
2014-11-30,445.15,2259491.0,60796.8897,32.164,8.724,2.7
2014-12-31,516.5,3624239.0,70541.6007,37.3194,10.1223,2.7
2015-01-31,500.95,1995159.0,68417.8409,36.1958,9.8176,2.7
2015-02-28,608.3,4851732.0,83079.1833,43.9523,11.9214,2.2
2015-03-31,606.2,3578587.0,82792.4846,33.6217,9.2355,2.2
2015-04-30,658.25,4286577.0,89901.2752,36.5086,10.0285,2.2
2015-05-31,682.05,2517682.0,93151.7884,37.8286,10.3911,2.2
2015-06-30,644.45,8195528.0,88016.5238,35.7432,9.8183,2.2
2015-07-31,656.05,4337611.0,89600.8076,36.3866,9.995,2.2
2015-08-31,720.25,7660143.0,98368.9988,39.9473,10.9731,2.2
2015-09-30,637.0,2153144.0,86999.0312,35.33,9.7048,2.6
2015-10-31,668.4,1605669.0,91655.8391,37.0715,10.1832,2.6
2015-11-30,638.85,947745.0,87603.7295,35.4326,9.733,2.5
2015-12-31,649.05,19644291.0,89002.4272,35.9983,9.8884,2.5
2016-01-31,650.65,2622837.0,89221.8308,36.0871,9.9128,2.5
2016-02-29,577.05,4450125.0,79129.2668,32.005,8.7914,2.5
2016-03-31,568.45,3393929.0,77949.9726,24.9649,6.6794,4.4
2016-04-30,642.25,3756569.0,88069.962,28.206,7.5466,4.4
2016-05-31,676.05,3098193.0,92704.8623,29.6904,7.9438,4.4
2016-06-30,722.7,3488811.0,99101.8475,31.7391,8.4919,4.4
2016-07-31,755.05,3885863.0,103537.9133,33.1599,8.872,4.4
2016-08-31,806.95,1476113.0,110654.8165,35.4392,9.4819,4.4
2016-09-30,831.4,1825298.0,114007.5772,36.513,9.7692,3.1
2016-10-31,865.05,1927906.0,118621.9084,37.9908,10.1646,3.1
2016-11-30,869.9,3024597.0,119286.9754,38.2038,10.2216,3.4
2016-12-31,831.1,2172385.0,114348.2433,36.4998,9.7656,3.4
2017-01-31,870.75,10139664.0,119803.553,38.2411,10.2315,3.4
2017-02-28,849.4,2038494.0,116866.0785,37.3035,9.9807,3.4
2017-03-31,838.15,3344360.0,115318.229,25.0493,7.087,1.5
2017-04-30,870.1,1652997.0,119714.1217,26.0042,7.3572,1.5
2017-05-31,818.85,4920618.0,112662.8072,24.4725,6.9238,1.5
2017-06-30,837.5,4217455.0,115228.7977,25.0299,7.0815,1.5
2017-07-31,765.75,3464005.0,105356.9574,22.8855,6.4748,1.5
2017-08-31,721.7,7764604.0,99296.2666,21.569,6.1024,4.0
2017-09-30,740.5,3078743.0,101882.8952,22.1309,6.2613,4.0
2017-10-31,820.8,11782859.0,112931.1011,24.5308,6.9403,4.0
2017-11-30,952.35,5018197.0,131336.0286,28.4623,8.0526,4.0
2017-12-31,962.5,3544812.0,132735.7878,28.7657,8.1385,4.0
2018-01-31,890.85,2757067.0,122854.7289,26.6243,7.5326,4.0
2018-02-28,872.6,2498464.0,120337.9257,26.0789,7.3783,4.0
2018-03-31,885.2,2161256.0,122075.5579,33.1287,6.3422,4.0
2018-04-30,867.8,3465566.0,119675.9706,32.4775,6.2176,4.0
2018-05-31,846.95,3037647.0,116800.603,31.6972,6.0682,4.0
2018-06-30,753.05,2392511.0,103851.1058,28.183,5.3954,4.0
2018-07-31,806.4,2275431.0,111208.4612,30.1796,5.7777,5.0
2018-08-31,771.6,5715789.0,106409.2866,28.8772,5.5283,5.0
2018-09-30,711.9,4750782.0,98176.2197,26.643,5.1006,5.0
2018-10-31,775.8,2329483.0,106988.4973,29.0344,5.5584,5.0
2018-11-30,821.95,2109090.0,113352.92,30.7616,5.8891,5.0
2018-12-31,862.45,2258376.0,119044.535,32.2773,6.1792,5.0
2019-01-31,852.5,1451131.0,117671.13,31.9049,6.108,5.0
2019-02-28,922.3,2882287.0,127305.6694,34.5172,6.6081,5.0
2019-03-31,1031.95,4134534.0,142440.7303,34.6991,6.2326,5.0
2019-04-30,1044.15,3093948.0,144124.7042,35.1093,6.3063,5.0
2019-05-31,1137.4,2826824.0,156996.0624,38.2448,6.8695,5.0
2019-06-30,1173.15,3612731.0,161930.6582,39.4469,7.0854,5.0
2019-07-31,1099.65,3422016.0,151785.4054,36.9755,6.6415,5.0
2019-08-31,1141.4,3377375.0,157548.1851,38.3793,6.8937,4.0
2019-09-30,1307.05,3793163.0,180412.9624,43.9492,7.8942,4.0
2019-10-31,1428.5,3573214.0,197176.785,48.033,8.6277,4.0
2019-11-30,1481.85,2393473.0,204655.3294,49.8268,8.9499,4.0
2019-12-31,1445.9,2045847.0,199690.3471,48.618,8.7328,4.0
2020-01-31,1556.85,4259181.0,215013.4289,52.3487,9.4029,1.5
2020-02-29,1531.25,4402647.0,211477.8643,51.4879,9.2482,4.5
2020-03-31,1170.05,4717028.0,161593.2572,35.3703,6.1698,4.5
2020-04-30,1589.55,3642893.0,219529.5603,48.0517,8.3819,4.5
2020-05-31,1539.2,3363616.0,212575.8228,46.5296,8.1164,4.5
2020-06-30,1503.95,5856964.0,207707.5161,45.464,7.9305,4.5
2020-07-31,1760.55,5432578.0,267099.088,53.221,9.2836,4.5
2020-08-31,1838.5,7395336.0,278925.1502,55.5774,9.6946,4.5
2020-09-30,1971.5,8196485.0,299103.0371,59.5979,10.3959,4.0
2020-10-31,2197.2,6355446.0,333344.7704,66.4208,11.5861,4.0
2020-11-30,2208.4,19117188.0,335043.9609,66.7594,11.6451,4.0
2020-12-31,2195.05,8651155.0,333018.5865,66.3558,11.5747,4.0
2021-01-31,2018.7,7571205.0,306263.9213,61.0248,10.6448,4.0
2021-02-28,2177.1,9382311.0,330295.3302,65.8132,11.4801,4.0
2021-03-31,2258.15,6129304.0,342591.7045,45.2354,6.4129,4.0
2021-04-30,2511.65,9301440.0,381062.8035,50.3135,7.1328,4.0
2021-05-31,2614.95,11098611.0,396735.2848,52.3828,7.4262,4.0
2021-06-30,2910.4,6527074.0,441560.4019,58.3013,8.2652,4.0
2021-07-31,2950.2,9078332.0,447598.7917,59.0986,8.3782,4.0
2021-08-31,3394.0,10927038.0,514931.2925,67.9888,9.6386,4.0
2021-09-30,3178.35,7520037.0,482213.2803,63.6689,9.0262,5.0
2021-10-31,2999.95,7755717.0,455146.7681,60.0952,8.5195,5.0
2021-11-30,2869.5,9335446.0,435355.1396,57.482,8.1491,5.0
2021-12-31,3034.2,5868442.0,460343.1136,60.7812,8.6168,5.0
2022-01-31,2433.5,8555418.0,369206.0402,48.748,6.9109,5.0
2022-02-28,2468.35,7118336.0,374493.4166,49.4461,7.0098,5.0
2022-03-31,2819.65,5344121.0,427791.9914,50.6676,6.9896,5.0
2022-04-30,2847.95,3697948.0,432085.6142,51.1761,7.0598,5.0
2022-05-31,2758.35,6130254.0,418491.6708,49.566,6.8377,5.0
2022-06-30,2559.5,4626463.0,388322.523,45.9928,6.3447,5.0
2022-07-31,3089.9,4316686.0,468793.8128,55.5238,7.6595,5.0
2022-08-31,3436.2,6301269.0,521333.7971,61.7466,8.518,6.0
2022-09-30,2998.35,6312876.0,454904.0191,53.8787,7.4326,6.0
2022-10-31,3241.95,4765372.0,491862.5527,58.2561,8.0364,6.0
2022-11-30,3492.95,10919728.0,529943.8003,62.7664,8.6586,6.0
2022-12-31,3419.9,6183824.0,518860.7917,61.4537,8.4776,6.0
2023-01-31,2997.35,4860264.0,454752.301,53.8607,7.4301,6.0
2023-02-28,3099.55,11294575.0,470257.8926,55.6972,7.6835,7.5
2023-03-31,3030.2,5196557.0,459736.2412,37.3822,6.3866,7.5
2023-04-30,3384.5,8929825.0,513489.9704,41.753,7.1333,7.5
2023-05-31,3616.8,8924201.0,548734.0892,44.6188,7.6229,7.5
2023-06-30,3921.75,6505424.0,595000.5293,48.3808,8.2656,7.5
2023-07-31,3615.7,6069591.0,548567.1993,44.6052,7.6206,7.5
2023-08-31,3628.3,7265420.0,550478.8475,44.7607,7.6471,10.0
2023-09-30,3453.0,5679654.0,523882.6615,42.5981,7.2777,10.0
2023-10-31,3401.25,3359804.0,516031.2488,41.9597,7.1686,10.0
2023-11-30,3770.9,7306435.0,572113.8512,46.5199,7.9477,10.0
