HUVR IN Equity,price,volume,mc,pe,bm,div
1999-02-28,191.83,30448460.0,427830.197,,,1.91
1999-03-31,222.89,24660480.0,497104.2166,,,2.2
1999-04-30,202.02,14345120.0,450555.5885,,,2.2
1999-05-31,226.02,18575230.0,504086.5245,,,2.2
1999-06-30,234.31,15580830.0,522574.2206,,,2.2
1999-07-31,268.86,24707120.0,599642.9397,,,2.2
1999-08-31,262.37,13094330.0,585151.3857,,,2.4
1999-09-30,252.11,12171080.0,562272.3095,,,2.4
1999-10-31,226.54,20879140.0,505250.2539,,,2.4
1999-11-30,224.94,11779600.0,501693.1812,,,2.4
1999-12-31,221.51,15427470.0,494030.2505,,,2.4
2000-01-31,240.07,22186730.0,535419.0071,,,2.4
2000-02-29,285.5,26537740.0,636750.1007,,,2.4
2000-03-31,240.21,23105140.0,535748.3606,,,2.9
2000-04-30,235.77,22674620.0,527020.4547,,,2.9
2000-05-31,252.52,26010950.0,564451.3497,,,2.9
2000-06-30,279.23,34411620.0,624164.3884,,,2.9
2000-07-31,238.34,29103860.0,531577.776,,,2.9
2000-08-31,234.85,21977267.0,523783.0586,,,2.9
2000-09-30,205.41,27536675.0,458131.776,,,3.2
2000-10-31,174.99,38697286.0,390284.7984,,,3.2
2000-11-30,189.81,31090525.0,423330.0092,,,3.2
2000-12-31,203.15,42197531.0,453081.6774,,,3.2
2001-01-31,203.74,52557584.0,454399.0944,,,3.2
2001-02-28,225.84,78059304.0,503692.4487,,,3.2
2001-03-31,215.36,29169608.0,480308.2962,,,3.5
2001-04-30,207.48,18310495.0,462742.7357,,,3.5
2001-05-31,194.68,13678346.0,435167.6555,,,3.5
2001-06-30,202.16,17282476.0,451892.1772,,,3.5
2001-07-31,217.77,17228514.0,486771.6075,,,4.5
2001-08-31,215.45,9231387.0,481600.2093,,,4.5
2001-09-30,204.77,22694481.0,457723.7539,,,4.5
2001-10-31,212.01,25960383.0,473898.1269,,,4.5
