SUNP IN Equity,price,volume,mc,pe,bm,div
2008-12-31,106.42,82718200.0,219189.3582,10.2028,,1.05
2009-01-31,107.44,70443270.0,221310.8981,10.3015,,1.05
2009-02-28,101.75,80268870.0,209580.5779,9.7555,,1.05
2009-03-31,111.14,70214540.0,228932.01,12.6632,3.2676,1.05
2009-04-30,127.84,67859520.0,263319.7157,14.5653,3.7584,1.05
2009-05-31,121.38,85822720.0,250003.3675,13.8287,3.5684,1.05
2009-06-30,109.06,129081580.0,224627.1374,15.2588,3.2345,1.05
2009-07-31,117.48,103046310.0,241970.3036,16.4369,,1.05
2009-08-31,119.06,61923270.0,245224.7372,16.658,,1.375
2009-09-30,140.77,62918170.0,289942.1135,20.5286,,1.375
2009-10-31,137.87,61253070.0,283968.8095,20.1057,,1.375
2009-11-30,145.18,47400060.0,299035.9667,21.1725,,1.375
2009-12-31,150.88,41955110.0,310776.5985,23.1162,,1.375
2010-01-31,147.31,39093000.0,303412.9566,22.5685,,1.375
2010-02-28,153.97,37296070.0,317141.2311,23.5896,,1.375
2010-03-31,179.2,40042070.0,369108.9883,27.4847,4.7408,1.375
2010-04-30,157.12,62232300.0,323629.9546,24.0982,4.1567,1.375
2010-05-31,166.42,57594790.0,342775.4648,25.5238,4.4026,1.375
2010-06-30,178.51,35878910.0,367688.2987,21.1254,4.6478,1.375
2010-07-31,176.86,46409770.0,364289.6897,20.9302,,1.375
2010-08-31,176.24,26825160.0,363012.6366,20.8568,,1.375
2010-09-30,202.05,68250260.0,416175.1204,23.2509,4.5863,1.375
2010-10-31,211.01,36249010.0,434620.3112,24.2814,4.7896,1.375
2010-11-30,223.78,31272634.0,460923.4518,25.7509,5.0794,1.375
2010-12-31,242.48,43347336.0,499441.0187,27.7114,5.4755,1.375
2011-01-31,220.43,40684084.0,454023.2459,25.1914,,1.375
2011-02-28,211.75,54749800.0,436165.0901,24.2,,1.375
2011-03-31,221.25,47064768.0,455733.2996,24.5833,4.8321,1.375
2011-04-30,232.88,28857250.0,479678.6085,25.875,5.086,1.375
2011-05-31,238.73,50812784.0,491728.5059,26.525,5.2138,1.375
2011-06-30,248.95,40423934.0,512790.2003,28.6809,5.4322,1.375
2011-07-31,259.1,30417270.0,533697.2922,29.8502,,1.375
2011-08-31,245.8,48796304.0,506301.7925,28.318,,1.375
2011-09-30,231.25,59374292.0,476331.5277,25.2732,4.3529,1.75
2011-10-31,252.23,34194040.0,519536.0847,27.5656,4.7478,1.75
2011-11-30,262.75,36778256.0,541215.6061,28.7158,4.9459,1.75
2011-12-31,248.83,36534712.0,512532.7238,23.2547,4.6739,1.75
2012-01-31,274.25,39606738.0,564903.4442,25.6308,,1.75
2012-02-29,275.2,43258404.0,566860.2656,25.7196,,1.75
2012-03-31,284.98,49020678.0,586994.928,22.798,4.8238,1.75
2012-04-30,301.55,28123032.0,621136.3121,24.124,5.1044,1.75
2012-05-31,283.48,33946862.0,583905.21,22.678,4.7984,1.75
2012-06-30,317.9,26541690.0,654814.2385,22.7885,5.2135,1.75
2012-07-31,326.8,33243396.0,673146.5654,23.4265,,1.75
2012-08-31,334.2,38027586.0,691113.606,23.957,,2.125
2012-09-30,347.78,39797786.0,719186.2188,27.6012,5.4309,2.125
2012-10-31,347.08,41907490.0,717738.6439,27.5456,5.42,2.125
2012-11-30,354.93,29114396.0,733972.1622,28.1687,5.5426,2.125
2012-12-31,368.13,33394666.0,761269.2885,27.068,5.7741,2.125
2013-01-31,359.0,35223938.0,742399.116,26.3971,,2.125
2013-02-28,401.08,45970078.0,829408.706,29.4908,,2.125
2013-03-31,409.48,39761614.0,846779.6045,28.1426,5.6578,2.125
2013-04-30,475.53,40005424.0,983368.7501,32.6821,6.5704,2.125
2013-05-31,522.05,60746496.0,1079580.792,35.8797,7.2133,2.125
2013-06-30,505.78,56104574.0,1045924.672,111.4327,6.7124,2.125
2013-07-31,565.3,46421595.0,1169020.25,124.5473,,2.125
2013-08-31,521.2,49423362.0,1079458.007,114.8312,,2.125
2013-09-30,593.3,41248655.0,1228784.557,61.874,7.5747,2.5
2013-10-31,608.8,37787700.0,1260886.631,63.4905,7.7726,2.5
2013-11-30,572.0,35069700.0,1184670.373,59.6527,7.3028,2.5
2013-12-31,567.45,39467622.0,1175246.859,44.5449,7.2708,2.5
2014-01-31,588.7,46404936.0,1219257.777,46.213,,2.5
2014-02-28,644.7,39867327.0,1335239.492,50.609,,2.5
2014-03-31,574.75,60977891.0,1190365.904,36.988,6.4259,2.5
2014-04-30,632.8,70533359.0,1310593.378,40.7238,7.075,2.5
2014-05-31,610.65,61011281.0,1264719.66,39.2983,6.8273,2.5
2014-06-30,687.95,51759519.0,1424816.0,24.8357,7.3886,2.5
2014-07-31,790.95,47436002.0,1638139.712,28.5542,,2.5
2014-08-31,855.25,35559517.0,1771311.699,30.8755,,2.5
2014-09-30,857.25,75120208.0,1775453.907,28.8636,8.0675,1.5
2014-10-31,845.4,37734356.0,1750911.325,28.4646,7.9559,1.5
2014-11-30,839.7,52521564.0,1739106.032,28.2727,7.9023,1.5
2014-12-31,826.55,45747057.0,1711871.014,34.5837,7.7207,1.5
2015-01-31,917.75,42203997.0,1900755.7,38.3996,,1.5
2015-02-28,911.0,39247073.0,1886775.748,38.1172,,1.5
2015-03-31,1023.9,59142830.0,2120603.39,51.4523,8.2715,1.5
2015-04-30,938.85,389088822.0,2258930.403,47.1784,7.5845,1.5
2015-05-31,966.1,88198855.0,2324787.802,48.5477,7.8046,1.5
2015-06-30,874.6,106936729.0,2104605.539,53.9877,6.8631,1.5
2015-07-31,822.4,105272647.0,1978993.363,50.7654,,1.5
2015-08-31,898.95,97783494.0,2163265.893,55.4907,,1.5
2015-09-30,868.4,73727019.0,2089749.265,72.9748,7.434,1.5
2015-10-31,889.55,45896280.0,2140645.392,74.7521,7.615,3.0
2015-11-30,729.65,97784998.0,1755856.231,61.3151,6.2462,3.0
2015-12-31,820.15,120406336.0,1973778.076,49.1108,6.9353,3.0
2016-01-31,872.95,61497252.0,2100846.883,52.2725,,3.0
2016-02-29,853.9,60048976.0,2055054.404,51.1317,,3.0
2016-03-31,820.0,82777432.0,1973468.335,43.3862,5.9832,3.0
2016-04-30,811.3,61877458.0,1952530.317,42.9259,5.9197,3.0
2016-05-31,762.75,76208078.0,1835705.919,40.3571,5.5655,3.0
2016-06-30,763.1,97493711.0,1836548.262,30.4024,5.6206,3.0
2016-07-31,829.95,70049653.0,1997435.762,33.0657,,3.0
2016-08-31,775.65,78747106.0,1866752.272,30.9024,,3.0
2016-09-30,742.7,50529889.0,1787451.702,24.6744,4.8708,1.0
2016-10-31,748.1,37834835.0,1800447.85,24.8538,4.9062,1.0
2016-11-30,709.8,147995542.0,1708271.466,23.5814,4.655,1.0
2016-12-31,630.0,125408955.0,1511502.583,21.1409,4.0313,1.0
2017-01-31,631.5,62326891.0,1515101.399,21.1913,,1.0
2017-02-28,679.0,84399476.0,1629063.895,22.7852,,1.0
2017-03-31,688.15,77699696.0,1651031.119,23.6478,4.5062,1.0
2017-04-30,641.95,53965783.0,1540186.626,22.0601,4.2037,1.0
2017-05-31,501.6,148519141.0,1203454.493,17.2371,3.2846,1.0
2017-06-30,555.7,134932873.0,1333261.19,29.5585,3.5158,1.0
2017-07-31,531.65,66581363.0,1275559.316,28.2793,,1.0
2017-08-31,481.15,137345901.0,1154397.376,25.5931,,1.0
2017-09-30,503.25,134001387.0,1207421.088,37.8383,3.2734,3.5
2017-10-31,552.9,91000577.0,1326543.705,41.5714,3.5963,3.5
2017-11-30,539.95,117545947.0,1295474.088,40.5977,3.5121,3.5
2017-12-31,571.15,104164852.0,1370331.414,65.6494,3.6971,3.5
2018-01-31,579.9,117540559.0,1391324.848,66.6552,,3.5
2018-02-28,535.35,204094494.0,1284445.634,61.5345,,3.5
2018-03-31,495.1,118617200.0,1187875.359,54.4342,3.1004,3.5
2018-04-30,528.4,66753096.0,1267770.833,58.0954,3.309,3.5
2018-05-31,480.35,155294356.0,1152486.241,52.8125,3.0081,3.5
2018-06-30,564.0,199898281.0,1353185.378,37.6367,3.5526,3.5
2018-07-31,568.5,94457173.0,1363982.07,37.937,,3.5
2018-08-31,652.85,186864168.0,1566360.177,43.5658,,3.5
2018-09-30,623.25,164658954.0,1495341.932,61.9202,3.6452,2.0
2018-10-31,580.25,105219721.0,1392173.536,57.6481,3.3937,2.0
