GDSP IN Equity,price,volume,mc,pe,bm,div
2000-06-30,3.22,1545437.0,2213.6729,,,0.8993
2000-07-31,3.29,1499182.0,2261.5361,,,0.8993
2000-08-31,3.5,2056044.0,2408.1172,,,0.8993
2000-09-30,3.35,714685.0,2306.4079,,,0.8993
2000-10-31,3.37,1579707.0,2318.3737,,,0.8993
2000-11-30,4.56,4663220.0,3138.031,,,0.8993
2000-12-31,5.62,7335650.0,3864.9533,,,0.8993
2001-01-31,5.73,4700293.0,3942.731,,,0.8993
2001-02-28,6.69,6409319.0,4606.8329,,,0.8993
2001-03-31,5.29,2724570.0,3637.6031,,,0.8993
2001-04-30,2.66,1333342.0,957.264,,,0.8993
2001-05-31,2.93,6378178.0,1052.9904,,,0.8993
2001-06-30,2.95,5097991.0,1058.9733,,,0.0
2001-07-31,2.02,2256346.0,723.9309,,,0.4996
2001-08-31,2.39,1125065.0,857.4125,,,0.4996
2001-09-30,2.14,1070632.0,767.7875,,,0.4996
2001-10-31,2.09,1368296.0,749.8625,,,0.4996
2001-11-30,2.21,1448364.0,794.675,,,0.4996
2001-12-31,2.16,1187803.0,776.75,,,0.4996
2002-01-31,2.07,522219.0,743.8875,,,0.4996
2002-02-28,2.6,3292852.0,932.1,,,0.4996
2002-03-31,2.71,1420429.0,970.9375,3.765,0.3613,0.4996
2002-04-30,2.7,1752273.0,967.95,3.7534,0.3602,0.4996
2002-05-31,2.81,1325602.0,1039.8169,3.904,0.3746,0.4996
2002-06-30,2.9,2102875.0,1073.7575,4.0314,0.3869,0.4996
2002-07-31,3.31,7207417.0,1228.033,4.6106,0.4425,0.4996
2002-08-31,3.31,,1228.033,4.6106,0.4425,0.4996
2002-09-30,3.31,,1228.033,4.6106,0.4425,0.0999
2002-10-31,3.31,,1228.033,4.6106,0.4425,0.0999
2002-11-30,3.31,,1228.033,4.6106,0.4425,0.0999
2002-12-31,3.31,,,4.6106,0.4425,0.0999
2003-01-31,2.76,1347201.0,,3.8461,0.3691,0.0999
2003-02-28,2.61,812762.0,,3.6375,0.3491,0.0999
2003-03-31,2.4,1016721.0,,5.4879,0.251,0.0999
2003-04-30,2.47,604641.0,,5.6594,0.2589,0.0999
2003-05-31,4.33,2867040.0,,9.9087,0.4533,0.0999
2003-06-30,5.13,30681574.0,,11.738,0.537,0.0999
2003-07-31,5.25,1853646.0,1532.2198,12.0048,0.5492,0.0999
2003-08-31,6.05,17058610.0,1768.133,13.8532,0.6337,0.3331
2003-09-30,7.61,2111168.0,2218.4105,17.4165,0.7967,0.3331
2003-10-31,9.19,2644568.0,2679.5681,21.037,0.9623,0.3331
2003-11-30,9.13,1194721.0,2662.5781,20.9036,0.9562,0.3331
2003-12-31,10.73,16028475.0,3128.5899,24.5622,1.1236,0.3331
2004-01-31,9.5,952752.0,2769.3724,21.742,0.9946,0.3331
2004-02-29,8.45,406783.0,2463.5522,19.3411,0.8848,0.3331
2004-03-31,7.58,1158266.0,2208.702,3.7749,0.7038,0.3331
2004-04-30,8.33,523991.0,2427.145,4.1483,0.7734,0.3331
2004-05-31,8.14,447039.0,2373.7478,4.057,0.7564,0.3331
2004-06-30,8.16,1365131.0,2378.6021,4.0653,0.7579,0.3331
2004-07-31,7.59,1584451.0,2213.5562,3.7832,0.7053,0.4996
2004-08-31,8.98,1367623.0,2616.4623,4.4719,0.8337,0.4996
2004-09-30,12.63,4503240.0,3681.979,6.293,1.1732,0.4996
2004-10-31,12.45,8224546.0,3628.5892,6.2017,1.1562,0.4996
2004-11-30,14.65,3832269.0,4271.7839,7.301,1.3612,0.4996
2004-12-31,20.54,17942204.0,5987.779,10.2338,1.908,0.4996
2005-01-31,18.24,13115084.0,5317.8856,9.0889,1.6945,0.4996
2005-02-28,19.51,11415293.0,5686.8124,9.7194,1.8121,0.4996
2005-03-31,18.27,13706298.0,5325.167,7.6353,1.5176,0.4996
2005-04-30,20.03,9556375.0,5837.2957,8.3696,1.6635,0.4996
2005-05-31,40.13,213229181.0,11698.8628,16.7741,3.334,0.4996
2005-06-30,38.13,61405763.0,11113.9197,15.9354,3.1673,0.4996
2005-07-31,39.34,17260197.0,11468.2836,16.4435,3.2683,0.6661
2005-08-31,40.78,6040835.0,11888.1805,17.0455,3.3879,0.6661
2005-09-30,43.52,10299277.0,12684.2857,18.187,3.6148,0.6661
2005-10-31,36.55,3710096.0,10652.7612,15.2742,3.0359,0.6661
2005-11-30,42.7,2217338.0,12446.425,17.846,3.547,0.6661
2005-12-31,63.3,103631559.0,18451.194,26.4557,5.2583,0.6661
2006-01-31,62.75,6593565.0,18291.0021,26.226,5.2126,0.6661
2006-02-28,68.61,8116850.0,19999.7157,28.676,5.6996,0.6661
2006-03-31,100.11,16143533.0,29181.624,59.5906,6.8965,0.6661
2006-04-30,126.72,5221960.0,35179.1116,75.4312,8.7298,0.6661
2006-05-31,103.88,6198419.0,30278.6958,61.8309,7.1558,0.6661
2006-06-30,84.96,4126787.0,24764.2111,50.57,5.8525,0.6661
2006-07-31,77.1,2136568.0,22521.1993,45.8961,5.3116,0.8327
2006-08-31,100.57,4213558.0,29374.8751,59.8632,6.928,0.8327
2006-09-30,94.37,2179561.0,27565.3945,56.1757,6.5013,0.8327
2006-10-31,158.87,10256572.0,46404.4227,94.5678,10.9445,0.8327
2006-11-30,184.6,19921463.0,53919.6044,109.883,12.7169,0.8327
2006-12-31,178.86,10785484.0,52241.457,106.4631,12.3211,0.8327
2007-01-31,165.77,3633022.0,48418.1995,98.6717,11.4194,0.8327
2007-02-28,162.67,10596311.0,47513.4592,96.8279,11.206,0.8327
2007-03-31,161.22,2600633.0,47090.2742,79.9756,9.9617,0.8327
2007-04-30,156.77,3431940.0,45791.5341,77.7699,9.6869,0.8327
2007-05-31,184.8,3836024.0,53977.9747,91.6733,11.4187,0.8327
2007-06-30,204.24,7557733.0,59654.4906,101.314,12.6195,0.8327
2007-07-31,200.29,3055653.0,58501.6763,99.3561,12.3757,0.9992
2007-08-31,183.2,1848963.0,53511.012,90.8802,11.3199,0.9992
2007-09-30,173.16,2624200.0,50577.9498,85.8988,10.6994,0.9992
2007-10-31,210.28,4705609.0,61420.2512,104.3127,12.9931,0.9992
2007-11-30,282.97,6979212.0,90555.6372,140.3724,17.4846,0.9992
2007-12-31,432.2,10736664.0,138311.7566,214.4,26.7054,0.9992
2008-01-31,320.24,13526987.0,102482.7604,158.8607,19.7875,0.9992
2008-02-29,293.07,5991492.0,93785.3155,145.3786,18.1082,0.9992
2008-03-31,258.34,11216561.0,82673.6901,60.2574,6.0504,0.9992
2008-04-30,283.57,6275557.0,90747.605,66.1422,6.6413,0.9992
2008-05-31,256.99,7943995.0,82242.0155,59.9428,6.0188,0.9992
2008-06-30,132.49,4959795.0,42400.0438,30.9036,3.103,0.9992
2008-07-31,174.16,20458518.0,55733.9942,40.6222,4.0788,1.249
2008-08-31,168.86,6508020.0,54039.2715,39.387,3.9548,1.249
2008-09-30,126.5,4054452.0,40481.4897,29.5053,2.9626,1.249
2008-10-31,69.89,5932416.0,22367.1422,16.3025,1.6369,1.249
2008-11-30,50.11,5708958.0,16035.914,11.6879,1.1736,1.249
2008-12-31,68.45,11707712.0,21903.4917,15.9646,1.603,1.249
2009-01-31,64.2,8928870.0,20544.5159,14.9741,1.5035,1.249
2009-02-28,57.05,4143389.0,18258.2391,13.3077,1.3362,1.249
2009-03-31,52.31,16512876.0,16739.3838,18.5638,1.189,1.249
2009-04-30,73.19,33862395.0,23422.3469,25.9752,1.6637,1.249
2009-05-31,139.54,51275318.0,44654.3447,49.5213,3.1717,1.249
2009-06-30,135.29,21376332.0,43113.7764,48.0142,3.0752,1.249
2009-07-31,152.18,20052097.0,48495.038,54.0071,3.459,1.249
2009-08-31,189.05,28609435.0,60244.6566,67.0922,4.2971,1.249
2009-09-30,196.74,43186143.0,62540.3385,69.8227,4.472,1.249
2009-10-31,178.91,30854748.0,56870.7344,63.4929,4.0666,1.249
2009-11-30,202.94,15816148.0,64509.6127,72.0213,4.6128,1.249
2009-12-31,184.35,23095231.0,58601.79,65.4255,4.1904,1.249
2010-01-31,147.03,14679662.0,46738.5008,52.1809,3.3421,1.249
2010-02-28,152.03,12497222.0,48326.6252,53.9539,3.4556,1.249
2010-03-31,140.09,10020285.0,44531.0079,21.9405,2.5222,1.249
2010-04-30,165.92,17438334.0,52741.611,25.9859,2.9872,1.249
2010-05-31,150.93,14754261.0,47977.2378,23.6385,2.7173,1.249
2010-06-30,167.52,16535240.0,53249.8108,26.2363,3.016,1.249
2010-07-31,190.5,27090010.0,60555.183,29.8357,3.4297,1.4988
2010-08-31,195.74,25939457.0,62222.7136,30.6573,3.5242,1.4988
2010-09-30,213.58,27113228.0,67892.3242,33.4507,3.8453,1.4988
2010-10-31,213.03,22989644.0,67717.6305,33.3646,3.8354,1.4988
2010-11-30,188.6,19961317.0,59951.7015,29.5383,3.3956,1.4988
2010-12-31,190.9,10049075.0,60682.2388,29.8983,3.4369,1.4988
2011-01-31,173.26,10586063.0,55076.1591,27.1362,3.1194,1.4988
2011-02-28,161.72,7000043.0,51407.5914,25.3286,2.9116,1.4988
2011-03-31,181.9,7650707.0,57823.6146,19.7024,2.9952,1.4988
2011-04-30,189.8,7383988.0,60332.8514,20.5574,3.1251,1.4988
2011-05-31,193.35,8080200.0,61460.4198,20.9416,3.1836,1.4988
2011-06-30,206.48,13570080.0,65637.1873,22.3647,3.3999,1.4988
2011-07-31,211.58,29228082.0,67257.0744,22.9167,3.4838,1.7486
2011-08-31,198.24,18108198.0,63016.7818,21.4719,3.2642,1.7486
2011-09-30,195.44,12464897.0,62127.4321,21.1688,3.2181,1.7486
2011-10-31,202.89,6936962.0,64493.7377,21.9751,3.3407,1.7486
2011-11-30,187.85,12267294.0,59713.4828,20.3463,3.0931,1.7486
2011-12-31,171.01,10550778.0,54361.5031,18.5227,2.8158,1.7486
2012-01-31,202.19,6509997.0,64271.4002,21.8994,3.3292,1.7486
2012-02-29,253.25,19593890.0,80502.033,27.4297,4.1699,1.7486
2012-03-31,258.59,13866843.0,82201.3263,28.1917,3.4728,1.7486
2012-04-30,266.39,12314852.0,84678.8006,29.0414,3.5775,1.7486
2012-05-31,258.99,9953127.0,82328.3763,28.2353,3.4782,1.7486
2012-06-30,241.61,9972347.0,76801.7029,26.3399,3.2447,1.7486
2012-07-31,237.81,10869252.0,75623.4323,25.9259,3.1937,1.7486
2012-08-31,239.11,6761248.0,80160.4537,26.0675,3.2111,1.7486
2012-09-30,286.87,10206683.0,96172.4457,31.2745,3.8525,1.7486
2012-10-31,301.71,11359078.0,101148.661,32.8922,4.0518,1.7486
2012-11-30,306.95,10469252.0,102907.3313,33.4641,4.1223,1.7486
2012-12-31,309.9,13186601.0,103927.7648,33.7854,4.1618,1.7486
2013-01-31,304.01,11083297.0,101950.7414,33.1427,4.0827,1.7486
2013-02-28,270.38,7676251.0,90691.8609,29.4771,3.6311,1.7486
2013-03-31,293.86,8485341.0,98572.2893,24.5492,3.1743,1.7486
2013-04-30,309.8,6814443.0,103918.1853,25.8806,3.3465,1.7486
2013-05-31,293.91,5508924.0,98589.0476,24.5534,3.1749,1.7486
2013-06-30,309.2,5665564.0,103717.0952,25.8306,3.34,1.7486
2013-07-31,262.44,5538584.0,88101.1925,21.924,2.8349,1.7486
2013-08-31,235.56,4921614.0,79078.074,19.6786,2.5445,1.7486
2013-09-30,267.99,8613474.0,89968.037,22.3873,2.8948,1.7486
2013-10-31,296.06,5425858.0,99394.2184,24.7329,3.1981,1.7486
2013-11-30,272.43,5575043.0,91460.7953,22.7588,2.9428,1.7486
2013-12-31,277.03,8071641.0,93003.8712,23.1427,2.9925,1.7486
2014-01-31,272.28,7804619.0,91410.4776,22.7462,2.9412,1.7486
2014-02-28,277.43,7136425.0,93139.1533,23.1761,2.9968,1.7486
2014-03-31,315.35,8486593.0,105869.6804,32.4358,3.8222,1.7486
2014-04-30,301.91,5146936.0,101357.8072,31.0534,3.6593,1.7486
2014-05-31,294.86,8241017.0,98992.8476,30.3289,3.574,1.7486
2014-06-30,365.36,21740539.0,122659.2163,37.5797,4.4284,1.7486
2014-07-31,335.23,10232616.0,112545.2401,34.481,4.0632,1.7486
2014-08-31,322.34,8319083.0,108217.8673,33.1552,3.907,1.7486
2014-09-30,307.45,18555268.0,103219.5839,31.6238,3.7266,1.7486
2014-10-31,301.41,7979256.0,101190.0796,31.0021,3.6533,1.7486
2014-11-30,285.97,8843755.0,96007.2958,29.4142,3.4662,1.7486
2014-12-31,293.67,9271740.0,98590.3013,30.2055,3.5594,1.7486
2015-01-31,310.75,7637844.0,104325.8913,31.9629,3.7665,1.7486
2015-02-28,332.6,13187023.0,111661.4671,34.2103,4.0313,1.7486
2015-03-31,345.85,6534929.0,116109.7651,28.8208,3.5995,1.7486
2015-04-30,361.15,6606233.0,121303.7802,30.0958,3.7587,1.7486
2015-05-31,379.05,14002016.0,127319.0291,31.5875,3.945,1.7486
2015-06-30,355.7,8831348.0,119476.0022,29.6417,3.702,1.7486
2015-07-31,390.65,8092108.0,131231.6954,32.5542,4.0658,1.75
2015-08-31,369.3,11077476.0,124059.5549,30.775,3.8436,1.75
2015-09-30,348.1,7123942.0,116957.7119,29.0083,3.6229,1.75
2015-10-31,391.5,6531058.0,131539.6272,32.625,4.0746,1.75
2015-11-30,382.65,5798535.0,128566.126,31.8875,3.9825,1.75
2015-12-31,379.2,7039950.0,127406.9646,31.6,3.9466,1.75
2016-01-31,350.9,5485343.0,117898.4806,29.2417,3.6521,1.75
2016-02-29,291.8,7475211.0,98041.5408,24.3167,3.037,1.75
2016-03-31,355.0,5941646.0,119276.0349,74.174,3.9736,1.75
2016-04-30,348.9,4960865.0,117226.503,72.8995,3.9053,1.75
2016-05-31,344.35,6527382.0,115697.7538,71.9488,3.8544,1.75
2016-06-30,397.0,8925777.0,133388.5956,82.9495,4.4437,1.75
2016-07-31,430.5,8541164.0,144644.3083,89.949,4.8187,1.75
2016-08-31,420.95,13158408.0,141435.5902,87.9536,4.7118,1.75
2016-09-30,429.95,7423619.0,144459.513,89.8341,4.8125,1.75
2016-10-31,438.65,6878428.0,147382.6384,91.6519,4.9099,1.75
2016-11-30,389.45,9429522.0,130851.8603,81.372,4.3592,1.75
2016-12-31,430.1,6936666.0,144573.7284,89.8655,4.8142,1.75
2017-01-31,428.75,4888304.0,144119.9397,89.5834,4.7991,1.75
2017-02-28,502.0,16355240.0,168742.1801,104.8883,5.619,1.75
2017-03-31,505.2,10265494.0,169817.8275,66.1976,6.3124,1.75
2017-04-30,534.35,11645985.0,179616.3027,70.0172,6.6766,1.75
2017-05-31,604.55,15233037.0,203213.3167,79.2157,7.5537,0.0
2017-06-30,637.8,9836872.0,214472.5513,83.5726,7.9692,0.0
2017-07-31,663.0,9510987.0,222946.5374,86.8746,8.284,0.0
2017-08-31,612.35,9139316.0,205914.498,80.2378,7.6512,1.75
2017-09-30,588.25,10634759.0,197810.4081,77.0799,7.3501,1.75
2017-10-31,593.05,10792749.0,199424.5007,77.7088,7.41,1.75
2017-11-30,577.8,11450280.0,194296.394,75.7106,7.2195,1.75
2017-12-31,606.45,8729173.0,203930.5091,79.4647,7.5775,1.75
2018-01-31,607.5,11066648.0,204283.5919,79.6023,7.5906,1.75
2018-02-28,551.75,10335766.0,185536.583,72.2972,6.894,1.75
2018-03-31,549.9,8588408.0,184914.4848,54.732,5.5457,1.75
2018-04-30,599.6,14973573.0,201629.1295,59.6787,6.0469,1.75
2018-05-31,596.7,10967488.0,200653.9386,59.39,6.0177,1.75
2018-06-30,623.7,12536306.0,209800.7754,62.0774,6.2899,1.75
2018-07-31,648.65,12164993.0,218193.4792,64.5607,6.5416,1.75
2018-08-31,646.65,10735177.0,217520.7174,64.3616,6.5214,1.75
2018-09-30,516.6,7757419.0,173774.3797,51.4176,5.2099,1.75
2018-10-31,467.4,10363912.0,157224.4387,46.5207,4.7137,1.75
2018-11-30,549.45,15255130.0,184824.4926,54.6872,5.5411,1.75
2018-12-31,546.45,8607413.0,183817.2373,54.3886,5.5109,1.75
2019-01-31,503.3,7459776.0,169302.2519,50.0939,5.0757,1.75
2019-02-28,493.05,8142063.0,165854.3121,49.0737,4.9724,1.75
2019-03-31,536.4,9408032.0,284447.0453,27.1457,4.1514,1.75
2019-04-30,514.35,4767408.0,173019.2992,26.0299,3.9807,1.75
2019-05-31,491.75,10676050.0,165417.0125,24.8861,3.8058,1.75
2019-06-30,484.05,7287083.0,162826.8528,24.4965,3.7462,1.75
2019-07-31,462.3,4921185.0,155548.2392,23.3957,3.5779,1.75
2019-08-31,420.05,5041303.0,141332.55,21.2576,3.2509,1.15
2019-09-30,408.4,4105671.0,137412.7209,20.668,3.1607,1.15
2019-10-31,416.45,6896993.0,140121.2724,21.0754,3.223,1.15
2019-11-30,437.0,2427577.0,147035.649,22.1154,3.3821,1.15
2019-12-31,424.55,1884156.0,142846.6471,21.4853,3.2857,1.15
2020-01-31,414.35,2076067.0,139414.6937,20.9691,3.2068,1.15
2020-02-29,392.05,5237622.0,131911.5016,19.8406,3.0342,1.15
2020-03-31,283.15,8966528.0,95270.3524,25.0575,1.6459,1.15
2020-04-30,264.55,7474962.0,89012.0845,23.4115,1.5378,1.15
2020-05-31,318.65,14926904.0,107214.896,28.1991,1.8523,1.15
2020-06-30,417.5,6776639.0,140497.128,36.9469,2.4269,1.15
2020-07-31,354.5,2984507.0,119296.3638,31.3717,2.0606,1.15
2020-08-31,439.45,5209007.0,147883.7434,38.8894,2.5544,1.15
2020-09-30,411.45,3649904.0,138461.1816,36.4115,2.3917,1.15
2020-10-31,366.1,1491927.0,123199.9969,32.3982,2.1281,0.0
2020-11-30,405.7,4610931.0,136526.1916,35.9027,2.3583,0.0
2020-12-31,422.2,7362185.0,142080.8964,37.3628,2.4542,0.0
2021-01-31,437.65,9336624.0,147280.2091,38.7301,2.544,0.0
2021-02-28,446.45,5965173.0,150241.63,39.5088,2.5951,0.0
2021-03-31,545.75,15473108.0,183658.5722,55.1263,2.4315,0.0
2021-04-30,509.95,2218409.0,171610.9737,51.5101,2.272,0.0
2021-05-31,524.0,15651663.0,176339.1514,52.9293,2.3346,0.0
2021-06-30,571.35,23875547.0,192295.1798,57.7121,2.5456,0.0
2021-07-31,546.05,5317301.0,183780.135,55.1566,2.4328,0.0
2021-08-31,558.8,13858161.0,188082.8922,56.4444,2.4896,0.0
2021-09-30,579.15,8877300.0,194932.3676,58.5,2.5803,0.0
2021-10-31,580.5,4201862.0,195387.1937,58.6364,2.5863,0.0
2021-11-30,569.3,8420009.0,191617.4494,57.5051,2.5364,0.0
2021-12-31,628.3,4568148.0,211475.9239,63.4646,2.7993,0.0
2022-01-31,612.45,4112067.0,206141.0625,61.8636,2.7287,0.0
2022-02-28,519.35,3084935.0,174805.063,52.4596,2.3139,0.0
2022-03-31,464.0,4258231.0,156175.1212,23.8929,2.1915,0.0
2022-04-30,492.3,5037503.0,165700.4573,25.3502,2.3251,0.0
2022-05-31,478.3,5422404.0,160988.2769,24.6292,2.259,0.0
2022-06-30,433.85,1503825.0,146027.1042,22.3404,2.0491,0.0
2022-07-31,444.45,1921587.0,149618.8733,22.8862,2.0991,0.0
2022-08-31,479.55,3250706.0,161434.8761,24.6936,2.2649,0.0
2022-09-30,439.0,5327487.0,147784.1948,22.6056,2.0734,0.0
2022-10-31,429.35,2948463.0,144535.6356,22.1087,2.0278,0.0
2022-11-30,462.45,6602506.0,155678.3619,23.8131,2.1841,0.0
2022-12-31,429.9,3968093.0,144720.7867,22.137,2.0304,0.0
2023-01-31,429.6,6828844.0,144619.7952,22.1215,2.029,0.0
2023-02-28,419.25,3541248.0,141135.5892,21.5886,1.9801,0.0
2023-03-31,403.85,3471019.0,135951.3601,13.9451,1.7027,0.0
2023-04-30,450.2,2921904.0,151554.5433,15.5456,1.8982,0.0
2023-05-31,479.8,4844328.0,161519.0357,16.5677,2.023,0.0
2023-06-30,517.85,6598472.0,174328.1214,17.8816,2.1834,0.0
2023-07-31,476.9,3261201.0,160566.7819,16.4675,2.0107,0.0
2023-08-31,537.6,8442710.0,181003.7785,18.5635,2.2667,0.0
2023-09-30,569.65,6341468.0,191794.6473,19.6702,2.4018,0.0
2023-10-31,628.75,23359939.0,211693.8551,21.711,2.651,0.0
2023-11-30,648.05,5550717.0,218191.9726,22.3774,2.7323,0.0
2023-12-31,744.45,10359678.0,250648.8913,25.7061,3.1388,0.0
2024-01-31,899.9,18328570.0,302987.9978,31.0739,3.7942,0.0
2024-02-29,801.0,8832138.0,269689.2835,27.6588,3.3772,0.0
2024-03-31,782.45,2386738.0,263443.6703,439.5787,3.2925,0.0
2024-04-30,960.6,6646395.0,323425.1258,539.6629,4.0422,0.0
2024-05-31,786.75,10565311.0,264891.4405,441.9944,3.3106,0.0
2024-06-30,855.9,8268583.0,288173.6052,480.8427,3.6016,0.0
2024-07-31,906.75,50879569.0,305294.3294,509.4101,3.8156,0.0
2024-08-31,1013.65,7378220.0,341347.1068,569.4663,4.2654,0.0
2024-09-30,1235.5,17709624.0,416057.206,694.1011,5.1989,0.0
2024-10-31,1038.3,4294061.0,349649.694,583.3146,4.3691,0.0
2024-11-30,1076.1,5114985.0,362378.923,604.5506,4.5282,0.0
2024-12-31,1166.2,3871703.0,392720.2862,655.1685,4.9073,0.0
2025-01-31,890.55,2234959.0,299894.5729,500.309,3.7474,0.0
2025-02-28,1097.6,38880595.0,369619.0929,616.6292,4.6186,0.0
2025-03-31,1134.15,13129812.0,381927.3817,38.9207,3.7623,0.0
2025-04-30,1083.9,2826585.0,365005.5893,37.1963,3.5956,0.0
2025-05-31,1184.7,6362794.0,398950.1998,40.6555,3.9299,0.0
2025-06-30,1246.2,10842617.0,419660.4533,42.766,4.134,0.0
2025-07-31,1147.4,4962298.0,386447.9194,39.3754,3.8062,0.0
2025-08-31,1230.2,4444332.0,414335.2191,42.2169,4.0809,0.0
2025-09-30,1201.7,3906868.0,404736.3297,41.2388,3.9863,0.0
2025-10-31,1104.9,3131903.0,372133.7861,37.917,3.6652,0.0
2025-11-30,1051.6,12567426.0,354182.1789,36.0879,3.4884,0.0
2025-12-31,1002.4,3064086.0,337613.1736,34.3995,3.3252,0.0
2026-01-31,974.1,1899306.0,328081.5966,33.4283,3.2313,0.0
2026-02-28,993.05,2511421.0,334464.0483,34.0786,3.2942,0.0
2026-03-31,933.2,228334.0,314306.2827,32.0247,3.0957,0.0
