BHE IN Equity,price,volume,mc,pe,bm,div
2000-11-30,0.55,113794461.0,4324.0,,,0.0253
2000-12-31,0.75,245492181.0,5908.0,,,0.0253
2001-01-31,0.66,198288882.0,5260.0,,,0.0253
2001-02-28,0.67,411725952.0,5308.0,,,0.0253
2001-03-31,0.49,263086362.0,3904.0,,,0.0253
2001-04-30,0.58,317203128.0,4580.0,,,0.0253
2001-05-31,0.69,630693459.0,5448.0,,,0.0253
2001-06-30,0.62,175627089.0,4920.0,,,0.0253
2001-07-31,0.65,46393479.0,5148.0,,,0.0253
2001-08-31,0.63,40872051.0,5000.0,,,0.0404
2001-09-30,0.64,41908086.0,5084.0,,,0.0404
2001-10-31,0.63,83601441.0,5028.0,,,0.0404
2001-11-30,0.78,93945357.0,6184.0,,,0.0404
2001-12-31,0.84,106599438.0,6624.0,,,0.0404
2002-01-31,1.11,280658664.0,8752.0,,,0.0404
2002-02-28,1.36,1013794749.0,10800.0,,,0.0404
2002-03-31,1.28,300058110.0,10156.0,,,0.0404
2002-04-30,1.73,627469821.0,13728.0,,,0.0404
2002-05-31,1.85,1412117388.0,14652.0,,,0.0404
2002-06-30,2.07,1219865427.0,16364.0,,,0.0404
2002-07-31,1.93,790158105.0,15320.0,,,0.0404
2002-08-31,2.03,567239904.0,16096.0,,,0.0404
2002-09-30,1.48,339712857.0,11748.0,,,0.0505
2002-10-31,1.72,542145087.0,13628.0,,,0.0505
2002-11-30,1.71,183300579.0,13516.0,,,0.0505
2002-12-31,1.76,228592188.0,13972.0,,,0.0505
2003-01-31,2.03,255540681.0,16052.0,,,0.0505
2003-02-28,2.02,172267821.0,16004.0,,,0.0505
2003-03-31,1.82,75360483.0,14404.0,5.0742,1.3431,0.0505
2003-04-30,2.49,335577528.0,19684.0,6.9342,1.8354,0.0505
2003-05-31,2.9,149122215.0,22972.0,8.0925,2.142,0.0505
2003-06-30,3.46,133366266.0,27392.0,9.6495,2.5542,0.0505
2003-07-31,3.61,125234505.0,28596.0,10.0737,2.6664,0.0505
2003-08-31,4.11,136629999.0,32564.0,11.4715,3.0364,0.0707
2003-09-30,4.88,246912633.0,38612.0,13.602,3.6004,0.0707
2003-10-31,5.25,271948050.0,41560.0,14.6406,3.8753,0.0707
2003-11-30,5.34,139784634.0,42260.0,14.8871,3.9405,0.0707
2003-12-31,6.15,85817061.0,48716.0,17.1614,4.5425,0.0707
2004-01-31,5.38,96394419.0,42636.0,15.0196,3.9756,0.0707
2004-02-29,5.24,52120728.0,41480.0,14.6124,3.8678,0.0707
2004-03-31,5.03,30139164.0,39820.0,10.2611,3.0618,0.0707
2004-04-30,5.01,110206107.0,39672.0,10.223,3.0504,0.0707
2004-05-31,4.08,49713246.0,32300.0,8.3233,2.4836,0.0707
2004-06-30,3.95,22761882.0,31276.0,8.0594,2.4048,0.0707
2004-07-31,4.6,103737051.0,36396.0,9.3788,2.7985,0.0707
2004-08-31,4.97,41671773.0,39328.0,10.1343,3.024,0.0707
2004-09-30,5.47,55644138.0,43288.0,11.1548,3.3284,0.0808
2004-10-31,5.58,30960270.0,44212.0,11.3929,3.3995,0.0808
2004-11-30,6.19,70696296.0,48992.0,12.6246,3.767,0.0808
2004-12-31,6.64,73078533.0,52596.0,13.5533,4.0441,0.101
2005-01-31,6.14,145841256.0,48632.0,12.5319,3.7394,0.101
2005-02-28,7.23,473105160.0,57224.0,14.7459,4.4,0.101
2005-03-31,6.75,256409010.0,53456.0,11.7701,3.2357,0.101
2005-04-30,7.5,206456481.0,59436.0,13.0868,3.5977,0.101
2005-05-31,8.0,199609047.0,63372.0,13.9535,3.836,0.101
2005-06-30,7.0,205384212.0,55416.0,12.2017,3.3544,0.101
2005-07-31,7.38,249300315.0,58420.0,12.8631,3.5362,0.101
2005-08-31,7.22,143046189.0,57212.0,12.5971,3.4631,0.1131
2005-09-30,8.6,236178063.0,68144.0,15.0042,4.1248,0.1131
2005-10-31,7.34,259973109.0,58168.0,12.8076,3.521,0.1131
2005-11-30,9.37,365834601.0,74176.0,16.3323,4.4899,0.1131
2005-12-31,10.03,380587581.0,79452.0,17.494,4.8093,0.1131
2006-01-31,11.2,312968106.0,88668.0,19.5232,5.3672,0.1131
2006-02-28,11.11,651279816.0,88004.0,19.377,5.327,0.1131
2006-03-31,13.38,1168656588.0,105932.0,17.7,5.0102,0.1131
2006-04-30,13.49,484954668.0,106156.0,17.8471,5.0518,0.1131
2006-05-31,11.07,474707871.0,87640.0,14.6436,4.1451,0.1131
2006-06-30,10.82,301584987.0,85680.0,14.3161,4.0524,0.1131
2006-07-31,11.3,201878721.0,89516.0,14.9571,4.2338,0.1131
2006-08-31,11.71,414515772.0,92712.0,15.4911,4.385,0.1131
2006-09-30,11.69,250479207.0,92596.0,15.4717,4.3795,0.1475
2006-10-31,11.23,230571099.0,88936.0,14.8602,4.2064,0.1475
2006-11-30,11.51,368421273.0,91160.0,15.2318,4.3116,0.1475
2006-12-31,13.59,614365191.0,107672.0,17.9908,5.0925,0.1071
2007-01-31,13.92,247500990.0,110284.0,18.4272,5.2161,0.1475
2007-02-28,15.37,666297324.0,121764.0,20.3454,5.759,0.1475
2007-03-31,15.19,213232833.0,120320.0,16.4472,4.5066,0.1475
2007-04-30,17.36,427252419.0,137464.0,18.7907,5.1488,0.1475
2007-05-31,18.26,291133557.0,144588.0,19.7646,5.4156,0.1475
2007-06-30,18.5,326521701.0,146488.0,20.0243,5.4868,0.1475
2007-07-31,17.86,295935750.0,141428.0,19.3326,5.2972,0.1475
2007-08-31,17.15,175830831.0,135856.0,18.5709,5.0885,0.1475
2007-09-30,18.6,155638593.0,147328.0,20.1391,5.5182,0.1818
2007-10-31,18.47,294913575.0,146280.0,19.9958,5.479,0.1818
2007-11-30,17.92,165372372.0,141928.0,19.4009,5.316,0.1818
2007-12-31,21.32,144423477.0,168820.0,23.077,6.3232,0.1818
2008-01-31,15.56,162079434.0,123272.0,16.8508,4.6172,0.202
2008-02-29,14.52,178005960.0,114976.0,15.7167,4.3065,0.202
2008-03-31,10.78,205126713.0,85392.0,10.1987,2.5714,0.202
2008-04-30,13.46,355394358.0,106588.0,12.7303,3.2097,0.202
2008-05-31,11.64,198237303.0,92192.0,11.0109,2.7762,0.202
2008-06-30,10.25,73989036.0,81216.0,9.7,2.4457,0.202
2008-07-31,9.82,162621756.0,77804.0,9.2925,2.3429,0.202
2008-08-31,9.34,192383433.0,73952.0,8.8324,2.2269,0.202
2008-09-30,9.04,79488882.0,71564.0,8.5472,2.155,0.2091
2008-10-31,6.14,152059941.0,48596.0,5.804,1.4634,0.2091
2008-11-30,5.68,42937983.0,45020.0,5.3769,1.3557,0.2091
2008-12-31,7.57,234537435.0,59952.0,7.1603,1.8054,0.2091
2009-01-31,8.3,127830879.0,65752.0,7.853,1.98,0.2091
2009-02-28,8.7,84732714.0,68880.0,8.2266,2.0742,0.2091
2009-03-31,8.93,98596872.0,70744.0,9.3915,1.8146,0.2091
2009-04-30,9.65,118619127.0,76432.0,10.1466,1.9605,0.2091
2009-05-31,13.54,210308571.0,107235.995,14.2359,2.7506,0.2091
2009-06-30,13.28,215424594.0,105160.0,13.9603,2.6974,0.2091
2009-07-31,14.83,265896774.0,117432.0,15.5894,3.0122,0.2091
2009-08-31,14.4,107969895.0,114044.005,15.1397,2.9253,0.2091
2009-09-30,15.49,235179450.0,122700.0,16.2888,3.1473,0.1889
2009-10-31,14.42,122610114.0,114228.0,15.1641,2.93,0.1889
2009-11-30,18.13,166067154.0,143564.005,19.0585,3.6825,0.1889
2009-12-31,19.61,136781865.0,155284.005,20.6144,3.9831,0.1889
2010-01-31,19.62,166422069.0,155392.0,20.6287,3.9858,0.1889
2010-02-28,20.21,218384001.0,160052.0,21.2473,4.1054,0.1889
2010-03-31,22.25,211659129.0,176195.995,23.8981,3.954,0.1889
2010-04-30,18.38,236340720.0,145532.0,19.739,3.2659,0.1889
2010-05-31,17.36,102183543.0,137500.0,18.6496,3.0856,0.1889
2010-06-30,17.55,131557833.0,138995.995,18.8525,3.1192,0.1889
2010-07-31,18.28,118282032.0,144815.995,19.6419,3.2498,0.1889
2010-08-31,16.77,150897681.0,132824.005,18.0154,2.9807,0.1889
2010-09-30,17.57,202470048.0,139172.0,18.8764,3.1231,0.1939
2010-10-31,16.49,213406974.0,130615.995,17.7159,2.9311,0.1939
2010-11-30,17.29,182760633.0,136940.0,18.5737,3.073,0.1939
2010-12-31,17.89,74521953.0,141655.995,19.2133,3.1789,0.1939
2011-01-31,17.69,57425643.0,140112.0,19.0039,3.1442,0.1939
2011-02-28,16.76,48324870.0,132752.0,18.0056,2.9791,0.1939
2011-03-31,17.0,58690368.0,134664.005,15.3404,2.6237,0.1939
2011-04-30,18.5,59748480.0,146492.0,16.6878,2.8542,0.1939
2011-05-31,16.78,33988581.0,132915.995,15.1413,2.5897,0.1939
2011-06-30,16.24,83051496.0,128612.0,14.651,2.5058,0.1939
2011-07-31,17.73,104644287.0,140424.005,15.9965,2.7359,0.1939
2011-08-31,15.57,75212775.0,123328.0,14.049,2.4029,0.1939
2011-09-30,15.5,56166759.0,122728.0,13.9807,2.3912,0.2182
2011-10-31,15.82,36057285.0,125275.995,14.2709,2.4408,0.2182
2011-11-30,15.21,66289212.0,120492.0,13.726,2.3476,0.2182
2011-12-31,13.64,49038561.0,108024.005,12.3057,2.1047,0.2182
2012-01-31,14.19,114955434.0,112424.005,12.8069,2.1904,0.2182
2012-02-29,16.34,235689795.0,129435.995,14.7448,2.5219,0.2586
2012-03-31,15.4,80847558.0,121988.0,14.4071,2.1085,0.2586
2012-04-30,14.86,119846628.0,117715.995,13.9026,2.0347,0.2586
2012-05-31,12.57,55386540.0,99555.995,11.7578,1.7208,0.2586
2012-06-30,13.54,51595929.0,107240.0,12.6653,1.8536,0.2586
2012-07-31,11.74,110531025.0,92968.0,10.9798,1.6069,0.2586
2012-08-31,12.54,66357225.0,99280.0,11.7252,1.716,0.2586
2012-09-30,12.21,110605077.0,96684.005,11.4187,1.6711,0.2101
2012-10-31,12.42,66244068.0,98395.995,11.6208,1.7007,0.2101
2012-11-30,11.98,112801788.0,94900.0,11.208,1.6403,0.2101
2012-12-31,13.21,58471776.0,104624.005,12.3564,1.8084,0.2101
2013-01-31,12.86,99727155.0,101875.995,12.0318,1.7609,0.1697
2013-02-28,11.39,26996013.0,90192.0,10.6519,1.5589,0.1697
2013-03-31,11.67,48980646.0,92428.0,10.148,1.4247,0.1697
2013-04-30,11.87,24645555.0,94044.005,10.3254,1.4496,0.1697
2013-05-31,13.23,46145187.0,104812.0,11.5077,1.6156,0.1697
2013-06-30,12.89,67537305.0,102104.005,11.2104,1.5739,0.1697
2013-07-31,11.14,48366252.0,88264.005,9.6908,1.3605,0.1697
2013-08-31,11.81,40137174.0,93555.995,10.2718,1.4421,0.1697
2013-09-30,10.98,74191590.0,86964.005,9.5481,1.3405,0.2253
2013-10-31,10.79,78465420.0,85420.0,9.3786,1.3167,0.2253
2013-11-30,10.67,37457442.0,84515.995,9.2793,1.3028,0.2253
2013-12-31,10.4,42859278.0,82352.0,9.0417,1.2694,0.2253
2014-01-31,9.38,76997943.0,74280.0,8.1555,1.145,0.2253
2014-02-28,9.4,60538995.0,74416.0,8.1704,1.1471,0.2253
2014-03-31,11.6,125532594.0,91835.995,9.6539,1.2719,0.2253
2014-04-30,12.23,180794889.0,96848.0,10.1808,1.3413,0.2253
2014-05-31,16.24,394902486.0,128608.0,13.5195,1.7812,0.2253
2014-06-30,21.73,375172776.0,172095.995,18.091,2.3835,0.2253
2014-07-31,17.8,351162801.0,140980.0,14.82,1.9526,0.2253
2014-08-31,20.78,325600803.0,164544.005,17.2971,2.2789,0.2253
2014-09-30,20.1,332655444.0,159208.0,16.7362,2.205,0.2354
2014-10-31,21.05,175944384.0,166691.99,17.5229,2.3087,0.2354
2014-11-30,23.45,297499455.0,185731.99,19.5244,2.5724,0.2354
2014-12-31,29.77,681607377.0,235804.005,24.7881,3.2659,0.2354
2015-01-31,33.72,708138189.0,267035.995,28.0712,3.6984,0.2354
2015-02-28,37.69,851335056.0,298531.99,31.3821,4.1346,0.2354
2015-03-31,33.84,547754724.0,268040.0,22.3889,3.3023,0.2354
2015-04-30,31.16,414377469.0,246764.005,20.6118,3.0402,0.2354
2015-05-31,36.15,404908911.0,286344.005,23.9178,3.5278,0.2354
2015-06-30,34.0,311244714.0,269304.005,22.4945,3.3178,0.2354
2015-07-31,40.25,345671964.0,318811.99,26.6298,3.9278,0.2354
2015-08-31,34.03,351078453.0,269524.005,22.5129,3.3206,0.2949
2015-09-30,34.41,538427868.0,272507.985,22.7621,3.3573,0.2949
2015-10-31,37.69,220146762.0,298512.015,24.9342,3.6777,0.2949
2015-11-30,38.0,133320198.0,300924.0,25.1356,3.7074,0.2949
2015-12-31,41.55,245017608.0,329064.0,27.4861,4.0541,0.2949
2016-01-31,37.32,250823529.0,295572.015,24.6886,3.6415,0.2949
2016-02-29,31.21,191225133.0,247187.985,20.6472,3.0454,0.3101
2016-03-31,37.1,280575570.0,293832.015,21.9803,3.1779,0.3101
2016-04-30,35.81,157318293.0,283644.0,21.2181,3.0677,0.3101
2016-05-31,35.7,189261534.0,282780.0,21.1535,3.0584,0.3101
2016-06-30,38.4,294700329.0,304104.0,22.7487,3.289,0.3101
2016-07-31,37.45,178596990.0,296616.0,22.1885,3.208,0.3101
2016-08-31,36.98,154834152.0,292907.985,21.9111,3.1679,0.5152
2016-09-30,37.72,307498587.0,298740.0,22.3474,3.231,0.5152
2016-10-31,40.23,192621924.0,318587.985,23.8321,3.4456,0.5152
2016-11-30,43.61,254147388.0,321430.2412,25.8357,3.7353,0.5152
2016-12-31,41.67,272069787.0,307135.0224,24.6867,3.5692,0.5152
2017-01-31,46.67,482343411.0,343978.7012,27.6481,3.9973,0.5152
2017-02-28,45.93,436316199.0,338528.649,27.2101,3.934,0.5303
2017-03-31,47.5,385810006.0,350121.178,26.3889,4.526,0.3636
2017-04-30,55.44,361691095.0,408642.2297,30.7997,5.2825,0.3636
2017-05-31,52.32,229295979.0,385635.8621,29.0657,4.9851,0.3636
2017-06-30,48.95,277100317.0,360842.592,27.197,4.6646,0.3636
2017-07-31,54.17,272846138.0,399260.9924,30.0926,5.1612,0.3636
2017-08-31,57.58,303593648.0,424389.3066,31.9865,5.4861,0.6818
2017-09-30,54.27,258195798.0,399998.0896,30.1481,5.1708,0.6818
2017-10-31,61.53,257010438.0,453560.4874,34.1852,5.8632,0.6818
2017-11-30,61.93,278691366.0,456508.8944,34.4074,5.9013,0.6818
2017-12-31,60.72,191022609.0,447540.8779,33.7315,5.7853,0.6818
2018-01-31,56.45,351098187.0,416091.3954,31.3611,5.3788,0.6818
2018-02-28,51.45,457540749.0,379236.5181,28.5833,4.9024,1.1242
2018-03-31,47.15,233683356.0,344656.0718,24.2624,4.2998,0.8515
2018-04-30,43.73,284857812.0,319680.9941,22.5043,3.9882,0.8515
2018-05-31,38.13,339129492.0,278746.2327,19.6226,3.4775,0.8515
2018-06-30,36.22,379974249.0,264735.8233,18.6364,3.3027,0.8515
2018-07-31,38.78,624495477.0,283497.5889,19.9571,3.5368,0.8515
2018-08-31,37.83,530081619.0,276553.299,19.4683,3.4502,0.6667
2018-09-30,26.77,1331817708.0,195658.4133,13.7736,2.4409,0.6667
2018-10-31,31.02,690316044.0,226724.9733,15.9605,2.8285,0.6667
2018-11-30,27.75,461556450.0,202846.3625,14.2796,2.5306,0.6667
2018-12-31,29.32,831444576.0,214298.3493,15.0858,2.6735,0.6667
2019-01-31,27.88,555345036.0,203820.9997,14.3482,2.5428,0.6667
2019-02-28,27.5,631970961.0,201018.9178,14.1509,2.5078,0.2
2019-03-31,31.08,907695360.0,227212.2919,12.0478,2.4666,0.7
2019-04-30,29.05,707478933.0,212349.075,11.2597,2.3053,0.7
2019-05-31,37.22,884596092.0,272045.6021,14.4251,2.9533,0.7
2019-06-30,37.5,580867503.0,274116.7061,14.5349,2.9758,0.7
2019-07-31,34.23,957122574.0,250238.0952,13.2687,2.7166,0.7
2019-08-31,34.3,726778554.0,250725.4138,13.2946,2.7219,1.1333
2019-09-30,36.1,715298568.0,263883.0157,13.9922,2.8647,1.1333
2019-10-31,39.38,561429036.0,287883.4562,15.2649,3.1253,1.1333
2019-11-30,34.37,550913463.0,251212.7324,13.3204,2.7272,1.1333
2019-12-31,33.35,453980094.0,243781.1239,12.9264,2.6465,1.1333
2020-01-31,30.22,895596558.0,220877.1503,11.7119,2.3978,1.1333
2020-02-29,24.65,798290595.0,180186.0481,9.5543,1.9561,1.5
2020-03-31,24.82,998811021.0,181404.3446,9.9399,1.8012,1.0333
2020-04-30,24.03,824397735.0,175678.3512,9.6262,1.7443,1.0333
2020-05-31,23.07,1041080301.0,168612.2317,9.239,1.6741,1.0333
2020-06-30,29.55,1311424371.0,216003.9644,11.8358,2.1447,1.0333
2020-07-31,31.95,1383107289.0,233547.4336,12.7971,2.3189,1.0333
2020-08-31,35.37,1237691091.0,258522.5113,14.1656,2.5669,0.4667
2020-09-30,31.92,650440692.0,233303.7743,12.7837,2.3165,0.9333
2020-10-31,29.0,403490886.0,211983.5883,11.6155,2.1048,0.9333
2020-11-30,37.03,721729413.0,270705.4789,14.8331,2.6878,0.9333
2020-12-31,39.98,1245346434.0,292269.3266,16.0147,2.9019,0.9333
2021-01-31,43.35,1278479115.0,316878.9156,17.3632,3.1463,0.9333
2021-02-28,45.7,861743094.0,334056.896,18.3044,3.3168,0.9333
2021-03-31,41.7,935298951.0,304817.7804,14.5128,2.7561,0.9333
2021-04-30,43.92,612890265.0,321021.1237,15.2842,2.9027,0.9333
2021-05-31,48.47,1566793638.0,354280.6177,16.8677,3.2034,0.9333
2021-06-30,59.33,1245782475.0,433713.5485,20.6497,3.9216,0.9333
2021-07-31,61.55,631729086.0,449916.8869,21.4211,4.0681,0.9333
2021-08-31,62.22,604834563.0,454790.0728,21.6531,4.1122,0.9333
2021-09-30,67.65,500055894.0,494506.5378,23.5441,4.4713,1.3333
2021-10-31,68.95,428186496.0,504009.2503,23.9965,4.5572,1.3333
2021-11-30,67.92,431712054.0,496455.8121,23.6369,4.4889,1.3333
2021-12-31,69.98,428950995.0,511562.6884,24.3561,4.6255,1.3333
2022-01-31,69.9,437958036.0,510953.5401,24.3271,4.62,1.3333
2022-02-28,70.15,401364924.0,512780.9849,24.4142,4.6365,1.3667
2022-03-31,70.27,613073454.0,513633.7924,21.401,4.1807,1.4
2022-04-30,79.52,791701776.0,581249.2466,24.2183,4.731,1.4
2022-05-31,78.25,369354939.0,571990.1934,23.8325,4.6557,1.4
2022-06-30,78.03,353430360.0,570406.408,23.7665,4.6428,1.4
2022-07-31,91.73,562672278.0,670550.3779,27.9391,5.4579,1.4
2022-08-31,102.17,546391209.0,746815.737,31.1168,6.0786,1.5
2022-09-30,100.95,638345156.0,737922.1728,30.7462,6.0062,1.5
2022-10-31,106.85,327498236.0,781049.8679,32.5431,6.3573,1.5
2022-11-30,105.1,395372928.0,768257.7549,32.0102,6.2532,1.5
2022-12-31,99.9,335496779.0,730246.905,30.4264,5.9438,1.5
2023-01-31,94.95,341339762.0,694063.4998,28.9188,5.6493,1.5
2023-02-28,94.6,326757278.0,691505.0772,28.8122,5.6284,1.65
2023-03-31,97.55,322063002.0,713068.9248,23.8509,5.1442,1.7
2023-04-30,103.3,200994834.0,755100.153,25.2567,5.4474,1.7
2023-05-31,112.15,260974012.0,819791.6957,27.4205,5.9141,1.7
2023-06-30,125.75,436293483.0,919204.6877,30.7457,6.6313,1.7
2023-07-31,130.7,340240436.0,955388.093,31.956,6.8923,1.7
2023-08-31,133.2,314040093.0,973662.54,32.5672,7.0242,1.8
2023-09-30,138.3,406167105.0,1010942.412,33.8142,7.2931,1.8
2023-10-31,133.25,228191380.0,974028.029,32.5795,7.0268,1.8
2023-11-30,145.9,239303463.0,1066496.731,35.6724,7.6939,1.8
2023-12-31,184.2,592622494.0,1346461.26,45.0367,9.7136,1.8
2024-01-31,185.9,429114119.0,1358887.884,45.4523,9.8032,1.8
2024-02-29,205.1,577115699.0,1499235.638,50.1467,10.8157,1.9
2024-03-31,201.5,613885898.0,1472920.434,36.9725,9.0217,2.0
2024-04-30,233.75,676603707.0,1708660.801,42.8899,10.4656,2.0
2024-05-31,295.95,1031932848.0,2163329.044,54.3028,13.2504,2.0
2024-06-30,305.9,1373093321.0,2236061.344,56.1284,13.6959,2.0
2024-07-31,316.05,943472108.0,2310255.599,57.9908,14.1504,2.0
2024-08-31,299.3,469132583.0,2187816.804,54.9174,13.4004,2.2
2024-09-30,285.1,671744975.0,2084017.944,52.3119,12.7647,2.2
2024-10-31,284.9,450586889.0,2082555.988,52.2752,12.7557,2.2
2024-11-30,308.0,457316327.0,2251411.879,56.5138,13.7899,2.2
2024-12-31,293.15,334384149.0,2142861.664,53.789,13.1251,2.2
2025-01-31,292.65,414308416.0,2139206.774,53.6972,13.1027,2.2
2025-02-28,246.25,504235759.0,1800033.037,45.1835,11.0252,2.2
2025-03-31,301.32,473041782.0,2202582.557,41.3901,11.0273,3.0
2025-04-30,314.1,482233648.0,2296001.53,43.1456,11.495,3.0
2025-05-31,384.6,821665448.0,2811340.938,52.8297,14.0751,2.3
2025-06-30,421.5,634924983.0,3081071.776,57.8984,15.4255,2.3
2025-07-31,383.1,381080913.0,2800376.269,52.6236,14.0202,2.3
2025-08-31,369.4,242984152.0,2700232.299,50.7418,13.5188,2.4
2025-09-30,403.95,355774826.0,2952785.158,55.4876,14.7832,2.4
2025-10-31,426.1,324758626.0,3114696.759,58.5302,15.5938,2.4
2025-11-30,411.75,264510525.0,3009801.433,56.5591,15.0687,2.4
2025-12-31,399.6,287220311.0,2920987.62,54.8901,14.624,2.4
2026-01-31,449.0,456964869.0,3282090.694,61.6758,16.4319,2.4
2026-02-28,444.7,428484317.0,3250658.645,61.0852,16.2745,2.4
2026-03-31,461.7,117942849.0,3374924.975,63.4203,16.8967,3.9
