GODPI IN Equity,price,volume,mc,pe,bm,div
2009-06-30,5.61,78793760.0,3149.454,4.9879,0.6734,0.125
2009-07-31,5.46,140258740.0,3065.244,4.8546,0.6554,0.125
2009-08-31,6.79,137882020.0,3813.3095,6.0393,0.8153,0.125
2009-09-30,8.9,315960900.0,4995.0564,7.9109,1.068,0.125
2009-10-31,7.48,90227480.0,4200.6755,6.6528,0.8981,0.125
2009-11-30,7.17,65949860.0,4023.8345,6.3727,0.8603,0.125
2009-12-31,10.37,223779540.0,5823.1214,9.2223,1.245,0.125
2010-01-31,9.93,151498720.0,5573.2984,8.8267,1.1916,0.125
2010-02-28,10.03,53211540.0,5628.0349,8.9134,1.2033,0.125
2010-03-31,13.13,114392940.0,7368.3749,12.3598,1.4196,0.125
2010-04-30,14.38,142201480.0,8074.3354,13.544,1.5556,0.125
2010-05-31,11.22,94431780.0,6296.1009,10.5611,1.213,0.125
2010-06-30,11.8,152500520.0,6621.7129,11.1073,1.2757,0.125
2010-07-31,11.97,132444620.0,6719.9579,11.2721,1.2946,0.125
2010-08-31,10.4,87640800.0,5837.1564,9.7913,1.1246,0.125
2010-09-30,10.47,56284040.0,5879.2614,9.8619,1.1327,0.125
2010-10-31,10.07,41955800.0,5654.7014,9.4852,1.0894,0.125
2010-11-30,8.83,49464100.0,4959.9689,8.3199,0.9556,0.125
2010-12-31,10.28,50833620.0,5768.3849,9.6759,1.1113,0.125
2011-01-31,8.27,18759260.0,4641.3744,7.7855,0.8942,0.125
2011-02-28,8.65,31855300.0,4857.5134,8.148,0.9358,0.125
2011-03-31,8.79,14234580.0,4931.8989,6.4978,0.9224,0.125
2011-04-30,9.68,33209900.0,5431.5449,7.1561,1.0158,0.125
2011-05-31,8.48,17380020.0,5382.676,6.2685,0.8898,0.125
2011-06-30,7.78,14189800.0,4944.4559,5.7581,0.8174,0.125
2011-07-31,8.1,21931340.0,5142.9328,5.9893,0.8502,0.125
2011-08-31,6.89,15529140.0,4372.8425,5.0925,0.7229,0.125
2011-09-30,6.04,25711400.0,3836.161,4.4675,0.6342,0.125
2011-10-31,5.97,26992880.0,3793.29,4.4175,0.6271,0.125
2011-11-30,5.59,12337640.0,3551.9422,4.1365,0.5872,0.125
2011-12-31,3.61,13734220.0,2292.8049,2.6701,0.379,0.125
2012-01-31,5.02,18777800.0,3186.7447,3.7112,0.5268,0.125
2012-02-29,5.26,24812260.0,3342.3506,3.8924,0.5525,0.125
2012-03-31,5.25,25097800.0,3335.9889,3.9582,0.492,0.125
2012-04-30,6.28,23368920.0,3985.4032,4.7287,0.5877,0.125
2012-05-31,5.84,13506400.0,3707.5364,4.399,0.5468,0.125
2012-06-30,5.82,8113440.0,3698.0096,4.3877,0.5454,0.125
2012-07-31,6.0,17728220.0,3809.1563,4.5196,0.5617,0.125
