ALOK IN Equity,price,volume,mc,pe,bm,div
2009-12-31,22.8,139341411.0,13840.202,6.0558,0.2331,0.7485
2010-01-31,26.3,300483792.0,15960.1455,6.9834,0.2688,0.7485
2010-02-28,23.45,135942869.0,14233.9058,6.2281,0.2398,0.7485
2010-03-31,22.16,133156970.0,13446.4983,8.7402,0.628,0.7485
2010-04-30,20.91,120167113.0,16504.3739,8.248,0.5926,0.7485
2010-05-31,19.31,108486420.0,15243.8967,7.6181,0.5474,0.7485
2010-06-30,20.06,99003654.0,15834.7454,7.9134,0.5686,0.0
2010-07-31,20.46,75882891.0,16149.8647,8.0709,0.5799,0.0
2010-08-31,18.86,125293352.0,14889.3875,7.4409,0.5346,0.0
2010-09-30,21.06,146865228.0,16622.5437,8.3071,0.5969,0.2495
2010-10-31,27.1,473415543.0,21388.7233,10.689,0.768,0.2495
2010-11-30,27.84,753426141.0,21979.572,10.9843,0.7892,0.2495
2010-12-31,27.84,392520451.0,21979.572,10.9843,0.7892,0.2495
2011-01-31,26.0,357025467.0,20522.1452,10.2559,0.7369,0.2495
2011-02-28,20.66,304224948.0,16307.4244,8.1496,0.5855,0.2495
2011-03-31,22.11,194585165.0,17449.425,5.6076,0.625,0.2495
2011-04-30,26.65,458776685.0,21033.8441,6.7595,0.7533,0.2495
2011-05-31,26.2,257946838.0,20679.3411,6.6456,0.7406,0.2495
2011-06-30,25.2,273304451.0,19891.5567,6.3924,0.7124,0.2495
2011-07-31,25.15,92584815.0,19852.1675,6.3797,0.711,0.2495
2011-08-31,17.66,206171931.0,13943.7843,4.481,0.4994,0.2495
2011-09-30,18.31,200962430.0,14455.8442,4.6456,0.5177,0.2495
2011-10-31,21.11,110172338.0,16661.6406,5.3544,0.5968,0.2495
2011-11-30,18.61,132820494.0,14692.1795,4.7215,0.5262,0.2495
2011-12-31,17.96,140017702.0,14180.1196,4.557,0.5079,0.2495
2012-01-31,20.01,124820325.0,15795.0777,5.0759,0.5657,0.2495
2012-02-29,20.61,249795263.0,16267.7484,5.2278,0.5826,0.2495
2012-03-31,19.61,182621987.0,15479.5777,17.087,0.5676,0.2495
2012-04-30,19.46,120934669.0,15673.6868,16.9565,0.5633,0.2495
2012-05-31,18.66,103625469.0,15030.6637,16.2609,0.5402,0.2495
2012-06-30,17.61,69983428.0,14186.696,15.3478,0.5099,0.2495
2012-07-31,15.72,152693571.0,13013.6548,13.6957,0.455,0.2495
2012-08-31,11.83,218427974.0,9791.226,10.3043,0.3423,0.2994
2012-09-30,12.57,164806009.0,10410.9238,10.9565,0.364,0.2994
2012-10-31,11.48,177121475.0,9502.0336,10.0,0.3322,0.2994
2012-11-30,11.23,234638864.0,9295.5295,9.7826,0.325,0.2994
2012-12-31,11.08,212910419.0,9171.5891,9.6522,0.3206,0.2994
2013-01-31,10.73,175121032.0,8882.3948,9.3478,0.3105,0.2994
2013-02-28,8.5,135962358.0,11705.4836,7.406,0.246,0.2994
2013-03-31,8.2,124142944.0,11292.3489,0.8577,0.2258,0.2994
2013-04-30,9.5,179285293.0,13082.5994,0.9937,,0.2994
2013-05-31,7.85,217895851.0,10810.3575,0.8211,,0.2994
2013-06-30,6.95,224457177.0,9570.9534,0.727,,0.2994
2013-07-31,6.55,201058594.0,9020.1072,0.6851,,0.2994
2013-08-31,6.35,125588617.0,8744.6841,0.6642,,0.2994
2013-09-30,7.95,72061349.0,10948.069,0.8316,,0.0
2013-10-31,8.05,64449856.0,11085.7806,0.8421,,0.0
2013-11-30,7.75,80271328.0,10672.6459,0.8107,,0.0
2013-12-31,8.45,86219824.0,11636.6268,0.8839,,0.3
2014-01-31,7.0,67009903.0,9639.8092,0.7322,,0.3
2014-02-28,6.4,41484038.0,8813.5398,0.6695,,0.3
2014-03-31,6.5,101733149.0,8951.2514,0.6799,,0.3
2014-04-30,7.0,106292609.0,9639.8092,0.7322,,0.3
2014-05-31,9.75,432642099.0,13426.8771,1.0199,,0.3
2014-06-30,14.25,1219805281.0,19623.8973,1.4906,,0.3
2014-07-31,12.3,475901468.0,16938.5219,1.2866,,0.3
2014-08-31,12.7,395654810.0,17489.3681,1.3285,,0.3
2014-09-30,11.8,459680685.0,16249.9641,1.2343,,0.3
2014-10-31,12.5,200493297.0,17213.945,1.3075,,0.3
2014-11-30,10.5,225759955.0,14461.8376,1.0983,,0.3
2014-12-31,10.05,291938281.0,13842.0446,1.0513,,0.3
2015-01-31,10.05,221374104.0,13842.0446,1.0513,,0.3
2015-02-28,8.9,141900249.0,12258.1301,0.931,,0.0
2015-03-31,7.4,351659532.0,10192.1522,0.7479,0.2798,0.0
2015-04-30,6.75,132948850.0,9296.8956,,0.2552,0.0
2015-05-31,6.9,112287942.0,9503.4933,,0.2609,0.0
2015-06-30,6.45,115872040.0,8883.7003,,0.2439,0.0
2015-07-31,6.5,139976330.0,8952.5662,,0.2458,0.0
2015-08-31,6.05,215705668.0,8332.7731,,0.2288,0.0
2015-09-30,6.1,74687093.0,8401.639,,0.2307,0.0
2015-10-31,6.75,110448744.0,9296.8956,,0.2552,0.0
2015-11-30,7.1,98876426.0,9778.9569,,0.2685,0.0
2015-12-31,6.25,172998965.0,8608.2367,,0.2363,0.0
2016-01-31,5.1,152107636.0,7024.3211,,0.1928,0.0
2016-02-29,3.85,101118364.0,5302.6738,,0.1456,0.0
2016-03-31,4.5,228481421.0,6197.9304,,0.1341,0.0
2016-04-30,4.6,86696975.0,6335.6622,,0.1371,0.0
2016-05-31,3.7,79725217.0,5096.0761,,0.1103,0.0
2016-06-30,4.4,246457301.0,6060.1986,,0.1312,0.0
2016-07-31,3.95,143203836.0,5440.4056,,0.1177,0.0
2016-08-31,2.95,134042949.0,4063.0877,,0.0879,0.0
2016-09-30,3.2,140175458.0,4407.4172,,0.0954,0.0
2016-10-31,3.45,67420055.0,4751.7467,,0.1028,0.0
2016-11-30,2.65,166827834.0,3649.8924,,0.079,0.0
2016-12-31,3.45,170249365.0,4751.7467,,0.1028,0.0
2017-01-31,3.3,74985915.0,4545.149,,0.0984,0.0
2017-02-28,3.35,116131614.0,4614.0149,,0.0999,0.0
2017-03-31,2.95,88733874.0,4063.0877,,0.239,0.0
2017-04-30,3.05,93196239.0,4200.8195,,0.2471,0.0
2017-05-31,3.1,171947960.0,4269.6854,,0.2511,0.0
2017-06-30,2.75,153020404.0,3787.6241,,0.2228,0.0
2017-07-31,3.65,256768355.0,5027.2102,,0.2957,0.0
2017-08-31,2.95,112530140.0,4063.0877,,0.239,0.0
2017-09-30,2.8,65468732.0,3856.49,,0.2268,0.0
2017-10-31,3.45,135286354.0,4751.7467,,0.2795,0.0
2017-11-30,3.7,226422720.0,5096.0761,,0.2998,0.0
2017-12-31,3.9,65034237.0,5371.5397,,0.316,0.0
2018-01-31,3.55,151224891.0,4889.4784,,0.2876,0.0
2018-02-28,3.2,66327964.0,4407.4173,,0.2592,0.0
2018-03-31,2.95,100867903.0,4063.0878,,0.2309,0.0
2018-04-30,2.3,233265039.0,3167.8312,,,0.0
2018-05-31,1.85,238393316.0,2548.0381,,,0.0
2018-06-30,3.9,128171979.0,5371.5398,,,0.0
2018-07-31,4.4,152520400.0,6060.1987,,,0.0
2018-08-31,4.3,135719289.0,5922.4669,,,0.0
2018-09-30,3.35,55006037.0,4614.0149,,,0.0
2018-10-31,3.15,65964246.0,4338.5514,,,0.0
2018-11-30,3.35,49071453.0,4614.0149,,,0.0
2018-12-31,3.9,61584571.0,5371.5398,,,0.0
2019-01-31,3.85,58680277.0,5302.6739,,,0.0
2019-02-28,3.4,50437049.0,4682.8808,,,0.0
2019-03-31,4.75,131689610.0,6542.26,0.3131,,0.0
2019-04-30,3.8,96124911.0,5233.808,0.2505,,0.0
2019-05-31,3.8,58119281.0,5233.808,0.2505,,0.0
2019-06-30,3.45,63011947.0,4751.7467,0.2274,,0.0
2019-07-31,2.85,109438565.0,3925.356,0.1879,,0.0
2019-08-31,2.6,121959205.0,3581.0265,0.1714,,0.0
2019-09-30,1.65,161896285.0,2272.5745,0.1088,,0.0
2019-10-31,1.5,89921529.0,2065.9768,0.0989,,0.0
2019-11-30,3.0,100419146.0,4131.9537,0.1978,,0.0
2019-12-31,3.05,120338224.0,4200.8196,0.2011,,0.0
2020-01-31,3.3,85389207.0,4545.1491,0.2175,,0.0
2020-02-29,12.5,2499481.0,17216.4737,0.824,,0.0
2020-03-31,3.95,12074399.0,8732.0724,0.4365,,0.0
2020-04-30,7.25,286334332.0,16027.2214,0.8011,,0.0
2020-05-31,17.65,328440994.0,39017.9942,1.9503,,0.0
2020-06-30,50.6,201470518.0,111858.9521,5.5912,,0.0
2020-07-31,34.8,672027587.0,76930.6627,3.8453,,0.0
2020-08-31,31.7,486912245.0,70077.6439,3.5028,,0.0
2020-09-30,19.55,390351345.0,97070.4498,2.1602,,0.0
2020-10-31,21.85,348297918.0,108490.5028,2.4144,,0.0
2020-11-30,21.95,302591823.0,108987.0231,2.4254,,0.0
2020-12-31,23.3,362740422.0,115690.0975,2.5746,,0.0
2021-01-31,21.25,287336473.0,105511.355,2.3481,,0.0
2021-02-28,19.75,190417352.0,98063.4946,2.1823,,0.0
2021-03-31,20.15,334571764.0,100049.5907,2.2431,,0.0
2021-04-30,19.3,319990341.0,95829.1365,,,0.0
2021-05-31,20.65,326761211.0,102532.2108,,,0.0
2021-06-30,27.05,900782146.0,134309.7483,,,0.0
2021-07-31,24.6,274568757.0,122144.9139,,,0.0
2021-08-31,22.15,137600567.0,109980.0749,,,0.0
2021-09-30,23.8,262114452.0,118172.7215,,,0.0
2021-10-31,22.0,345434742.0,109235.2888,,,0.0
2021-11-30,21.35,141336327.0,106007.8826,,,0.0
2021-12-31,25.75,481684091.0,127854.9403,,,0.0
2022-01-31,30.95,1210531904.0,153674.1904,,,0.0
2022-02-28,24.0,454195810.0,119165.7696,,,0.0
2022-03-31,25.35,303081987.0,125868.8442,,,0.0
2022-04-30,25.75,559718404.0,127854.9403,,,0.0
2022-05-31,22.75,232228215.0,112959.2191,,,0.0
2022-06-30,22.0,42375759.0,109235.2888,,,0.0
2022-07-31,20.0,41126965.0,99304.808,,,0.0
2022-08-31,19.4,47830099.0,96325.6638,,,0.0
2022-09-30,18.05,84469880.0,89622.5892,,,0.0
2022-10-31,15.5,61371968.0,76961.2262,,,0.0
2022-11-30,15.9,52158612.0,78947.3224,,,0.0
2022-12-31,15.55,61232475.0,77209.4882,,,0.0
2023-01-31,13.4,48754297.0,66534.2214,,,0.0
2023-02-28,12.5,54582423.0,62065.505,,,0.0
2023-03-31,11.6,174115865.0,57596.7887,,,0.0
2023-04-30,12.6,231279612.0,62562.0291,,,0.0
2023-05-31,13.45,299601243.0,66782.4834,,,0.0
2023-06-30,16.35,975927056.0,81181.6806,,,0.0
2023-07-31,14.6,222067901.0,72492.5099,,,0.0
2023-08-31,19.85,834787612.0,98560.022,,,0.0
2023-09-30,18.95,768240667.0,94091.3056,,,0.0
2023-10-31,17.4,316288945.0,86395.183,,,0.0
2023-11-30,19.65,538269138.0,97566.9739,,,0.0
2023-12-31,21.35,731192464.0,106007.8826,,,0.0
2024-01-31,32.5,1655503104.0,161370.313,,,0.0
2024-02-29,28.85,111781187.0,143247.1856,,,0.0
2024-03-31,25.85,90367804.0,128351.4644,,,0.0
2024-04-30,27.3,96045250.0,135551.0629,,,0.0
2024-05-31,25.5,115254904.0,126613.6302,,,0.0
2024-06-30,27.92,326144735.0,138629.512,,,0.0
2024-07-31,26.93,330413517.0,133713.924,,,0.0
2024-08-31,27.3,867459046.0,135551.0629,,,0.0
2024-09-30,26.53,429345782.0,131727.8278,,,0.0
2024-10-31,22.46,341595465.0,111519.2994,,,0.0
2024-11-30,21.28,129657775.0,105660.3157,,,0.0
2024-12-31,21.02,205972423.0,104369.3532,,,0.0
2025-01-31,18.69,184955080.0,92800.3431,,,0.0
2025-02-28,15.36,96636036.0,76266.0926,,,0.0
2025-03-31,15.05,191558345.0,74726.868,,,0.0
2025-04-30,16.58,361710321.0,82323.6858,,,0.0
2025-05-31,19.64,230431144.0,97517.3215,,,0.0
2025-06-30,20.42,372783086.0,101390.209,,,0.0
2025-07-31,19.0,1131308940.0,94339.5676,,,0.0
2025-08-31,17.41,127590849.0,86444.8354,,,0.0
2025-09-30,17.32,205122498.0,85997.9637,,,0.0
2025-10-31,17.42,110714341.0,86494.4878,,,0.0
2025-11-30,16.92,67095777.0,84011.8676,,,0.0
2025-12-31,16.03,111585543.0,79592.8036,,,0.0
2026-01-31,15.1,141342718.0,74975.1301,,,0.0
2026-02-28,14.3,126635682.0,71002.9377,,,0.0
2026-03-31,13.58,15694009.0,67427.9643,,,0.0
