DIXON IN Equity,price,volume,mc,pe,bm,div
2023-05-31,3878.75,15708305.0,231018.99,90.2035,17.9794,2.0
2023-06-30,4388.6,18135176.0,261385.7401,102.0605,20.3427,2.0
2023-07-31,4122.0,8284226.0,245507.0001,95.8605,19.1069,2.0
2023-08-31,5003.85,21234286.0,298030.1316,116.3686,23.1946,2.0
2023-09-30,5289.25,9510858.0,315051.611,123.0058,24.5176,3.0
2023-10-31,5101.6,9258555.0,303874.3297,118.6419,23.6477,3.0
2023-11-30,5510.6,6629227.0,329525.807,128.1535,25.5436,3.0
2023-12-31,6566.75,16821633.0,392778.2983,152.7151,30.4392,3.0
2024-01-31,5991.1,7806732.0,358346.8326,139.3279,27.7709,3.0
2024-02-29,6683.85,9091480.0,399838.5677,155.4384,30.982,3.0
2024-03-31,7479.25,5260360.0,447420.6644,121.3398,26.3988,3.0
2024-04-30,8341.75,8417442.0,499016.7901,135.3326,29.4431,3.0
2024-05-31,9396.35,11034208.0,562231.4949,152.4419,33.1655,3.0
2024-06-30,11971.3,9998113.0,716303.8728,194.2166,42.254,3.0
2024-07-31,12106.45,11508591.0,724390.5859,196.4092,42.731,3.0
2024-08-31,13170.95,15218759.0,788104.8009,213.6792,46.4883,3.0
2024-09-30,13802.95,11963846.0,825921.529,223.9325,48.719,5.0
2024-10-31,14061.6,15181184.0,841398.2643,228.1287,49.632,5.0
2024-11-30,15807.4,11135041.0,949500.3295,256.4517,55.794,5.0
2024-12-31,17936.3,10508994.0,1077455.513,290.9899,63.3081,5.0
2025-01-31,14985.95,12599528.0,900224.3743,243.1249,52.8946,5.0
2025-02-28,13935.85,6335590.0,837255.0677,226.0886,49.1881,5.0
2025-03-31,13179.5,7108577.0,791814.1459,64.0715,26.3733,5.0
2025-04-30,16452.0,10453373.0,991013.991,79.9806,32.9219,5.0
2025-05-31,14692.0,11125426.0,888066.9903,71.4244,29.4,5.0
2025-06-30,14983.0,11862979.0,906137.0195,72.8391,29.9823,5.0
2025-07-31,16841.0,10665189.0,1018912.717,81.8717,33.7003,5.0
2025-08-31,16690.0,5369312.0,1009776.928,81.1376,33.3981,5.0
2025-09-30,16322.0,5025926.0,987704.0075,79.3486,32.6617,8.0
2025-10-31,15494.0,5783169.0,937598.6945,75.3233,31.0048,8.0
2025-11-30,14601.0,4496948.0,885386.8706,70.982,29.2179,8.0
2025-12-31,12102.0,14194578.0,734418.8618,58.8333,24.2171,8.0
2026-01-31,10446.0,16318810.0,633923.2714,50.7827,20.9033,8.0
2026-02-28,10528.0,16501346.0,640122.3295,51.1813,21.0674,8.0
2026-03-31,10190.0,2294631.0,619571.2897,49.5382,20.3911,8.0
