AJP IN Equity,price,volume,mc,pe,bm,div
2005-09-30,7.5,37501211.0,988.1974,10.0332,1.0125,0.0
2005-10-31,5.8,6122768.0,764.565,7.7626,0.7834,0.0
2005-11-30,7.42,16135841.0,977.0743,9.9202,1.0011,0.0
2005-12-31,6.93,13429868.0,913.263,9.2724,0.9357,0.0
2006-01-31,7.48,39181241.0,985.8557,10.0094,1.0101,0.0
2006-02-28,6.72,11161665.0,885.748,8.993,0.9075,0.0
2006-03-31,6.5,10203041.0,855.8913,6.9324,0.7906,0.0
2006-04-30,8.57,14160443.0,940.1925,9.1421,1.0426,0.0
2006-05-31,6.41,25797139.0,844.1828,6.8376,0.7798,0.0
2006-06-30,6.28,8211038.0,827.2055,6.7001,0.7641,0.0
2006-07-31,6.29,16622651.0,828.9618,6.7143,0.7657,0.0
2006-08-31,6.63,15882165.0,872.8687,7.0699,0.8063,0.0
2006-09-30,6.57,8080425.0,865.8436,7.013,0.7998,0.1333
2006-10-31,6.6,10051335.0,869.9415,7.0462,0.8036,0.1333
2006-11-30,6.27,8054179.0,825.4492,6.6859,0.7625,0.1333
2006-12-31,6.6,6050745.0,868.7707,7.0367,0.8025,0.1333
2007-01-31,6.68,7325100.0,879.3083,7.1221,0.8122,0.1333
2007-02-28,7.0,32876809.0,922.0444,7.4682,0.8517,0.1333
2007-03-31,6.37,4730063.0,839.4994,5.726,0.7276,0.1333
2007-04-30,7.03,2995448.0,925.5569,6.313,0.8022,0.1333
2007-05-31,7.49,9970459.0,987.0265,6.7322,0.8554,0.1333
2007-06-30,10.0,47393741.0,1316.6208,8.9803,1.1411,0.1333
2007-07-31,9.09,12019523.0,1197.7795,8.1697,1.0381,0.1333
2007-08-31,8.62,3605063.0,1135.7245,7.7465,0.9843,0.1333
2007-09-30,8.99,6971366.0,1184.3653,8.0779,1.0264,0.1778
2007-10-31,8.11,4084549.0,1068.4462,7.2873,0.926,0.1778
2007-11-30,7.89,3181185.0,1039.1737,7.0876,0.9006,0.1778
2007-12-31,10.14,27322695.0,1335.4114,9.1081,1.1573,0.1778
2008-01-31,7.48,11924629.0,985.3123,6.7203,0.8539,0.1778
2008-02-29,7.89,4659176.0,1039.1737,7.0876,0.9006,0.1778
2008-03-31,7.15,3462458.0,941.4036,4.3023,0.6981,0.1778
2008-04-30,8.6,3117285.0,1133.4312,5.1798,0.8405,0.1778
2008-05-31,8.27,4800308.0,1088.937,4.9765,0.8075,0.1778
2008-06-30,6.78,2805998.0,893.3967,4.0829,0.6625,0.2222
2008-07-31,7.28,2148593.0,958.3816,4.3798,0.7107,0.2222
2008-08-31,7.12,1484696.0,937.3054,4.2835,0.695,0.2222
2008-09-30,6.15,1367865.0,810.2628,3.7029,0.6008,0.2222
2008-10-31,5.01,1319288.0,660.3876,3.018,0.4897,0.2222
2008-11-30,4.52,2220458.0,595.9881,2.7237,0.4419,0.2222
2008-12-31,4.75,2001308.0,625.2606,2.8575,0.4637,0.2222
2009-01-31,4.61,1213256.0,607.1116,2.7745,0.4502,0.2222
2009-02-28,4.47,2327884.0,588.3772,2.6889,0.4363,0.2222
2009-03-31,4.56,4907419.0,601.2571,2.3642,0.3827,0.2222
2009-04-30,5.3,6644599.0,698.4418,2.7463,0.4446,0.2222
2009-05-31,7.9,26446309.0,1040.9301,4.093,0.6625,0.2222
2009-06-30,7.1,8577113.0,935.5491,3.6786,0.5955,0.2222
2009-07-31,7.68,1789256.0,1011.6576,3.9779,0.6439,0.2222
2009-08-31,8.08,3800689.0,1063.7626,4.1828,0.6771,0.2222
2009-09-30,8.91,5290774.0,1173.2418,4.6133,0.7468,0.2222
2009-10-31,8.23,6520725.0,1083.6679,4.261,0.6897,0.2222
2009-11-30,8.55,3117420.0,1125.8203,4.4268,0.7166,0.2222
2009-12-31,10.51,46775419.0,1384.5892,5.4443,0.8813,0.2222
2010-01-31,12.12,68345753.0,1595.9367,6.2753,1.0158,0.2222
2010-02-28,12.71,52564264.0,1674.3869,6.5838,1.0657,0.2222
2010-03-31,16.16,107945618.0,2129.2816,6.2621,1.1514,0.2222
2010-04-30,17.81,47157300.0,2346.4835,6.9008,1.2688,0.2222
2010-05-31,16.29,12036026.0,2145.6742,6.3103,1.1603,0.2222
2010-06-30,19.55,35630100.0,2574.809,7.5723,1.3923,0.3111
2010-07-31,19.48,14736454.0,2566.0273,7.5465,1.3876,0.3111
2010-08-31,20.61,154820768.0,2715.317,7.9855,1.4683,0.3111
2010-09-30,21.47,86351760.0,2828.3089,8.3178,1.5294,0.3111
2010-10-31,21.2,35968478.0,2792.5964,8.2128,1.5101,0.3111
2010-11-30,18.37,26072449.0,2420.2502,7.1178,1.3087,0.3111
2010-12-31,18.85,8596710.0,2483.4788,7.3037,1.3429,0.3111
2011-01-31,18.34,65454368.0,2416.1521,7.1057,1.3065,0.3111
2011-02-28,17.51,24876540.0,2306.0875,6.782,1.247,0.3111
2011-03-31,17.8,15052073.0,2345.3126,4.6248,1.0249,0.3111
2011-04-30,22.3,58224488.0,2937.788,5.7931,1.2838,0.3111
2011-05-31,24.73,48964163.0,3258.0291,6.4246,1.4237,0.3111
2011-06-30,26.93,29193694.0,3547.8269,6.9961,1.5503,0.4444
2011-07-31,30.92,22069946.0,4072.3901,8.0305,1.7796,0.4444
2011-08-31,28.1,9132570.0,3701.2148,7.2985,1.6174,0.4444
2011-09-30,26.49,3062306.0,3489.8673,6.8818,1.525,0.4444
2011-10-31,29.9,10937441.0,3938.322,7.7661,1.721,0.4444
2011-11-30,30.13,5327573.0,3969.3509,7.8273,1.7345,0.4444
2011-12-31,26.55,4777504.0,3496.8927,6.8956,1.5281,0.4444
2012-01-31,30.74,5206759.0,4048.9721,7.9843,1.7693,0.4444
2012-02-29,37.75,13793805.0,4972.2267,9.8049,2.1728,0.4444
2012-03-31,40.73,11564336.0,5364.8347,6.9435,1.8001,0.4444
2012-04-30,50.16,15680261.0,6607.1065,8.5513,2.2169,0.4444
2012-05-31,55.81,39201716.0,7351.7671,9.5151,2.4668,0.4444
2012-06-30,62.33,64260754.0,8210.0001,10.6259,2.7548,0.6667
2012-07-31,66.09,15613099.0,8705.8551,11.2676,2.9211,0.6667
2012-08-31,73.85,8115480.0,9727.4217,12.5898,3.2639,0.6667
2012-09-30,74.62,3958914.0,9829.2857,12.7216,3.2981,0.6667
2012-10-31,69.58,5253165.0,9165.4137,11.8624,3.0753,0.6667
2012-11-30,67.47,3366399.0,8886.7514,11.5017,2.9818,0.6667
2012-12-31,67.94,3675617.0,8948.8065,11.5821,3.0027,0.6667
2013-01-31,109.52,62340266.0,14426.0427,18.671,4.8405,0.6667
2013-02-28,105.0,17417604.0,13830.0801,17.8997,4.6405,0.6667
2013-03-31,114.65,8846033.0,15101.6232,13.4719,3.8385,0.6667
2013-04-30,138.28,42559217.0,18213.7425,16.2482,4.6295,0.6667
2013-05-31,170.16,35223041.0,22429.6614,19.9948,5.697,0.6667
2013-06-30,155.98,13292640.0,20560.8159,18.3288,5.2223,0.6667
2013-07-31,166.98,18228471.0,22010.1964,19.6208,5.5904,1.1111
2013-08-31,135.79,9231047.0,17898.7362,15.9557,4.5461,1.1111
2013-09-30,194.45,11957228.0,25631.8902,22.8494,6.5103,1.1111
2013-10-31,236.79,15183675.0,31212.0637,27.8238,7.9276,1.1111
2013-11-30,261.03,7731390.0,34407.2623,30.6721,8.7392,1.1111
2013-12-31,252.47,4017390.0,33278.9249,29.6663,8.4526,1.1111
2014-01-31,251.73,7963185.0,33182.2604,29.5801,8.428,1.1111
2014-02-28,277.52,4373168.0,36581.3309,32.6102,9.2914,1.1111
2014-03-31,265.33,4810684.0,34974.9461,14.9534,5.8949,1.1111
2014-04-30,264.65,3650475.0,34885.3118,14.9151,5.8798,1.1111
2014-05-31,286.55,16336166.0,37799.876,16.1489,6.3662,1.1111
2014-06-30,437.91,10659184.0,57766.5652,24.6791,9.7289,1.1111
2014-07-31,430.39,5250251.0,56774.5604,24.2553,9.5619,2.6667
2014-08-31,423.99,7912879.0,55930.3028,23.8946,9.4197,2.6667
2014-09-30,461.71,4721663.0,60906.1481,26.0204,10.2577,2.6667
2014-10-31,506.52,3332831.0,66817.7077,28.546,11.2533,2.6667
2014-11-30,629.96,4736753.0,83101.3322,35.5027,13.9958,2.6667
2014-12-31,620.57,5756381.0,81863.0789,34.9737,13.7872,2.6667
2015-01-31,681.27,5999449.0,89869.4593,38.3942,15.1356,2.6667
2015-02-28,747.11,5238304.0,98553.6324,42.1047,16.5984,2.6667
2015-03-31,819.33,8051594.0,108082.5574,34.8751,12.8503,2.6667
2015-04-30,842.0,5263349.0,111072.6363,35.84,13.2058,2.6667
2015-05-31,1053.1,7164467.0,138919.9446,44.8255,16.5167,2.6667
2015-06-30,1046.0,9119456.0,137983.3463,44.5233,16.4053,4.0
2015-07-31,1042.6,6559475.0,137534.8345,44.3785,16.352,4.0
2015-08-31,999.87,8200352.0,131897.6619,42.5596,15.6818,4.0
2015-09-30,986.5,5818554.0,130134.3892,41.9906,15.4721,4.0
2015-10-31,1032.93,5080322.0,136259.6538,43.9671,16.2004,4.0
2015-11-30,885.0,4615118.0,116821.661,37.6703,13.8802,4.0
2015-12-31,887.83,5934326.0,117195.6663,37.7909,13.9246,4.0
2016-01-31,849.3,5633378.0,112109.1885,36.1507,13.3203,4.0
2016-02-29,868.03,7309803.0,114582.0347,36.9481,13.6141,4.0
2016-03-31,939.43,4546986.0,124006.9632,29.8359,10.4132,5.3333
2016-04-30,1009.67,4995641.0,133277.895,32.0665,11.1917,5.3333
2016-05-31,1012.5,4069358.0,133651.9003,32.1565,11.2231,5.3333
2016-06-30,1001.43,4001082.0,132196.7066,31.805,11.1005,5.3333
2016-07-31,1187.77,6797879.0,156794.1034,37.7228,13.1659,5.3333
2016-08-31,1267.53,4846907.0,167323.9068,40.2562,14.0501,5.3333
2016-09-30,1338.07,4841331.0,176634.83,42.4963,14.8319,5.3333
2016-10-31,1368.43,4178736.0,180643.4466,43.4607,15.1685,5.3333
2016-11-30,1265.0,3967224.0,166989.4823,40.1757,14.022,9.3333
2016-12-31,1188.53,3793190.0,156895.3146,37.7472,13.1744,9.3333
2017-01-31,1136.17,12290174.0,149982.5166,36.0841,12.5939,9.3333
2017-02-28,1144.97,5029080.0,151144.177,36.3635,12.6915,9.3333
2017-03-31,1173.7,4261538.0,154937.2034,30.5704,9.8935,4.6667
2017-04-30,1101.5,2978450.0,145406.2567,28.6899,9.2849,4.6667
2017-05-31,1046.53,6685001.0,138150.2447,27.2582,8.8216,4.6667
2017-06-30,1029.93,3031910.0,135960.4643,26.8258,8.6816,4.6667
2017-07-31,931.43,8563658.0,122957.5783,24.2603,7.8514,4.6667
2017-08-31,795.97,7884125.0,105074.7598,20.7319,6.7095,4.6667
2017-09-30,756.53,10413656.0,99878.8585,19.7048,6.3771,4.6667
2017-10-31,813.37,7816943.0,107382.095,21.1851,6.8561,4.6667
2017-11-30,913.4,9638168.0,120588.6692,23.7906,7.6993,4.6667
2017-12-31,994.3,10976304.0,131269.229,25.8977,8.3813,4.6667
2018-01-31,967.7,7067481.0,127757.4504,25.2049,8.1571,4.6667
2018-02-28,931.83,6215309.0,123022.2674,24.2707,7.8547,4.6667
2018-03-31,926.9,6261492.0,122370.9601,26.105,5.9993,4.6667
2018-04-30,903.5,5319921.0,119281.6511,25.4459,5.8479,4.6667
2018-05-31,641.57,10653969.0,84701.7164,18.0689,4.1525,0.0
2018-06-30,655.13,21250931.0,86492.8319,18.451,4.2403,0.0
2018-07-31,758.8,19823928.0,100179.2421,21.3706,4.9113,0.0
2018-08-31,847.17,13660758.0,111845.6966,23.8594,5.4833,0.0
2018-09-30,709.17,10764410.0,93634.4662,19.9728,4.5901,0.0
2018-10-31,705.57,10601460.0,93159.142,19.8714,4.5668,0.0
2018-11-30,779.03,11410104.0,102859.2766,21.9405,5.0423,6.0
2018-12-31,790.47,10616321.0,104368.8711,22.2625,5.1163,6.0
2019-01-31,680.43,12174005.0,89840.6749,19.1635,4.4041,6.0
2019-02-28,652.6,21585932.0,86165.7147,18.3796,4.2239,6.0
2019-03-31,690.13,15847647.0,91121.4096,23.5433,4.0584,6.0
2019-04-30,660.27,7889822.0,86416.1338,22.5244,3.8827,6.0
2019-05-31,697.03,13771890.0,91228.1792,23.7787,4.0989,6.0
2019-06-30,637.2,9908283.0,83397.1534,21.7375,3.7471,6.0
2019-07-31,587.9,6266165.0,76945.6189,20.0557,3.4572,6.0
2019-08-31,681.83,8702529.0,89239.816,23.2602,4.0095,6.0
2019-09-30,673.73,3259932.0,88179.6706,22.9839,3.9619,6.0
2019-10-31,700.47,3292658.0,91685.4164,23.8958,4.1191,6.0
2019-11-30,664.6,3692133.0,86990.7601,22.6723,3.9082,8.6667
2019-12-31,649.7,1810416.0,85040.4707,22.164,3.8206,8.6667
2020-01-31,738.93,4722095.0,96720.3917,25.2081,4.3453,8.6667
2020-02-29,923.43,10174833.0,120869.9481,31.5022,5.4303,8.6667
2020-03-31,910.87,7199021.0,119225.0732,25.4907,4.6298,8.6667
2020-04-30,991.47,4894907.0,129774.9607,27.7463,5.0394,8.6667
2020-05-31,1015.97,7409369.0,132981.8124,28.4319,5.164,8.6667
2020-06-30,944.77,5388327.0,123662.3088,26.4394,4.8021,8.6667
2020-07-31,1086.13,7862823.0,142166.0611,30.3955,5.5206,8.6667
2020-08-31,989.73,8587530.0,129548.0814,27.6978,5.0306,8.6667
2020-09-30,1075.73,6597204.0,140804.7853,30.1045,5.4677,8.6667
2020-10-31,1048.77,4612269.0,137275.0622,29.3498,5.3307,8.6667
2020-11-30,1024.07,5011269.0,134050.4869,28.6586,5.2051,6.3333
2020-12-31,1088.8,4666865.0,142524.0904,30.4701,5.5342,6.3333
2021-01-31,1177.33,3873108.0,154113.1176,32.9478,5.9842,6.3333
2021-02-28,1165.13,4512575.0,152516.1357,32.6063,5.9221,6.3333
2021-03-31,1194.6,3635639.0,155056.2769,23.8634,5.2219,6.3333
2021-04-30,1226.73,5724237.0,159227.1081,24.5053,5.3624,6.3333
2021-05-31,1280.5,5516510.0,166205.8953,25.5793,5.5974,6.3333
2021-06-30,1432.47,3614655.0,185930.8121,28.615,6.2617,6.3333
2021-07-31,1528.07,3165932.0,198339.47,30.5247,6.6796,6.3333
2021-08-31,1485.2,2539970.0,192775.4772,29.6684,6.4922,6.3333
2021-09-30,1518.73,2151626.0,197128.0252,30.3383,6.6388,6.3333
2021-10-31,1413.07,1974252.0,183421.2181,28.2275,6.1769,6.3333
2021-11-30,1386.83,1857941.0,180016.0355,27.7034,6.0622,6.3333
2021-12-31,1490.37,3753701.0,193455.0406,29.7716,6.5148,6.3333
2022-01-31,1467.23,1978019.0,190452.2494,29.3095,6.4137,6.3333
2022-02-28,1148.07,2119221.0,149023.2495,22.9338,5.0185,6.3333
2022-03-31,1207.17,2176958.0,154666.6055,21.9618,4.7806,6.3333
2022-04-30,1147.4,2367642.0,147009.0817,20.8745,4.5439,6.3333
2022-05-31,1142.0,2601317.0,146318.927,20.7762,4.5225,6.3333
2022-06-30,1235.6,4019832.0,158311.4415,22.4791,4.8932,6.3333
2022-07-31,1278.6,2170806.0,163820.8232,23.2614,5.0635,6.3333
2022-08-31,1369.95,2518199.0,175525.0561,24.9233,5.4252,6.3333
2022-09-30,1272.45,1642407.0,163032.8535,23.1495,5.0391,6.3333
2022-10-31,1294.95,1715300.0,165915.6695,23.5588,5.1282,6.3333
2022-11-30,1228.5,1591181.0,157401.7529,22.3499,4.8651,7.0
2022-12-31,1211.95,3067211.0,155281.2816,22.0488,4.7995,7.0
2023-01-31,1209.8,1307702.0,155005.8125,22.0097,4.791,7.0
2023-02-28,1182.2,835412.0,151469.5582,21.5076,4.6817,7.0
2023-03-31,1208.8,2780490.0,154877.6874,26.3413,4.5199,7.0
2023-04-30,1312.6,1583532.0,168177.0785,28.6032,4.908,7.0
2023-05-31,1308.25,2561529.0,164729.1557,28.5084,4.8917,7.0
2023-06-30,1479.15,2575722.0,186248.1411,32.2325,5.5307,7.0
2023-07-31,1697.2,8179642.0,213704.0497,36.9841,6.346,7.0
2023-08-31,1727.4,4222351.0,217506.7024,37.6422,6.459,25.0
2023-09-30,1799.9,5329119.0,226635.5874,39.2221,6.73,25.0
2023-10-31,1763.2,3938433.0,222014.4829,38.4223,6.5928,25.0
2023-11-30,1976.15,3933811.0,248828.2216,43.0628,7.3891,25.0
2023-12-31,2083.65,3422993.0,262364.1545,45.4053,7.791,25.0
2024-01-31,2174.25,2128545.0,273772.1129,47.3796,8.1298,25.0
2024-02-29,2208.0,2706911.0,278021.7662,48.1151,8.256,41.0
2024-03-31,2230.85,2481613.0,280898.939,34.4161,7.9221,41.0
2024-04-30,2215.45,2048567.0,278959.8379,34.1785,7.8674,41.0
2024-05-31,2333.15,5423923.0,293780.1105,35.9943,8.2854,41.0
2024-06-30,2287.2,1402011.0,287996.5733,35.2854,8.1222,41.0
2024-07-31,2695.1,4962515.0,336585.0397,41.5782,9.5707,41.0
2024-08-31,3243.55,5950601.0,405158.6387,50.0393,11.5183,26.0
2024-09-30,3201.6,3728778.0,399918.5762,49.3922,11.3693,26.0
2024-10-31,3064.7,3406096.0,382818.1098,47.2802,10.8832,26.0
2024-11-30,3022.55,1763273.0,377553.0648,46.6299,10.7335,54.0
2024-12-31,2932.2,3424571.0,366267.2567,45.236,10.4127,54.0
2025-01-31,2694.45,2974905.0,336569.4052,41.5682,9.5684,54.0
2025-02-28,2485.95,5056099.0,310525.2325,38.3516,8.828,28.0
2025-03-31,2623.0,3137089.0,327644.4357,35.658,8.6974,28.0
2025-04-30,2706.1,1837619.0,338024.6311,36.7877,8.9729,28.0
2025-05-31,2510.8,1830072.0,313629.2982,34.1327,8.3253,28.0
2025-06-30,2574.1,3053166.0,321536.234,34.9932,8.5352,28.0
2025-07-31,2751.4,4091648.0,343683.1492,37.4035,9.1231,28.0
2025-08-31,2477.6,1857549.0,309540.502,33.6813,8.2152,28.0
2025-09-30,2406.3,2410741.0,300632.592,32.7121,7.9788,28.0
2025-10-31,2465.3,2227822.0,308003.7938,33.5141,8.1745,28.0
2025-11-30,2560.8,1890716.0,319935.1459,34.8124,8.4911,28.0
2025-12-31,2768.9,2835894.0,345934.2493,37.6414,9.1811,28.0
2026-01-31,2781.9,3290500.0,347558.4124,37.8181,9.2242,28.0
2026-02-28,2993.9,2472577.0,374044.7647,40.7001,9.9272,28.0
2026-03-31,2979.5,285670.0,372245.6917,40.5044,9.8794,28.0
