SYNG IN Equity,price,volume,mc,pe,bm,div
2019-06-30,333.9,6748262.0,133560.0,39.8211,6.7852,0.5
2019-07-31,301.75,4490227.0,120700.0,35.9869,6.1319,0.5
2019-08-31,309.45,2643991.0,123780.0,36.9052,6.2884,0.5
2019-09-30,310.05,1571765.0,124020.0,36.9767,6.3005,0.5
2019-10-31,331.4,2982039.0,132560.0,39.523,6.7344,0.5
2019-11-30,316.9,3708780.0,126760.0,37.7937,6.4397,0.5
2019-12-31,320.15,4159879.0,128060.0,38.1813,6.5058,0.5
2020-01-31,314.05,6420448.0,125620.0,37.4538,6.3818,0.5
2020-02-29,300.4,2872658.0,120160.0,35.8259,6.1045,0.5
2020-03-31,240.15,7435140.0,96060.0,23.1358,4.4149,0.5
2020-04-30,322.1,7690386.0,128840.0,31.0308,5.9215,0.5
2020-05-31,357.1,8759111.0,142840.0,34.4027,6.5649,0.5
2020-06-30,400.9,10569203.0,160360.0,38.6224,7.3702,0.5
2020-07-31,487.55,21640688.0,195020.0,46.9701,8.9631,0.5
2020-08-31,474.2,14995049.0,189680.0,45.684,8.7177,0.5
2020-09-30,552.95,34399506.0,221180.0,53.2707,10.1655,0.0
2020-10-31,534.95,16021820.0,213980.0,51.5366,9.8345,0.0
2020-11-30,577.95,10343705.0,231180.0,55.6792,10.6251,0.0
2020-12-31,639.6,17440323.0,255840.0,61.6185,11.7584,0.0
2021-01-31,566.4,10496610.0,226560.0,54.5665,10.4127,0.0
2021-02-28,559.15,8331240.0,223660.0,53.868,10.2794,0.0
2021-03-31,543.45,11654636.0,217380.0,53.3841,7.7047,0.0
2021-04-30,553.75,12634537.0,221500.0,54.3959,7.8507,0.0
2021-05-31,584.25,9772663.0,233700.0,57.3919,8.2831,0.0
2021-06-30,583.3,7570933.0,233320.0,57.2986,8.2697,0.0
2021-07-31,638.8,19775976.0,256028.8093,62.7505,9.0565,0.0
2021-08-31,641.35,9208029.0,257050.8404,63.001,9.0926,0.0
2021-09-30,599.9,21834754.0,240437.8251,58.9293,8.505,0.0
2021-10-31,540.8,14208562.0,216750.7515,53.1238,7.6671,0.0
2021-11-30,596.15,16111469.0,238934.8382,58.5609,8.4518,0.0
2021-12-31,619.9,15955628.0,248453.7553,60.8939,8.7885,0.0
2022-01-31,570.1,12447452.0,228494.0892,56.002,8.0825,0.0
2022-02-28,541.75,8125160.0,217131.5082,53.2171,7.6806,0.0
2022-03-31,597.6,8055504.0,239515.9932,60.1207,7.2633,0.0
2022-04-30,626.95,13542938.0,251679.3598,63.0734,7.6201,0.0
2022-05-31,572.5,6029980.0,229821.2513,57.5956,6.9583,0.0
2022-06-30,554.75,6960778.0,222695.7889,55.8099,6.7425,1.0
2022-07-31,567.95,13172145.0,227632.3722,57.1378,6.903,1.0
2022-08-31,600.55,10120730.0,241081.489,60.4175,7.2992,1.0
2022-09-30,560.6,41563129.0,225044.1807,56.3984,6.8136,1.0
2022-10-31,631.3,14651334.0,253425.5999,63.5111,7.6729,1.0
2022-11-30,607.6,10650720.0,243911.6022,61.1268,7.3849,1.0
2022-12-31,585.55,6982209.0,235059.9715,58.9085,7.1169,1.0
2023-01-31,562.3,11329273.0,225726.6194,56.5694,6.8343,1.0
2023-02-28,580.75,53905952.0,233133.0859,58.4256,7.0585,1.0
2023-03-31,594.5,8183042.0,238652.8103,51.2942,6.5963,1.0
2023-04-30,677.0,14462862.0,271771.1565,58.4124,7.5116,1.0
2023-05-31,725.0,16110267.0,291040.0125,62.5539,8.0442,1.0
2023-06-30,765.05,9668945.0,307561.5757,66.0095,8.4886,1.25
2023-07-31,796.1,17214873.0,320044.1415,68.6885,8.8331,1.25
2023-08-31,774.05,14169204.0,311179.7107,66.786,8.5885,1.25
2023-09-30,804.15,19985907.0,323280.3623,69.3831,8.9224,1.25
2023-10-31,680.3,23867407.0,273490.8045,58.6972,7.5483,1.25
2023-11-30,752.2,12701230.0,302395.683,64.9008,8.346,1.25
2023-12-31,701.45,24500477.0,281993.4218,60.522,7.7829,1.25
2024-01-31,750.5,28818862.0,301712.2575,64.7541,8.3272,1.25
2024-02-29,706.05,15409841.0,283842.6907,60.9189,7.834,1.25
2024-03-31,702.55,15116870.0,282435.6382,55.2754,6.6334,1.25
2024-04-30,689.15,21690711.0,277048.6372,54.2211,6.5068,1.25
2024-05-31,672.1,17201247.0,270545.1049,52.8796,6.3459,1.25
2024-06-30,710.0,16874515.0,285801.2565,55.8615,6.7037,1.25
2024-07-31,807.8,27378946.0,325169.3733,63.5563,7.6271,1.25
2024-08-31,868.75,17374968.0,349704.0022,68.3517,8.2026,1.25
2024-09-30,898.4,23173030.0,361639.2237,70.6845,8.4826,1.25
2024-10-31,860.25,17740765.0,346282.4379,67.6829,8.1223,1.25
2024-11-30,940.8,12240574.0,378706.7917,74.0205,8.8829,1.25
2024-12-31,858.45,27816216.0,345557.8713,67.5413,8.1054,1.25
2025-01-31,746.65,19102470.0,300554.2369,58.7451,7.0498,1.25
2025-02-28,652.4,18242956.0,262615.1264,51.3297,6.1599,1.25
2025-03-31,726.2,12504165.0,292322.3556,58.8016,6.1844,1.25
2025-04-30,634.05,46840554.0,255228.5728,51.3401,5.3996,1.25
2025-05-31,646.55,20602441.0,260520.482,52.3522,5.5061,1.25
2025-06-30,638.9,16713828.0,257437.9954,51.7328,5.4409,1.25
2025-07-31,714.0,32165609.0,287698.7459,57.8138,6.0805,1.25
2025-08-31,625.9,12735777.0,252199.783,50.6802,5.3302,1.25
2025-09-30,622.85,15328783.0,250970.8177,50.4332,5.3042,1.25
2025-10-31,650.1,13578964.0,261950.9169,52.6397,5.5363,1.25
2025-11-30,648.3,16117246.0,261225.626,52.4939,5.521,1.25
2025-12-31,651.0,10531741.0,262313.5624,52.7126,5.544,1.25
2026-01-31,473.45,25715585.0,190771.6684,38.336,4.0319,1.25
2026-02-28,422.2,31343512.0,170121.0231,34.1862,3.5955,1.25
2026-03-31,404.05,2971692.0,162807.6677,32.7166,3.4409,1.25
