SBILIFE IN Equity,price,volume,mc,pe,bm,div
2020-12-31,904.25,46472196.0,904303.0713,69.3042,8.9241,0.0
2021-01-31,864.45,36491416.0,864500.7354,66.2538,8.5313,0.0
2021-02-28,866.9,44836540.0,866950.8792,66.4416,8.5555,0.0
2021-03-31,880.85,138976049.0,880912.4505,67.4591,8.47,0.0
2021-04-30,928.7,36158854.0,928765.843,71.1236,8.9301,2.5
2021-05-31,975.65,102602726.0,975756.8064,74.7192,9.3815,2.5
2021-06-30,1008.15,33971208.0,1008296.595,88.6001,9.5316,2.5
2021-07-31,1098.6,33728625.0,1098759.786,96.5492,10.3868,2.5
2021-08-31,1192.05,60222979.0,1192279.092,104.762,11.2703,2.5
2021-09-30,1215.1,74557744.0,1215359.197,98.4684,11.1431,2.5
2021-10-31,1145.55,36416954.0,1145794.361,92.8323,10.5053,2.5
2021-11-30,1160.55,26091143.0,1160853.367,94.0478,10.6428,2.5
2021-12-31,1196.0,29119545.0,1196338.824,87.619,10.6828,2.5
2022-01-31,1233.25,23933243.0,1233599.377,90.348,11.0155,2.5
2022-02-28,1060.15,32175049.0,1060450.338,77.6667,9.4694,2.5
2022-03-31,1121.45,29221203.0,1121865.567,74.5645,9.6527,2.0
2022-04-30,1105.5,26649333.0,1105909.656,73.504,9.5154,2.0
2022-05-31,1174.15,27293280.0,1174663.603,78.0685,10.1063,2.0
2022-06-30,1081.6,21152364.0,1082117.843,70.0518,9.2018,2.0
2022-07-31,1294.4,26929908.0,1295019.726,83.8342,11.0122,2.0
2022-08-31,1329.1,25717024.0,1329736.34,86.0816,11.3074,2.0
2022-09-30,1250.45,26502058.0,1251342.391,74.6983,10.2383,2.0
2022-10-31,1265.95,17572930.0,1266853.453,75.6243,10.3652,2.0
2022-11-30,1282.9,19943289.0,1283908.389,76.6368,10.504,2.0
2022-12-31,1231.3,19629647.0,1232323.446,76.2887,9.7964,2.0
2023-01-31,1219.55,24290911.0,1220563.679,75.5607,9.7029,2.0
2023-02-28,1121.0,44171670.0,1121985.123,69.4548,8.9188,2.0
2023-03-31,1101.1,20805401.0,1102085.219,64.0547,8.4662,2.5
2023-04-30,1140.1,18725936.0,1141120.115,66.3234,8.7661,2.5
2023-05-31,1235.0,24127027.0,1236113.582,71.8441,9.4957,2.5
2023-06-30,1306.9,25043969.0,1308162.002,71.1432,9.6643,2.5
2023-07-31,1282.15,23219525.0,1283388.102,69.7959,9.4813,2.5
2023-08-31,1292.55,24463970.0,1293894.306,70.362,9.5582,2.5
2023-09-30,1305.4,20234347.0,1306823.289,70.9071,9.3552,2.5
2023-10-31,1367.85,20901606.0,1369341.379,74.2993,9.8028,2.5
2023-11-30,1435.25,21472791.0,1436916.609,77.9603,10.2858,2.5
2023-12-31,1432.6,28481632.0,1434376.715,77.1044,9.9423,2.5
2024-01-31,1401.15,31030619.0,1402887.71,75.4117,9.724,2.5
2024-02-29,1552.55,29114615.0,1554475.477,83.5603,10.7747,2.5
2024-03-31,1500.25,24068505.0,1502448.564,79.2944,10.0778,2.7
2024-04-30,1436.55,29568796.0,1438655.214,75.9276,9.6499,2.7
2024-05-31,1386.4,29378529.0,1388506.572,73.277,9.313,2.7
2024-06-30,1491.95,29015873.0,1494302.589,73.4951,9.6094,2.7
2024-07-31,1753.65,34470666.0,1756415.252,86.3867,11.295,2.7
2024-08-31,1850.3,28901391.0,1853609.448,91.1478,11.9175,2.7
2024-09-30,1844.0,30916688.0,1847547.771,84.626,11.3631,2.7
2024-10-31,1622.15,35351030.0,1625270.942,74.4447,9.996,2.7
2024-11-30,1437.75,38290964.0,1440690.248,65.9821,8.8597,2.7
2024-12-31,1390.4,42736774.0,1393304.546,57.7409,8.3942,2.7
2025-01-31,1483.6,34590181.0,1486699.24,61.6113,8.9568,2.7
2025-02-28,1430.5,23707180.0,1433488.315,59.4061,8.6362,2.7
2025-03-31,1547.85,21411881.0,1551154.788,64.2261,9.1323,2.7
2025-04-30,1765.8,34343739.0,1769570.13,73.2697,10.4182,2.7
2025-05-31,1812.2,19607293.0,1816155.826,75.195,10.692,2.7
2025-06-30,1838.3,28595415.0,1842622.432,74.0056,10.3296,2.7
2025-07-31,1840.7,21556252.0,1845028.075,74.1023,10.343,2.7
2025-08-31,1805.5,15332646.0,1809745.308,72.6852,10.1453,2.7
2025-09-30,1790.6,24222733.0,1795198.264,73.1454,9.8117,2.7
2025-10-31,1955.7,23065558.0,1960722.242,79.8897,10.7164,2.7
2025-11-30,1966.0,18051288.0,1971048.692,80.3105,10.7728,2.7
2025-12-31,2034.9,16448401.0,2040658.437,82.2847,10.7292,2.7
2026-01-31,1998.5,22939770.0,2004155.431,80.8128,10.5373,2.7
2026-02-28,2037.2,18378540.0,2043345.817,82.3777,10.7414,2.7
2026-03-31,1949.2,3963797.0,1955080.29,78.8192,10.2774,2.7
