GNP IN Equity,price,volume,mc,pe,bm,div
2017-08-31,609.1,18979583.0,171868.6213,18.7646,3.4795,2.0
2017-09-30,598.3,28130192.0,168821.2053,18.4319,3.4178,2.0
2017-10-31,617.7,14886324.0,174295.2674,19.0296,3.5287,2.0
2017-11-30,564.1,25670999.0,159171.0613,17.3783,3.2225,2.0
2017-12-31,594.75,22567192.0,167819.5155,18.3226,3.3975,2.0
2018-01-31,606.2,24198495.0,171050.341,18.6753,3.463,2.0
2018-02-28,544.55,26354462.0,153654.6693,16.776,3.1108,2.0
2018-03-31,526.3,17441644.0,148505.1005,19.18,2.6571,2.0
2018-04-30,571.7,13788715.0,161315.5348,20.8345,2.8863,2.0
2018-05-31,535.95,21074887.0,151228.0232,19.5317,2.7058,2.0
2018-06-30,583.05,34827357.0,164518.1434,21.2482,2.9436,2.0
2018-07-31,581.75,14419901.0,164151.3248,21.2008,2.937,2.0
2018-08-31,665.65,23695071.0,187825.233,24.2584,3.3606,2.0
2018-09-30,632.15,22837259.0,178372.5998,23.0375,3.1915,2.0
2018-10-31,621.5,17707263.0,175367.509,22.6494,3.1377,2.0
2018-11-30,653.15,21813853.0,184298.1311,23.8028,3.2975,2.0
2018-12-31,693.05,25581304.0,195556.6405,25.2569,3.4989,2.0
2019-01-31,651.65,14666154.0,183874.8789,23.7482,3.2899,2.0
2019-02-28,596.55,16268415.0,168327.4135,21.7402,3.0117,2.0
2019-03-31,647.2,14238421.0,182619.2306,19.7437,3.258,2.0
2019-04-30,638.4,9312575.0,180136.1508,19.4753,3.2137,2.0
2019-05-31,545.35,15535230.0,153880.4039,16.6367,2.7453,2.0
2019-06-30,443.35,29344627.0,125099.252,13.525,2.2318,2.0
2019-07-31,426.05,26564334.0,120217.7429,12.9973,2.1448,2.0
2019-08-31,384.3,29490160.0,108437.2224,11.7236,1.9346,2.0
2019-09-30,325.05,22733191.0,91718.7591,9.9161,1.6363,2.0
2019-10-31,315.4,38427839.0,88995.8364,9.6217,1.5877,2.0
2019-11-30,337.3,146129557.0,95175.319,10.2898,1.698,2.0
2019-12-31,347.45,46455378.0,98039.3258,10.5995,1.7491,2.0
2020-01-31,310.2,41104343.0,87528.562,9.4631,1.5616,2.0
2020-02-29,277.55,48250561.0,78315.7717,8.4671,1.3972,2.0
2020-03-31,205.85,66838370.0,58084.3149,7.4855,0.9568,2.0
2020-04-30,337.05,168730252.0,95104.777,12.2564,1.5667,2.0
2020-05-31,355.05,88119322.0,100183.8038,12.9109,1.6503,2.0
2020-06-30,450.3,322395550.0,127060.3206,16.3745,2.0931,2.0
2020-07-31,452.35,133113743.0,127638.7654,16.4491,2.1026,2.0
2020-08-31,469.6,100705100.0,132506.1661,17.0764,2.1828,2.0
2020-09-30,482.65,67387571.0,136188.4605,17.5509,2.2434,2.5
2020-10-31,474.8,58269228.0,133973.4443,17.2655,2.207,2.5
2020-11-30,471.4,59018990.0,133014.0725,17.1418,2.1912,2.5
2020-12-31,493.5,60241504.0,139249.9889,17.9455,2.2939,2.5
2021-01-31,471.55,39881929.0,133056.3977,17.1473,2.1919,2.5
2021-02-28,466.2,38825963.0,131546.7981,16.9527,2.167,2.5
2021-03-31,464.7,32703952.0,131123.5458,13.5166,1.8561,2.5
2021-04-30,576.8,106746727.0,162754.597,16.7772,2.3038,2.5
2021-05-31,592.5,83466872.0,167184.6372,17.2339,2.3665,2.5
2021-06-30,652.55,55661387.0,184128.8354,18.9805,2.6063,2.5
2021-07-31,607.45,52912386.0,171403.0464,17.6687,2.4262,2.5
2021-08-31,530.3,38907365.0,149633.7731,15.4247,2.1181,2.5
2021-09-30,510.45,27232223.0,144032.7352,14.8473,2.0388,2.5
2021-10-31,503.9,25911201.0,142184.5338,14.6568,2.0126,2.5
2021-11-30,523.8,40251562.0,147799.6801,15.2356,2.0921,2.5
2021-12-31,528.55,31473637.0,149139.9789,15.3738,2.1111,2.5
2022-01-31,486.55,19552362.0,137288.9163,14.1521,1.9433,2.5
2022-02-28,448.5,16329382.0,126552.418,13.0454,1.7914,2.5
2022-03-31,442.0,21668961.0,124718.325,13.2454,1.3725,2.5
2022-04-30,439.55,14641085.0,124027.013,13.172,1.3649,2.5
2022-05-31,393.55,16641038.0,111047.2778,11.7935,1.2221,2.5
2022-06-30,386.35,19706583.0,109015.6671,11.5778,1.1997,2.5
2022-07-31,380.85,18598896.0,107463.7422,11.4129,1.1827,2.5
2022-08-31,371.15,27517336.0,104726.7111,11.1223,1.1525,2.5
2022-09-30,388.65,22897030.0,109664.6538,11.6467,1.2069,2.5
2022-10-31,404.55,20308336.0,114151.1275,12.1232,1.2563,2.5
2022-11-30,430.7,27106462.0,121529.8248,12.9068,1.3375,2.5
2022-12-31,424.15,31588928.0,119681.6234,12.7105,1.3171,2.5
2023-01-31,384.0,12342502.0,108352.5719,11.5073,1.1924,2.5
2023-02-28,428.75,26754081.0,120979.5969,12.8484,1.3314,2.5
2023-03-31,464.7,22886543.0,131123.5421,13.3488,1.384,2.5
2023-04-30,563.45,28804310.0,158987.6475,,1.6782,2.5
2023-05-31,597.75,42472834.0,168666.0152,,1.7803,2.5
2023-06-30,676.0,26864710.0,190745.6735,,2.0134,2.5
2023-07-31,787.85,29832225.0,222306.1817,,2.3465,2.5
2023-08-31,766.85,20181497.0,216380.6504,,2.284,2.5
2023-09-30,855.5,46292527.0,241394.8575,,2.548,2.5
2023-10-31,747.75,15514282.0,210991.2386,,2.2271,2.5
2023-11-30,779.95,24691728.0,220077.0533,,2.323,2.5
2023-12-31,853.95,28232218.0,240957.4968,,2.5434,2.5
2024-01-31,910.2,24884550.0,256829.4556,,2.7109,2.5
2024-02-29,925.1,39690337.0,261052.2631,,2.7553,2.5
2024-03-31,958.45,19674786.0,270463.2381,,3.4463,2.5
2024-04-30,1057.2,15908731.0,298329.3185,,3.8014,2.5
2024-05-31,1160.35,23923640.0,327437.0268,,4.1723,2.5
2024-06-30,1230.5,14401018.0,347232.526,,4.4245,2.5
2024-07-31,1468.75,20865210.0,414463.8541,,5.2812,2.5
2024-08-31,1731.75,25642378.0,488679.3392,,6.2269,2.5
2024-09-30,1673.5,26052266.0,472241.8791,,6.0174,2.5
2024-10-31,1694.55,15332590.0,478181.9397,,6.0931,2.5
2024-11-30,1528.65,12940401.0,431366.9247,,5.4966,2.5
2024-12-31,1609.1,16655778.0,454068.9618,,5.7858,2.5
2025-01-31,1453.2,8441542.0,410075.8283,,5.2253,2.5
2025-02-28,1278.95,14977559.0,360904.5421,,4.5987,2.5
2025-03-31,1541.05,11584926.0,434866.0578,41.5265,4.9141,2.5
2025-04-30,1381.2,16221623.0,389758.2811,37.2191,4.4043,2.5
2025-05-31,1457.1,16487251.0,411194.7988,39.2643,4.6464,2.5
2025-06-30,1753.8,25934476.0,494923.7788,47.2595,5.5925,2.5
2025-07-31,2134.1,48689519.0,602244.7465,57.5074,6.8052,2.5
2025-08-31,1923.9,14793146.0,542926.1364,51.8432,6.1349,2.5
2025-09-30,1952.7,16371624.0,551053.5197,52.6192,6.2267,2.5
2025-10-31,1891.2,12851585.0,533698.17,50.962,6.0306,5.0
2025-11-30,1946.2,25237089.0,549219.2145,52.4441,6.206,5.0
2025-12-31,2035.2,14560346.0,574335.0865,54.8424,6.4898,5.0
2026-01-31,2015.9,9652415.0,568888.6109,54.3223,6.4282,5.0
2026-02-28,2136.7,10545939.0,602978.4686,57.5775,6.8134,5.0
2026-03-31,2106.0,1315533.0,594314.9038,56.7502,6.7155,5.0
