BBTC IN Equity,price,volume,mc,pe,bm,div
2016-03-31,366.8,1011214.0,25592.3316,6.6257,1.3375,1.0
2016-04-30,403.2,879693.0,28132.0286,7.2832,1.4703,1.0
2016-05-31,375.35,1047917.0,26188.8813,6.7802,1.3687,1.0
2016-06-30,404.65,876607.0,28233.1979,7.3094,1.4756,1.0
2016-07-31,408.15,866805.0,28477.3995,7.3727,1.4883,1.0
2016-08-31,502.1,7676421.0,35032.4692,9.0697,1.8309,1.0
2016-09-30,570.85,8446966.0,39829.287,10.3116,2.0816,1.0
2016-10-31,602.0,4756282.0,42002.6816,10.8743,2.1952,1.0
2016-11-30,511.4,1853895.0,35681.3478,9.2377,1.8648,1.0
2016-12-31,515.3,1289033.0,35953.4582,9.3082,1.879,1.0
2017-01-31,599.7,3272276.0,41842.2062,10.8327,2.1868,1.0
2017-02-28,675.15,3765820.0,47106.4958,12.1956,2.4619,1.0
2017-03-31,853.35,18750511.0,59539.8478,14.1166,1.6186,1.0
2017-04-30,941.3,5745582.0,65676.286,15.5715,1.7854,1.0
2017-05-31,882.2,2817845.0,61552.767,14.5939,1.6733,1.0
2017-06-30,880.95,6200807.0,61465.5521,14.5732,1.671,1.0
2017-07-31,876.2,2305315.0,61134.1356,14.4946,1.6619,1.0
2017-08-31,1003.8,3527912.0,70037.0296,16.6055,1.904,1.0
2017-09-30,1286.9,12049347.0,89789.4534,21.2887,2.441,1.0
2017-10-31,1677.85,12112283.0,117066.7763,27.756,3.1825,1.0
2017-11-30,1527.7,4858182.0,106590.5301,25.2721,2.8977,1.0
2017-12-31,1702.55,5876214.0,118790.1466,28.1646,3.2293,1.0
2018-01-31,1399.95,5232001.0,97677.17,23.1588,2.6554,1.0
2018-02-28,1428.1,4091787.0,99641.2504,23.6245,2.7088,1.0
2018-03-31,1170.8,4564539.0,81688.9405,29.4467,2.061,1.0
2018-04-30,1626.95,12480052.0,113515.3927,40.9193,2.8639,1.0
2018-05-31,1612.75,7436502.0,112524.6317,40.5621,2.8389,1.0
2018-06-30,1443.9,3705485.0,100743.6464,36.3154,2.5417,1.0
2018-07-31,1559.05,3013148.0,108777.8807,39.2115,2.7444,1.0
2018-08-31,1866.3,11207774.0,130215.297,46.9391,3.2852,1.0
2018-09-30,1312.1,6468247.0,91547.71,33.0005,2.3097,1.0
2018-10-31,1293.65,4771643.0,90260.4184,32.5365,2.2772,1.0
2018-11-30,1380.25,3059849.0,96302.665,34.7145,2.4296,1.0
2018-12-31,1324.1,2025402.0,92384.9728,33.3023,2.3308,1.0
2019-01-31,1205.25,3396445.0,84092.5825,30.3131,2.1216,1.0
2019-02-28,1192.35,1691432.0,83192.525,29.9887,2.0989,1.0
2019-03-31,1299.3,2622562.0,90654.6297,14.5989,2.0523,1.0
2019-04-30,1246.65,1104952.0,86981.1391,14.0073,1.9692,1.0
2019-05-31,1156.5,2396178.0,80691.2024,12.9944,1.8268,1.0
2019-06-30,936.1,2226747.0,65313.4756,10.518,1.4786,1.0
2019-07-31,813.95,1760482.0,56790.838,9.1455,1.2857,1.0
2019-08-31,901.4,4061651.0,62892.3907,10.1281,1.4238,1.0
2019-09-30,1135.2,10077625.0,79205.0609,12.7551,1.7931,1.0
2019-10-31,1190.45,4122288.0,83059.9584,13.3758,1.8804,1.0
2019-11-30,1106.4,2733166.0,77195.6302,12.4315,1.7476,1.0
2019-12-31,1038.95,3034958.0,72489.5155,11.6736,1.6411,1.0
2020-01-31,1132.25,3381818.0,78999.2338,12.7219,1.7885,1.0
2020-02-29,1069.45,2289427.0,74617.5585,12.0163,1.6893,1.0
2020-03-31,732.5,1426541.0,51107.9168,8.5423,1.0032,1.0
2020-04-30,904.1,1686837.0,63080.7748,10.5434,1.2383,1.0
2020-05-31,908.1,1338878.0,63359.8624,10.5901,1.2437,1.0
2020-06-30,1051.65,3778411.0,73375.6186,12.2641,1.4404,1.0
2020-07-31,1258.75,6704923.0,87825.3791,14.6793,1.724,1.2
2020-08-31,1348.45,6668744.0,94083.9186,15.7254,1.8469,1.2
2020-09-30,1304.0,3046476.0,90982.5576,15.207,1.786,1.2
2020-10-31,1211.15,1390698.0,84504.2355,14.1242,1.6588,1.2
2020-11-30,1319.75,1716230.0,92081.4637,15.3907,1.8076,1.2
2020-12-31,1298.05,2331002.0,90567.4135,15.1376,1.7778,1.2
2021-01-31,1205.45,1989641.0,84106.5356,14.0577,1.651,1.2
2021-02-28,1159.5,1098591.0,80900.5169,13.5219,1.5881,1.2
2021-03-31,1110.4,2218437.0,77474.7166,20.9668,1.4147,1.2
2021-04-30,1161.0,1590329.0,81005.1747,21.9222,1.4792,1.2
2021-05-31,1303.25,3804198.0,90930.2274,24.6082,1.6604,1.2
2021-06-30,1323.45,4134169.0,92339.6197,24.9896,1.6861,1.2
2021-07-31,1239.75,2000604.0,86499.713,23.4092,1.5795,1.2
2021-08-31,1189.3,3663055.0,82979.7207,22.4566,1.5152,1.2
2021-09-30,1147.75,1754159.0,80080.6982,21.672,1.4623,1.2
2021-10-31,1079.1,1237955.0,75290.8573,20.3758,1.3748,1.2
2021-11-30,993.75,928726.0,69335.8256,18.7642,1.2661,1.2
2021-12-31,1109.45,2560826.0,77408.4345,20.9488,1.4135,1.2
2022-01-31,1088.6,1227092.0,75953.6903,20.5551,1.3869,1.2
2022-02-28,957.7,1102145.0,66820.5486,18.0835,1.2202,1.2
2022-03-31,860.8,1875007.0,60059.6515,107.4657,1.0927,1.2
2022-04-30,1002.95,6766223.0,69977.7271,125.2122,1.2731,1.2
2022-05-31,997.5,2540493.0,69597.4703,124.5318,1.2662,1.2
2022-06-30,903.25,588621.0,63021.4687,112.7653,1.1466,1.2
2022-07-31,950.6,739503.0,66325.1681,118.6767,1.2067,1.2
2022-08-31,908.75,843829.0,63405.2141,113.4519,1.1535,1.2
2022-09-30,916.15,2086702.0,63921.5262,114.3758,1.1629,1.2
2022-10-31,873.25,778051.0,60928.3117,109.02,1.1085,1.2
2022-11-30,961.0,1897247.0,67050.7959,119.975,1.2199,1.2
2022-12-31,907.1,1857355.0,63290.0905,113.2459,1.1514,1.2
2023-01-31,883.6,2520685.0,61650.4508,110.3121,1.1216,1.2
2023-02-28,888.45,1166418.0,61988.8446,110.9176,1.1278,1.2
2023-03-31,811.35,928559.0,56609.4311,99.3446,1.4039,1.2
2023-04-30,1037.05,1932726.0,72356.9489,,1.7944,1.2
2023-05-31,958.4,2292154.0,66869.389,,1.6583,1.2
2023-06-30,1014.85,4335411.0,70808.0127,,1.756,1.2
2023-07-31,1131.45,2778956.0,78943.4163,,1.9578,1.2
2023-08-31,997.85,1495129.0,69621.8904,,1.7266,1.2
2023-09-30,1261.45,6491957.0,88013.7633,,2.1827,1.2
2023-10-31,1353.85,8021035.0,94460.6868,,2.3426,1.2
2023-11-30,1360.65,6612270.0,94935.1357,,2.3544,1.2
2023-12-31,1574.3,3932039.0,109841.9022,,2.724,1.2
2024-01-31,1734.2,7070017.0,120998.429,,3.0007,1.2
2024-02-29,1736.95,3651497.0,121190.3017,,3.0055,1.2
2024-03-31,1567.75,1185116.0,109384.8962,17.1224,2.3634,1.2
2024-04-30,1558.95,1497708.0,108770.9035,17.0263,2.3501,1.2
2024-05-31,1467.6,1183818.0,102397.2404,16.0286,2.2124,1.2
2024-06-30,2025.5,11157101.0,141322.9835,22.1218,3.0534,1.2
2024-07-31,2279.55,8639147.0,159048.5346,24.8965,3.4364,1.2
2024-08-31,2491.85,4667483.0,173861.109,27.2151,3.7565,1.2
2024-09-30,2867.55,6705319.0,200074.4118,31.3184,4.3228,1.2
2024-10-31,2769.4,4648558.0,193226.2999,30.2465,4.1749,1.2
2024-11-30,2405.85,1604287.0,167860.7256,26.2759,3.6268,1.2
2024-12-31,2120.65,1603197.0,147961.7797,23.161,3.1969,1.2
2025-01-31,2118.15,4381198.0,147787.35,23.1337,3.1931,1.2
2025-02-28,1658.15,1544767.0,115692.276,18.1098,2.4997,13.0
2025-03-31,1764.2,1390571.0,123091.586,10.9646,2.1857,18.2
2025-04-30,1865.2,1826705.0,130138.5479,11.5923,2.3108,18.2
2025-05-31,2021.0,1747907.0,141009.0099,12.5606,2.5038,18.2
2025-06-30,2007.5,2349074.0,140067.0893,12.4767,2.4871,18.2
2025-07-31,1896.8,1507279.0,132343.3399,11.7887,2.35,18.2
2025-08-31,1753.7,832180.0,122358.981,10.8993,2.1727,17.0
2025-09-30,1768.0,1090250.0,123356.7192,10.9882,2.1904,17.0
2025-10-31,1980.8,5739537.0,138204.1795,12.3108,2.454,17.0
2025-11-30,1834.9,8178600.0,128024.4593,11.404,2.2733,17.0
2025-12-31,1889.1,3051411.0,131806.0963,11.7408,2.3404,17.0
2026-01-31,1719.3,817588.0,119958.8277,10.6855,2.13,17.0
2026-02-28,1694.2,793346.0,118207.553,10.5295,2.0989,21.0
2026-03-31,1627.7,226817.0,113567.7182,10.1162,2.0166,17.0
