POWF IN Equity,price,volume,mc,pe,bm,div
2016-08-31,98.96,183452080.0,326578.0869,5.2807,0.9064,5.8
2016-09-30,96.24,106400206.0,317601.8096,5.1355,0.8815,5.56
2016-10-31,99.6,84283910.0,328690.1521,5.3148,0.9123,5.56
2016-11-30,107.36,120156325.0,354298.9431,5.7289,0.9834,5.56
2016-12-31,97.56,86367513.0,321957.9442,5.206,0.8936,2.04
2017-01-31,104.12,132491264.0,343606.6128,5.556,0.9537,2.04
2017-02-28,108.8,144383103.0,359051.0898,5.8058,0.9966,0.24
2017-03-31,116.72,254621380.0,385187.8971,17.2255,1.0454,8.0
2017-04-30,128.0,223137351.0,422413.0469,18.8902,1.1465,8.0
2017-05-31,106.84,254986060.0,352582.8901,15.7674,0.9569,8.0
2017-06-30,98.16,190750411.0,323938.0053,14.4864,0.8792,8.0
2017-07-31,99.52,134041000.0,328426.1439,14.6871,0.8914,8.0
2017-08-31,97.68,208492460.0,322353.9564,14.4156,0.8749,4.0
2017-09-30,97.52,123930705.0,321825.9401,14.392,0.8735,4.0
2017-10-31,111.4,160440634.0,367631.3549,16.4404,0.9978,4.0
2017-11-30,96.68,240112950.0,319053.8426,14.268,0.8659,8.8
2017-12-31,97.4,149626328.0,321429.9159,14.3743,0.8724,8.8
2018-01-31,93.44,125193014.0,308361.5128,13.7898,0.8369,8.8
2018-02-28,84.08,142081899.0,277472.556,12.4085,0.7531,8.8
2018-03-31,68.52,245129411.0,226122.9726,3.38,0.5677,6.24
2018-04-30,70.36,104791580.0,232195.1598,3.4708,0.5829,6.24
2018-05-31,64.44,317205468.0,212658.5574,3.1788,0.5339,6.24
2018-06-30,61.84,212360815.0,204078.2928,3.0505,0.5123,6.24
2018-07-31,69.84,224250448.0,230479.1069,3.4451,0.5786,6.24
2018-08-31,67.52,218997333.0,222822.8708,3.3307,0.5594,6.24
2018-09-30,60.88,302674660.0,200910.1951,3.0032,0.5044,6.24
2018-10-31,76.4,288785455.0,252127.7745,3.7687,0.6329,6.24
2018-11-30,69.16,337274399.0,228235.0377,3.4116,0.573,1.44
2018-12-31,85.88,540360619.0,283412.7391,4.2364,0.7115,1.44
2019-01-31,82.84,216921325.0,273380.4298,4.0864,0.6863,1.44
2019-02-28,89.72,235624355.0,296085.1299,4.4258,0.7433,1.44
2019-03-31,98.48,292631415.0,324994.0213,3.2757,0.6897,1.44
2019-04-30,92.48,146499001.0,305193.4108,3.0761,0.6477,1.44
2019-05-31,99.44,182038446.0,328162.119,3.3076,0.6964,0.0
2019-06-30,107.36,251798889.0,354298.925,3.571,0.7519,0.0
2019-07-31,87.8,333335560.0,289748.9345,2.9204,0.6149,0.0
2019-08-31,83.84,205158398.0,276680.5316,2.7887,0.5872,0.0
2019-09-30,79.52,219080585.0,262424.092,2.645,0.5569,0.0
2019-10-31,87.32,206486763.0,288164.8857,2.9045,0.6115,0.0
2019-11-30,91.6,144461779.0,302289.3212,3.0468,0.6415,0.0
2019-12-31,94.32,127022646.0,311265.598,3.1373,0.6606,0.0
2020-01-31,93.32,362497818.0,307965.4962,3.104,0.6536,0.0
2020-02-29,87.56,245771549.0,288956.9101,2.9125,0.6132,7.6
2020-03-31,73.56,202005573.0,242755.4855,3.4081,0.4914,7.6
2020-04-30,76.32,138558448.0,251863.7663,3.536,0.5098,7.6
2020-05-31,60.16,206381309.0,198534.1219,2.7872,0.4019,7.6
2020-06-30,67.2,328091206.0,221766.8383,3.1134,0.4489,7.6
2020-07-31,64.68,208061181.0,213450.5818,2.9967,0.4321,7.6
2020-08-31,75.24,306109233.0,248299.6564,3.4859,0.5026,7.6
2020-09-30,68.96,182487673.0,227575.0174,3.195,0.4607,7.6
2020-10-31,69.68,116907339.0,229951.0939,3.2283,0.4655,7.6
2020-11-30,86.56,185726044.0,285656.8123,4.0104,0.5783,7.6
2020-12-31,91.44,222935871.0,301761.3092,4.2365,0.6109,7.6
2021-01-31,87.84,154166089.0,289880.9427,4.0697,0.5868,7.6
2021-02-28,99.2,204642101.0,327370.0992,4.596,0.6627,7.6
2021-03-31,91.0,311608850.0,300309.2644,2.5562,0.4942,6.4
2021-04-30,86.72,148377029.0,286184.8286,2.436,0.471,6.4
2021-05-31,96.24,172446904.0,317601.7978,2.7034,0.5227,6.4
2021-06-30,103.04,266997709.0,340042.4901,2.8944,0.5596,6.4
2021-07-31,103.96,160756681.0,343078.579,2.9202,0.5646,8.0
2021-08-31,103.24,147424145.0,340702.5057,2.9,0.5607,9.8
2021-09-30,113.68,200397306.0,375155.5681,3.1933,0.6174,9.8
2021-10-31,106.48,205150224.0,351394.8354,2.991,0.5783,9.8
2021-11-30,93.04,116304428.0,307041.4678,2.6135,0.5053,11.8
2021-12-31,95.8,89215023.0,316149.7486,2.691,0.5203,11.8
2022-01-31,97.36,109933995.0,321297.9074,2.7348,0.5287,11.8
2022-02-28,87.88,199475810.0,290012.9427,2.4685,0.4773,16.6
2022-03-31,90.08,128928903.0,297273.1665,2.1213,0.4147,10.2
2022-04-30,94.2,115157633.0,310869.5858,2.2183,0.4337,10.2
2022-05-31,89.08,84910868.0,293973.0648,2.0978,0.4101,10.2
2022-06-30,83.56,90372538.0,275756.5031,1.9678,0.3847,11.2
2022-07-31,92.76,73377390.0,306117.4393,2.1844,0.4271,9.6
2022-08-31,95.68,117182951.0,315753.7364,2.2532,0.4405,7.8
2022-09-30,83.68,220482109.0,276152.5153,1.9706,0.3853,9.6
2022-10-31,92.2,139371699.0,304269.3823,2.1713,0.4245,9.6
2022-11-30,108.72,230389588.0,358787.0633,2.5603,0.5006,9.6
2022-12-31,112.92,175984748.0,372647.4907,2.6592,0.5199,9.6
2023-01-31,113.16,325049370.0,373439.5152,2.6648,0.521,9.6
2023-02-28,116.32,135645689.0,383867.8367,2.7393,0.5356,10.4
2023-03-31,121.4,225829573.0,400632.3537,2.5212,0.476,6.9333
2023-04-30,135.92,196914119.0,448549.8312,2.8227,0.533,6.9333
2023-05-31,145.92,313992023.0,481550.8488,3.0304,0.5722,6.9333
2023-06-30,172.72,311632103.0,569993.576,3.587,0.6773,8.8
2023-07-31,209.12,302633596.0,690117.2801,4.3429,0.82,8.8
2023-08-31,208.16,586417889.0,686949.1824,4.323,0.8163,8.8
2023-09-30,251.9,524319801.0,831295.6333,5.2314,0.9878,8.8
2023-10-31,246.6,256077257.0,813805.094,5.1213,0.967,8.8
2023-11-30,334.9,444748174.0,1105204.079,6.9551,1.3132,10.9
2023-12-31,382.6,411633638.0,1262618.933,7.9457,1.5003,10.9
2024-01-31,443.25,345195899.0,1462770.105,9.2052,1.7381,10.9
2024-02-29,400.7,319546586.0,1322350.775,8.3216,1.5713,11.6
2024-03-31,390.25,298974592.0,1287864.712,6.5172,1.2733,14.6
2024-04-30,441.55,228893714.0,1457159.932,7.3739,1.4406,14.6
2024-05-31,492.45,556922477.0,1625135.112,8.2239,1.6067,14.6
2024-06-30,485.1,539613389.0,1600879.364,8.1012,1.5827,14.6
2024-07-31,556.8,325451350.0,1837496.66,9.2986,1.8167,13.5
2024-08-31,549.55,266062932.0,1813570.922,9.1775,1.793,12.25
2024-09-30,488.05,230968575.0,1610614.664,8.1505,1.5924,12.25
2024-10-31,454.95,224440470.0,1501381.296,7.5977,1.4844,12.25
2024-11-30,495.3,239333593.0,1634540.402,8.2715,1.616,12.25
2024-12-31,448.5,172643181.0,1480095.639,7.49,1.4633,12.25
2025-01-31,422.5,198492702.0,1394292.994,7.0558,1.3785,12.25
2025-02-28,364.3,229540746.0,1202227.071,6.0838,1.1886,12.75
2025-03-31,414.25,152790962.0,1367067.154,5.9459,1.1611,13.75
2025-04-30,407.4,143845750.0,1344461.457,5.8476,1.1419,13.75
2025-05-31,405.95,168349728.0,1339676.31,5.8268,1.1378,13.75
2025-06-30,427.4,165090180.0,1410463.492,6.1346,1.198,18.3
2025-07-31,409.95,134812088.0,1352876.717,5.8842,1.1491,15.8
2025-08-31,379.7,120717457.0,1253048.638,5.45,1.0643,16.25
2025-09-30,410.25,81598399.0,1353866.747,5.8885,1.1499,16.25
2025-10-31,403.25,112928913.0,1330766.035,5.788,1.1303,16.25
2025-11-30,362.7,124559403.0,1196946.908,5.206,1.0166,14.6
2025-12-31,355.4,126471809.0,1172856.166,5.1012,0.9962,14.6
2026-01-31,379.35,166764171.0,1251893.603,5.445,1.0633,14.6
2026-02-28,413.8,222550413.0,1365582.108,5.9394,1.1598,15.3
2026-03-31,415.4,27835483.0,1370862.251,5.9624,1.1643,15.3
