TCOM IN Equity,price,volume,mc,pe,bm,div
2014-12-31,268.62,9991667.0,125670.75,47.6484,9.5753,4.5
2015-01-31,250.07,10638704.0,116992.5,44.358,8.9141,4.5
2015-02-28,242.52,10988054.0,113458.5,43.0181,8.6448,4.5
2015-03-31,257.08,14856962.0,120270.0,5141.5214,22.7911,4.5
2015-04-30,265.27,20193451.0,124103.25,5305.3922,23.5175,4.5
2015-05-31,265.94,12249242.0,124416.75,5318.7942,23.5769,4.5
2015-06-30,269.93,11293021.0,126283.5,5398.5975,23.9307,4.5
2015-07-31,274.41,15923703.0,128378.25,5488.1477,24.3277,4.5
2015-08-31,239.11,18089943.0,111862.5,4782.1023,21.1979,4.5
2015-09-30,251.96,8082394.0,117876.0,5039.1783,22.3375,5.5
2015-10-31,261.34,9052270.0,122265.0,5226.8073,23.1692,5.5
2015-11-30,262.92,7887199.0,123006.0,5258.4849,23.3096,5.5
2015-12-31,265.51,7899897.0,124217.25,5310.2656,23.5391,5.5
2016-01-31,243.67,11209495.0,114000.0,4873.48,21.603,5.5
2016-02-29,201.58,10505055.0,94306.5,4031.5863,17.8711,5.5
2016-03-31,230.03,9232089.0,107616.0,28.7895,20.6254,5.5
2016-04-30,251.72,5903425.0,117762.0,31.5038,,5.5
2016-05-31,278.55,12520600.0,130316.25,34.8623,,5.5
2016-06-30,292.68,13573504.0,136928.25,36.6312,,5.5
2016-07-31,268.41,8515939.0,125571.0,33.5929,,4.3
2016-08-31,320.46,27594684.0,149924.25,40.1079,,4.3
2016-09-30,344.59,19063609.0,161210.25,43.1271,,4.3
2016-10-31,386.56,36379566.0,180846.75,48.3803,,4.3
2016-11-30,400.81,17978179.0,187515.75,50.1644,,4.3
2016-12-31,382.32,12254600.0,178866.0,47.8504,,4.3
2017-01-31,430.45,25559965.0,201381.0,53.8736,,4.3
2017-02-28,449.06,19376450.0,210087.75,56.2028,,4.3
2017-03-31,439.86,13191363.0,205784.25,54.4226,7.8749,4.3
2017-04-30,439.25,11317410.0,205499.25,,7.864,4.3
2017-05-31,444.92,18610407.0,208149.75,,7.9654,4.3
2017-06-30,440.38,20349671.0,206026.5,,7.8842,6.0
2017-07-31,408.82,10835679.0,191263.5,,7.3192,6.0
2017-08-31,397.13,13543416.0,185791.5,,7.1098,6.0
2017-09-30,417.47,13196688.0,195310.5,,7.4741,6.0
2017-10-31,416.96,15999331.0,195068.25,,7.4648,6.0
2017-11-30,420.25,11936266.0,196607.25,,7.5237,6.0
2017-12-31,415.19,21789699.0,194241.75,,7.4332,6.0
2018-01-31,374.86,11562820.0,175374.75,,6.7112,6.0
2018-02-28,391.31,10527306.0,183069.75,,7.0057,6.0
2018-03-31,377.79,8069813.0,176742.75,,21.5631,6.0
2018-04-30,380.01,9792820.0,177783.0,,21.69,6.0
2018-05-31,376.08,12312160.0,175944.75,,21.4658,6.0
2018-06-30,361.09,9236862.0,168933.75,,20.6104,4.5
2018-07-31,352.47,10593427.0,164901.0,,20.1184,4.5
2018-08-31,328.96,7759954.0,153900.0,,18.7763,4.5
2018-09-30,304.9,7481581.0,142642.5,,17.4028,4.5
2018-10-31,299.35,10161541.0,140049.0,,17.0864,4.5
2018-11-30,327.77,8201936.0,153344.25,,18.7084,4.5
2018-12-31,319.4,6366712.0,149425.5,,18.2303,4.5
2019-01-31,302.13,14949243.0,141345.75,,17.2446,4.5
2019-02-28,359.48,11672626.0,168178.5,,20.5183,4.5
2019-03-31,373.28,8241116.0,174633.75,,21.1302,4.5
2019-04-30,341.84,3909355.0,159927.75,,,4.5
2019-05-31,329.57,6805635.0,154185.0,,,4.5
2019-06-30,295.42,7806310.0,138210.75,,,4.5
2019-07-31,285.83,6644711.0,133722.0,,,4.5
2019-08-31,262.16,3306295.0,122649.75,,,4.5
2019-09-30,375.1,5945268.0,106903.5,,,4.5
2019-10-31,352.15,3432363.0,100362.75,,,4.5
2019-11-30,445.15,9285320.0,126867.75,,,4.5
2019-12-31,396.95,3034431.0,113130.75,,,4.5
2020-01-31,416.4,2924082.0,118674.0,,,4.5
2020-02-29,360.9,1947354.0,102856.5,,,4.5
2020-03-31,233.15,4210572.0,66447.75,,,4.5
2020-04-30,430.55,12768112.0,122706.75,,,4.5
2020-05-31,476.7,2285502.0,135859.5,,,4.5
2020-06-30,611.75,4323862.0,174348.75,,,4.5
2020-07-31,759.75,3687975.0,216528.75,,,4.5
2020-08-31,870.65,6106892.0,248135.25,,,4.0
2020-09-30,847.4,2516932.0,241509.0,,,4.0
2020-10-31,933.3,2650645.0,265990.5,,,4.0
2020-11-30,1061.55,2370802.0,302541.75,,,4.0
2020-12-31,1100.7,2967552.0,313699.5,,,4.0
2021-01-31,1006.0,7515917.0,286710.0,,,4.0
2021-02-28,1081.7,6168090.0,308284.5,,,4.0
2021-03-31,1062.8,32218483.0,302898.0,24.2196,262.3402,4.0
2021-04-30,1100.2,14352106.0,313557.0,25.0719,271.572,4.0
2021-05-31,1074.0,7047099.0,306090.0,24.4749,265.1048,4.0
2021-06-30,1287.1,14075232.0,366823.5,29.3311,317.7061,14.0
2021-07-31,1442.35,11069433.0,411069.75,32.869,356.0278,14.0
2021-08-31,1419.15,8784670.0,404457.75,32.3403,350.3012,14.0
2021-09-30,1391.75,7364608.0,396648.75,31.7159,343.5378,14.0
2021-10-31,1307.4,7894263.0,372609.0,29.7937,322.717,14.0
2021-11-30,1299.25,10653303.0,370286.25,29.608,320.7052,14.0
2021-12-31,1464.45,13971110.0,417368.25,33.3726,361.483,14.0
2022-01-31,1283.3,26622485.0,365740.5,29.2445,316.7681,14.0
2022-02-28,1183.25,9206667.0,337226.25,26.9645,292.0719,14.0
