BDE IN Equity,price,volume,mc,pe,bm,div
2003-12-31,155.0,179328.0,3677.8401,,,2.75
2004-01-31,153.75,134115.0,3648.1801,,,2.75
2004-02-29,141.0,37262.0,3345.6481,,,2.75
2004-03-31,122.0,53463.0,2894.8161,,,2.75
2004-04-30,136.0,49031.0,3227.0081,,,2.75
2004-05-31,146.25,152097.0,3470.2201,,,2.75
2004-06-30,153.55,822900.0,3643.4345,,,2.75
2004-07-31,168.0,199119.0,3986.3041,,,4.5
2004-08-31,215.75,421401.0,5119.3161,,,4.5
2004-09-30,206.95,346489.0,4910.5097,,,4.5
2004-10-31,266.05,615367.0,6312.8346,,,4.5
2004-11-30,321.05,1288242.0,7617.8746,,,4.5
2004-12-31,320.7,169799.0,7609.5698,,,4.5
2005-01-31,331.5,353338.0,7865.8322,,,4.5
2005-02-28,352.2,419862.0,8357.0018,,,4.5
2005-03-31,349.2,621405.0,8285.8178,,,4.5
2005-04-30,335.0,66291.0,7948.8802,,,4.5
2005-05-31,354.25,154436.0,8405.6442,,,4.5
2005-06-30,385.1,1428338.0,9137.653,,,4.5
2005-07-31,453.65,164883.0,10764.1616,,,3.0
2005-08-31,450.2,172148.0,10682.3004,,,3.0
2005-09-30,456.1,123135.0,10822.295,,,3.0
2005-10-31,437.4,152791.0,10378.5833,,,3.0
2005-11-30,555.05,102771.0,13170.1706,,,3.0
2005-12-31,560.95,104653.0,13310.1653,,,3.0
2006-01-31,588.25,89780.0,13957.9369,,,3.0
2006-02-28,576.15,107048.0,13670.8293,,,3.0
2006-03-31,628.4,724080.0,14910.6121,,,3.0
2006-04-30,579.65,279166.0,13603.2048,,,1.5
2006-05-31,509.45,825260.0,12088.1784,,,1.5
2006-06-30,459.65,254848.0,10906.529,,,1.5
2006-07-31,462.25,80064.0,10968.2216,,,1.5
2006-08-31,564.4,296414.0,13392.0265,,,1.5
2006-09-30,560.0,79565.0,13287.6237,,,1.5
2006-10-31,588.2,98187.0,13956.7505,,,1.5
2006-11-30,545.65,386608.0,12947.1284,,,1.5
2006-12-31,543.4,53999.0,12893.7406,,,1.5
2007-01-31,530.3,139781.0,12582.9051,,,1.5
2007-02-28,489.15,105605.0,11606.5021,,,1.5
2007-03-31,440.85,330672.0,10460.4445,,,1.5
2007-04-30,466.3,138759.0,11064.3196,,,1.0
2007-05-31,454.0,41512.0,10772.4664,,,1.0
2007-06-30,737.45,3233474.0,17498.1395,,,1.0
2007-07-31,682.7,388657.0,16199.037,,,1.0
2007-08-31,628.15,67559.0,14904.6801,,,1.0
2007-09-30,601.6,144239.0,14274.7652,,,1.0
2007-10-31,570.5,134058.0,13536.8244,,,1.0
2007-11-30,607.25,117201.0,14408.8284,,,1.0
2007-12-31,742.2,675773.0,17610.9221,,,1.0
2008-01-31,610.0,218792.0,14474.0804,,,1.0
2008-02-29,599.1,100555.0,14215.4452,,,1.0
2008-03-31,495.5,130362.0,11757.2243,,,1.0
2008-04-30,666.4,286942.0,15812.3396,,,1.0
2008-05-31,620.75,776281.0,14729.1564,,,1.0
2008-06-30,654.75,299227.0,15535.9084,,,1.0
2008-07-31,635.05,33388.0,15068.4668,,,1.0
2008-08-31,645.3,21589.0,15311.6788,,,1.0
2008-09-30,637.9,37005.0,15136.0916,,,1.0
2008-10-31,431.45,25631.0,10237.4459,,,1.0
2008-11-30,445.0,632623.0,10558.9603,,,1.0
2008-12-31,423.5,18212.0,10048.8083,,,1.0
2009-01-31,434.9,97594.0,10319.3075,,,1.0
2009-02-28,412.0,150176.0,9775.9363,,,1.0
2009-03-31,405.0,31184.0,9609.8403,,,1.0
2009-04-30,429.0,149771.0,10179.3123,,,1.0
2009-05-31,489.05,32733.0,11604.1787,,,1.0
2009-06-30,508.9,38910.0,12075.1795,,,1.0
2009-07-31,526.7,63527.0,12497.5379,,,1.0
2009-08-31,543.85,41229.0,12904.4731,,,1.0
2009-09-30,570.0,67475.0,13524.9604,,,1.0
2009-10-31,545.2,27749.0,12936.5059,,,1.0
2009-11-30,555.0,36374.0,13169.0404,,,1.0
2009-12-31,702.9,242214.0,16678.4117,,,1.0
2010-01-31,584.5,51385.0,13869.0164,,,1.0
2010-02-28,658.6,38970.0,15627.2612,,,1.0
2010-03-31,711.6,138923.0,16884.8453,,,1.0
2010-04-30,905.55,1840178.0,21486.891,,,1.0
2010-05-31,899.6,156204.0,21345.7094,,,1.0
2010-06-30,934.05,87024.0,22163.139,,4.4397,1.0
2010-07-31,1119.65,210561.0,26567.0559,,5.3219,1.0
2010-08-31,1099.25,103152.0,26083.0047,,5.2249,1.0
2010-09-30,1109.25,129812.0,26320.2847,,5.1703,1.0
2010-10-31,1075.1,23989.0,25509.9735,,,1.0
2010-11-30,978.4,53989.0,23215.4758,,,1.0
2010-12-31,1172.4,144226.0,27818.708,,,1.0
2011-01-31,1031.15,39302.0,24467.1279,,,1.0
2011-02-28,995.75,141798.0,23627.1566,,,1.0
2011-03-31,999.5,41761.0,23716.1366,,,1.0
2011-04-30,1462.9,4087382.0,34711.6921,,,1.0
2011-05-31,1333.8,321433.0,31648.4087,,,1.0
2011-06-30,1423.0,166066.0,33764.9449,,5.5215,1.0
2011-07-31,1588.2,466244.0,37684.8091,,6.1625,1.0
2011-08-31,1628.1,331737.0,38631.5578,,6.3173,1.0
2011-09-30,1610.85,82866.0,38222.2498,,6.2108,1.0
2011-10-31,1609.65,84350.0,38193.7762,,,1.0
2011-11-30,1387.85,109427.0,32930.9057,,,1.0
2011-12-31,1583.05,154545.0,37562.6129,,,1.0
2012-01-31,1674.25,87656.0,39726.6051,,,1.0
2012-02-29,1906.0,166769.0,45225.5692,,,1.0
2012-03-31,1988.3,181095.0,47178.1842,,,1.0
2012-04-30,1981.5,173874.0,47016.833,,,2.0
2012-05-31,1971.25,139649.0,46773.622,,,2.0
2012-06-30,1976.6,92353.0,46900.5663,,6.4437,2.0
2012-07-31,1963.0,40973.0,46577.8668,,6.3994,2.0
2012-08-31,1979.25,26830.0,46963.4452,,6.4524,2.0
2012-09-30,1720.3,374917.0,40819.1071,,5.5355,2.0
2012-10-31,1742.45,33931.0,41344.6771,,,2.0
2012-11-30,1968.65,1142617.0,46711.9295,,,2.0
2012-12-31,2047.55,120297.0,48584.0622,,,2.0
2013-01-31,2011.3,196614.0,47723.9259,,,2.0
2013-02-28,2288.85,230058.0,54309.6059,,,2.0
2013-03-31,2358.45,184574.0,55961.0632,,,2.0
2013-04-30,2530.65,183614.0,60047.006,,,2.0
2013-05-31,2745.2,35332.0,65137.8284,,,2.0
2013-06-30,2436.25,155717.0,57807.1789,,,0.0
2013-07-31,2418.15,58693.0,57377.7004,,,71.0
2013-08-31,2209.35,56876.0,52423.3137,,,71.0
2013-09-30,2621.8,63022.0,62209.8985,,,71.0
2013-10-31,2739.15,86184.0,64994.3671,,,71.0
2013-11-30,2950.25,145590.0,70003.3369,,,71.0
2013-12-31,3382.7,270694.0,80264.4805,,,71.0
2014-01-31,3310.9,284342.0,78560.8133,,,71.0
2014-02-28,3297.75,147640.0,78248.794,,,106.0
2014-03-31,3720.8,112375.0,88286.8979,,,106.0
2014-04-30,3304.0,110536.0,78397.0936,,,106.0
2014-05-31,3887.9,238869.0,92251.8312,,,106.0
2014-06-30,4202.9,152360.0,99726.1304,,,106.0
2014-07-31,3871.2,57139.0,91855.5762,,,15.0
2014-08-31,4720.1,231713.0,111998.2237,,,15.0
2014-09-30,5287.4,334024.0,125459.0747,,,15.0
2014-10-31,5330.35,183563.0,126478.1953,,,15.0
2014-11-30,5797.7,194901.0,137567.4467,,,15.0
2014-12-31,6342.9,195083.0,150503.9089,,,15.0
2015-01-31,6842.35,169282.0,162354.8314,,,15.0
2015-02-28,7120.4,158315.0,168952.8528,,,15.0
2015-03-31,7299.35,177238.0,173198.4972,,,15.0
2015-04-30,5756.9,173241.0,136599.3396,,,15.0
2015-05-31,6332.8,301147.0,150264.2552,,,15.0
2015-06-30,6187.9,223420.0,146826.0791,,,15.0
2015-07-31,6942.1,171821.0,164721.6928,,,20.0
2015-08-31,6826.75,157334.0,161984.6726,,,20.0
2015-09-30,7490.6,234925.0,177736.4645,,,20.0
2015-10-31,7608.1,119482.0,180524.4967,,,20.0
2015-11-30,7400.0,148293.0,175586.7107,,,20.0
2015-12-31,6782.45,78919.0,160933.5296,,,20.0
2016-01-31,6288.75,119492.0,149219.0442,,,20.0
2016-02-29,5349.25,75657.0,126926.6503,,,20.0
2016-03-31,6050.0,190791.0,143554.0,,,20.0
2016-04-30,5675.75,83236.0,134673.8207,,,20.0
2016-05-31,5438.3,214111.0,129039.6184,,,20.0
2016-06-30,5961.65,121097.0,141457.6341,,,20.0
2016-07-31,5845.75,185762.0,138707.5695,,,30.0
2016-08-31,5443.65,317460.0,129166.5643,,,30.0
2016-09-30,5482.15,187275.0,130080.0898,,,30.0
2016-10-31,5144.75,138745.0,122074.2878,,,30.0
2016-11-30,4756.35,197468.0,112858.3613,,,30.0
2016-12-31,4385.45,104727.0,104057.6721,,,30.0
2017-01-31,4354.5,200918.0,103323.2881,,,30.0
2017-02-28,4286.3,353084.0,101705.0386,,,30.0
2017-03-31,5203.5,345777.0,123468.304,,,30.0
2017-04-30,4878.4,114034.0,115754.3497,,,30.0
2017-05-31,4420.65,274434.0,104892.8909,,,30.0
2017-06-30,4709.35,210567.0,111743.1454,,,30.0
2017-07-31,4263.2,172580.0,101156.9277,,,15.0
2017-08-31,4254.95,173483.0,100961.1723,,,15.0
2017-09-30,4137.75,381671.0,98180.2584,,,15.0
2017-10-31,4193.15,192889.0,99494.786,,,15.0
2017-11-30,4112.35,653478.0,97577.5694,,,15.0
2017-12-31,4552.85,272024.0,108029.7243,,,15.0
2018-01-31,4681.85,234023.0,111090.6278,,,15.0
2018-02-28,4284.15,274867.0,101654.0284,,,15.0
2018-03-31,3768.75,270921.0,89424.6513,,,15.0
2018-04-30,3688.65,303627.0,87524.0437,,,15.0
2018-05-31,3449.9,212731.0,81858.9995,,,15.0
2018-06-30,3659.2,331712.0,86825.2561,,,15.0
2018-07-31,3706.75,141931.0,87953.5194,,,12.5
2018-08-31,3469.85,126549.0,82332.3718,,,12.5
2018-09-30,2998.3,86628.0,71143.4645,,,12.5
2018-10-31,2801.0,138345.0,66461.9431,,,12.5
2018-11-30,3097.15,88006.0,73488.9708,,,12.5
2018-12-31,3371.45,458163.0,79997.5431,,,12.5
2019-01-31,3188.85,255721.0,75664.8223,,,12.5
2019-02-28,3127.8,46208.0,74216.232,,,12.5
2019-03-31,3593.85,108058.0,85274.6356,,,12.5
2019-04-30,3289.7,56759.0,78057.7845,,,12.5
2019-05-31,2710.55,101164.0,64315.7515,,,12.5
2019-06-30,2685.1,71398.0,63711.8756,,,12.5
2019-07-31,2400.65,133844.0,56962.4648,,,12.5
2019-08-31,2246.7,128751.0,53309.5493,,,12.5
2019-09-30,2484.2,220676.0,58944.9336,,10.4916,12.5
2019-10-31,2406.7,171186.0,57106.0188,,10.1643,12.5
2019-11-30,2050.7,268882.0,48658.8743,,8.6608,12.5
2019-12-31,2184.0,195476.0,51821.8079,,9.2535,12.5
2020-01-31,2721.25,660580.0,64569.6404,,,12.5
2020-02-29,2748.5,174860.0,65216.2266,,,12.5
2020-03-31,2199.05,226349.0,52178.9133,,10.6308,12.5
2020-04-30,2233.85,251380.0,53004.6454,,10.799,12.5
2020-05-31,2002.95,232044.0,47525.8654,,9.6828,12.5
2020-06-30,2042.1,256126.0,48454.814,,9.7089,12.5
2020-07-31,2066.35,595039.0,49030.2164,,,12.5
2020-08-31,2188.7,1376466.0,51933.3291,,,0.0
2020-09-30,3173.35,2530295.0,75297.0394,,18.4876,0.0
2020-10-31,3696.3,1437797.0,87705.5624,,21.5342,0.0
2020-11-30,3995.35,912645.0,94801.4011,,23.2765,0.0
2020-12-31,4097.25,508219.0,97219.2776,,23.9153,0.0
2021-01-31,3973.55,955972.0,94284.1321,,,0.0
2021-02-28,4695.7,1154826.0,111419.2597,,,0.0
2021-03-31,5574.35,1010575.0,132267.8089,129.9382,22.344,0.0
2021-04-30,5244.3,424062.0,124436.4043,122.2448,21.0211,0.0
2021-05-31,6012.65,1172849.0,142667.7624,140.155,24.1009,0.0
2021-06-30,5797.15,693478.0,137554.3926,53.1264,23.2467,0.0
2021-07-31,5468.2,499556.0,129749.0887,50.1118,,15.0
2021-08-31,5863.1,697394.0,139119.2498,53.7308,,15.0
2021-09-30,6506.9,1114008.0,154395.2937,50.2696,22.7678,15.0
2021-10-31,6654.7,491710.0,157902.2824,51.4115,23.2849,15.0
2021-11-30,6551.35,515861.0,155450.0004,50.613,22.9233,15.0
2021-12-31,6323.0,460737.0,150031.7267,44.7551,22.0352,15.0
2022-01-31,6927.05,460644.0,164364.5852,49.0306,,15.0
2022-02-28,6001.8,304958.0,142410.3143,42.4816,,25.0
2022-03-31,6862.25,296208.0,162827.0151,42.6015,18.673,25.0
2022-04-30,6836.95,160141.0,162226.6984,42.4444,18.6042,25.0
2022-05-31,7490.0,547578.0,177722.2257,46.4986,20.3812,25.0
2022-06-30,7802.15,437426.0,185128.9003,39.4128,21.2313,25.0
2022-07-31,8587.45,534157.0,203762.4468,43.3797,,60.0
2022-08-31,8545.7,483271.0,202771.8056,43.1688,,60.0
2022-09-30,8851.35,1029643.0,210024.2486,44.4189,20.4268,60.0
2022-10-31,7587.05,517277.0,180025.0217,38.0742,17.5091,60.0
2022-11-30,7604.3,755021.0,180434.3285,38.1608,17.5489,60.0
2022-12-31,7706.05,540176.0,182848.6458,41.7401,17.755,60.0
2023-01-31,6315.5,511725.0,149853.7672,34.2081,,60.0
2023-02-28,6208.85,616171.0,147323.183,33.6304,,35.0
2023-03-31,6212.95,403466.0,147420.4675,39.7858,12.4979,35.0
2023-04-30,5941.05,449815.0,140968.8423,38.0446,11.951,35.0
2023-05-31,6226.2,380054.0,147734.8627,39.8706,12.5246,35.0
2023-06-30,7245.55,656739.0,171921.9322,54.9197,14.485,35.0
2023-07-31,6728.15,301321.0,159645.0991,50.9979,,60.0
2023-08-31,6281.9,655010.0,149056.5086,47.6154,,60.0
2023-09-30,6688.0,489087.0,158692.4226,54.2637,13.0448,30.0
2023-10-31,6579.6,505253.0,156120.3145,53.3842,12.8334,30.0
2023-11-30,7099.85,266241.0,168464.7722,57.6053,13.8482,30.0
2023-12-31,7362.45,254478.0,174695.7277,59.6875,14.1996,30.0
2024-01-31,6509.2,179614.0,154449.868,52.7702,,30.0
2024-02-29,6034.7,456234.0,143190.9633,48.9234,,30.0
2024-03-31,6183.95,734205.0,146732.3575,48.7463,10.7318,30.0
2024-04-30,6311.3,631746.0,149754.1099,49.7501,10.9528,30.0
2024-05-31,7203.55,1441899.0,170925.359,56.7835,12.5012,30.0
2024-06-30,7971.45,466560.0,189146.0395,64.5253,13.5996,30.0
2024-07-31,8175.55,837227.0,193988.9108,66.1774,,25.0
2024-08-31,8041.45,225154.0,190806.9949,65.0919,,25.0
2024-09-30,8204.7,1995873.0,194680.5801,68.8083,13.6645,25.0
2024-10-31,8142.75,1051142.0,193210.6346,68.2887,13.5613,25.0
2024-11-30,7505.55,210492.0,178091.195,62.9449,12.5001,25.0
2024-12-31,6967.45,538495.0,165323.1937,60.1057,11.0725,25.0
2025-01-31,6580.0,329681.0,156129.8057,56.7633,,25.0
2025-02-28,5997.35,236364.0,142304.725,51.737,,25.0
2025-03-31,6136.5,896319.0,145606.467,57.6847,9.3395,25.0
2025-04-30,6203.0,220286.0,147184.3746,58.3098,9.4407,25.0
2025-05-31,6622.0,329026.0,157126.3789,62.2485,10.0784,25.0
2025-06-30,6389.5,170984.0,151609.6343,61.1728,9.6865,25.0
2025-07-31,5994.0,1341193.0,142225.2364,57.3863,,25.0
2025-08-31,5607.5,577062.0,133054.3899,53.686,,25.0
2025-09-30,5703.0,1367986.0,135320.4076,50.8017,8.2951,25.0
2025-10-31,6572.0,8551380.0,155939.9822,58.5427,9.5591,25.0
2025-11-30,5719.0,1150724.0,135700.0545,50.9442,8.3184,25.0
2025-12-31,5521.0,522297.0,131001.9236,51.6416,8.0616,25.0
2026-01-31,5492.0,1386304.0,130313.8135,51.3703,,25.0
2026-02-28,5682.5,307735.0,134833.985,53.1522,,25.0
2026-03-31,5450.0,32301.0,129317.2403,50.9775,,25.0
