HZ IN Equity,price,volume,mc,pe,bm,div
2003-08-31,5.01,84659450.0,21147.7272,,,0.08
2003-09-30,6.74,94824740.0,28457.5311,,,0.08
2003-10-31,8.36,76934550.0,35302.5497,,,0.08
2003-11-30,11.87,112241220.0,50154.5499,,,0.08
2003-12-31,13.49,139490330.0,56999.5685,,,0.08
2004-01-31,10.28,77040330.0,43436.2909,,,0.08
2004-02-29,10.61,82998630.0,44809.52,,,0.08
2004-03-31,10.16,46919770.0,42929.2525,,,0.08
2004-04-30,10.08,49006660.0,42612.3535,,,0.08
2004-05-31,7.58,31300250.0,32049.0532,,,0.08
2004-06-30,7.76,22921590.0,32788.4842,,,0.08
2004-07-31,9.24,58073040.0,39020.8314,,,0.08
2004-08-31,9.07,63436340.0,38344.7802,,,0.08
2004-09-30,11.25,109659890.0,47513.7249,,,0.14
2004-10-31,10.96,99164060.0,46288.382,,,0.14
2004-11-30,12.1,51784190.0,51126.3736,,,0.14
2004-12-31,15.28,94146010.0,64562.8916,,,0.14
2005-01-31,15.21,67073240.0,64267.1192,,,0.14
2005-02-28,17.58,61122990.0,74281.1279,,,0.14
2005-03-31,17.0,39650330.0,71830.4214,,,0.14
2005-04-30,15.49,19290890.0,65429.0633,,,0.14
2005-05-31,14.98,17354880.0,63295.2773,,,0.14
2005-06-30,14.93,24889990.0,63105.1379,,,0.14
2005-07-31,17.13,42804830.0,72358.5863,,,0.14
2005-08-31,19.52,75005770.0,82478.2251,,,0.14
2005-09-30,21.37,50251960.0,89935.913,,,0.175
2005-10-31,21.3,23748450.0,89999.2928,,,0.175
2005-11-30,23.9,24308320.0,100963.9953,,,0.175
2005-12-31,24.52,16527610.0,103604.8196,,,0.175
2006-01-31,36.51,66867820.0,154266.3934,,,0.175
2006-02-28,36.08,44980990.0,152428.3796,,,0.175
2006-03-31,52.32,81043580.0,221068.6853,,,0.175
2006-04-30,106.12,251733440.0,413151.6829,,,0.175
2006-05-31,72.15,149492570.0,304856.7593,,,0.175
2006-06-30,55.78,305290070.0,235667.1621,,,0.175
2006-07-31,51.74,212187530.0,218618.0003,,,0.175
2006-08-31,56.32,136731690.0,237969.9609,,,0.175
2006-09-30,59.36,136401610.0,250814.9304,,,0.25
2006-10-31,90.68,240956070.0,376792.8137,,,0.25
2006-11-30,94.99,268832360.0,401363.1591,,,0.25
2006-12-31,82.64,90453070.0,349180.4555,,,0.25
2007-01-31,70.77,78013500.0,299025.9056,,,0.25
2007-02-28,64.18,102407510.0,271181.0459,,,0.5
2007-03-31,56.49,53027770.0,238667.2075,,,0.5
2007-04-30,67.91,84154220.0,286920.3634,,,0.5
2007-05-31,65.66,60612780.0,277434.5197,,,0.5
2007-06-30,70.46,57175520.0,297694.9297,,,0.5
2007-07-31,75.33,51555730.0,318293.3653,,,0.5
2007-08-31,72.25,32893830.0,305258.2527,,,0.5
2007-09-30,81.11,40535030.0,342715.7157,,,0.5
2007-10-31,90.56,51542520.0,382623.8643,,,0.5
2007-11-30,81.16,37583320.0,342905.8551,,,0.5
2007-12-31,82.73,34558430.0,349539.6077,,,0.5
2008-01-31,60.14,29437560.0,254110.7526,,,0.5
2008-02-29,65.82,21076990.0,278089.4443,,,0.5
2008-03-31,52.53,21149320.0,221934.9398,,,0.5
2008-04-30,63.88,26597720.0,269892.3233,,,0.5
2008-05-31,65.56,70310060.0,277011.9877,,,0.5
2008-06-30,53.19,24732690.0,224744.7777,,,0.5
2008-07-31,59.63,39012840.0,251934.7127,,,0.5
2008-08-31,57.48,15736050.0,242871.401,,,0.5
2008-09-30,43.03,30247880.0,181794.3986,,,0.5
2008-10-31,32.02,28603360.0,135273.6239,,,0.5
2008-11-30,32.16,31014190.0,135886.2954,,,0.25
2008-12-31,33.82,18392960.0,142900.3268,,,0.25
2009-01-31,34.75,38317860.0,146829.8745,,,0.25
2009-02-28,32.24,67132600.0,136203.1944,,,0.25
2009-03-31,45.11,30041140.0,190625.3176,,1.3277,0.25
2009-04-30,48.09,24125040.0,203174.5184,,1.4151,0.25
2009-05-31,58.37,38396250.0,246631.936,,1.7178,0.25
2009-06-30,60.25,51742430.0,254575.5378,,1.7731,0.25
2009-07-31,69.14,58657060.0,292117.5071,,2.0346,0.4
2009-08-31,73.89,35647700.0,312208.9044,,2.1745,0.4
2009-09-30,82.65,45105380.0,349222.7087,,2.4323,0.4
2009-10-31,90.49,51802660.0,382328.0919,,2.6629,0.4
2009-11-30,120.29,70198380.0,508263.7584,,3.54,0.4
2009-12-31,120.99,73360920.0,511221.4825,,3.5606,0.4
2010-01-31,111.27,59038440.0,470151.3444,,3.2746,0.4
2010-02-28,112.39,39467510.0,474904.8295,,3.3077,0.4
2010-03-31,120.43,36564350.0,508876.4298,,2.8078,0.4
2010-04-30,124.67,27677710.0,526749.5339,,2.9064,0.4
2010-05-31,97.38,49746040.0,411440.5476,,2.2701,0.4
2010-06-30,96.95,44273440.0,409623.6599,,2.2601,0.4
2010-07-31,102.24,35207720.0,431996.73,,2.3836,1.0
2010-08-31,104.64,39254270.0,442116.3717,,2.4394,1.0
2010-09-30,107.89,42793850.0,455848.6622,,2.5152,0.6
2010-10-31,123.49,41877350.0,521805.883,,2.8791,0.6
2010-11-30,114.74,21987900.0,484834.3318,,2.6751,0.6
2010-12-31,136.87,26760810.0,578298.4395,,3.1908,0.6
2011-01-31,125.74,58061450.0,531291.7531,,2.9314,0.6
2011-02-28,126.58,24415680.0,534841.0484,,2.951,0.6
2011-03-31,137.8,40224456.0,582249.0718,,2.584,0.6
2011-04-30,142.4,54644101.0,601685.543,,2.6702,0.6
2011-05-31,138.55,30442082.0,585418.0616,,2.598,0.6
2011-06-30,136.5,18342410.0,576756.156,,2.5596,1.0
2011-07-31,142.55,22691917.0,602319.3409,,2.673,1.0
2011-08-31,130.05,26176802.0,549502.8431,,2.4386,1.0
2011-09-30,118.8,18715660.0,501967.9951,,2.2277,1.0
2011-10-31,125.6,18764855.0,530700.1699,,2.3552,2.5
2011-11-30,119.15,10021609.0,503446.8571,,2.2342,2.5
2011-12-31,119.7,12748759.0,505770.783,,2.2446,2.5
2012-01-31,135.3,21723829.0,571685.7722,,2.5371,2.5
2012-02-29,145.25,19448877.0,613727.7045,,2.7237,2.5
2012-03-31,132.35,24088473.0,559221.0141,,2.0803,2.5
2012-04-30,127.65,17342380.0,539362.0132,,2.0065,2.5
2012-05-31,117.1,11727218.0,494784.8942,,1.8406,2.5
2012-06-30,123.35,13330789.0,521193.1401,,1.9389,1.8
2012-07-31,119.35,17389127.0,504291.8627,,1.876,1.8
2012-08-31,123.35,24308878.0,521193.1401,,1.9389,1.8
2012-09-30,136.0,16736649.0,574643.4297,,2.1377,1.8
2012-10-31,133.9,16829247.0,565770.2591,,2.1047,2.5
2012-11-30,139.4,14809791.0,589009.5154,,2.1912,2.5
2012-12-31,136.1,20032304.0,575065.9616,,2.1393,2.5
2013-01-31,128.45,25016806.0,542742.2687,,2.019,2.5
2013-02-28,114.75,14326560.0,484855.3938,,1.8037,2.5
2013-03-31,121.3,16530438.0,512531.2354,,1.9066,2.5
2013-04-30,119.15,19877912.0,503446.7989,,1.8729,2.5
2013-05-31,115.65,10894663.0,488658.1812,,1.8178,3.1
2013-06-30,102.25,12120070.0,432038.9021,,1.6072,3.1
2013-07-31,101.65,13833724.0,429503.7105,,1.5978,3.1
2013-08-31,123.75,38094315.0,522883.2678,,1.9452,3.1
2013-09-30,133.55,36646568.0,564291.3973,,2.0992,3.1
2013-10-31,133.6,25834656.0,564502.6633,,2.1,3.1
2013-11-30,128.45,16424517.0,542742.2687,,2.019,3.1
2013-12-31,132.5,30921696.0,559854.812,,2.0827,3.1
2014-01-31,129.45,39484714.0,546967.588,,2.0348,3.1
2014-02-28,116.65,25682825.0,492883.5005,,1.8336,3.1
2014-03-31,128.9,25625922.0,544643.6624,,2.0261,3.1
2014-04-30,128.9,19307007.0,544643.6624,,2.0261,3.1
2014-05-31,156.95,65034954.0,663163.8698,,2.467,3.5
2014-06-30,167.3,61742249.0,706895.9249,,2.6297,3.5
2014-07-31,161.2,42146646.0,681121.477,,2.5338,3.5
2014-08-31,165.75,20264336.0,700346.6799,,2.6053,3.5
2014-09-30,160.95,29159435.0,680065.1471,,2.5299,3.8
2014-10-31,171.45,21529829.0,724431.0001,,2.6949,3.8
2014-11-30,163.05,22273250.0,688938.3177,,2.5629,3.8
2014-12-31,170.45,32919271.0,720205.6808,,2.6792,3.8
2015-01-31,175.0,34110547.0,739430.8838,,2.7507,3.8
2015-02-28,176.15,22178129.0,744289.915,,2.7688,3.8
2015-03-31,162.15,19447387.0,685135.5303,,1.5804,3.8
2015-04-30,169.4,21472990.0,715769.0955,,1.651,3.8
2015-05-31,169.2,21790542.0,714924.0316,,1.6491,4.4
2015-06-30,167.1,17466777.0,706050.861,,1.6286,4.4
2015-07-31,157.05,16835030.0,663586.4017,,1.5307,4.4
2015-08-31,127.15,24059179.0,537249.3536,,1.2392,4.4
2015-09-30,139.8,16834074.0,590699.6432,,1.2946,4.4
2015-10-31,157.15,23013616.0,664008.9336,,1.4552,6.3
2015-11-30,143.6,15053997.0,606755.8566,,1.3297,6.3
2015-12-31,146.4,19153264.0,618586.7508,,1.3557,6.3
2016-01-31,161.0,34257345.0,680276.4131,,1.4909,6.3
2016-02-29,160.35,20314821.0,677529.9555,,1.4849,6.3
2016-03-31,183.6,47461569.0,775768.6301,,2.0774,6.3
2016-04-30,172.1,54099695.0,727177.4577,,1.9473,30.3
2016-05-31,170.75,28442882.0,721473.2766,,1.932,27.8
2016-06-30,180.55,23494159.0,762881.4061,,2.0429,27.8
2016-07-31,203.95,50736219.0,861753.8786,,2.3076,27.8
2016-08-31,227.0,45368145.0,959147.4893,,2.5684,27.8
2016-09-30,233.35,32415809.0,985978.267,,2.6403,27.8
2016-10-31,252.5,57202651.0,1066893.132,,2.857,25.9
2016-11-30,282.6,63908258.0,1194075.244,,3.1975,25.9
2016-12-31,255.4,34605775.0,1079146.558,,2.9022,25.9
2017-01-31,298.9,41867371.0,1262947.95,,,25.9
2017-02-28,308.35,57587179.0,1302877.217,,,25.9
2017-03-31,288.8,108247702.0,1220272.224,,3.9657,53.4
2017-04-30,267.95,46221097.0,1132174.316,,3.6794,29.4
2017-05-31,240.35,60066960.0,1015555.502,,3.3004,29.4
2017-06-30,263.65,49176524.0,1114005.443,,3.6203,29.4
2017-07-31,282.9,47804915.0,1195342.84,,3.8847,29.4
2017-08-31,294.55,46622959.0,1244567.81,,4.0446,29.4
2017-09-30,295.9,35075732.0,1250271.992,,4.0632,29.4
2017-10-31,315.25,36006936.0,1332031.921,,4.3289,29.4
2017-11-30,299.4,30115308.0,1265060.551,,4.1112,29.5
2017-12-31,308.85,24130036.0,1304989.817,,4.241,29.5
2018-01-31,310.25,41572141.0,1310905.264,,4.2602,29.5
2018-02-28,326.45,63736597.0,1379355.388,,4.4827,29.5
2018-03-31,300.55,62298650.0,1269919.626,,3.5381,8.0
2018-04-30,326.85,53672581.0,1381045.515,,3.8478,8.0
2018-05-31,296.35,36702035.0,1252173.286,,3.4887,8.0
2018-06-30,274.5,43484688.0,1159850.066,,3.2315,8.0
2018-07-31,280.05,50468026.0,1183300.586,,3.2968,8.0
2018-08-31,299.55,23601234.0,1265694.307,,3.5264,8.0
2018-09-30,289.3,25884191.0,1222384.787,,3.0885,8.0
2018-10-31,262.4,38242203.0,1108723.706,,2.8013,28.0
2018-11-30,266.7,27017997.0,1126892.577,,2.8472,26.0
2018-12-31,278.65,19137909.0,1177385.139,,2.9748,26.0
2019-01-31,260.2,14042744.0,1099428.004,,2.7778,26.0
2019-02-28,269.45,18716281.0,1138512.205,,2.8766,26.0
2019-03-31,276.85,13044197.0,1169779.565,,3.4848,26.0
2019-04-30,276.85,12256650.0,1169779.565,,3.4848,26.0
2019-05-31,245.8,15885574.0,1038583.41,,3.094,20.0
2019-06-30,244.1,16908485.0,1031400.368,,3.0789,20.0
2019-07-31,216.95,19291167.0,916682.9571,,,20.0
2019-08-31,216.65,21478638.0,915415.3614,,,20.0
2019-09-30,213.45,27431157.0,901894.3406,,2.4112,20.0
2019-10-31,212.65,16382456.0,898514.0854,,2.4021,20.0
2019-11-30,215.35,16803592.0,909922.4467,,2.4326,0.0
2019-12-31,209.65,8347911.0,885838.1284,11.8446,2.3592,0.0
2020-01-31,194.1,18344788.0,820134.4179,10.9661,,0.0
2020-02-29,172.25,9687711.0,727811.1978,9.7316,,0.0
2020-03-31,155.4,16429733.0,656614.5726,9.6462,1.6307,0.0
2020-04-30,174.6,10386177.0,737740.6974,10.838,1.8322,0.0
2020-05-31,171.55,24676107.0,724853.4745,10.6487,1.8002,16.5
2020-06-30,195.95,33318684.0,827951.2581,12.934,2.0321,16.5
2020-07-31,210.05,45107469.0,887528.256,13.8647,,16.5
2020-08-31,226.6,58747985.0,957457.2854,14.9571,,16.5
2020-09-30,209.95,21260366.0,887105.7241,14.1762,2.4209,16.5
2020-10-31,203.3,43940350.0,859007.3814,13.7272,2.3442,37.8
2020-11-30,229.7,22786940.0,970555.8067,15.5098,2.6486,37.8
2020-12-31,239.05,24287985.0,1010062.541,14.7653,2.7582,37.8
2021-01-31,274.75,63040754.0,1160906.434,16.9704,,37.8
2021-02-28,297.5,32250542.0,1257032.444,18.3755,,37.8
2021-03-31,272.9,32229565.0,1153089.594,14.4468,3.5725,37.8
2021-04-30,305.1,56395968.0,1289144.87,16.1514,3.994,37.8
2021-05-31,327.0,105073388.0,1381679.359,17.3107,4.2807,21.3
2021-06-30,339.3,38450540.0,1433650.785,16.665,4.4521,21.3
2021-07-31,320.5,26715716.0,1354214.74,15.7417,,21.3
2021-08-31,321.75,24475185.0,1359496.388,15.803,,21.3
2021-09-30,311.6,18490830.0,1316609.4,15.1704,3.6238,21.3
2021-10-31,311.35,49490723.0,1315553.071,15.1582,3.6208,21.3
2021-11-30,333.05,27640294.0,1407242.493,16.2147,3.8732,21.3
2021-12-31,316.8,30068920.0,1338581.059,14.5856,3.6709,18.0
2022-01-31,315.45,13069039.0,1332876.879,14.5235,,18.0
2022-02-28,311.95,11092967.0,1318088.262,14.3623,,18.0
2022-03-31,310.15,54003512.0,1310482.688,13.615,3.827,18.0
2022-04-30,321.9,25010680.0,1360130.186,14.1308,3.972,18.0
2022-05-31,300.95,19447059.0,1271609.753,13.2112,3.7135,18.0
2022-06-30,249.35,12877859.0,1053583.293,9.8131,3.128,18.0
2022-07-31,269.7,30924213.0,1139568.534,10.6139,,39.0
2022-08-31,285.0,21841665.0,1204215.915,11.2161,,39.0
2022-09-30,267.2,12342367.0,1129005.237,9.9036,3.6095,39.0
2022-10-31,283.7,8946716.0,1198723.0,10.5152,3.8324,39.0
2022-11-30,307.25,22737136.0,1298229.263,11.3881,4.1506,54.5
2022-12-31,321.7,14948148.0,1359285.122,12.5224,4.4066,36.5
2023-01-31,332.85,28667062.0,1406397.429,12.9564,,49.5
2023-02-28,304.0,9159139.0,1284496.976,11.8334,,49.5
2023-03-31,293.35,53257000.0,1239497.329,11.7953,9.5953,75.5
2023-04-30,314.35,15639230.0,1328229.028,12.6397,10.2822,75.5
2023-05-31,306.0,8812198.0,1292947.614,12.304,10.0091,75.5
2023-06-30,307.35,13637353.0,1298651.795,13.8446,10.0386,75.5
2023-07-31,321.95,26217404.0,1360341.452,14.5023,,61.5
2023-08-31,318.15,8234564.0,1344285.24,14.3311,,61.5
2023-09-30,308.65,11002147.0,1304144.709,15.4712,9.5507,61.5
2023-10-31,295.55,13494524.0,1248793.031,14.8145,9.1453,61.5
2023-11-30,299.25,6152094.0,1264426.711,15.0,9.2598,46.0
2023-12-31,318.05,21173601.0,1343862.708,16.1858,9.6729,52.0
2024-01-31,317.25,15818892.0,1340482.453,16.145,,39.0
2024-02-29,306.45,8632931.0,1294849.008,15.5954,,39.0
2024-03-31,292.3,11401781.0,1235060.744,15.9205,8.1371,13.0
2024-04-30,426.95,118282776.0,1803999.947,23.2544,11.8855,13.0
2024-05-31,687.25,188552189.0,2903850.483,37.4319,19.1317,23.0
2024-06-30,669.65,25447505.0,2829484.868,34.769,18.742,23.0
2024-07-31,646.85,17123328.0,2733147.595,33.5852,,16.0
2024-08-31,500.75,126175606.0,2115828.489,25.9995,,35.0
2024-09-30,522.5,52691845.0,2207729.178,25.266,28.9728,35.0
2024-10-31,553.2,60396217.0,2337446.471,26.7505,30.6752,35.0
2024-11-30,504.6,56267667.0,2132095.967,24.4004,27.9803,35.0
2024-12-31,444.0,28342488.0,1876041.636,19.982,23.9767,29.0
2025-01-31,450.15,29238581.0,1902027.348,20.2588,,29.0
2025-02-28,390.8,30585848.0,1651254.665,17.5878,,29.0
2025-03-31,461.9,48081857.0,1951674.846,18.8454,14.6618,29.0
2025-04-30,439.2,42148252.0,1855760.105,17.9192,13.9413,29.0
2025-05-31,458.2,45791478.0,1936041.166,18.6944,14.5444,19.0
2025-06-30,450.85,317149968.0,1904985.071,18.5918,14.3206,20.0
2025-07-31,424.05,64414844.0,1791746.522,17.4866,,20.0
2025-08-31,419.25,32730231.0,1771464.991,17.2887,,20.0
2025-09-30,482.45,122267141.0,2038505.152,19.2903,14.8829,20.0
2025-10-31,476.5,149989979.0,2013364.504,19.0524,14.6993,10.0
2025-11-30,485.2,67526205.0,2050124.779,19.4002,14.9677,10.0
2025-12-31,612.45,314702691.0,2587796.622,21.9202,19.2896,10.0
2026-01-31,628.5,475152788.0,2655612.992,22.4946,,10.0
2026-02-28,603.8,258641039.0,2551247.612,21.6106,,10.0
2026-03-31,596.3,25553623.0,2519557.668,21.3422,,10.0
