NHPC IN Equity,price,volume,mc,pe,bm,div
2014-01-31,17.9,110431708.0,220183.3026,8.4038,0.739,0.6
2014-02-28,18.0,73051863.0,221413.377,8.4507,0.7431,0.6
2014-03-31,19.1,96226344.0,234944.1944,18.7255,0.7486,0.6
2014-04-30,19.0,122552282.0,210342.71,18.6275,0.7447,0.6
2014-05-31,24.8,427999519.0,274552.5898,24.3137,0.972,0.6
2014-06-30,26.4,440743151.0,292265.6602,25.8824,1.0347,0.6
2014-07-31,22.85,219713228.0,252964.7854,22.402,0.8956,0.6
2014-08-31,21.65,114710007.0,239679.9827,21.2255,0.8485,0.6
2014-09-30,19.45,174999546.0,215324.511,19.0686,0.7623,0.3
2014-10-31,20.65,97491015.0,228609.3137,20.2451,0.8094,0.3
2014-11-30,20.35,122500547.0,225288.113,19.951,0.7976,0.3
2014-12-31,18.85,103518269.0,208682.1096,18.4804,0.7388,0.3
2015-01-31,19.25,103382147.0,213110.3772,18.8725,0.7545,0.4
2015-02-28,21.25,167387322.0,235251.7151,20.8333,0.8329,0.4
2015-03-31,19.8,91475646.0,219199.2451,8.8,0.7127,0.4
2015-04-30,19.75,50767215.0,218645.7117,8.7778,0.7109,0.4
2015-05-31,20.15,56343385.0,223073.9792,8.9556,0.7253,0.4
2015-06-30,19.6,58259993.0,216985.1113,8.7111,0.7055,0.4
2015-07-31,18.9,75813173.0,209235.6431,8.4,0.6803,0.4
2015-08-31,16.45,111830065.0,182112.5042,7.3111,0.5921,0.4
2015-09-30,16.55,90545016.0,183219.571,7.3556,0.5957,0.6
2015-10-31,18.15,62705027.0,200932.6414,8.0667,0.6533,0.6
2015-11-30,19.15,77720516.0,212003.3103,8.5111,0.6893,0.6
2015-12-31,21.05,88542432.0,233037.5813,9.3556,0.7577,0.6
2016-01-31,20.95,105440094.0,231930.5144,9.3111,0.7541,0.6
2016-02-29,20.1,120293542.0,222520.4458,8.9333,0.7235,1.32
2016-03-31,24.15,111610266.0,267356.655,10.2761,0.8449,1.32
2016-04-30,20.65,203211241.0,228609.3137,8.7868,0.7225,1.32
2016-05-31,23.3,331104012.0,257946.5864,9.9144,0.8152,1.32
2016-06-30,25.2,135272881.0,278980.8574,10.7229,0.8817,1.32
2016-07-31,25.3,80336686.0,280087.9243,10.7654,0.8852,1.32
2016-08-31,28.15,124329083.0,311639.3308,11.9782,0.9849,1.32
2016-09-30,25.0,76029903.0,276766.7236,10.6378,0.8747,1.5
2016-10-31,26.75,87591858.0,296140.3943,11.3824,0.9359,1.5
2016-11-30,28.05,148084161.0,310532.2639,11.9356,0.9814,1.5
2016-12-31,26.45,125595678.0,292819.1936,11.2548,0.9254,1.5
2017-01-31,28.95,299957502.0,320495.866,12.3186,1.0129,2.28
2017-02-28,30.5,230813544.0,337655.4028,12.9781,1.0671,2.28
2017-03-31,32.2,142277935.0,330350.1141,11.7577,1.1386,2.28
2017-04-30,31.75,79977611.0,325733.4199,11.5934,1.1226,2.28
2017-05-31,30.25,83224491.0,310344.4395,11.0456,1.0696,2.28
2017-06-30,31.35,150973919.0,321629.6918,11.4473,1.1085,2.28
2017-07-31,30.35,113897040.0,311370.3715,11.0822,1.0731,2.28
2017-08-31,29.05,111571444.0,298033.2551,10.6075,1.0272,2.28
2017-09-30,27.05,106925610.0,277514.6145,9.8772,0.9565,1.8
2017-10-31,28.55,160458372.0,292903.5949,10.4249,1.0095,1.8
2017-11-30,28.35,189899932.0,290851.7308,10.3519,1.0024,1.8
2017-12-31,32.65,199299182.0,334966.8082,11.922,1.1545,1.8
2018-01-31,29.45,245131732.0,302136.9832,10.7535,1.0413,1.8
2018-02-28,27.3,139997350.0,280079.4502,9.9685,0.9653,1.22
2018-03-31,27.7,154845698.0,284183.1784,11.3045,0.946,1.22
2018-04-30,28.45,121137709.0,291877.6688,11.6106,0.9716,1.22
2018-05-31,26.5,106038270.0,271871.9938,10.8148,0.905,1.22
2018-06-30,23.45,120045062.0,240581.0662,9.57,0.8008,1.22
2018-07-31,23.75,137963649.0,243658.8623,9.6925,0.8111,1.22
2018-08-31,25.35,73787437.0,260073.7752,10.3454,0.8657,1.22
2018-09-30,22.6,66546263.0,231860.6437,9.2231,0.7718,1.4
2018-10-31,24.35,71085499.0,249814.4546,9.9373,0.8316,1.4
2018-11-30,25.95,140353217.0,266229.3675,10.5903,0.8862,1.4
2018-12-31,26.0,92746617.0,266742.3335,10.6107,0.8879,1.4
2019-01-31,25.0,66997528.0,256483.013,10.2026,0.8538,1.4
2019-02-28,22.95,219920875.0,230533.5488,9.366,0.7838,0.99
2019-03-31,24.7,159157152.0,248112.3597,9.7244,0.8056,0.99
2019-04-30,23.35,68428598.0,234551.5627,9.1929,0.7616,0.99
2019-05-31,25.05,100855431.0,251628.1219,9.8622,0.817,0.99
2019-06-30,24.8,66048039.0,249116.8632,9.7638,0.8089,0.99
2019-07-31,22.15,28261757.0,222497.5209,8.7205,0.7224,0.99
2019-08-31,23.25,56347600.0,233547.0592,9.1535,0.7583,0.99
2019-09-30,22.3,60974223.0,224004.2762,8.7795,0.7273,1.46
2019-10-31,23.5,62484533.0,236058.3179,9.252,0.7665,1.46
2019-11-30,23.8,41222196.0,239071.8284,9.3701,0.7763,1.46
2019-12-31,23.95,39675873.0,240578.5836,9.4291,0.7812,1.46
2020-01-31,24.5,384638607.0,246103.3527,9.6457,0.7991,1.46
2020-02-29,20.6,194527144.0,206927.717,8.1102,0.6719,1.93
2020-03-31,19.95,326238596.0,200398.4444,6.9512,0.6235,1.93
2020-04-30,20.8,139935023.0,208936.724,7.2474,0.65,1.93
2020-05-31,19.6,58296867.0,196882.6823,6.8293,0.6125,1.93
2020-06-30,20.0,154557073.0,200900.6962,6.9686,0.625,1.93
2020-07-31,20.3,135643101.0,203914.2066,7.0732,0.6344,1.93
2020-08-31,21.65,143867761.0,217475.0036,7.5436,0.6766,1.93
2020-09-30,20.2,105261021.0,202909.7032,7.0383,0.6313,1.5
2020-10-31,19.85,98710233.0,199393.9479,6.9164,0.6204,1.5
2020-11-30,21.45,101812921.0,215466.0042,7.4739,0.6704,1.5
2020-12-31,22.65,220852284.0,227520.0464,7.892,0.7079,1.5
2021-01-31,24.0,229958914.0,241080.8438,8.3624,0.75,1.5
2021-02-28,24.15,182144044.0,242587.5991,8.4146,0.7547,1.57
2021-03-31,24.45,193204042.0,245601.1097,7.5463,0.7253,1.57
2021-04-30,24.25,47830419.0,243592.1026,7.4846,0.7194,1.57
2021-05-31,26.0,185056947.0,261170.9142,8.0247,0.7713,1.57
2021-06-30,26.2,282043643.0,263179.9212,8.0864,0.7773,1.57
2021-07-31,26.25,94059789.0,263682.1638,8.1019,0.7787,1.57
2021-08-31,26.95,128945838.0,270713.6881,8.3179,0.7995,1.57
2021-09-30,29.85,318113534.0,299844.2891,9.213,0.8855,1.6
2021-10-31,30.7,326251280.0,308382.5687,9.4753,0.9108,1.6
2021-11-30,31.1,161567096.0,312400.5824,9.5988,0.9226,1.6
2021-12-31,30.95,215113157.0,310893.8272,9.5525,0.9182,1.6
2022-01-31,30.0,111961482.0,301351.0441,9.2593,0.89,1.6
2022-02-28,27.4,88618152.0,275233.9537,8.4568,0.8129,1.66
2022-03-31,27.8,209091011.0,279251.9676,7.9253,0.7997,1.66
2022-04-30,33.2,398204017.0,333495.1557,9.4647,0.955,1.66
2022-05-31,33.65,218543388.0,338015.4214,9.593,0.9679,1.66
2022-06-30,30.75,173916380.0,308884.8204,8.7662,0.8845,1.66
2022-07-31,34.15,164145258.0,343037.9388,9.7355,0.9823,1.66
2022-08-31,38.4,289674713.0,385729.3367,10.9471,1.1046,1.81
2022-09-30,35.7,444496596.0,358607.7427,10.1774,1.0269,1.81
2022-10-31,42.6,513991222.0,427918.4827,12.1445,1.2254,1.81
2022-11-30,42.05,315497894.0,422393.7136,11.9877,1.2096,1.81
2022-12-31,39.75,272653949.0,399290.1335,11.332,1.1434,1.81
2023-01-31,43.9,315314632.0,440977.0279,12.5151,1.2628,1.81
2023-02-28,39.15,165446275.0,393263.1126,11.1609,1.1262,1.9
2023-03-31,40.2,236788133.0,403810.3992,10.3453,1.0925,1.9
2023-04-30,44.25,234078856.0,444492.7901,11.3876,1.2026,1.9
2023-05-31,43.45,198775588.0,436456.7623,11.1817,1.1809,1.9
2023-06-30,45.95,380471155.0,461569.3493,11.8251,1.2488,1.9
2023-07-31,51.5,539219089.0,517319.2925,13.2534,1.3996,1.9
2023-08-31,50.2,326834632.0,504260.7472,12.9188,1.3643,1.85
2023-09-30,52.8,1074520322.0,530377.8377,13.5879,1.435,1.85
2023-10-31,50.2,381898411.0,504260.7472,12.9188,1.3643,1.85
2023-11-30,54.4,384900475.0,546449.8934,13.9997,1.4785,1.85
2023-12-31,64.6,773641640.0,648909.2484,16.6246,1.7557,1.85
2024-01-31,90.95,2506592432.0,913595.9155,23.4057,2.4718,1.85
2024-02-29,88.15,5046461189.0,885469.8181,22.6851,2.3957,1.85
2024-03-31,89.7,1969797975.0,901039.622,25.0571,2.3302,1.85
2024-04-30,96.2,1303541795.0,966332.3482,26.8728,2.499,1.85
2024-05-31,107.25,2979775102.0,1077329.983,29.9595,2.7861,1.85
2024-06-30,100.7,1524566478.0,1011535.005,28.1298,2.6159,1.85
2024-07-31,105.04,1829709148.0,1055130.456,29.3422,2.7286,1.85
2024-08-31,96.12,651946892.0,965528.7455,26.8504,2.4969,1.9
2024-09-30,94.95,524858729.0,953776.0547,26.5236,2.4665,1.9
2024-10-31,82.6,599550675.0,829719.8749,23.0737,2.1457,1.9
2024-11-30,81.44,418152971.0,818067.6345,22.7497,2.1156,1.9
2024-12-31,80.69,523282695.0,810533.8584,22.5402,2.0961,1.9
2025-01-31,80.55,377750319.0,809127.5535,22.5011,2.0925,1.9
2025-02-28,72.9,424218994.0,732283.0373,20.3641,1.8937,1.9
2025-03-31,82.2,461002836.0,825701.861,27.4623,2.0815,1.9
2025-04-30,85.79,409961218.0,861763.5359,28.6617,2.1724,1.9
2025-05-31,87.41,439893481.0,878036.4923,29.2029,2.2135,1.9
2025-06-30,85.81,323652582.0,861964.4366,28.6684,2.1729,1.9
2025-07-31,83.25,276224947.0,836249.1475,27.8131,2.1081,1.9
2025-08-31,77.23,204300515.0,775778.038,25.8019,1.9557,1.91
2025-09-30,86.32,330432205.0,867087.4044,28.8388,2.1859,1.91
2025-10-31,84.84,265526855.0,852220.7529,28.3443,2.1484,1.91
2025-11-30,76.74,220452853.0,770855.9709,25.6382,1.9433,1.91
2025-12-31,79.22,193787080.0,795767.6573,26.4667,2.0061,1.91
2026-01-31,78.2,372715506.0,785521.7218,26.126,1.9802,1.91
2026-02-28,75.33,322221404.0,756692.4719,25.1671,1.9076,1.91
2026-03-31,74.12,62711059.0,744538.0073,24.7629,1.8769,1.91
