HWA IN Equity,price,volume,mc,pe,bm,div
2010-08-31,2357.2,85847.0,20842.3619,15.6948,4.7512,10.0
2010-09-30,2520.6,63197.0,22287.1463,16.7827,5.0806,10.0
2010-10-31,2518.2,127774.0,22265.9239,16.7668,5.0757,10.0
2010-11-30,2486.05,78794.0,21981.6547,16.5527,5.0109,10.0
2010-12-31,2368.8,37314.0,20944.9302,19.9377,3.9266,10.0
2011-01-31,2380.85,44104.0,21051.4768,20.0391,3.9466,10.0
2011-02-28,2108.05,59451.0,18639.3787,17.743,3.4944,10.0
2011-03-31,2246.0,27209.0,19859.132,18.9041,3.723,10.0
2011-04-30,2481.55,46814.0,21941.8657,20.8867,4.1135,10.0
2011-05-31,2396.65,25517.0,21191.1782,20.1721,3.9727,10.0
2011-06-30,2560.35,53879.0,22638.6158,21.55,4.2441,10.0
2011-07-31,2769.45,74037.0,24487.4764,23.3099,4.5907,10.0
2011-08-31,2557.1,88628.0,22609.8793,21.5226,4.2387,10.0
2011-09-30,2668.9,37480.0,23598.4127,22.4636,4.424,10.0
2011-10-31,2296.95,38252.0,20309.6314,19.333,3.8075,10.0
2011-11-30,2020.25,43615.0,17863.0505,17.004,3.3488,10.0
2011-12-31,1722.7,41656.0,15232.1129,14.216,2.4163,10.0
2012-01-31,2323.5,125995.0,20544.387,19.174,3.259,10.0
2012-02-29,2793.4,107744.0,24699.2417,23.0517,3.9181,10.0
2012-03-31,2825.05,123110.0,24973.443,23.3128,3.9625,10.0
2012-04-30,2746.2,228060.0,24276.4079,22.6622,3.8519,10.0
2012-05-31,2623.4,71071.0,23190.8553,21.6488,3.6796,10.0
2012-06-30,2750.55,38245.0,24314.863,22.6981,3.858,10.0
2012-07-31,2425.05,39831.0,21437.4429,20.012,3.4014,10.0
2012-08-31,2476.4,21913.0,21891.3753,20.4357,3.4734,10.0
2012-09-30,2854.15,37587.0,25230.6853,23.553,4.0033,10.0
2012-10-31,2643.6,25167.0,23369.4255,21.8155,3.708,10.0
2012-11-30,2362.8,1159211.0,20887.1529,19.4983,3.3141,10.0
2012-12-31,2771.45,1317626.0,24503.7754,28.7704,3.4744,10.0
2013-01-31,2555.1,86239.0,22590.9185,26.5244,3.2032,10.0
2013-02-28,2602.85,62061.0,23013.1001,27.0201,3.263,10.0
2013-03-31,2594.35,67693.0,22937.9474,26.9319,3.2524,10.0
2013-04-30,2451.7,16001.0,21676.7057,25.4511,3.0735,10.0
2013-05-31,2401.25,38548.0,21230.6526,24.9273,3.0103,10.0
2013-06-30,2579.8,30426.0,22809.362,26.7809,3.2341,10.0
2013-07-31,2457.9,104345.0,21731.5787,25.5154,3.0813,10.0
2013-08-31,2396.55,20400.0,21189.1529,24.8785,3.0044,10.0
2013-09-30,2540.55,39013.0,22462.3322,26.3734,3.1849,10.0
2013-10-31,2523.25,60413.0,22309.3733,26.1938,3.1632,10.0
2013-11-30,2607.25,22662.0,23052.0613,27.0658,3.2685,10.0
2013-12-31,2773.85,36936.0,24525.0602,28.4643,3.1398,10.0
2014-01-31,2586.2,90028.0,22865.9467,26.5387,2.9274,10.0
2014-02-28,2645.45,10279.0,23389.8069,27.1467,2.9945,10.0
2014-03-31,3049.75,43051.0,26964.4353,31.2955,3.4521,10.0
2014-04-30,3139.2,27748.0,27755.309,32.2134,3.5533,10.0
2014-05-31,4244.45,78195.0,37527.4047,43.5552,4.8044,10.0
2014-06-30,5075.3,32661.0,44873.3809,52.0811,5.7449,10.0
2014-07-31,4975.5,25273.0,43990.9985,51.057,5.6319,10.0
2014-08-31,5236.8,38485.0,46301.2869,53.7383,5.9277,10.0
2014-09-30,5486.4,46893.0,48508.1316,56.2996,6.2102,10.0
2014-10-31,5640.55,26716.0,49871.0519,57.8815,6.3847,10.0
2014-11-30,6902.15,35732.0,61025.518,70.8276,7.8127,10.0
2014-12-31,6968.0,19276.0,61607.7335,71.5033,7.8873,10.0
2015-01-31,7356.5,20187.0,65042.6652,75.49,8.327,10.0
2015-02-28,8857.7,71281.0,78319.7851,90.8948,10.0263,10.0
2015-03-31,8513.05,38623.0,75268.3272,84.9267,8.5336,10.0
2015-04-30,7640.7,41901.0,67555.4277,76.2241,7.6592,10.0
2015-05-31,7481.65,47383.0,66149.1807,74.6374,7.4997,10.0
2015-06-30,7430.3,42041.0,65695.168,74.1251,7.4482,0.0
2015-07-31,8701.05,50587.0,76930.5335,86.8022,8.7221,12.5
2015-08-31,8889.5,42594.0,78596.7202,88.6822,8.911,12.5
2015-09-30,9228.4,18753.0,81593.1157,92.0631,9.2507,12.5
2015-10-31,9450.95,22494.0,83560.7951,94.2832,9.4738,12.5
2015-11-30,9103.6,28337.0,80489.687,90.818,9.1256,12.5
2015-12-31,9131.25,15494.0,80734.1585,91.0939,9.1533,12.5
2016-01-31,8575.2,11872.0,75817.8311,85.5467,8.5959,12.5
2016-02-29,8448.6,12334.0,74698.4893,84.2837,8.469,12.5
2016-03-31,8596.05,12500.0,76002.1736,53.8296,7.4353,12.5
2016-04-30,9169.3,11897.0,81070.5767,57.4194,7.9311,12.5
2016-05-31,8924.4,55958.0,78905.2927,55.8858,7.7193,12.5
2016-06-30,9529.95,29993.0,84259.2754,59.6778,8.243,12.5
2016-07-31,9921.75,11481.0,87723.3825,62.1313,8.5819,12.5
2016-08-31,9778.15,10114.0,86453.7431,61.2321,8.4577,10.0
2016-09-30,9265.15,9647.0,81918.0417,58.0196,8.014,10.0
2016-10-31,9007.4,14438.0,79639.1391,56.4055,7.7911,10.0
2016-11-30,8490.75,8651.0,75071.1629,53.1702,7.3442,10.0
2016-12-31,8971.55,8215.0,79322.1655,56.181,7.7601,10.0
2017-01-31,9478.1,24006.0,83800.8374,59.3531,8.1982,10.0
2017-02-28,9978.3,27260.0,88223.369,62.4854,8.6309,10.0
2017-03-31,10346.9,59183.0,91482.3594,53.9885,7.7496,10.0
2017-04-30,11024.4,18040.0,97472.4914,57.5236,8.257,10.0
2017-05-31,11490.85,25456.0,101596.6165,59.9575,8.6064,10.0
2017-06-30,11675.95,23786.0,103233.1825,60.9233,8.745,10.0
2017-07-31,12518.2,14507.0,110679.9554,65.318,9.3758,10.0
2017-08-31,13203.05,24584.0,116735.0725,68.8915,9.8888,10.0
2017-09-30,15730.0,30165.0,139077.1595,82.0767,11.7814,10.0
2017-10-31,15829.75,20105.0,139959.1014,82.5972,11.8561,10.0
2017-11-30,17128.7,27844.0,151443.795,89.3749,12.829,10.0
2017-12-31,19433.6,64777.0,171822.6214,101.4015,14.5553,10.0
2018-01-31,16903.55,44471.0,149453.1261,88.2001,12.6603,10.0
2018-02-28,17267.15,32355.0,152667.9039,90.0973,12.9327,10.0
2018-03-31,16942.1,29519.0,149793.9668,59.9827,10.5569,10.0
2018-04-30,18922.0,28364.0,167299.2982,66.9924,11.7906,10.0
2018-05-31,18456.4,15594.0,163182.6851,65.344,11.5004,10.0
2018-06-30,18347.85,93392.0,162222.9378,64.9596,11.4328,10.0
2018-07-31,19717.7,53216.0,174334.4981,69.8095,12.2864,32.0
2018-08-31,22461.25,76163.0,198591.6585,79.5229,13.9959,32.0
2018-09-30,20803.2,20718.0,183931.9713,73.6527,12.9628,32.0
2018-10-31,19822.9,18849.0,175264.6263,70.182,12.3519,32.0
2018-11-30,22178.35,15068.0,196090.3916,78.5213,13.8197,32.0
2018-12-31,21995.65,33263.0,194475.0454,77.8745,13.7058,32.0
2019-01-31,21391.4,18906.0,189132.5551,75.7352,13.3293,32.0
2019-02-28,21603.65,25506.0,191009.1684,76.4866,13.4615,32.0
2019-03-31,22331.65,34638.0,197445.7971,55.023,11.2971,32.0
2019-04-30,24049.35,37000.0,212632.8812,59.2553,12.166,32.0
2019-05-31,25734.6,27323.0,227533.0578,63.4076,13.0185,32.0
2019-06-30,24924.4,34454.0,220369.6559,61.4113,12.6087,32.0
2019-07-31,23153.3,44119.0,204710.4345,57.0475,11.7127,32.0
2019-08-31,24823.15,80676.0,219474.4517,61.1619,12.5575,45.0
2019-09-30,28677.5,82503.0,253552.7758,70.6586,14.5073,45.0
2019-10-31,28082.65,90437.0,248293.3959,69.1929,14.2064,45.0
2019-11-30,27768.7,34142.0,245517.5997,68.4194,14.0475,45.0
2019-12-31,27315.05,35666.0,241506.6428,67.3017,13.8181,45.0
2020-01-31,28002.25,70207.0,247582.5374,68.9949,14.1657,45.0
2020-02-29,33078.05,129842.0,292460.3399,81.5011,16.7334,45.0
2020-03-31,25890.6,114855.0,228912.3354,46.5759,10.5072,45.0
2020-04-30,28644.1,74311.0,253257.469,51.5293,11.6246,45.0
2020-05-31,27011.6,96341.0,238823.6827,48.5925,10.9621,45.0
2020-06-30,30026.8,166735.0,265482.6428,54.0167,12.1858,45.0
2020-07-31,26997.65,61559.0,238700.3434,48.5674,10.9565,45.0
2020-08-31,32623.5,164042.0,288441.4256,58.688,13.2396,75.0
2020-09-30,32590.85,75642.0,288152.7499,58.6293,13.2264,75.0
2020-10-31,28451.65,61646.0,251555.9179,51.1831,11.5465,75.0
2020-11-30,31957.0,116729.0,282548.5505,57.489,12.9691,75.0
2020-12-31,37105.1,172088.0,328065.5951,66.7502,15.0584,75.0
2021-01-31,38984.7,161341.0,344684.1217,70.1315,15.8212,75.0
2021-02-28,44988.4,195918.0,397765.9733,80.9319,18.2577,75.0
2021-03-31,47479.85,344782.0,419794.1858,91.236,16.2754,75.0
2021-04-30,43114.95,72388.0,381201.8221,82.8485,14.7792,75.0
2021-05-31,42846.45,85753.0,378827.8731,82.3325,14.6872,75.0
2021-06-30,41831.35,140065.0,369852.8431,80.382,14.3392,75.0
2021-07-31,42728.9,95551.0,377788.5521,82.1067,14.6469,75.0
2021-08-31,39604.9,121513.0,350167.6343,76.1037,13.576,85.0
2021-09-30,45714.5,88126.0,404185.8032,87.8437,15.6703,85.0
2021-10-31,41934.4,64083.0,370763.9621,80.58,14.3745,85.0
2021-11-30,38894.55,87070.0,343887.0584,74.7387,13.3325,85.0
2021-12-31,42170.95,119060.0,372855.4244,81.0345,14.4556,85.0
2022-01-31,42810.45,134397.0,378509.5783,82.2634,14.6748,85.0
2022-02-28,40950.95,125353.0,362068.7663,78.6902,14.0374,85.0
2022-03-31,39676.8,98095.0,350803.3398,103.4408,12.3665,85.0
2022-04-30,40117.15,112823.0,354696.7044,104.5889,12.5038,85.0
2022-05-31,32191.8,166212.0,284624.5401,83.9268,10.0336,85.0
2022-06-30,33787.7,147770.0,298734.7267,88.0874,10.531,85.0
2022-07-31,40182.75,98983.0,355276.7083,104.7599,12.5242,85.0
2022-08-31,43200.1,150782.0,381954.6778,112.6264,13.4647,90.0
2022-09-30,40004.15,118234.0,353697.6123,104.2943,12.4686,90.0
2022-10-31,39332.85,96993.0,347762.2979,102.5441,12.2593,90.0
2022-11-30,41715.6,145152.0,368829.4369,108.7562,13.002,90.0
2022-12-31,41701.95,167174.0,368708.7501,108.7206,12.9977,90.0
2023-01-31,39223.3,82694.0,346793.7091,102.2585,12.2252,90.0
2023-02-28,34487.25,154839.0,304919.8141,89.9112,10.749,90.0
2023-03-31,36385.2,123746.0,321700.5827,73.4461,10.0896,90.0
2023-04-30,35595.4,125729.0,314717.5478,71.8518,9.8706,90.0
2023-05-31,40054.6,140407.0,354143.6672,80.853,11.1071,90.0
2023-06-30,41679.05,82508.0,368506.2792,84.1321,11.5575,90.0
2023-07-31,42992.95,63125.0,380123.1563,86.7843,11.9219,90.0
2023-08-31,39643.7,57975.0,350510.6854,80.0236,10.9931,95.0
2023-09-30,39853.75,123823.0,352367.8473,80.4476,11.0514,95.0
2023-10-31,35997.5,72457.0,318272.7242,72.6635,9.9821,95.0
2023-11-30,36653.45,62292.0,324072.3212,73.9876,10.164,95.0
2023-12-31,36847.0,174987.0,325783.598,74.3783,10.2176,95.0
2024-01-31,38687.5,168731.0,342056.4211,78.0935,10.728,95.0
2024-02-29,37930.65,109440.0,335364.7144,76.5657,10.5181,95.0
2024-03-31,38687.25,93774.0,342054.2107,68.2198,9.4854,95.0
2024-04-30,45138.55,162144.0,399093.528,79.5958,11.0671,95.0
2024-05-31,51424.6,399967.0,454671.7837,90.6805,12.6083,95.0
2024-06-30,56711.2,204970.0,501413.3792,100.0027,13.9045,95.0
2024-07-31,54456.95,134477.0,481482.3759,96.0276,13.3518,100.0
2024-08-31,50968.95,157085.0,450643.1437,89.877,12.4966,100.0
2024-09-30,48979.5,127855.0,433053.3758,86.3688,12.0088,100.0
2024-10-31,45771.3,180588.0,404688.0017,80.7116,11.2222,100.0
2024-11-30,40835.15,97743.0,361044.9179,72.0074,10.012,100.0
2024-12-31,41956.05,224576.0,370955.3811,73.9839,10.2868,100.0
2025-01-31,40472.25,147781.0,357836.3292,71.3674,9.923,100.0
2025-02-28,33701.65,130638.0,297973.9136,59.4284,8.263,100.0
2025-03-31,33684.4,133238.0,297821.3973,56.8782,7.3752,100.0
2025-04-30,34520.0,113650.0,305209.374,58.2891,7.5582,100.0
2025-05-31,38530.0,132046.0,340663.8812,65.0603,8.4362,100.0
2025-06-30,39355.0,96187.0,347958.1377,66.4533,8.6168,105.0
2025-07-31,38770.0,129049.0,342785.8467,65.4655,8.4887,105.0
2025-08-31,38740.0,65702.0,342520.601,65.4149,8.4822,105.0
2025-09-30,36095.0,78410.0,319134.7727,60.9486,7.9031,105.0
2025-10-31,36495.0,92340.0,322671.3819,61.6241,7.9906,105.0
2025-11-30,35395.0,215931.0,312945.7066,59.7666,7.7498,105.0
2025-12-31,32805.0,197949.0,290046.162,55.3933,7.1827,105.0
2026-01-31,33375.0,224048.0,295085.8301,56.3557,7.3075,105.0
2026-02-28,30975.0,72216.0,273866.1749,52.3032,6.782,105.0
2026-03-31,29960.0,11052.0,264892.0291,50.5893,6.5598,105.0
